date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-30,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,245.0,CNK
2021-05-01,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,119.0,CNK
2021-05-05,-0.0375,,1,0.0375,0.0,0,0,0,0,1,0,0,0,223.0,CNK
2021-05-06,-0.05,,1,0.05,0.0,1,0,0,0,1,0,0,0,289.0,CNK
2021-05-07,0.0263,0.0456,3,0.0263,0.0,3,0,0,0,0,0,0,0,1215.0,CNK
2021-05-10,-0.0945,,1,0.0945,0.0,0,0,0,0,0,1,0,0,391.0,CNK
2021-05-11,0.375,,1,0.375,0.0,0,0,0,0,1,0,0,0,124.0,CNK
2021-05-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,31.0,CNK
2021-05-29,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,159.0,CNK
2021-06-02,0.1361,0.0987,4,0.1361,0.0,0,0,0,0,1,0,0,0,653.25,CNK
2021-06-04,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,0,0,404.0,CNK
2021-06-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,156.0,CNK
2021-06-11,0.18,,1,0.18,0.0,0,0,0,0,0,0,0,0,172.0,CNK
2021-06-13,0.0417,,1,0.0417,0.0,0,0,0,0,0,0,0,0,498.0,CNK
2021-06-18,0.1889,,1,0.1889,0.0,0,0,1,0,0,0,0,0,301.0,CNK
2021-06-29,0.0042,,1,0.0042,0.0,0,0,0,0,0,0,0,0,140.0,CNK
2021-06-30,-0.1844,,1,0.1844,0.0,0,0,0,0,0,0,0,0,191.0,CNK
2021-07-06,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,288.0,CNK
2021-07-09,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,167.0,CNK
2021-07-12,0.0023,,1,0.0023,0.0,0,0,1,0,0,0,0,0,872.0,CNK
2021-07-13,0.2116,,1,0.2116,0.2,1,0,0,0,0,0,0,0,172.0,CNK
2021-07-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,209.0,CNK
2021-07-19,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,166.0,CNK
2021-07-20,0.1583,,1,0.1583,0.0,1,0,1,0,0,0,0,0,792.0,CNK
2021-07-21,0.0767,,1,0.0767,0.0,0,0,0,0,0,0,0,0,204.0,CNK
2021-07-27,0.0667,0.0943,2,0.0667,0.1,0,0,0,0,0,0,0,0,207.5,CNK
2021-07-30,-0.0024,,1,0.0024,0.0,1,0,0,0,1,0,0,0,269.0,CNK
2021-08-06,0.0,0.0,3,0.0,0.0,3,0,1,0,0,0,0,0,180.0,CNK
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,100.0,CNK
2021-08-10,0.0135,,1,0.0135,0.0,0,0,0,0,1,0,0,0,668.0,CNK
2021-08-12,0.2825,,1,0.2825,0.0,0,0,0,0,0,0,0,0,657.0,CNK
2021-08-13,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,0,0,253.0,CNK
2021-08-16,0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,96.0,CNK
2021-08-23,0.2833,,1,0.2833,0.0,0,0,1,0,0,0,0,0,278.0,CNK
2021-08-25,0.2869,,1,0.2869,0.0,0,1,0,0,0,1,0,0,166.0,CNK
2021-08-27,0.2798,,1,0.2798,0.0,0,0,0,0,0,0,0,0,186.0,CNK
2021-09-01,-0.0049,,1,0.0049,0.0,0,0,0,0,0,0,1,0,1171.0,CNK
2021-09-02,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,319.0,CNK
2021-09-03,0.1712,,1,0.1712,0.0,0,0,0,0,0,0,0,0,944.0,CNK
2021-09-07,0.1509,,1,0.1509,0.2,0,0,0,0,1,0,0,0,855.0,CNK
2021-09-13,0.075,0.119,4,0.075,0.0,0,0,0,0,3,0,1,0,171.75,CNK
2021-09-19,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,118.0,CNK
2021-09-30,-0.275,,1,0.275,0.0,0,0,0,0,0,0,0,0,185.0,CNK
2021-10-08,0.2821,,1,0.2821,0.0,1,0,0,0,1,0,0,0,1440.0,CNK
2021-10-13,0.2068,,1,0.2068,0.0,1,0,0,0,0,0,0,0,363.0,CNK
2021-10-28,0.1818,0.12,2,0.1818,0.0,1,0,0,0,0,0,1,0,750.5,CNK
2021-10-29,-0.0024,,1,0.0024,0.0,1,0,0,0,0,0,0,0,257.0,CNK
2021-10-30,0.2885,,1,0.2885,0.0,0,0,0,0,0,0,0,0,1063.0,CNK
2021-10-31,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,CNK
2021-11-02,0.3,,1,0.3,0.2,1,0,0,0,0,0,0,0,141.0,CNK
2021-11-05,-0.2333,0.4041,3,0.2333,0.0,2,0,0,0,0,0,0,0,137.3333,CNK
2021-11-07,0.2095,,1,0.2095,0.0,1,0,0,0,1,0,0,0,941.0,CNK
2021-11-08,0.2131,,1,0.2131,0.0,1,0,1,0,0,0,1,0,2637.0,CNK
2021-11-11,-0.1533,,1,0.1533,0.0,0,0,0,0,0,0,0,0,209.0,CNK
2021-11-12,0.1024,,1,0.1024,0.0,0,1,0,0,1,0,0,1,1183.0,CNK
2021-11-26,-0.0849,,1,0.0849,0.0,0,0,0,0,0,0,0,0,660.0,CNK
2021-11-29,0.1562,,1,0.1562,0.0,0,0,0,0,1,0,1,0,1369.0,CNK
2021-11-30,-0.1667,,1,0.1667,0.0,0,0,1,0,0,0,0,0,181.0,CNK
2021-12-10,-0.0127,,1,0.0127,0.0,0,0,0,0,0,0,0,0,179.0,CNK
2021-12-17,0.2596,,1,0.2596,0.0,0,1,0,0,1,0,0,0,791.0,CNK
2021-12-18,0.0968,0.1369,2,0.0968,0.0,1,1,0,0,1,0,0,0,504.0,CNK
2021-12-20,0.135,,1,0.135,0.2,0,0,1,0,0,0,0,0,1239.0,CNK
2021-12-22,-0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,182.0,CNK
2021-12-23,0.3333,,1,0.3333,0.0,0,1,0,0,0,0,0,0,223.0,CNK
2021-12-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,218.0,CNK
2021-12-28,-0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,225.0,CNK
2022-01-04,0.2576,,1,0.2576,0.0,0,0,0,0,0,1,1,0,241.0,CNK
2022-01-06,0.0391,,1,0.0391,0.0,0,0,0,0,1,0,1,0,904.0,CNK
2022-01-07,0.1209,,1,0.1209,0.0,1,0,0,0,1,0,0,0,1883.0,CNK
2022-01-13,0.2391,,1,0.2391,0.2,0,1,0,0,0,1,0,0,172.0,CNK
2022-01-29,0.0333,,1,0.0333,0.0,0,1,0,0,0,0,0,1,135.0,CNK
2022-02-09,0.2924,,1,0.2924,0.0,0,0,0,0,1,0,0,0,1589.0,CNK
2022-02-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,152.0,CNK
2022-02-15,0.2083,0.0589,2,0.2083,0.0,0,0,0,0,0,0,0,0,133.5,CNK
2022-02-18,-0.0024,,1,0.0024,0.0,1,0,0,0,0,0,0,0,257.0,CNK
