date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-03,0.0092,0.013,2,0.0092,0.0,2,0,0,0,0,0,0,0,2157.0,CSR
2021-05-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,CSR
2021-06-03,0.0202,,1,0.0202,0.0,0,1,1,0,0,0,0,0,5095.0,CSR
2021-06-05,0.1417,,1,0.1417,0.0,0,0,1,0,0,0,0,0,211.0,CSR
2021-06-12,-0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,222.0,CSR
2021-06-19,-1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,170.0,CSR
2021-06-26,-0.1125,,1,0.1125,0.0,0,0,0,0,0,1,0,0,211.0,CSR
2021-06-30,0.1972,0.0039,2,0.1972,0.0,0,0,0,0,0,0,0,0,160.0,CSR
2021-07-03,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,CSR
2021-07-21,-0.275,,1,0.275,0.0,1,1,0,0,0,0,0,0,192.0,CSR
2021-07-30,0.2091,,1,0.2091,0.0,1,1,0,0,0,0,0,0,226.0,CSR
2021-08-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,222.0,CSR
2021-09-04,0.1948,,1,0.1948,0.0,1,1,0,0,0,1,0,0,1413.0,CSR
2021-09-25,0.3288,,1,0.3288,0.0,0,0,0,0,0,0,0,0,160.0,CSR
2021-10-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,224.0,CSR
2021-10-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,196.0,CSR
2021-11-01,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,238.0,CSR
2021-11-17,-0.275,,1,0.275,0.0,1,1,0,0,0,0,0,0,209.0,CSR
2021-12-03,0.1233,,1,0.1233,0.0,1,0,0,0,0,0,0,0,202.0,CSR
2022-01-19,0.1025,0.0318,2,0.1025,0.0,0,0,0,0,0,0,0,0,242.0,CSR
2022-02-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,CSR
2022-02-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,267.0,CSR
2022-02-24,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,232.0,CSR
2022-03-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,CSR
2022-03-11,-0.0254,,1,0.0254,0.0,0,1,1,0,0,0,0,0,7210.0,CSR
2022-03-23,0.2458,,1,0.2458,0.0,1,0,0,0,0,0,0,0,187.0,CSR
2022-04-04,0.225,,1,0.225,0.0,1,0,0,0,0,0,0,0,275.0,CSR
2022-04-05,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,196.0,CSR
2022-04-13,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,184.0,CSR
2022-04-18,0.0673,,1,0.0673,0.0,1,1,0,0,0,1,0,0,214.0,CSR
2022-04-20,0.1704,,1,0.1704,0.0,1,0,0,0,0,0,0,0,228.0,CSR
2022-04-22,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,166.0,CSR
2022-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,249.0,CSR
2022-05-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,225.0,CSR
2022-07-20,0.0381,,1,0.0381,0.0,0,0,0,0,0,0,0,0,821.0,CSR
2022-07-27,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,210.0,CSR
2022-08-01,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,233.0,CSR
2022-08-04,-0.0346,,1,0.0346,0.0,0,1,1,0,0,0,0,0,4599.0,CSR
2022-08-31,-0.0644,,1,0.0644,0.0,1,1,0,0,0,0,0,0,330.0,CSR
