date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,180.5,CSTM
2021-04-29,0.2733,0.0189,2,0.2733,0.0,0,1,0,0,0,0,0,0,315.5,CSTM
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,CSTM
2021-07-21,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,263.0,CSTM
2021-07-28,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,217.0,CSTM
2021-07-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,111.0,CSTM
2021-10-20,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,237.0,CSTM
2021-10-27,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,186.5,CSTM
2022-01-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,224.0,CSTM
2022-02-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,CSTM
2022-02-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,231.0,CSTM
2022-02-23,0.0875,0.1237,2,0.0875,0.0,1,0,0,0,0,0,0,0,229.0,CSTM
2022-03-07,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,264.0,CSTM
2022-03-16,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,169.0,CSTM
2022-04-20,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,263.0,CSTM
2022-04-27,0.125,0.1768,2,0.125,0.0,1,0,0,0,0,0,0,0,217.5,CSTM
2022-05-12,0.5,,1,0.5,0.0,0,0,0,0,1,0,0,0,401.0,CSTM
2022-05-24,0.075,,1,0.075,0.0,0,0,1,0,0,0,0,0,534.0,CSTM
2022-06-23,0.1667,,1,0.1667,0.0,0,0,1,0,0,0,0,0,426.0,CSTM
2022-06-27,0.1714,,1,0.1714,0.0,1,0,0,0,0,0,0,0,300.0,CSTM
2022-06-29,0.1309,0.1134,2,0.1309,0.0,0,2,0,0,0,0,0,0,139.0,CSTM
2022-07-04,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,317.0,CSTM
2022-07-20,0.0186,0.0263,2,0.0186,0.0,2,0,0,0,0,0,0,0,237.0,CSTM
2022-07-27,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,218.5,CSTM
2022-09-27,0.3533,,1,0.3533,0.2,0,0,0,0,0,0,0,0,366.0,CSTM
2022-09-28,0.053,0.2699,2,0.1908,0.0,2,1,0,0,0,0,0,0,254.0,CSTM
2022-10-13,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,346.0,CSTM
2022-10-19,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,266.0,CSTM
2022-10-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,251.0,CSTM
2022-10-26,0.0805,0.1207,4,0.0805,0.0,2,1,0,0,1,0,1,0,630.0,CSTM
2022-10-27,0.0756,0.154,2,0.1089,0.0,1,1,0,0,0,1,1,0,1738.5,CSTM
2022-10-31,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,136.0,CSTM
2022-11-04,0.1875,,1,0.1875,0.0,0,0,0,0,0,0,0,0,342.0,CSTM
2022-11-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,256.0,CSTM
2022-12-02,0.1012,,1,0.1012,0.0,0,0,0,1,0,0,0,0,790.0,CSTM
2023-01-10,0.0677,,1,0.0677,0.0,0,0,0,0,1,0,0,0,461.0,CSTM
2023-01-17,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,321.0,CSTM
