title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Clearwater Analytics Holdings, Inc. (CWAN) Q3 2021 Earnings Call Transcript","CWAN earnings call for the period ending September 30, 2021.",2021-11-04 13:31:31+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/04/clearwater-analytics-holdings-inc-cwan-q3-2021-ear/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,137,['CWAN'],CWAN,2021-11-04
"The Past Week's Notable Insider Buys: Atlanta Braves, Warby Parker, Xerox And More","Insider buying can be an encouraging signal for potential investors, especially when markets are uncertain or near highs.

Recent earnings reports have resulted in to some notable insider buying .

Ted Weschler and Carl Icahn were among those making notable purchases.

Conventional wisdom says that insiders and 10% owners really only buy shares of a company for one reason: they believe the stock price will rise and they want to profit from it. So insider buying can be an encouraging signal for potential investors, particularly when there is uncertainty in the markets or the markets are near all-time highs.
Note that with the earnings-reporting season still underway, the windows for some insiders to buy or sell shares are closed. Here are a few of the most noteworthy insider purchases that were reported in the past week.
Ted Weschler of Berkshire Hathaway, a 10% owner of Liberty Braves Group (NASDAQ: BATRA), acquired more than 5.37 million shares of this parent of the World-Series-winning Atlanta Braves. ...",2021-11-06 17:11:22+00:00,https://www.benzinga.com/news/21/11/23937293/the-past-weeks-notable-insider-buys-atlanta-braves-warby-parker-xerox-and-more,Benzinga,0.12756892230576442,0.49686716791979946,positive,0.12756892230576442,True,True,False,False,False,False,False,False,0.0,1106,"['FISV', 'INTC', 'RNR', 'XRX', 'LDI', 'BATRA', 'ACHR', 'CWAN', 'WRBY']",CWAN,2021-11-06
"The Past Week's Notable Insider Buys Included Continental Resources, Skillz And More","Insider buying can be an encouraging signal for potential investors, especially when markets are uncertain or near highs.

Current and former executives were adding to their stakes in the past week.

A mobile games platform provider and a recent IPO were among companies that saw notable insider purchases.

Conventional wisdom says that insiders and 10% owners really only buy shares of a company for one reason: they believe the stock price will rise and they want to profit from it. So insider buying can be an encouraging signal for potential investors, particularly when there is uncertainty in the markets or the markets are near all-time highs.
Note that with the earnings-reporting season beginning to wane, the windows for some insiders to buy or sell shares may still be closed. Here are a few of the most noteworthy insider purchases that were reported in the past week.
The board chair of insurer Arch Capital Group Ltd. (NASDAQ: ACGL) indirectly acquired more than 484,500 shares late last ...",2021-11-13 21:27:49+00:00,https://www.benzinga.com/news/21/11/24078329/the-past-weeks-notable-insider-buys-included-continental-resources-skillz-and-more,Benzinga,0.05973084886128365,0.44596273291925453,neutral,0.05973084886128365,True,True,False,False,False,False,False,False,0.0,1092,"['NOW', 'ACGL', 'CLR', 'PXD', 'SMG', 'T', 'SKLZ', 'CRCT', 'CWAN']",CWAN,2021-11-13
Top Buys From The Best Money Managers (Q3 2021),"On Nov. 15, institutional investment managers with over $100M AUM had to disclose their positions at the end of Q3. Find out some best-performing hedge funds.",2021-11-18 11:00:00+00:00,https://seekingalpha.com/article/4470435-top-buys-from-the-best-money-managers-q3-2021,Seeking Alpha,0.75,0.4,positive,0.75,False,True,False,False,False,False,False,False,0.0,207,"['ABNB', 'ADBE', 'AMT', 'AMZN', 'AON', 'APPN', 'BABA', 'BAM', 'BBWI', 'BEKE', 'BILI', 'BILL', 'BZ', 'CFLT', 'CHD', 'COIN', 'CRCT', 'CRM', 'CRWD', 'CWAN', 'CZOO', 'DADA', 'DASH', 'DIS', 'DNA', 'DOCN', 'DOCS', 'DOCU', 'DUOL', 'DXCM', 'ESTC', 'FB', 'FISV', 'FND', 'FSLY', 'GDRX', 'GLBE', 'GOOG', 'GOOGL', 'GPN', 'GWRE', 'HD', 'HLF', 'HLT', 'HOOD', 'HUBS', 'IDXX', 'ILMN', 'INTU', 'JD', 'LSXMA', 'LSXMB', 'LSXMK', 'LYB', 'MA', 'MCO', 'MELI', 'ML', 'MQ', 'MRNA', 'MSFT', 'NET', 'NFLX', 'NOW', 'NRDY', 'NVDA', 'OPEN', 'ORLY', 'OSH', 'PEGA', 'POST', 'PTON', 'PYPL', 'RH', 'SABR', 'SABRP', 'SCHW', 'SCI', 'SE', 'SEMR', 'SHOP', 'SMAR', 'SNAP', 'SNOW', 'SPY', 'SQ', 'TCOM', 'TEAM', 'TOST', 'TSLA', 'TWLO', 'TWTR', 'UBER', 'UNH', 'UPST', 'V', 'VSCO', 'WAT', 'WDAY', 'WIX', 'WRBY', 'WWD', 'ZEN']",CWAN,2021-11-18
This fund company was an early believer in Tesla — it's now making these bets,"Baron funds took big stakes in Nvidia, Sea, Shopify and other companies in the third quarter.",2021-11-20 20:44:00+00:00,https://www.marketwatch.com/story/this-fund-company-was-an-early-believer-in-tesla-its-now-making-these-bets-11637253744,MarketWatch,-0.006249999999999999,0.19375,neutral,0.006249999999999999,False,False,False,False,False,False,False,False,0.0,172,"['TSLA', 'NOW', 'NVDA', 'SHOP', 'SQ', 'SE', 'GWRE', 'SPOT', 'H', 'RRR', 'TMO', 'TECH', 'MXCT', 'STVN', 'XBI', 'IBB', 'NTRA', 'ARGX', 'ABT', 'LLY', 'FORG', 'DH', 'CWAN', 'TOST', 'HYFM']",CWAN,2021-11-20
"Clearwater Analytics Holdings, Inc. (CWAN) Q4 2021 Earnings Call Transcript","CWAN earnings call for the period ending December 31, 2021.",2022-03-03 06:00:42+00:00,https://www.fool.com/earnings/call-transcripts/2022/03/03/clearwater-analytics-holdings-inc-cwan-q4-2021-ear/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,136,['CWAN'],CWAN,2022-03-03
Where Clearwater Analytics Hldg Stands With Analysts,"Analysts have provided the following ratings for Clearwater Analytics Hldg (NYSE:CWAN) within the last quarter: 




Bullish
Somewhat Bullish
Indifferent
Somewhat Bearish
Bearish




Total Ratings
0
3
1
0
0


Last 30D
0
3
0
0
0


1M Ago
0
0
0
0
0


2M Ago
0
0
1
0
0


3M Ago
0
0
0
0
0



In the last 3 months, 4 analysts have offered 12-month price targets for Clearwater Analytics Hldg. The company has an average price target of $24.25 with a high of $27.00 and a low of $22.00. 
Below is a summary of how these 4 analysts rated Clearwater Analytics Hldg ...Full story available on Benzinga.com",2022-03-03 14:08:16+00:00,https://www.benzinga.com/analyst-ratings/22/03/25962719/where-clearwater-analytics-hldg-stands-with-analysts,Benzinga,0.04555555555555556,0.2988888888888888,neutral,0.04555555555555556,False,False,False,False,False,False,False,False,0.0,650,['CWAN'],CWAN,2022-03-03
Executives Buy More Than $1B Of 4 Stocks,"Although US stock futures traded lower this morning on Thursday, there were a few notable insider trades.
When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision.
Below is a look at a few recent notable insider purchases. For more, check out  Benzinga's insider transactions  platform.
Procore Technologies 

The Trade:  Procore Technologies, Inc.  (NYSE: PCOR) Director William J.G. Griffith  acquired a total of 1,173,958 shares  at an average price of $50.88. To acquire ...",2022-03-17 12:20:17+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/03/26181664/executives-buy-more-than-1b-of-4-stocks,Benzinga,0.19999999999999998,0.4416666666666667,positive,0.19999999999999998,False,True,False,False,False,False,True,False,0.0,817,"['OXY', 'PCOR', 'CTKB', 'CWAN']",CWAN,2022-03-17
"Stocks To Watch: Nvidia, Nike And Moderna On Center Stage","Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",2022-03-19 13:00:00+00:00,https://seekingalpha.com/article/4496541-stocks-to-watch-nvidia-nike-and-moderna-on-center-stage,Seeking Alpha,-0.05,0.55,neutral,0.05,False,False,False,False,False,False,False,False,0.0,187,"['ADBE', 'AKA', 'BRLT', 'CCL', 'CUZ', 'CWAN', 'ESMT', 'EVGO', 'FRSH', 'GIS', 'HLTH', 'HYMC', 'HUN', 'JKS', 'MRNA', 'MTN', 'NIO', 'NKE', 'NKLA', 'NVDA', 'POSH', 'REAL', 'SOVO', 'STER', 'TME', 'TOST', 'TWNT', 'WEX']",CWAN,2022-03-19
Tech And Growth Stocks: Positioning Your Portfolios For Q2 2022,We believe the secular themes undergirding tech and growth stocks will continue to play out in Q2. We discuss the key themes that investors should focus on. Click here to read more.,2022-04-02 08:53:51+00:00,https://seekingalpha.com/article/4499389-tech-growth-stocks-positioning-your-portfolios-q2-2022,Seeking Alpha,0.25,0.75,positive,0.25,False,False,True,False,False,False,False,False,0.0,246,"['AAPL', 'ADBE', 'AKAM', 'ALB', 'AMAT', 'AMD', 'AMZN', 'APP', 'APPS', 'ARKK', 'ASML', 'ATVI', 'AVGO', 'BIDU', 'BRK.A', 'BRK.B', 'COIN', 'CRM', 'CRWD', 'DDOG', 'DIS', 'DOCU', 'DT', 'F', 'FB', 'FSLY', 'FTNT', 'GFS', 'GM', 'GOOG', 'GOOGL', 'HOOD', 'INTC', 'INTU', 'KLAC', 'LAC', 'LCID', 'LI', 'LRCX', 'MELI', 'MNDT', 'MRVL', 'MSFT', 'MTCH', 'MU', 'NET', 'NFLX', 'NIO', 'NKLA', 'NVDA', 'NXPI', 'OKTA', 'PANW', 'PATH', 'PING', 'PINS', 'PLL', 'PLTR', 'PYPL', 'QCOM', 'QQQ', 'RBLX', 'RIVN', 'ROKU', 'SHOP', 'SMH', 'SNAP', 'SNOW', 'SPLK', 'SPOT', 'SPY', 'SQ', 'SQM', 'TDOC', 'TEAM', 'TSLA', 'TSM', 'TTD', 'TWLO', 'TWTR', 'TXN', 'U', 'UPST', 'VALE', 'WKHS', 'XPEV', 'ZM', 'ZS', 'BILL', 'ZI', 'S', 'CFLT', 'SPT', 'GTLB', 'PAYC', 'VEEV', 'NOW', 'ASAN', 'PCTY', 'MNDY', 'HUBS', 'PLAN', 'NCNO', 'CWAN', 'WK', 'XM', 'DOCN', 'PUBM', 'QLYS', 'LAW', 'COUP', 'DH', 'AVLR', 'WDAY', 'TENB', 'APPF', 'SMAR', 'ZEN', 'BL', 'OLO', 'ESTC', 'FROG', 'PD', 'FRSH', 'AMPL', 'QTWO', 'RNG', 'DOMO', 'BIGC', 'WIX', 'VTEX', 'ENFN', 'NEWR', 'SQSP', 'EVBG', 'DBX', 'AI', 'BOX', 'VMEO', 'BLND', 'SUMO', 'API', 'YEXT', 'TWOU', 'RSKD', 'TTWO', 'MDB', 'DCT']",CWAN,2022-04-02
