date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-04-04,-0.0179,,1,0.0179,0.0,0,1,1,0,0,0,0,0,6430.0,CXT
2023-04-11,0.1072,,1,0.1072,0.0,0,0,0,0,0,0,1,0,222.0,CXT
2023-04-19,0.1417,,1,0.1417,0.0,1,0,0,0,0,0,0,0,273.0,CXT
2023-05-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,222.0,CXT
2023-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,CXT
2023-06-13,0.0218,,1,0.0218,0.0,0,1,1,0,0,0,0,0,4782.0,CXT
2023-08-08,0.1849,,1,0.1849,0.0,1,1,0,0,0,0,0,0,1357.0,CXT
2023-08-18,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,108.0,CXT
2023-08-29,0.0079,,1,0.0079,0.0,0,1,1,0,0,0,0,0,2792.0,CXT
2023-08-30,0.1211,,1,0.1211,0.0,1,0,0,0,0,0,0,0,378.0,CXT
2023-09-04,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,106.0,CXT
2023-09-20,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,108.0,CXT
2023-10-06,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,106.0,CXT
2023-12-19,0.0991,,1,0.0991,0.0,1,0,0,0,0,0,0,0,264.0,CXT
2024-03-18,0.0081,,1,0.0081,0.2,0,0,0,0,0,0,0,0,1259.0,CXT
2024-04-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,115.0,CXT
2024-04-08,0.0188,,1,0.0188,0.0,0,1,0,0,0,0,0,0,1551.0,CXT
2024-05-01,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,238.0,CXT
2024-05-02,0.0232,,1,0.0232,0.0,1,0,0,0,1,0,0,0,282.0,CXT
2024-05-07,0.0,,1,0.0,0.0,0,1,1,0,0,0,0,0,100.0,CXT
2024-05-16,0.1762,,1,0.1762,0.0,1,0,0,0,0,0,0,0,358.0,CXT
2024-06-03,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,358.0,CXT
2024-06-20,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,192.0,CXT
2024-10-15,0.0341,0.0,2,0.0341,0.0,2,2,2,0,0,0,0,0,422.5,CXT
