title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Benzinga's Top Ratings Upgrades, Downgrades For April 4, 2023","Upgrades
Raymond James upgraded the previous rating for Extra Space Storage Inc (NYSE:EXR) from Outperform to Strong Buy. Extra Space Storage earned $2.09 in the fourth quarter, compared to $1.91 in the year-ago quarter. The stock has a 52-week-high of $222.15 and a 52-week-low of $139.97. At the end of the last trading period, Extra Space Storage closed at $154.51.   
According to Raymond James, the prior rating for AeroVironment Inc (NASDAQ:AVAV) was changed from Outperform to Strong Buy. For the third quarter, AeroVironment had an EPS of $0.33, compared to year-ago quarter EPS of $0.32. The current stock performance of AeroVironment shows a 52-week-high of $114.07 and a 52-week-low of $70.08. Moreover, at the end of the last trading period, the closing price was at $91.95.   
Loop Capital upgraded the previous rating for Burlington Stores Inc (NYSE:BURL) from Hold to Buy. In the fourth quarter, Burlington Stores showed an EPS of $2.96, compared to $2.53 from the year-ago quarter. The stock has a 52-week-high of $239.94 and a 52-week-low of $106.81. At the end of the last trading period, Burlington Stores closed at $205.93.   
Morgan Stanley upgraded the previous rating for CSX Corp (NASDAQ:CSX) from Underweight to Equal-Weight. For the fourth quarter, CSX had an EPS of $0.49, compared to year-ago quarter EPS of $0.42. The stock has a 52-week-high of $38.15 and a 52-week-low of $25.81. At the end of the last trading period, CSX closed at $29.85.   
Morgan Stanley upgraded the previous rating for Norfolk Southern Corp (NYSE:NSC) from Underweight to Equal-Weight. Norfolk Southern earned $3.42 in the fourth quarter, compared to $3.12 in the year-ago quarter. The stock has a 52-week-high of $285.48 and a 52-week-low of $196.33. At the end of the last trading period, Norfolk Southern closed at $208.78.   
For Health Catalyst Inc (NASDAQ:HCAT), Wells Fargo upgraded the previous rating of Equal-Weight to Overweight. In the fourth quarter, Health Catalyst showed an EPS of $0.05, compared to $0.19 from the year-ago quarter. The current stock performance of Health Catalyst shows a 52-week-high of $27.98 and a 52-week-low of $6.41. Moreover, at the end of the last trading period, the closing price was at $11.87.   
For Etsy Inc (NASDAQ:ETSY), Piper Sandler upgraded the previous rating of Neutral to Overweight. In the fourth quarter, Etsy showed an EPS of $0.77, compared to $1.11 from the year-ago quarter. The stock has a 52-week-high of $149.91 and a 52-week-low of $67.06. At the end of the last trading period, Etsy closed at $108.25.   
For ONEOK Inc (NYSE:OKE), Citigroup upgraded the previous rating of Neutral to Buy. ONEOK earned $1.08 in the fourth quarter, compared to $0.85 in the year-ago quarter. At the moment, the stock has a 52-week-high of $75.06 and a 52-week-low of $50.51. ONEOK closed at $65.06 at the end of the last trading period.   
For ServiceNow Inc (NYSE:NOW), Baird upgraded the previous rating of Neutral to Outperform. In the fourth quarter, ServiceNow showed an EPS of $2.28, compared to $1.46 from the year-ago quarter. The current stock performance of ServiceNow shows a 52-week-high of $575.64 and a 52-week-low of $337.05. Moreover, at the end of the last trading period, the closing price was at $464.49.   
JP Morgan upgraded the previous rating for Prudential Financial Inc (NYSE:PRU) from Neutral to Overweight. In the fourth quarter, Prudential Financial showed an EPS of $2.42, compared to $3.18 from the year-ago quarter. The stock has a 52-week-high of $122.54 and a 52-week-low of $75.37. At the end of the last trading period, Prudential Financial closed at $82.43.   
According to Goldman Sachs, the prior rating for Corebridge Financial Inc (NYSE:CRBG) was changed from Neutral to Buy. Corebridge Financial earned $0.88 in the fourth quarter, compared to $1.13 in the year-ago quarter. The stock has a 52-week-high of $23.49 and a 52-week-low of $14.01. At the end of the last trading period, Corebridge Financial closed at $15.56.   
Exane BNP Paribas upgraded the previous rating for Chevron Corp (NYSE:CVX) from Underperform to Neutral. Chevron earned $4.09 in the fourth quarter, compared to $2.56 in the year-ago quarter. At the moment, the stock has a 52-week-high of $189.66 and a 52-week-low of $132.54. Chevron closed at $169.95 at the end of the last trading period.   
Morgan Stanley upgraded the previous rating for Evotec SE (NASDAQ:EVO) from Underweight to Equal-Weight. The current stock performance of Evotec shows a 52-week-high of $15.59 and a 52-week-low of $7.80. Moreover, at the end of the last trading period, the closing price was at $10.71.   
For WideOpenWest Inc (NYSE:WOW), Keybanc upgraded the previous rating of Sector Weight to Overweight. In the fourth quarter, WideOpenWest showed an EPS of $0.15, compared to $0.01 from the year-ago quarter. At the moment, the stock has a 52-week-high of $22.89 and a 52-week-low of $8.57. WideOpenWest closed at $10.34 at the end of the last trading period.   
According to Keybanc, the prior rating for Comcast Corp (NASDAQ:CMCSA) was changed from Sector Weight to Overweight. Comcast earned $0.82 in the fourth quarter, compared to $0.77 in the year-ago quarter. The stock has a 52-week-high of $48.42 and a 52-week-low of $28.39. At the end of the last trading period, Comcast closed at $38.01.   
See all analyst ratings upgrades.
Downgrades
For Oncternal Therapeutics Inc (NASDAQ:ONCT), Maxim Group downgraded the previous rating of Buy to Hold. For the fourth quarter, Oncternal Therapeutics had an EPS of $0.20, compared to year-ago quarter EPS of $0.16. The current stock performance of Oncternal Therapeutics shows a 52-week-high of $1.85 and a 52-week-low of $0.60. Moreover, at the end of the last trading period, the closing price was at $0.79.   
According to Brookline Capital, the prior rating for Oncternal Therapeutics Inc (NASDAQ:ONCT) was changed from Buy to Hold. For the fourth quarter, Oncternal Therapeutics had an EPS of $0.20, compared to year-ago quarter EPS of $0.16. The current stock performance of Oncternal Therapeutics shows a 52-week-high of $1.85 and a 52-week-low of $0.60. Moreover, at the end of the last trading period, the closing price was at $0.79.   
According to SVB Leerink, the prior rating for Pardes Biosciences Inc (NASDAQ:PRDS) ...Full story available on Benzinga.com",2023-04-04 15:00:40+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/04/31659461/benzingas-top-ratings-upgrades-downgrades-for-april-4-2023,Benzinga,-0.017857142857142863,0.1126984126984127,neutral,0.017857142857142863,False,True,True,False,False,False,False,False,0.0,6430,"['WSFS', 'SLND', 'CRBG', 'BA', 'BURL', 'RXO', 'CSX', 'CTLT', 'EVO', 'AESI', 'CVX', 'ASND', 'NOW', 'CXT', 'EXR', 'ETSY', 'ABCB', 'FNB', 'WOW', 'AVAV', 'IDA', 'DRS', 'CHCO', 'NSC', 'RCRT', 'CMCSA', 'OKE', 'HCAT', 'CORT', 'PRU', 'BATL', 'CSGS', 'WWE', 'NCNO', 'FAST', 'CHTR', 'CERT', 'SASR', 'CUBE', 'PYCR', 'STEM', 'SRPT', 'FBRT', 'UBSI', 'ONCT', 'FBRT', 'UCBI', 'FRST', 'PRDS', 'WSBC']",CXT,2023-04-04
This small-cap stock fund shows how you can get your money's worth paying for active management,"Actively managed stock funds can be highly differentiated from indexes, and the SouthernSun Small Cap Fund is a good example.",2023-04-11 15:33:00+00:00,https://www.marketwatch.com/story/this-small-cap-stock-fund-shows-how-you-can-get-your-moneys-worth-paying-for-active-management-17d9c934,MarketWatch,0.10722222222222222,0.47333333333333333,positive,0.10722222222222222,False,False,False,False,False,False,True,False,0.0,222,"['MUSA', 'MUR', 'WMT', 'NGVT', 'MGPI', 'DAR', 'DY', 'TKR', 'SCL', 'EPAC', 'UNVR', 'CR', 'CXT']",CXT,2023-04-11
Crane Holdings (CXT) Surges 5.5%: Is This an Indication of Further Gains?,Crane Holdings (CXT) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might help the stock continue moving higher in the near term.,2023-04-19 13:41:00+00:00,https://www.zacks.com/stock/news/2080998/crane-holdings-cxt-surges-55-is-this-an-indication-of-further-gains,Zacks Investment Research,0.14166666666666666,0.41111111111111104,positive,0.14166666666666666,True,False,False,False,False,False,False,False,0.0,273,"['CXT', 'VCSA']",CXT,2023-04-19
Parsons (PSN) Q1 Earnings Meet Estimates,"Parsons (PSN) delivered earnings and revenue surprises of 0% and 11.30%, respectively, for the quarter ended March 2023. Do the numbers hold clues to what lies ahead for the stock?",2023-05-03 11:55:08+00:00,https://www.zacks.com/stock/news/2088788/parsons-psn-q1-earnings-meet-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,222,"['PSN', 'CXT']",CXT,2023-05-03
"Rocket Companies (RKT) Reports Q1 Loss, Misses Revenue Estimates","Rocket Companies (RKT) delivered earnings and revenue surprises of 40% and 11.73%, respectively, for the quarter ended March 2023. Do the numbers hold clues to what lies ahead for the stock?",2023-05-04 22:05:18+00:00,https://www.zacks.com/stock/news/2090451/rocket-companies-rkt-reports-q1-loss-misses-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,256,"['RKT', 'CXT']",CXT,2023-05-04
"Benzinga's Top Ratings Upgrades, Downgrades For June 13, 2023","Upgrades
According to Goldman Sachs, the prior rating for Oracle Corp (NYSE:ORCL) was changed from Sell to Neutral. For the fourth quarter, Oracle had an EPS of $1.67, compared to year-ago quarter EPS of $1.54. The current stock performance of Oracle shows a 52-week-high of $117.51 and a 52-week-low of $60.78. Moreover, at the end of the last trading period, the closing price was at $116.43.   
For BRP Inc (NASDAQ:DOOO), DA Davidson upgraded the previous rating of Neutral to Buy. BRP earned $1.76 in the first quarter, compared to $1.31 in the year-ago quarter. At the moment, the stock has a 52-week-high of $90.42 and a 52-week-low of $58.96. BRP closed at $75.06 at the end of the last trading period.   
For Ulta Beauty Inc (NASDAQ:ULTA), Loop Capital upgraded the previous rating of Hold to Buy. For the first quarter, Ulta Beauty had an EPS of $6.88, compared to year-ago quarter EPS of $6.30. The stock has a 52-week-high of $556.60 and a 52-week-low of $360.75. At the end of the last trading period, Ulta Beauty closed at $424.91.   
For Assurant Inc (NYSE:AIZ), Piper Sandler upgraded the previous rating of Neutral to Overweight. Assurant earned $2.75 in the first quarter, compared to $3.75 in the year-ago quarter. The current stock performance of Assurant shows a 52-week-high of $178.67 and a 52-week-low of $104.49. Moreover, at the end of the last trading period, the closing price was at $125.63.   
For Surmodics Inc (NASDAQ:SRDX), Needham upgraded the previous rating of Hold to Buy. For the second quarter, Surmodics had an EPS of $0.40, compared to year-ago quarter EPS of $0.22. At the moment, the stock has a 52-week-high of $39.53 and a 52-week-low of $16.00. Surmodics closed at $22.69 at the end of the last trading period.   
For Devon Energy Corp (NYSE:DVN), Goldman Sachs upgraded the previous rating of Neutral to Buy. In the first quarter, Devon Energy showed an EPS of $1.46, compared to $1.88 from the year-ago quarter. The stock has a 52-week-high of $78.82 and a 52-week-low of $44.03. At the end of the last trading period, Devon Energy closed at $49.40.   
HSBC upgraded the previous rating for StoneCo Ltd (NASDAQ:STNE) from Hold to Buy. StoneCo earned $0.14 in the first quarter, compared to $0.08 in the year-ago quarter. The stock has a 52-week-high of $14.60 and a 52-week-low of $7.21. At the end of the last trading period, StoneCo closed at $13.25.   
According to HSBC, the prior rating for PagSeguro Digital Ltd (NYSE:PAGS) was changed from Hold to Buy. In the first quarter, PagSeguro Digital showed an EPS of $0.23, compared to $0.21 from the year-ago quarter. At the moment, the stock has a 52-week-high of $19.49 and a 52-week-low of $7.51. PagSeguro Digital closed at $10.12 at the end of the last trading period.   
Morgan Stanley upgraded the previous rating for Urban Outfitters Inc (NASDAQ:URBN) from Equal-Weight to Overweight. For the first quarter, Urban Outfitters had an EPS of $0.56, compared to year-ago quarter EPS of $0.33. At the moment, the stock has a 52-week-high of $33.10 and a 52-week-low of $18.21. Urban Outfitters closed at $32.40 at the end of the last trading period.   
According to Citigroup, the prior rating for EastGroup Properties Inc (NYSE:EGP) was changed from Neutral to Buy. EastGroup Props earned $1.84 in the first quarter, compared to $1.68 in the year-ago quarter. The stock has a 52-week-high of $180.22 and a 52-week-low of $137.47. At the end of the last trading period, EastGroup Props closed at $169.77.   
For Editas Medicine Inc (NASDAQ:EDIT), Raymond James upgraded the previous rating of Market Perform to Outperform. In the first quarter, Editas Medicine showed an EPS of $0.71, compared to $0.74 from the year-ago quarter. The current stock performance of Editas Medicine shows a 52-week-high of $19.97 and a 52-week-low of $6.33. Moreover, at the end of the last trading period, the closing price was at $9.93.   
See all analyst ratings upgrades.
Downgrades
According to CJS Securities, the prior rating for Triton International Ltd (NYSE:TRTN) was changed from Market Outperform to Market Perform. For the first quarter, Triton International had an EPS of $2.42, compared to year-ago quarter EPS of $2.76. The current stock performance of Triton International shows a 52-week-high of $83.82 and a 52-week-low of $48.66. Moreover, at the end of the last trading period, the closing price was at $83.28.   
For Franchise Group Inc (NASDAQ:FRG), CJS Securities downgraded the previous rating of Market Outperform to Market Perform. In the first quarter, Franchise Group showed an EPS of $0.11, compared to $1.29 from the year-ago quarter. The current stock performance of ...Full story available on Benzinga.com",2023-06-13 15:00:52+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/06/32837763/benzingas-top-ratings-upgrades-downgrades-for-june-13-2023,Benzinga,0.021774193548387104,0.15591397849462363,neutral,0.021774193548387104,False,True,True,False,False,False,False,False,0.0,4782,"['ALIT', 'AAPL', 'ETNB', 'WB', 'REXR', 'KDNY', 'FRG', 'ESNT', 'RBLX', 'AAPL', 'WB', 'CLVT', 'ORCL', 'PYPL', 'PRVA', 'SRDX', 'MQ', 'CNM', 'ULTA', 'EDIT', 'CXT', 'URBN', 'TRTN', 'PKST', 'AGL', 'XPER', 'AIZ', 'CMPO', 'DVN', 'PAGS', 'EGP', 'FERG', 'EOG', 'DOOO', 'FHN', 'CPRI', 'GPN', 'STNE', 'RDN']",CXT,2023-06-13
"Fox, Warner Music, Eli Lilly, Chegg And Other Big Stocks Moving Higher On Tuesday","U.S. stocks traded lower, with the Dow Jones falling around 400 points on Tuesday. Here are some big stocks recording gains in today’s session.

Paymentus Holdings, Inc. (NYSE: PAY) shares rose 29.4% to $13.76 after reporting better-than-expected quarterly results.
Kyndryl Holdings, Inc. (NYSE: KD) climbed 23% to $15.32 after the company raised its FY24 earnings outlook and said it expects its fiscal 2024 adjusted free cash flow will be positive.
ePlus inc. (NASDAQ: PLUS) jumped 20.8% to $69.99 following better-than-expected quarterly results.
Quanterix Corporation (NASDAQ: QTRX) jumped 20.4% to $26.17 after reporting upbeat quarterly results.
Sterling Infrastructure, Inc. (NASDAQ: STRL) gained 19.9% to $74.12 after reporting upbeat quarterly results.
CECO Environmental Corp. (NASDAQ: CECO) jumped 19.3% to $14.01 after the company posted upbeat quarterly sales and increased FY23 revenue guidance.
Tilray Brands, Inc. (NASDAQ: TLRY) jumped 19% to $2.6484 after the Canadian cannabis and packaged goods company announced a deal to acquire eight beer brands from Anheuser-Busch Inbev.
Latham Group, Inc. (NASDAQ: SWIM) gained 18.1% to $4.50 following strong quarterly sales.
MannKind Corporation (NASDAQ: MNKD) climbed 17.7% to $5.41 following strong quarterly ...",2023-08-08 14:35:25+00:00,https://www.benzinga.com/news/23/08/33632774/fox-warner-music-eli-lilly-chegg-and-other-big-stocks-moving-higher-on-tuesday,Benzinga,0.18491161616161614,0.42809343434343433,positive,0.18491161616161614,True,True,False,False,False,False,False,False,0.0,1357,"['WMG', 'DCGO', 'CERE', 'GPCR', 'CECO', 'BLUE', 'CXT', 'MNKD', 'FOXA', 'NVAX', 'CHGG', 'PLUS', 'MCRB', 'STRL', 'PMTS', 'SWIM', 'CRSP', 'BKD', 'PAYO', 'JHX', 'QTRX', 'LLY', 'TLRY', 'NVO', 'AHCO', 'NYT', 'HIMS', 'PAY', 'STVN', 'TDS', 'STER', 'USM', 'KD']",CXT,2023-08-08
CXT or CXM: Which Is the Better Value Stock Right Now?,CXT vs. CXM: Which Stock Is the Better Value Option?,2023-08-18 15:40:13+00:00,https://www.zacks.com/stock/news/2138156/cxt-or-cxm-which-is-the-better-value-stock-right-now,Zacks Investment Research,0.42857142857142855,0.5119047619047619,positive,0.42857142857142855,False,False,False,False,False,False,False,False,0.0,108,"['CXT', 'CXM']",CXT,2023-08-18
"Benzinga's Top Ratings Upgrades, Downgrades For August 29, 2023","Upgrades
JP Morgan upgraded the previous rating for Noah Holdings Ltd (NYSE:NOAH) from Neutral to Overweight. Noah Holdings earned $0.62 in the second quarter, compared to $0.79 in the year-ago quarter. The stock has a 52-week-high of $21.53 and a 52-week-low of $11.65. At the end of the last trading period, Noah Holdings closed at $12.13.   
According to Compass Point, the prior rating for Kimco Realty Corp (NYSE:KIM) was changed from Neutral to Buy. Kimco Realty earned $0.39 in the second quarter, compared to $0.40 in the year-ago quarter. At the moment, the stock has a 52-week-high of $23.27 and a 52-week-low of $17.34. Kimco Realty closed at $18.77 at the end of the last trading period.   
For First Bancshares Inc (NASDAQ:FBMS), DA Davidson upgraded the previous rating of Neutral to Buy. In the second quarter, First Bancshares showed an EPS of $0.85, compared to $0.80 from the year-ago quarter. The stock has a 52-week-high of $34.77 and a 52-week-low of $22.82. At the end of the last trading period, First Bancshares closed at $28.59.   
For Rockwell Automation Inc (NYSE:ROK), Wells Fargo upgraded the previous rating of Underweight to Equal-Weight. Rockwell Automation earned $3.01 in the third quarter, compared to $2.66 in the year-ago quarter. The stock has a 52-week-high of $348.52 and a 52-week-low of $209.46. At the end of the last trading period, Rockwell Automation closed at $309.05.   
Jefferies upgraded the previous rating for Forward Air Corp (NASDAQ:FWRD) from Hold to Buy. Forward Air earned $0.91 in the second quarter, compared to $2.04 in the year-ago quarter. The stock has a 52-week-high of $121.38 and a 52-week-low of $60.09. At the end of the last trading period, Forward Air closed at $70.89.   
According to UBS, the prior rating for Oracle Corp (NYSE:ORCL) was changed from Neutral to Buy. For the fourth quarter, Oracle had an EPS of $1.67, compared to year-ago quarter EPS of $1.54. At the moment, the stock has a 52-week-high of $127.54 and a 52-week-low of $60.78. Oracle closed at $116.84 at the end of the last trading period.   
According to Wolfe Research, the prior rating for 3M Co (NYSE:MMM) was changed from Underperform to Peer Perform. 3M earned $2.17 in the second quarter, compared to $2.48 in the year-ago quarter. At the moment, the stock has a 52-week-high of $144.00 and a 52-week-low of $92.38. 3M closed at $104.12 at the end of the last trading period.   
According to Citigroup, the prior rating for Verizon Communications Inc (NYSE:VZ) was changed from Neutral to Buy. In the second quarter, Verizon Communications showed an EPS of $1.21, compared to $1.31 from the year-ago quarter. The current stock performance ...Full story available on Benzinga.com",2023-08-29 15:00:45+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/08/34094010/benzingas-top-ratings-upgrades-downgrades-for-august-29-2023,Benzinga,0.007870370370370373,0.11481481481481486,neutral,0.007870370370370373,False,True,True,False,False,False,False,False,0.0,2792,"['XYL', 'FTCH', 'NEP', 'NEP', 'RPT', 'FBMS', 'NVTS', 'FWRD', 'BBAI', 'ORCL', 'CXT', 'CE', 'EBS', 'HT', 'KIM', 'MMM', 'ROK', 'T', 'VZ', 'QNST', 'NOAH']",CXT,2023-08-29
Wall Street Analysts See an 81.91% Upside in Crane NXT (CXT): Can the Stock Really Move This High?,"The consensus price target hints at an 81.9% upside potential for Crane NXT (CXT). While empirical research shows that this sought-after metric is hardly effective, an upward trend in earnings estimate revisions could mean that the stock will witness an upside in the near term.",2023-08-30 13:55:03+00:00,https://www.zacks.com/stock/news/2142442/wall-street-analysts-see-an-8191-upside-in-crane-nxt-cxt-can-the-stock-really-move-this-high,Zacks Investment Research,0.12107142857142858,0.5325,positive,0.12107142857142858,True,False,False,False,False,False,False,False,0.0,378,['CXT'],CXT,2023-08-30
