date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-14,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,72.0,C
2020-04-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,116.0,C
2020-04-16,-0.0583,,1,0.0583,0.0,1,0,0,0,0,0,0,0,124.0,C
2020-04-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,C
2020-05-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,C
2020-05-27,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,110.0,C
2020-06-26,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,92.0,C
2020-06-29,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,100.0,C
2020-07-14,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,82.0,C
2020-07-15,0.4667,,1,0.4667,0.0,0,0,0,0,0,0,0,0,92.0,C
2020-07-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,C
2020-10-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,C
2020-10-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,C
2020-10-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,92.0,C
2020-10-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,C
2021-01-05,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,82.0,C
2021-01-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,C
2021-01-13,-0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,86.0,C
2021-01-16,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,104.0,C
2021-01-20,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,102.0,C
2021-04-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,124.0,C
