date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-05,0.1655,,1,0.1655,0.0,0,0,0,0,0,0,0,0,124.0,DBD
2020-11-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,94.0,DBD
2020-12-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,DBD
2021-01-06,0.2386,,1,0.2386,0.0,0,0,0,0,0,0,0,0,62.0,DBD
2021-05-03,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,255.0,DBD
2021-05-06,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,171.0,DBD
2021-05-10,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,184.0,DBD
2021-05-11,0.0271,,1,0.0271,0.0,0,0,0,0,0,1,0,0,720.0,DBD
2021-06-21,0.0333,,1,0.0333,0.0,0,1,1,0,0,0,0,0,4178.0,DBD
2021-07-22,0.0726,,1,0.0726,0.0,1,0,0,0,0,0,0,0,258.0,DBD
2021-07-29,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,154.6667,DBD
2021-09-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,70.0,DBD
2021-10-11,-0.0525,,1,0.0525,0.0,1,0,0,0,0,0,0,0,388.0,DBD
2021-10-21,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,269.0,DBD
2021-10-28,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,108.5,DBD
2022-02-03,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,255.0,DBD
2022-02-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,114.0,DBD
2022-04-28,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,228.0,DBD
