title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Rises for Fifth Straight Day and Logs Another New High,NASDAQ Rises for Fifth Straight Day and Logs Another New High,2020-08-05 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26224,Zacks Investment Research,0.16545454545454544,0.46484848484848484,positive,0.16545454545454544,False,False,False,False,False,False,False,False,0.0,124,"['BGS', 'THS', 'NBIX', 'AVXL', 'XPO', 'TWTR', 'DBD', 'DIS']",DBD,2020-08-05
Back-to-Back Rallies Heading into the Election,Back-to-Back Rallies Heading into the Election,2020-11-04 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27202,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,94,"['CDMO', 'DBD', 'WWW', 'COP', 'TTD', 'GOOS', 'AMT', 'MRNA', 'SQM', 'EDIT', 'ACB', 'PINS']",DBD,2020-11-04
S&P and NASDAQ Begin December with Record Closing Highs,S&P and NASDAQ Begin December with Record Closing Highs,2020-12-02 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27515,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,112,"['RYAM', 'DBD', 'TX', 'VCEL', 'ATHM', 'ELAN', 'ULTA', 'ARMK', 'COP', 'ARLO', 'PFE', 'MRNA', 'AZN']",DBD,2020-12-02
First Positive Session of 2021,First Positive Session of 2021,2021-01-06 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27867,Zacks Investment Research,0.23863636363636365,0.43939393939393934,positive,0.23863636363636365,False,False,False,False,False,False,False,False,0.0,62,"['STZ', 'ROAD', 'TTC', 'SAVA', 'DBD', 'LVS', 'V', 'COP', 'INTU', 'BMRN', 'MAR', 'PDD', 'LUV']",DBD,2021-01-06
Diebold Nixdorf (DBD) Reports Next Week: Wall Street Expects Earnings Growth,Diebold Nixdorf (DBD) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-05-03 19:01:52+00:00,http://www.zacks.com/stock/news/1494838/diebold-nixdorf-dbd-reports-next-week-wall-street-expects-earnings-growth?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1494838,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,255,['DBD'],DBD,2021-05-03
Diebold Nixdorf (DBD) to Post Q1 Earnings: What to Expect?,Diebold Nixdorf's (DBD) first-quarter 2021 earnings and revenues are expected to have increased year over year.,2021-05-06 11:03:00+00:00,http://www.zacks.com/stock/news/1509454/diebold-nixdorf-dbd-to-post-q1-earnings-what-to-expect?cid=CS-ZC-FT-analyst_blog|earnings_preview-1509454,Zacks Investment Research,-0.1,0.4,neutral,0.1,True,False,False,False,False,False,False,False,0.0,171,"['DBD', 'CCO', 'MEG', 'RXT']",DBD,2021-05-06
Diebold Nixdorf (DBD) Q1 Earnings and Revenues Surpass Estimates,"Diebold Nixdorf (DBD) delivered earnings and revenue surprises of 20.83% and 1.68%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-10 12:20:04+00:00,http://www.zacks.com/stock/news/1529589/diebold-nixdorf-dbd-q1-earnings-and-revenues-surpass-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1529589,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,257,['DBD'],DBD,2021-05-10
DIEBOLD NIXDORF (DBD) Q1 2021 Earnings Call Transcript,"DBD earnings call for the period ending March 31, 2021.",2021-05-10 17:30:42+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/10/diebold-nixdorf-dbd-q1-2021-earnings-call-transcri/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,111,['DBD'],DBD,2021-05-10
What Does Diebold Nixdorf's Debt Look Like?,"Over the past three months, shares of Diebold Nixdorf (NYSE:DBD) decreased by 1.93%. Before having a look at the importance of debt, let us look at how much debt Diebold Nixdorf has.
Diebold Nixdorf's Debt
According to the Diebold Nixdorf's most recent balance sheet as reported on May 10, 2021, total debt is at $2.28 billion, with $2.27 billion in long-term debt and $11.00 million in current debt. Adjusting for $234.80 million in cash-equivalents, the company has a net debt of $2.05 billion.
Let's define some of the terms we used in the paragraph above. Current debt is the portion of a company's debt which is due within 1 year, ...Full story available on Benzinga.com",2021-05-11 14:04:10+00:00,https://www.benzinga.com/news/21/05/21060108/what-does-diebold-nixdorfs-debt-look-like,Benzinga,0.027083333333333334,0.36041666666666666,neutral,0.027083333333333334,False,False,False,False,False,True,False,False,0.0,720,['DBD'],DBD,2021-05-11
"Benzinga's Top Ratings Upgrades, Downgrades For June 21, 2021","Upgrades

B of A Securities upgraded the previous rating for Cimarex Energy Co (NYSE:XEC) from Neutral to Buy. For the first quarter, Cimarex Energy had an EPS of $1.98, compared to year-ago quarter EPS of $0.58.
According to B of A Securities, the prior rating for Marathon Oil Corp (NYSE:MRO) was changed from Underperform to Neutral. In the first quarter, Marathon Oil showed an EPS of $0.21, compared to $0.16 from the year-ago quarter. At the moment, the stock has a 52-week-high of $14.16 and a 52-week-low of $3.73. Marathon Oil closed at $12.57 at the end of the last trading period.
Scotiabank upgraded the previous rating for Westlake Chemical Corp (NYSE:WLK) from Sector Underperform to Sector Perform. In the first quarter, Westlake Chemical showed an EPS of $1.87, compared to $0.65 from the year-ago quarter. At the moment, the stock has a 52-week-high of $106.47 and a 52-week-low of $50.38. Westlake Chemical closed at $91.31 at the end of the last trading period.
For Eastman Chemical Co (NYSE:EMN), Scotiabank upgraded the previous rating of Sector Perform to Sector Outperform. Eastman Chemical earned $2.13 in the first quarter, compared to $2.03 in the year-ago quarter. The current stock performance of Eastman Chemical shows a 52-week-high of $130.47 and a 52-week-low of $65.86. Moreover, at the end of the last trading period, the closing price was at $114.15.
According to B. Riley Securities, the prior rating for MarineMax Inc (NYSE:HZO) was changed from Neutral to Buy. In the second quarter, MarineMax showed an EPS of $1.69, compared to $0.23 from the year-ago quarter. At the moment, the stock has a 52-week-high of $70.89 and a 52-week-low of $20.12. MarineMax closed at $45.19 at the end of the last trading period.
According to B of A Securities, the prior rating for Liberty Oilfield Services Inc (NYSE:LBRT) was changed from Underperform to Neutral. Liberty Oilfield Services earned $0.17 in the first quarter, compared to $0.02 in the year-ago quarter. The current stock performance of Liberty Oilfield Services shows a 52-week-high of $17.78 and a 52-week-low of $4.91. Moreover, at the end of the last trading period, the closing price was at $14.14.

See all analyst ratings upgrades.
 
Downgrades

According to Barrington Research, the prior rating for Sykes Enterprises Inc (NASDAQ:SYKE) was changed from Outperform to Market Perform. In the first quarter, Sykes Enterprises showed an EPS of $0.73, compared to $0.44 from the year-ago quarter. The stock has a 52-week-high of $53.93 and a 52-week-low of $24.75. At the end of the last trading period, Sykes Enterprises closed at $53.45.
B of A Securities downgraded the previous rating for Range Resources Corp (NYSE:RRC) from Neutral to Underperform. In the first quarter, Range Resources showed an EPS of $0.30, compared to $0.04 from the year-ago quarter. The stock has a 52-week-high of $16.32 and a 52-week-low of $5.08. At the end of the last trading period, Range Resources closed at $14.14.
For CAI International Inc (NYSE:CAI), William Blair downgraded the previous rating of Outperform to Market Perform. In the first quarter, CAI International showed an EPS of $1.85, compared to $0.67 from the year-ago quarter. The stock has a 52-week-high of $56.13 and a 52-week-low of $15.51. At the end of the last trading period, CAI International closed at $56.05.
Baird downgraded the previous rating for Sykes Enterprises Inc (NASDAQ:SYKE) from Outperform to Neutral. Sykes Enterprises earned $0.73 in the first quarter, compared to $0.44 in the year-ago quarter. The stock has a 52-week-high of $53.93 and a 52-week-low of $24.75. At the end of the last trading period, Sykes Enterprises closed at $53.45.
For Arcturus Therapeutics Holdings Inc (NASDAQ:ARCT), Barclays downgraded the previous rating of Equal-Weight to Underweight. In the first quarter, Arcturus Therapeutics showed an EPS of $2.15, compared to $0.67 from the year-ago quarter. The current stock performance of Arcturus Therapeutics shows a 52-week-high of $129.71 and a 52-week-low of $24.87. Moreover, at the ...Full story available on Benzinga.com",2021-06-21 14:15:09+00:00,https://www.benzinga.com/analyst-ratings/upgrades/21/06/21645528/benzingas-top-ratings-upgrades-downgrades-for-june-21-2021,Benzinga,0.03333333333333334,0.1717391304347826,neutral,0.03333333333333334,False,True,True,False,False,False,False,False,0.0,4178,"['OPK', 'CLNY', 'BFLY', 'ZIP', 'GSAT', 'DAWN', 'SYKE', 'CHPT', 'ACN', 'ARCT', 'CAI', 'RAPT', 'LBRT', 'DBD', 'MARA', 'EMN', 'RIOT', 'HZO', 'ESTC', 'MRO', 'PAY', 'SPRQ', 'RIO', 'FLYW', 'RRC', 'FIGS', 'SLS', 'OMIC', 'WLK', 'XEC']",DBD,2021-06-21
Diebold Nixdorf (DBD) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,Diebold Nixdorf (DBD) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-22 19:03:53+00:00,https://www.zacks.com/stock/news/1766335/diebold-nixdorf-dbd-expected-to-beat-earnings-estimates-can-the-stock-move-higher,Zacks Investment Research,0.07261904761904762,0.7392857142857143,neutral,0.07261904761904762,True,False,False,False,False,False,False,False,0.0,258,['DBD'],DBD,2021-07-22
Diebold Nixdorf (DBD) Misses Q2 Earnings and Revenue Estimates,"Diebold Nixdorf (DBD) delivered earnings and revenue surprises of -65.52% and -1.96%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-07-29 13:55:07+00:00,https://www.zacks.com/stock/news/1770411/diebold-nixdorf-dbd-misses-q2-earnings-and-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,256,['DBD'],DBD,2021-07-29
Why Diebold Nixdorf Stock Just Crashed,Diebold misses earnings -- and prepares to miss again.,2021-07-29 17:49:51+00:00,https://www.fool.com/investing/2021/07/29/why-diebold-nixdorf-stock-just-crashed/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,94,['DBD'],DBD,2021-07-29
Diebold Nixdorf Inc (DBD) Q2 2021 Earnings Call Transcript,"DBD earnings call for the period ending June 30, 2021.",2021-07-29 18:00:36+00:00,https://www.fool.com/earnings/call-transcripts/2021/07/29/diebold-nixdorf-inc-dbd-q2-2021-earnings-call-tran/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,114,['DBD'],DBD,2021-07-29
