date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,DCI
2021-05-14,0.1875,,1,0.1875,0.0,0,0,0,0,1,0,0,0,238.0,DCI
2021-05-26,0.0025,,1,0.0025,0.0,0,0,0,0,0,0,0,0,184.0,DCI
2021-05-27,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,196.0,DCI
2021-06-02,0.1003,0.0859,4,0.1003,0.0,4,0,1,0,1,0,0,0,623.0,DCI
2021-06-03,0.0158,0.0274,3,0.0158,0.0,1,0,0,0,0,1,0,0,334.0,DCI
2021-07-02,0.0469,0.0663,2,0.0469,0.0,2,0,0,0,0,0,0,0,188.5,DCI
2021-07-15,0.2167,,1,0.2167,0.0,0,0,0,0,1,0,0,0,211.0,DCI
2021-07-16,0.15,,1,0.15,0.0,0,1,0,0,0,0,0,0,209.0,DCI
2021-07-22,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,204.0,DCI
2021-07-28,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,259.0,DCI
2021-07-29,0.6667,0.5774,3,0.6667,0.0,3,0,2,0,0,0,0,0,194.6667,DCI
2021-07-30,0.575,0.2475,2,0.575,0.0,2,0,1,0,0,0,0,0,197.0,DCI
2021-08-02,0.0444,0.0407,3,0.0444,0.0,3,2,0,0,2,0,0,0,253.3333,DCI
2021-08-03,0.066,0.1143,3,0.066,0.0,3,1,1,0,1,0,0,0,245.3333,DCI
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,DCI
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,1,0,278.0,DCI
