date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-04-14,-0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,128.0,DGIN
2023-02-17,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,129.0,DGIN
2023-08-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,252.0,DGIN
2023-09-06,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,210.0,DGIN
2023-09-25,0.012,,1,0.012,0.0,0,0,0,0,0,0,0,0,218.0,DGIN
2023-10-19,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,320.0,DGIN
2023-12-06,0.0067,,1,0.0067,0.0,0,0,0,0,0,0,0,0,116.0,DGIN
2024-01-25,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,239.0,DGIN
2024-01-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,381.0,DGIN
2024-02-22,-0.07,,1,0.07,0.0,0,1,0,0,0,0,0,0,105.0,DGIN
