date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-10,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,99.0,DIG
2021-06-07,0.4667,,1,0.4667,0.0,0,0,1,0,0,0,0,0,164.0,DIG
2021-06-28,-0.0167,,1,0.0167,0.0,0,0,1,0,0,0,0,0,220.0,DIG
2021-09-18,0.0867,,1,0.0867,0.0,0,0,0,0,0,0,0,0,197.0,DIG
2021-09-27,0.5778,,1,0.5778,0.0,0,0,1,0,0,0,0,0,236.0,DIG
2021-09-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,118.0,DIG
2021-12-21,0.225,,1,0.225,0.0,0,1,0,0,0,0,0,0,198.0,DIG
2022-01-13,0.5833,,1,0.5833,0.0,1,0,1,0,0,0,0,0,222.0,DIG
2022-01-18,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,301.0,DIG
2022-01-31,0.032,,1,0.032,0.0,0,0,0,0,0,0,0,0,171.0,DIG
2022-02-09,0.75,,1,0.75,0.0,1,0,1,0,0,0,0,0,221.0,DIG
2022-02-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,134.0,DIG
2022-02-25,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,211.0,DIG
2022-03-03,0.1833,,1,0.1833,0.0,1,0,1,0,1,0,0,0,219.0,DIG
2022-04-06,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,147.0,DIG
2022-05-09,0.55,,1,0.55,0.0,0,1,0,0,0,0,0,0,220.0,DIG
2022-05-25,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,136.0,DIG
2022-06-06,-0.7,,1,0.7,0.0,0,0,0,0,1,0,0,0,176.0,DIG
2022-07-13,-0.0267,,1,0.0267,0.0,0,1,0,0,0,0,0,0,197.0,DIG
2022-07-28,-0.1662,,1,0.1662,0.0,1,0,0,0,0,1,0,0,202.0,DIG
2022-08-19,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,166.0,DIG
2022-11-07,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,122.0,DIG
2023-05-24,-0.3125,,1,0.3125,0.0,0,0,0,0,0,0,0,0,168.0,DIG
2023-08-10,0.2467,,1,0.2467,0.0,1,0,0,0,0,0,0,0,211.0,DIG
2023-09-08,0.0694,,1,0.0694,0.0,1,0,1,0,0,0,0,0,253.0,DIG
2023-10-09,0.1111,,1,0.1111,0.0,1,0,0,0,0,0,0,0,263.0,DIG
2023-10-10,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,134.0,DIG
2024-04-09,0.1833,,1,0.1833,0.0,1,0,0,0,1,0,0,0,242.0,DIG
