title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
5 Best Leveraged ETF Areas of Last Week,We highlight a few leveraged ETF areas that won last week.,2021-05-10 13:20:00+00:00,http://www.zacks.com/stock/news/1529884/5-best-leveraged-etf-areas-of-last-week?cid=CS-ZC-FT-etf_news_and_commentary-1529884,Zacks Investment Research,0.2,0.13333333333333333,positive,0.2,False,False,False,False,False,False,False,False,0.0,99,"['GLD', 'NUGT', 'DIG', 'JNUG', 'ERX', 'NAIL', 'NRGU', 'BNKU', 'HIBL', 'GDXU']",DIG,2021-05-10
Bet on Energy Sector With Leveraged ETFs,"Amid the strong optimism, many investors have turned bullish on the energy sector and are seeking to tap this opportunity.",2021-06-07 14:08:00+00:00,https://www.zacks.com/stock/news/1670028/bet-on-energy-sector-with-leveraged-etfs,Zacks Investment Research,0.4666666666666667,0.6166666666666667,positive,0.4666666666666667,False,False,True,False,False,False,False,False,0.0,164,"['GUSH', 'DIG', 'ERX', 'NRGU']",DIG,2021-06-07
The Case For A Longer-Term Oil And Gas Bull Market,"After a long bear market, the energy sector has low capex, and is likely setting up for a longer-term bull market, not just a transitory blip. Click here to read why...",2021-06-28 15:13:42+00:00,https://seekingalpha.com/article/4436929-the-case-for-a-longer-term-oil-and-gas-bull-market,Seeking Alpha,-0.016666666666666666,0.5666666666666667,neutral,0.016666666666666666,False,False,True,False,False,False,False,False,0.0,220,"['EPD', 'XLE', 'USO', 'AMLP', 'CNQ', 'UCO', 'XOP', 'VDE', 'URA', 'OIH', 'ERX', 'BGR', 'BNO', 'SCO', 'FENY', 'USOI', 'USL', 'DBO', 'IXC', 'URNM', 'NRGU', 'ERY', 'FIF', 'DIG', 'IYE', 'DUG', 'OILK', 'CRAK', 'PXJ', 'RYE', 'NRGD', 'FXN', 'USAI', 'DDG', 'NANR', 'FTXN', 'JHME']",DIG,2021-06-28
The Myth Of OPEC+ Spare Capacity,"With likely 2 million barrels per day less spare capacity than claimed and widely believed, the oil market is much tighter than consensus. Click here to know more.",2021-09-18 04:53:12+00:00,https://seekingalpha.com/article/4455943-the-myth-of-opec-plus-spare-capacity,Seeking Alpha,0.08666666666666667,0.4333333333333334,neutral,0.08666666666666667,False,False,False,False,False,False,False,False,0.0,197,"['UNG', 'USO', 'USL', 'DIG', 'DUG', 'ERX', 'XOP', 'XLE', 'PSCE']",DIG,2021-09-18
Play the Rising Energy Sector With These Leveraged ETFs,"Amid the strong optimism and rising oil price, the energy sector looks attractive. Many investors have turned bullish on the energy sector and are seeking to tap this opportunity.",2021-09-27 16:10:00+00:00,https://www.zacks.com/stock/news/1801388/play-the-rising-energy-sector-with-these-leveraged-etfs,Zacks Investment Research,0.5777777777777778,0.7444444444444445,positive,0.5777777777777778,False,False,True,False,False,False,False,False,0.0,236,"['ERX', 'GUSH', 'DIG', 'NRGU']",DIG,2021-09-27
"The Zacks Analyst Blog Highlights: DIG, ERX, GUSH and NRGU","The Zacks Analyst Blog Highlights: DIG, ERX, GUSH and NRGU",2021-09-28 10:50:00+00:00,https://www.zacks.com/stock/news/1801619/the-zacks-analyst-blog-highlights-dig-erx-gush-and-nrgu,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,118,"['ERX', 'GUSH', 'DIG', 'NRGU']",DIG,2021-09-28
"Embracing Volatility: Buying The Sale On Oil Stocks, DUCs Running Out",Recent Oil and Gas Equities volatility is a Buying Opportunity. The stocks are cheap and likely to rise over time. Read more...,2021-12-21 05:36:57+00:00,https://seekingalpha.com/article/4476148-embracing-volatility-buying-sale-on-oil-stocks-ducs-running-out,Seeking Alpha,0.225,0.6125,positive,0.225,False,True,False,False,False,False,False,False,0.0,198,"['USO', 'USL', 'XOP', 'DIG', 'DUG', 'XLE']",DIG,2021-12-21
Profit From Higher Oil Price With These Leveraged ETFs,"Many investors have turned bullish on the energy sector and are seeking to tap this opportunity. For them, a leveraged play on energy ETFs could be an excellent idea.",2022-01-13 16:15:00+00:00,https://www.zacks.com/stock/news/1851624/profit-from-higher-oil-price-with-these-leveraged-etfs,Zacks Investment Research,0.5833333333333334,0.6666666666666666,positive,0.5833333333333334,True,False,True,False,False,False,False,False,0.0,222,"['ERX', 'GUSH', 'DIG', 'OILU', 'NRGU']",DIG,2022-01-13
5 Leveraged Energy ETFs to Play Geopolitical Tensions in Gulf,"Leveraged energy ETFs are likely to be intriguing plays currently as United Arab Emirates has vowed to retaliate against Houthi militants for the attack that set off explosions in fuel trucks, causing a fire near the airport in Abu Dhabi.",2022-01-18 13:00:00+00:00,https://www.zacks.com/stock/news/1853249/5-leveraged-energy-etfs-to-play-geopolitical-tensions-in-gulf,Zacks Investment Research,0.1,0.5499999999999999,neutral,0.1,False,False,False,False,False,False,False,False,0.0,301,"['USO', 'BNO', 'ERX', 'GUSH', 'DIG', 'OILU', 'NRGU']",DIG,2022-01-18
Oil in Backwardation: 7 ETFs That Topped the Chart Last Week,Crude oil prices increased to a more than seven-year high on Jan 28 and reported six straight weeks of gains.,2022-01-31 19:35:00+00:00,https://www.zacks.com/stock/news/1860143/oil-in-backwardation-7-etfs-that-topped-the-chart-last-week,Zacks Investment Research,0.032000000000000015,0.5013333333333333,neutral,0.032000000000000015,False,False,False,False,False,False,False,False,0.0,171,"['ERX', 'GUSH', 'DIG', 'GAZ', 'BOIL', 'JJE', 'OILU', 'UNG', 'ONG', 'NRGU']",DIG,2022-01-31
