date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,DLB
2021-05-04,0.1551,0.2193,2,0.1551,0.0,1,1,0,0,0,0,0,0,233.5,DLB
2021-05-05,0.0944,0.1137,3,0.0944,0.0,3,1,2,0,0,0,0,1,859.3333,DLB
2021-05-06,0.2259,,1,0.2259,0.0,1,1,1,0,0,0,0,1,2870.0,DLB
2021-05-07,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,231.0,DLB
2021-05-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,116.0,DLB
2021-05-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,166.0,DLB
2021-06-03,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,215.0,DLB
2021-06-23,0.0771,,1,0.0771,0.0,0,0,0,0,1,0,0,0,213.0,DLB
2021-06-30,-0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,199.0,DLB
2021-07-05,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,250.0,DLB
2021-07-22,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,256.0,DLB
2021-07-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,259.0,DLB
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,118.0,DLB
2021-08-05,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,DLB
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,232.0,DLB
2021-08-21,0.1682,,1,0.1682,0.0,0,0,0,0,0,0,0,0,201.0,DLB
2021-08-26,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,1,0,209.0,DLB
2021-09-03,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,196.0,DLB
2021-09-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,232.0,DLB
2021-09-10,0.2667,,1,0.2667,0.0,0,0,0,0,1,0,0,0,238.0,DLB
2021-09-12,0.3238,0.0673,2,0.3238,0.0,0,0,0,0,0,0,0,0,271.5,DLB
2021-09-13,0.14,,1,0.14,0.0,0,0,0,0,0,0,0,0,286.0,DLB
2021-09-15,0.2143,0.303,2,0.2143,0.0,0,0,0,0,1,0,0,0,163.0,DLB
2021-09-24,0.25,,1,0.25,0.0,0,0,0,0,1,0,0,0,352.0,DLB
2021-09-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,136.0,DLB
2021-10-01,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,DLB
2021-10-05,0.2175,,1,0.2175,0.2,0,0,0,0,0,0,0,0,411.0,DLB
2021-10-06,0.2121,,1,0.2121,0.0,0,0,0,0,0,0,0,0,199.0,DLB
2021-10-15,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,224.0,DLB
2021-10-18,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,112.0,DLB
2021-11-03,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,DLB
2021-11-04,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,249.0,DLB
2021-11-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,DLB
2021-11-16,0.1542,0.3083,4,0.1542,0.0,2,0,0,0,0,0,0,0,275.75,DLB
2021-11-17,0.25,0.3536,2,0.25,0.0,2,0,0,0,0,0,0,0,158.5,DLB
2021-11-21,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,DLB
2021-11-22,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,110.0,DLB
2021-11-24,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,149.0,DLB
2021-11-30,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,149.0,DLB
2021-12-01,0.1216,,1,0.1216,0.0,0,0,0,0,1,0,0,0,189.0,DLB
2021-12-05,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,251.0,DLB
2021-12-08,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,1,0,396.0,DLB
2021-12-09,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,146.0,DLB
2021-12-14,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,150.0,DLB
2021-12-16,0.0254,0.0359,2,0.0254,0.0,1,0,0,0,0,0,0,0,176.5,DLB
2022-01-20,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,256.0,DLB
2022-01-26,0.0625,,1,0.0625,0.0,0,0,0,0,1,0,0,0,320.0,DLB
2022-02-03,0.0476,0.0825,3,0.0476,0.0,2,1,0,0,0,0,0,0,334.0,DLB
2022-02-04,-0.0778,0.11,2,0.0778,0.0,2,0,0,0,0,0,0,0,173.0,DLB
2022-03-08,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,114.0,DLB
2022-03-14,0.3,,1,0.3,0.0,1,0,0,0,0,0,1,0,222.0,DLB
2022-03-29,0.1689,,1,0.1689,0.0,1,0,0,0,0,0,0,0,276.0,DLB
2022-04-05,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,225.0,DLB
2022-05-03,0.3,,1,0.3,0.0,0,0,0,0,1,0,0,0,273.0,DLB
2022-05-05,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,321.0,DLB
2022-05-06,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,157.5,DLB
2022-05-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,469.0,DLB
2022-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,247.0,DLB
2022-05-24,0.029,,1,0.029,0.0,0,1,1,0,0,0,0,0,6071.0,DLB
2022-05-27,0.0455,,1,0.0455,0.0,0,0,0,0,0,0,0,0,552.0,DLB
2022-07-12,-0.2,,1,0.2,0.0,0,0,0,0,0,1,0,0,118.0,DLB
2022-07-26,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,317.0,DLB
2022-08-01,0.0455,0.0909,4,0.0455,0.0,4,0,4,0,0,0,0,0,203.75,DLB
2022-08-02,-0.0023,0.0557,2,0.0394,0.0,2,1,1,0,0,0,0,0,222.0,DLB
2022-08-03,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,243.0,DLB
2022-08-04,0.0444,0.0567,3,0.0444,0.0,3,0,1,0,0,0,0,0,239.0,DLB
2022-08-08,0.1112,0.0982,6,0.1112,0.0,6,1,2,0,2,0,0,0,223.1667,DLB
2022-08-09,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,313.5,DLB
2022-08-10,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,165.5,DLB
2022-08-14,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,231.0,DLB
2022-08-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,234.0,DLB
2022-08-31,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,182.0,DLB
2022-09-08,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,206.0,DLB
2022-10-20,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,322.0,DLB
2022-11-10,0.0286,0.0404,2,0.0286,0.0,2,0,0,0,0,0,0,0,249.0,DLB
2022-11-14,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,259.0,DLB
2022-11-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,241.0,DLB
2022-11-17,0.035,0.0495,2,0.035,0.0,1,0,0,0,0,0,0,0,266.5,DLB
2022-11-18,-0.0807,0.1059,2,0.0807,0.0,1,1,1,0,0,0,0,0,1593.0,DLB
2022-12-04,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,221.0,DLB
2022-12-28,0.09,,1,0.09,0.0,0,0,0,0,0,0,0,0,285.0,DLB
2023-01-06,0.3245,,1,0.3245,0.0,0,0,0,0,1,0,0,0,505.0,DLB
2023-01-12,0.0625,,1,0.0625,0.0,0,0,0,0,1,0,0,0,320.0,DLB
2023-01-26,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,256.0,DLB
2023-01-30,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,257.0,DLB
2023-02-02,0.1875,0.0884,2,0.1875,0.0,1,0,0,0,0,0,0,0,249.5,DLB
2023-02-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,179.0,DLB
2023-03-10,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,334.0,DLB
