title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2021-10-27 10:20:06+00:00,https://www.zacks.com/stock/news/1817270/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'JNJ', 'VTV', 'IWD']",DTD,2021-10-27
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2021-11-12 22:19:01+00:00,https://www.zacks.com/stock/news/1827551/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'JNJ', 'VTV', 'IWD']",DTD,2021-11-12
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-01-06 11:20:07+00:00,https://www.zacks.com/stock/news/1848170/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'JNJ', 'VTV', 'IWD']",DTD,2022-01-06
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-01-19 11:20:11+00:00,https://www.zacks.com/stock/news/1853680/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'JNJ', 'VTV', 'IWD']",DTD,2022-01-19
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-03-08 11:20:08+00:00,https://www.zacks.com/stock/news/1878822/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-03-08
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-03-21 10:20:10+00:00,https://www.zacks.com/stock/news/1884484/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-03-21
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-05-12 10:20:07+00:00,https://www.zacks.com/stock/news/1923079/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-05-12
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-05-27 10:20:06+00:00,https://www.zacks.com/stock/news/1930138/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-05-27
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-07-15 10:20:06+00:00,https://www.zacks.com/stock/news/1952713/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-07-15
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-07-28 10:20:08+00:00,https://www.zacks.com/stock/news/1959264/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'MSFT', 'JNJ', 'XOM', 'VTV', 'IWD']",DTD,2022-07-28
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-09-16 10:20:08+00:00,https://www.zacks.com/stock/news/1981284/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'MSFT', 'JNJ', 'XOM', 'VTV', 'IWD']",DTD,2022-09-16
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-09-28 10:20:09+00:00,https://www.zacks.com/stock/news/1985788/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-09-28
Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD,2022-11-17 11:20:07+00:00,https://www.zacks.com/stock/news/2019213/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,Zacks Investment Research,0.2333333333333333,0.6654761904761904,positive,0.2333333333333333,False,False,False,False,False,True,False,False,0.0,98,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-11-17
Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD,2022-11-29 11:20:06+00:00,https://www.zacks.com/stock/news/2023081/should-wisdomtree-us-total-dividend-etf-dtd-be-on-your-investing-radar,Zacks Investment Research,0.0,0.75,neutral,0.0,False,False,False,False,False,True,False,False,0.0,105,"['DTD', 'AAPL', 'MSFT', 'XOM', 'VTV', 'IWD']",DTD,2022-11-29
