date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-11-29,0.0453,,1,0.0453,0.0,0,0,0,0,1,0,0,0,224.0,DTH
2022-01-21,0.0143,,1,0.0143,0.0,0,0,0,0,0,1,0,0,255.0,DTH
2022-03-08,0.1458,,1,0.1458,0.0,0,0,0,0,0,1,0,0,210.0,DTH
2022-04-04,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2022-04-06,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,209.0,DTH
2022-04-13,0.125,,1,0.125,0.0,0,0,0,0,0,1,0,0,149.0,DTH
2022-06-06,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2022-08-17,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2022-09-20,0.35,,1,0.35,0.0,1,0,0,0,0,0,0,0,58.0,DTH
2022-10-24,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2022-12-16,-0.2625,,1,0.2625,0.0,0,0,0,0,0,0,0,0,135.0,DTH
2022-12-28,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2023-02-27,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2023-04-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,147.0,DTH
2023-05-01,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2023-07-11,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2023-09-26,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2023-11-28,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2024-02-02,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2024-03-11,0.455,,1,0.455,0.0,0,0,0,0,0,1,0,0,167.0,DTH
2024-04-08,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
2024-06-12,0.2187,,1,0.2187,0.0,0,0,0,0,0,1,0,0,106.0,DTH
