date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-03,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,263.0,DUKB
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,DUKB
2022-02-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,DUKB
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,DUKB
2022-04-30,0.119,,1,0.119,0.0,0,0,0,0,0,1,0,0,301.0,DUKB
2022-09-06,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,189.0,DUKB
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,DUKB
2023-04-06,0.0833,,1,0.0833,0.0,0,1,0,0,0,1,0,0,209.0,DUKB
2023-04-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,73.0,DUKB
2023-07-14,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,199.0,DUKB
2023-08-25,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,207.0,DUKB
2023-10-09,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,188.0,DUKB
2023-10-16,0.0361,,1,0.0361,0.0,0,0,0,0,0,1,0,0,195.0,DUKB
2023-12-06,0.75,,1,0.75,0.0,0,1,0,0,0,0,0,0,228.0,DUKB
2024-01-20,0.2,,1,0.2,0.0,0,0,0,0,0,1,0,0,221.0,DUKB
2024-06-10,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,187.0,DUKB
2024-07-11,-0.2409,,1,0.2409,0.0,1,1,0,0,0,0,0,0,420.0,DUKB
2024-07-14,0.1646,,1,0.1646,0.0,0,1,1,0,0,1,0,0,450.0,DUKB
2024-07-21,0.3,,1,0.3,0.0,0,1,1,0,0,0,0,0,417.0,DUKB
2024-08-05,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,294.0,DUKB
2024-09-09,0.3493,,1,0.3493,0.0,0,1,1,0,0,1,0,0,366.0,DUKB
2024-09-20,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,545.0,DUKB
2024-09-25,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,331.0,DUKB
2024-10-09,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,417.0,DUKB
2024-10-11,0.1014,,1,0.1014,0.0,0,0,0,0,0,0,0,0,478.0,DUKB
2024-12-09,0.0778,,1,0.0778,0.0,1,0,1,0,0,1,0,0,288.0,DUKB
