date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,148.0,DV
2021-05-16,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,DV
2021-05-17,-0.1372,,1,0.1372,0.0,0,0,0,0,1,0,0,0,1093.0,DV
2021-05-25,0.01,,1,0.01,0.0,1,0,0,0,0,0,0,0,1268.0,DV
2021-05-26,0.0945,,1,0.0945,0.0,1,1,1,0,0,1,0,0,1945.0,DV
2021-06-16,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,145.0,DV
2021-07-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,120.0,DV
2021-08-19,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,134.0,DV
2021-09-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,233.0,DV
2021-10-16,0.35,0.2121,2,0.35,0.0,1,1,0,0,0,0,0,0,196.5,DV
2021-10-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,DV
2021-10-23,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,107.0,DV
2021-11-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,125.0,DV
2022-02-23,0.1241,,1,0.1241,0.0,1,1,0,0,0,0,0,0,561.0,DV
2022-03-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,278.0,DV
2022-03-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,124.0,DV
2022-05-09,0.0208,,1,0.0208,0.0,0,0,0,0,0,0,0,0,754.0,DV
2022-05-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,DV
2022-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,121.0,DV
2022-06-20,0.17,,1,0.17,0.0,1,0,0,0,0,0,0,0,248.0,DV
2022-07-15,0.012,,1,0.012,0.0,0,1,1,0,0,0,0,0,3333.0,DV
2022-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,251.0,DV
2022-08-04,0.2852,0.4467,3,0.2852,0.0,1,0,0,0,0,0,0,0,287.3333,DV
2022-09-08,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,185.0,DV
2022-09-19,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,212.0,DV
2022-09-22,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,158.0,DV
2022-10-26,0.0861,,1,0.0861,0.0,1,0,0,0,0,0,0,0,268.0,DV
2022-11-08,0.1,0.1414,2,0.1,0.0,1,0,0,0,0,0,0,0,243.0,DV
2022-11-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,125.0,DV
2022-11-19,0.3688,,1,0.3688,0.0,0,1,0,0,0,0,0,0,150.0,DV
2022-12-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,172.0,DV
2022-12-07,0.0975,,1,0.0975,0.0,1,0,0,0,0,0,0,0,360.0,DV
2023-01-10,-0.0302,,1,0.0302,0.0,0,1,0,0,0,0,0,0,11417.0,DV
2023-01-26,0.1479,0.0927,3,0.1479,0.0,3,0,1,0,1,1,0,0,1504.0,DV
2023-02-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,DV
2023-02-22,0.1607,0.1263,2,0.1607,0.0,2,0,0,0,0,0,0,0,255.5,DV
2023-02-24,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,241.0,DV
2023-02-28,0.2273,,1,0.2273,0.0,1,1,0,0,0,0,0,0,194.0,DV
2023-03-02,0.0053,0.0092,3,0.0053,0.0,2,0,0,0,0,0,0,0,332.6667,DV
2023-03-09,0.2051,,1,0.2051,0.0,0,0,0,0,0,0,1,0,726.0,DV
2023-03-22,0.1009,0.1498,4,0.1078,0.0,1,2,2,0,0,1,0,0,1650.25,DV
2023-04-06,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,203.0,DV
2023-04-08,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,186.0,DV
2023-04-12,-0.0061,0.017,2,0.012,0.0,0,1,1,0,0,0,0,0,4217.5,DV
2023-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,219.0,DV
2023-05-03,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,264.0,DV
2023-05-04,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,231.0,DV
2023-05-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,DV
2023-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,106.0,DV
2023-06-12,0.1348,,1,0.1348,0.0,0,0,0,0,0,0,0,0,706.0,DV
2023-06-16,0.0429,,1,0.0429,0.0,1,1,0,0,1,0,0,0,560.0,DV
2023-06-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,182.0,DV
2023-06-27,0.0178,,1,0.0178,0.0,0,1,1,0,0,0,0,0,5393.0,DV
2023-07-12,0.1122,0.1182,2,0.1122,0.0,1,1,1,0,1,0,0,0,3818.5,DV
2023-07-17,0.1972,,1,0.1972,0.0,1,0,1,0,1,0,0,0,704.0,DV
2023-07-20,0.0744,,1,0.0744,0.0,0,1,1,0,0,0,0,0,736.0,DV
2023-07-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,254.0,DV
2023-08-01,0.132,0.0925,5,0.132,0.0,4,3,1,0,1,0,0,1,952.8,DV
2023-08-18,0.0509,0.0858,2,0.0607,0.0,0,1,1,0,0,0,0,0,3188.5,DV
2023-09-11,0.2747,0.3658,2,0.2747,0.0,0,0,0,0,0,0,0,0,722.5,DV
2023-09-22,0.0714,,1,0.0714,0.0,0,0,0,0,0,0,0,0,186.0,DV
2023-10-13,-0.002,0.0322,2,0.0227,0.0,0,1,1,0,0,0,0,0,2837.0,DV
2023-11-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,DV
2023-11-07,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,304.0,DV
2023-11-09,0.1762,,1,0.1762,0.0,0,0,0,0,0,0,0,0,1275.0,DV
2023-11-10,0.0485,0.0501,3,0.0485,0.0,2,0,0,0,0,0,0,0,332.3333,DV
2023-11-16,0.325,,1,0.325,0.0,0,0,0,0,0,0,0,0,175.0,DV
2023-12-13,0.091,,1,0.091,0.0,0,0,0,0,0,0,0,0,529.0,DV
2023-12-22,0.0745,0.025,2,0.0745,0.0,1,2,1,0,0,0,0,0,767.0,DV
2024-01-09,0.0037,,1,0.0037,0.0,0,1,1,0,0,0,0,0,1712.0,DV
2024-01-10,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,80.0,DV
2024-01-12,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,729.0,DV
2024-02-23,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,308.0,DV
2024-02-26,0.0035,,1,0.0035,0.0,0,1,1,0,0,0,0,0,1912.0,DV
2024-02-28,0.075,0.109,3,0.075,0.0,3,0,1,0,0,0,0,0,962.3333,DV
2024-02-29,0.0705,0.0823,4,0.0705,0.0,3,1,1,1,0,1,0,0,1427.75,DV
2024-03-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,190.0,DV
2024-04-04,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,183.0,DV
2024-05-06,0.0969,0.1105,2,0.0969,0.0,1,1,1,0,0,0,0,0,1264.0,DV
2024-05-07,0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,316.0,DV
2024-05-08,0.0523,0.0424,4,0.0523,0.0,2,0,2,0,0,0,0,0,848.5,DV
2024-05-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,136.0,DV
2024-06-14,0.0004,,1,0.0004,0.0,0,1,1,0,0,0,0,0,2199.0,DV
2024-07-31,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,1,0,302.0,DV
2024-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,293.0,DV
