date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,183.0,DY
2021-05-07,0.2167,,1,0.2167,0.0,1,0,0,0,0,0,0,0,129.0,DY
2021-05-18,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,170.0,DY
2021-05-21,0.1071,,1,0.1071,0.0,1,0,0,0,0,0,0,0,203.0,DY
2021-05-25,0.0738,0.0952,7,0.0738,0.0,6,0,4,3,1,0,0,0,1051.1429,DY
2021-05-26,0.1726,0.2301,4,0.1726,0.0,2,0,1,1,1,1,0,0,854.25,DY
2021-06-10,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,147.0,DY
2021-06-21,0.0813,,1,0.0813,0.0,0,1,0,0,0,0,0,0,258.0,DY
2021-06-22,0.1556,,1,0.1556,0.0,1,0,0,0,0,0,0,0,199.0,DY
2021-06-24,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,209.0,DY
2021-06-25,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,214.0,DY
2021-06-29,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,158.0,DY
2021-06-30,0.2167,,1,0.2167,0.0,1,1,0,0,0,0,0,0,227.0,DY
2021-07-30,0.2167,0.3064,2,0.2167,0.0,2,0,1,0,0,0,0,0,227.0,DY
2021-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,126.0,DY
2021-08-06,0.2167,,1,0.2167,0.0,1,0,0,0,0,0,0,0,170.0,DY
2021-08-10,-0.0125,,1,0.0125,0.0,0,0,1,0,0,0,0,0,325.0,DY
2021-08-18,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,272.0,DY
2021-08-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,227.0,DY
2021-08-31,0.0759,,1,0.0759,0.0,1,0,1,0,0,0,0,0,234.0,DY
2021-09-01,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,184.0,DY
2021-09-02,0.1722,,1,0.1722,0.0,1,0,1,0,0,0,0,0,163.0,DY
2021-09-03,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,149.0,DY
