date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-11-03,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,110.0,EAT
2020-11-17,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,114.0,EAT
2020-12-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,58.0,EAT
2020-12-22,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,114.0,EAT
2021-04-23,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,170.0,EAT
2021-04-26,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,198.0,EAT
2021-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,154.0,EAT
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,258.0,EAT
2021-04-29,-0.0187,0.0983,3,0.0646,0.0,3,0,0,0,0,0,0,0,162.3333,EAT
2021-05-19,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,225.0,EAT
2021-05-27,0.25,,1,0.25,0.0,1,0,0,0,1,0,0,0,136.0,EAT
2021-05-28,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,213.0,EAT
2021-06-04,0.5167,,1,0.5167,0.0,1,0,0,0,1,0,0,0,659.0,EAT
2021-06-09,0.0431,,1,0.0431,0.0,1,0,0,0,0,0,0,0,293.0,EAT
2021-06-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,184.0,EAT
2021-06-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,EAT
2021-06-23,0.1022,,1,0.1022,0.0,0,0,0,0,1,1,0,0,1132.0,EAT
2021-07-19,0.6444,,1,0.6444,0.0,0,0,0,0,0,0,0,0,238.0,EAT
2021-07-29,0.154,,1,0.154,0.0,1,0,0,0,0,0,0,0,266.0,EAT
2021-08-05,0.1083,0.1532,2,0.1083,0.0,2,0,1,0,0,0,0,0,209.5,EAT
2021-08-09,0.0333,,1,0.0333,0.0,1,0,1,0,0,0,0,0,198.0,EAT
2021-08-11,0.0532,0.073,3,0.0532,0.0,1,0,0,0,3,0,0,0,214.3333,EAT
2021-08-12,0.1367,0.1933,2,0.1367,0.0,1,0,0,0,0,0,0,0,142.0,EAT
2021-08-16,0.2,0.2828,2,0.2,0.0,1,0,0,0,1,0,0,0,188.0,EAT
2021-08-17,0.281,0.426,4,0.281,0.0,0,0,0,1,1,0,0,0,185.75,EAT
2021-08-18,0.1025,0.1239,4,0.1025,0.0,2,0,0,0,0,1,0,0,193.5,EAT
2021-08-19,0.0527,0.0642,4,0.0527,0.0,1,1,0,0,0,0,0,0,181.0,EAT
2021-08-25,0.4444,,1,0.4444,0.0,0,0,0,0,0,0,0,0,215.0,EAT
2021-08-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,120.0,EAT
2021-09-01,0.1367,,1,0.1367,0.0,0,0,0,0,0,1,0,0,246.0,EAT
2021-09-03,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,156.0,EAT
2021-09-17,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,212.0,EAT
2021-10-19,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,146.0,EAT
2021-10-20,0.0514,0.0478,6,0.0514,0.0,4,1,1,0,0,0,0,0,552.1667,EAT
2021-10-21,0.0562,0.0088,2,0.0562,0.0,0,0,0,0,0,0,0,0,145.0,EAT
2021-10-27,0.1127,0.0,2,0.1127,0.0,2,0,0,0,0,0,0,0,237.0,EAT
2021-10-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,170.0,EAT
2021-11-03,0.0,0.0,4,0.0,0.0,2,0,0,0,0,0,0,0,193.5,EAT
2021-11-04,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,173.0,EAT
2021-11-10,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,228.0,EAT
2021-11-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,148.0,EAT
2021-11-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,EAT
2021-11-17,-0.0778,0.0,2,0.0778,0.2,2,0,0,0,0,0,0,0,168.0,EAT
2021-11-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,148.0,EAT
2021-12-03,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,213.0,EAT
2021-12-20,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,153.0,EAT
2021-12-29,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,189.0,EAT
2022-01-19,0.0265,,1,0.0265,0.0,1,0,0,0,1,0,0,0,272.0,EAT
2022-01-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,132.0,EAT
2022-01-24,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,192.0,EAT
2022-02-02,0.1233,0.033,2,0.1233,0.0,1,0,0,0,0,0,0,0,153.0,EAT
2022-02-03,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,137.0,EAT
2022-03-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,210.0,EAT
2022-03-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,259.0,EAT
2022-03-17,0.044,,1,0.044,0.0,0,0,0,0,0,0,0,0,679.0,EAT
2022-04-12,0.0157,,1,0.0157,0.0,0,0,0,0,1,0,0,0,265.0,EAT
2022-04-13,0.137,0.2374,3,0.137,0.0,0,1,0,0,0,0,0,0,206.0,EAT
2022-04-14,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,258.0,EAT
2022-04-20,0.0265,,1,0.0265,0.0,1,0,0,0,1,0,0,0,272.0,EAT
2022-04-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,173.0,EAT
2022-04-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,256.0,EAT
2022-05-02,0.2417,,1,0.2417,0.0,0,0,0,0,0,0,0,0,211.0,EAT
2022-05-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,230.0,EAT
2022-05-04,-0.0139,0.0241,3,0.0139,0.0,2,0,0,0,0,0,0,0,160.0,EAT
2022-05-05,0.1298,0.1099,3,0.1298,0.0,1,1,1,0,0,0,0,0,1597.0,EAT
2022-05-27,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,1,0,182.0,EAT
2022-06-01,0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,100.0,EAT
2022-06-03,-0.0098,0.0301,2,0.0213,0.0,1,0,0,0,0,0,0,0,444.0,EAT
2022-06-11,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,127.0,EAT
2022-06-23,0.08,,1,0.08,0.0,1,1,0,0,0,0,0,0,210.0,EAT
2022-06-28,-0.1875,,1,0.1875,0.0,0,0,0,1,0,0,0,0,249.0,EAT
2022-07-18,0.0816,,1,0.0816,0.0,0,0,0,0,0,0,0,0,712.0,EAT
2022-07-21,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,247.0,EAT
2022-07-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,623.0,EAT
2022-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,EAT
2022-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,233.0,EAT
2022-08-10,0.0133,0.0188,2,0.0133,0.0,2,0,0,0,0,0,0,0,253.0,EAT
2022-08-16,0.1106,0.1264,2,0.1106,0.0,1,0,0,0,0,0,0,0,593.0,EAT
2022-08-18,-0.0127,,1,0.0127,0.0,0,1,1,0,1,0,0,0,6986.0,EAT
2022-08-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,216.0,EAT
2022-08-23,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,160.5,EAT
2022-08-24,0.0877,0.1933,7,0.1116,0.0,3,0,2,0,1,0,0,0,415.7143,EAT
2022-08-25,0.1377,0.2102,5,0.1377,0.0,2,0,1,0,0,0,0,0,319.0,EAT
2022-08-29,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,284.0,EAT
2022-09-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,175.0,EAT
2022-09-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,69.0,EAT
2022-09-23,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,212.0,EAT
2022-09-26,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,65.0,EAT
2022-10-12,-0.0532,,1,0.0532,0.2,0,0,0,0,0,1,0,0,855.0,EAT
2022-10-26,0.0545,,1,0.0545,0.0,1,0,0,0,0,0,0,0,270.0,EAT
2022-10-27,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,266.0,EAT
2022-11-03,0.044,,1,0.044,0.0,0,0,0,0,0,0,0,0,686.0,EAT
2022-11-04,-0.2108,,1,0.2108,0.0,1,0,0,0,0,0,0,0,176.0,EAT
2022-11-09,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,61.0,EAT
2022-11-29,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,235.0,EAT
2022-12-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,218.0,EAT
2022-12-08,-0.05,0.0707,2,0.05,0.0,0,0,0,0,0,0,0,0,163.5,EAT
2022-12-12,0.0133,,1,0.0133,0.0,0,1,1,0,0,0,0,0,7775.0,EAT
2022-12-21,-0.0184,,1,0.0184,0.0,0,1,1,0,0,0,0,0,7354.0,EAT
2022-12-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,33.0,EAT
2023-01-05,0.0408,0.0577,2,0.0408,0.0,1,0,0,0,0,0,0,0,491.5,EAT
2023-01-24,0.0648,0.0294,2,0.0648,0.0,1,0,1,0,0,0,0,0,834.5,EAT
2023-01-25,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,284.0,EAT
2023-01-26,0.1119,0.0774,2,0.1119,0.0,2,0,1,0,0,0,0,0,230.0,EAT
2023-02-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,268.0,EAT
2023-02-02,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,222.0,EAT
2023-02-07,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,317.0,EAT
2023-02-08,-0.375,,1,0.375,0.0,1,0,0,0,0,0,0,0,208.0,EAT
2023-02-09,0.2121,,1,0.2121,0.0,1,0,0,0,0,0,0,0,167.0,EAT
2023-02-13,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,326.0,EAT
2023-02-14,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,262.0,EAT
2023-02-15,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,178.0,EAT
2023-02-16,0.2889,,1,0.2889,0.0,0,0,0,0,0,0,0,0,200.0,EAT
2023-02-21,-0.0847,0.0734,3,0.0847,0.0,2,3,0,0,0,0,0,0,262.3333,EAT
2023-02-22,0.2049,0.0002,2,0.2049,0.0,0,1,0,0,0,0,0,0,291.0,EAT
2023-02-23,0.2917,0.0589,2,0.2917,0.0,2,0,1,0,0,0,0,0,228.0,EAT
2023-02-24,0.0011,0.0016,2,0.0011,0.0,2,0,0,0,0,0,0,0,172.0,EAT
2023-03-01,0.2257,0.2505,3,0.2479,0.0,3,0,1,0,0,0,0,0,236.3333,EAT
2023-03-02,0.0568,0.0804,2,0.0568,0.0,2,0,0,0,0,0,0,0,191.5,EAT
2023-03-03,-0.0104,0.018,3,0.0104,0.0,2,0,0,0,0,0,0,0,190.3333,EAT
2023-03-09,0.1667,0.2887,3,0.1667,0.0,1,0,0,1,0,0,0,0,188.6667,EAT
2023-03-10,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,158.0,EAT
2023-03-13,0.2417,0.0118,2,0.2417,0.0,1,1,0,0,0,0,0,0,238.0,EAT
2023-03-14,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,1,181.0,EAT
2023-03-15,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,178.0,EAT
2023-03-16,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,175.0,EAT
2023-03-17,0.0312,,1,0.0312,0.0,0,1,0,0,0,0,0,0,184.0,EAT
2023-03-22,0.035,,1,0.035,0.0,0,0,1,0,0,0,0,0,204.0,EAT
2023-03-23,0.2032,,1,0.2032,0.0,1,0,0,0,0,0,0,0,330.0,EAT
2023-03-29,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,162.0,EAT
2023-03-30,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,232.0,EAT
2023-04-10,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,190.0,EAT
2023-04-18,0.1867,,1,0.1867,0.0,1,1,0,0,0,0,0,0,326.0,EAT
2023-04-26,0.0476,,1,0.0476,0.0,1,0,0,0,0,0,0,0,264.0,EAT
2023-04-27,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,257.0,EAT
2023-05-02,0.009,0.0156,3,0.009,0.0,2,1,1,0,0,0,1,0,1728.6667,EAT
2023-05-03,0.0359,0.0317,3,0.0359,0.0,2,0,0,0,0,0,0,0,868.0,EAT
2023-05-04,0.0544,0.0471,3,0.0544,0.0,1,0,0,0,0,0,0,0,547.3333,EAT
2023-05-09,0.04,0.0566,2,0.04,0.0,2,0,1,0,0,0,0,0,225.0,EAT
2023-05-12,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,243.0,EAT
2023-05-17,0.036,,1,0.036,0.0,0,0,0,0,0,0,0,0,254.0,EAT
2023-06-01,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,1,0,195.0,EAT
2023-06-02,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,221.0,EAT
2023-06-08,-0.0175,0.0308,2,0.0218,0.0,0,0,1,0,0,0,0,0,813.5,EAT
2023-06-09,0.1345,,1,0.1345,0.0,0,1,0,0,0,0,0,0,803.0,EAT
2023-06-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,EAT
2023-06-16,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,165.0,EAT
2023-06-21,0.18,,1,0.18,0.0,0,0,0,0,0,1,0,0,148.0,EAT
2023-06-26,0.0577,0.0209,2,0.0577,0.0,0,1,1,0,0,0,0,0,2344.0,EAT
2023-06-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,36.0,EAT
2023-07-04,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,206.0,EAT
2023-07-12,0.1256,,1,0.1256,0.0,0,0,0,0,0,0,0,0,779.0,EAT
2023-07-18,0.0188,,1,0.0188,0.0,0,1,1,0,0,0,0,0,7759.0,EAT
2023-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,EAT
2023-08-01,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,293.0,EAT
2023-08-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,223.0,EAT
2023-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,287.0,EAT
2023-08-09,0.0133,0.0188,2,0.0133,0.0,2,1,0,0,0,0,0,0,254.5,EAT
2023-08-14,0.1333,,1,0.1333,0.0,1,0,0,0,0,0,0,0,206.0,EAT
2023-08-16,0.03,0.0424,2,0.03,0.0,2,0,0,0,0,0,0,0,291.0,EAT
2023-08-17,0.054,0.0763,2,0.054,0.0,1,0,0,0,0,0,0,0,454.5,EAT
2023-08-30,0.2323,,1,0.2323,0.0,1,1,1,0,0,0,0,0,1043.0,EAT
2023-09-05,0.6444,,1,0.6444,0.0,0,0,0,0,0,0,0,0,238.0,EAT
2023-09-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,227.0,EAT
2023-09-13,0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,201.0,EAT
2023-09-15,-0.0311,,1,0.0311,0.0,1,0,0,0,0,0,0,0,212.0,EAT
2023-09-22,0.0816,,1,0.0816,0.0,0,0,0,0,0,0,0,0,721.0,EAT
2023-09-29,0.0464,0.0891,2,0.063,0.0,0,2,1,0,0,0,1,0,3040.0,EAT
2023-10-01,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,83.0,EAT
2023-10-03,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,219.0,EAT
2023-10-11,0.004,,1,0.004,0.0,0,0,0,0,0,0,0,0,778.0,EAT
2023-10-18,0.0124,,1,0.0124,0.0,0,1,1,0,0,0,0,0,4023.0,EAT
2023-10-25,0.083,0.0846,2,0.083,0.0,2,0,0,0,1,0,0,0,275.5,EAT
2023-10-30,0.1114,,1,0.1114,0.0,1,0,0,0,1,0,0,0,2024.0,EAT
2023-11-01,0.1443,0.0155,2,0.1443,0.0,1,1,1,0,0,0,0,0,997.5,EAT
2023-11-02,0.1121,0.1667,4,0.151,0.0,2,2,0,0,0,0,0,0,659.5,EAT
2023-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,266.0,EAT
2023-11-06,0.2308,0.039,2,0.2308,0.0,1,0,0,0,0,0,0,0,276.0,EAT
2023-11-07,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,261.0,EAT
2023-11-08,0.1,,1,0.1,0.0,0,0,0,0,0,0,1,0,635.0,EAT
2023-11-10,0.3262,0.0101,2,0.3262,0.0,0,0,0,0,0,0,0,0,275.5,EAT
2023-11-13,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,191.0,EAT
2023-11-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,262.0,EAT
2023-11-20,0.075,0.0071,2,0.075,0.0,1,0,0,0,1,0,0,0,212.0,EAT
2023-11-21,-0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,190.0,EAT
2023-11-22,0.2432,0.1871,4,0.2432,0.0,1,3,0,0,0,0,0,0,157.0,EAT
2023-11-23,0.2211,0.0487,2,0.2211,0.0,1,1,0,0,0,0,0,0,283.0,EAT
2023-11-24,-0.0278,0.0481,3,0.0278,0.0,0,1,1,0,1,0,0,0,216.6667,EAT
2023-11-27,0.225,0.0196,2,0.225,0.0,0,1,0,0,0,0,0,0,232.0,EAT
2023-11-28,0.1957,0.0866,4,0.1957,0.0,0,1,0,0,1,0,0,0,212.5,EAT
2023-11-29,0.1176,0.1323,2,0.1176,0.0,0,1,0,0,0,0,0,0,193.0,EAT
2023-11-30,0.05,0.0707,2,0.05,0.0,0,0,0,0,0,0,0,0,173.5,EAT
