date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,196.0,EBS
2021-04-26,-0.0625,0.0884,2,0.0625,0.1,1,0,0,0,1,0,0,0,225.5,EBS
2021-04-27,-0.0958,0.0412,2,0.0958,0.0,0,2,0,0,0,0,0,0,131.0,EBS
2021-04-29,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,253.0,EBS
2021-04-30,0.0274,0.0256,3,0.0274,0.0,2,0,0,0,0,0,0,0,164.3333,EBS
2021-05-04,0.0,0.0,2,0.0,0.0,0,1,0,0,0,0,0,0,123.0,EBS
2021-05-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,90.0,EBS
2021-05-12,-0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,98.0,EBS
2021-05-14,0.0,0.0,2,0.0,0.0,0,0,2,0,1,0,0,0,151.0,EBS
2021-05-19,0.1667,,1,0.1667,0.0,0,0,0,0,1,0,1,0,353.0,EBS
2021-05-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,391.0,EBS
2021-05-25,-0.1467,,1,0.1467,0.0,0,1,0,0,0,0,0,0,179.0,EBS
2021-05-27,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,317.0,EBS
2021-05-28,0.3038,0.2304,2,0.3038,0.0,0,0,0,0,0,0,0,0,489.0,EBS
2021-06-08,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,91.0,EBS
2021-06-11,0.0658,0.0891,2,0.0658,0.0,0,0,1,0,0,0,0,0,446.5,EBS
2021-06-14,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,271.0,EBS
2021-06-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,1,269.0,EBS
2021-06-29,0.0436,0.0616,2,0.0436,0.0,0,0,0,0,0,0,0,0,305.5,EBS
2021-07-03,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,104.0,EBS
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,219.0,EBS
2021-07-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,134.0,EBS
2021-07-22,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,284.0,EBS
2021-07-23,0.1453,,1,0.1453,0.0,0,0,1,0,0,0,0,0,664.0,EBS
2021-07-25,0.1089,,1,0.1089,0.0,1,0,1,0,0,0,0,0,2891.0,EBS
2021-07-26,0.2121,,1,0.2121,0.0,1,0,0,0,1,0,0,0,631.0,EBS
