date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-07,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,197.0,EDF
2021-06-15,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,1,322.0,EDF
2021-06-25,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,253.0,EDF
2021-07-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,234.0,EDF
2021-07-07,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,179.0,EDF
2021-07-22,0.025,0.0354,2,0.025,0.0,0,0,0,0,0,0,0,0,196.0,EDF
2021-07-28,0.0175,,1,0.0175,0.0,0,0,0,0,0,0,0,0,186.0,EDF
2021-07-29,0.0722,0.1251,3,0.0722,0.0,0,0,0,0,0,0,0,0,179.0,EDF
2021-08-04,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,178.5,EDF
2021-08-09,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,99.5,EDF
2021-09-06,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,88.0,EDF
2021-10-01,-0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,205.0,EDF
2021-10-08,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.0,EDF
2021-11-02,0.0562,,1,0.0562,0.0,0,0,0,0,0,0,0,0,192.0,EDF
2021-11-04,0.0682,0.0964,2,0.0682,0.0,0,0,0,0,0,2,0,0,201.5,EDF
2021-11-05,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.5,EDF
2021-11-10,0.12,0.1697,2,0.12,0.0,1,0,0,0,0,0,0,0,251.5,EDF
2021-11-22,0.0519,0.068,2,0.0519,0.0,0,0,0,0,0,2,0,0,299.0,EDF
2021-11-23,0.025,0.0354,2,0.025,0.0,0,0,0,0,0,0,0,0,215.0,EDF
2021-11-30,0.0,0.0,2,0.0,0.0,0,0,0,0,0,2,0,0,178.5,EDF
2021-12-03,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.5,EDF
2021-12-07,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.5,EDF
2021-12-15,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,288.0,EDF
2021-12-16,0.0896,,1,0.0896,0.0,0,0,0,0,0,0,0,0,272.0,EDF
2021-12-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,203.0,EDF
2022-01-06,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.0,EDF
2022-01-10,-0.0833,0.1179,2,0.0833,0.0,0,0,0,0,0,0,0,0,102.5,EDF
2022-01-12,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,73.0,EDF
2022-01-13,0.0833,0.1667,4,0.0833,0.0,0,0,0,0,1,0,0,0,125.5,EDF
2022-01-14,0.0273,,1,0.0273,0.0,1,0,1,0,0,0,0,0,174.0,EDF
2022-02-04,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,87.5,EDF
2022-02-07,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,128.0,EDF
2022-02-11,0.0,0.0,4,0.0,0.0,0,0,0,0,2,0,0,0,130.5,EDF
2022-02-18,0.1042,0.1662,3,0.1042,0.0,1,0,0,0,0,0,0,0,245.3333,EDF
2022-03-04,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,86.0,EDF
2022-03-09,0.037,0.0523,2,0.037,0.0,0,0,0,0,0,0,0,0,420.0,EDF
2022-03-14,0.0125,0.025,4,0.0125,0.0,0,0,0,0,0,0,0,0,241.75,EDF
2022-03-16,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,124.0,EDF
2022-03-17,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,199.5,EDF
2022-03-18,0.15,0.2121,2,0.15,0.0,0,0,0,0,1,0,0,0,286.0,EDF
2022-03-21,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,86.5,EDF
2022-04-05,0.2,0.2828,2,0.2,0.0,0,0,0,0,0,0,0,0,294.0,EDF
2022-04-07,-0.0159,0.0225,2,0.0159,0.0,0,0,0,0,0,0,0,0,360.0,EDF
2022-04-08,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,86.0,EDF
2022-04-15,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,120.5,EDF
2022-05-03,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,85.0,EDF
2022-05-04,-0.0051,0.0073,2,0.0051,0.0,0,1,0,0,1,1,0,0,251.0,EDF
2022-05-12,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,289.5,EDF
2022-05-18,0.0259,0.0494,4,0.0259,0.0,0,0,0,0,2,2,0,0,205.0,EDF
2022-05-19,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,61.0,EDF
2022-05-30,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,184.5,EDF
2022-06-07,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,85.0,EDF
2022-06-09,0.0682,0.0964,2,0.0682,0.0,0,0,0,0,0,2,0,0,185.5,EDF
2022-07-01,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,1,0,87.5,EDF
2022-07-05,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,99.0,EDF
2022-07-07,0.0,0.0,2,0.0,0.0,0,0,0,2,1,0,1,0,401.0,EDF
2022-07-08,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,85.5,EDF
2022-07-13,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,25.0,EDF
2022-07-19,0.04,0.0693,3,0.04,0.0,0,0,1,0,1,0,0,0,128.3333,EDF
2022-07-27,0.0028,0.0056,4,0.0028,0.0,0,0,1,0,0,0,0,0,92.5,EDF
2022-07-28,0.1812,0.2115,4,0.1812,0.05,0,0,1,0,0,0,0,0,193.75,EDF
2022-08-03,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,81.0,EDF
2022-08-06,-0.0417,,1,0.0417,0.0,0,0,0,0,0,0,0,0,259.0,EDF
2022-08-09,0.1,0.1414,2,0.1,0.0,0,0,0,0,0,0,0,1,179.0,EDF
2022-08-24,-0.4333,,1,0.4333,0.2,0,0,0,0,0,0,0,0,207.0,EDF
2022-09-02,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,1,0,123.0,EDF
2022-09-06,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,88.0,EDF
2022-09-15,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,35.5,EDF
2022-10-05,0.0125,0.025,4,0.0125,0.0,0,0,0,0,0,0,1,0,179.0,EDF
2022-10-10,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,103.0,EDF
2022-10-27,0.0121,0.0267,8,0.0121,0.0,0,0,1,0,2,0,1,0,209.5,EDF
2022-11-03,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,122.0,EDF
2022-11-04,-0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,277.0,EDF
2022-11-07,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,179.5,EDF
2022-11-10,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,1,87.0,EDF
2022-11-18,0.0682,0.0964,2,0.0682,0.0,0,0,0,0,0,0,1,0,231.0,EDF
2022-11-23,0.007,0.021,10,0.007,0.0,0,0,1,0,2,0,0,1,197.0,EDF
2022-11-28,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,1,0,95.0,EDF
2022-11-30,0.2,0.2828,2,0.2,0.0,0,0,0,0,0,0,0,0,391.0,EDF
2022-12-09,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,180.5,EDF
2022-12-16,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,73.0,EDF
2022-12-19,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,1,86.5,EDF
2022-12-21,0.25,0.3536,2,0.25,0.0,0,0,0,0,0,0,0,0,163.5,EDF
2022-12-26,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,180.5,EDF
2022-12-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,236.0,EDF
2023-01-06,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,180.0,EDF
2023-01-19,0.15,0.2121,2,0.15,0.0,0,0,0,0,0,0,0,0,281.5,EDF
2023-01-20,-0.0833,0.1179,2,0.0833,0.0,0,0,0,0,0,0,0,0,101.0,EDF
2023-01-25,0.0,0.0,2,0.0,0.0,0,0,1,0,0,0,0,0,193.0,EDF
2023-02-05,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,293.5,EDF
2023-02-08,0.0006,0.0011,4,0.0006,0.0,0,0,1,0,0,0,0,0,223.5,EDF
2023-02-16,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,181.0,EDF
2023-02-17,0.0892,0.1261,2,0.0892,0.0,0,0,0,0,1,0,0,0,160.0,EDF
2023-02-28,-0.0625,0.0884,2,0.0625,0.0,0,0,0,0,0,0,0,0,92.5,EDF
2023-03-02,0.0056,0.0079,2,0.0056,0.0,0,0,0,0,0,0,0,0,80.5,EDF
2023-03-16,0.0944,0.1336,2,0.0944,0.0,0,0,0,0,0,0,0,0,348.5,EDF
2023-03-21,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,213.0,EDF
2023-04-05,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,179.0,EDF
2023-04-13,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,65.0,EDF
2023-04-26,0.0944,0.1336,2,0.0944,0.0,0,0,0,0,0,0,0,0,354.5,EDF
2023-05-02,-0.0104,0.0208,4,0.0104,0.0,0,0,1,0,0,0,0,1,385.5,EDF
2023-05-04,0.0139,0.0039,2,0.0139,0.0,0,0,1,0,0,0,0,0,178.0,EDF
