date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-04,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,223.0,EDV
2021-05-07,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,197.0,EDV
2021-05-08,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,193.0,EDV
2021-05-10,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,226.0,EDV
2021-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,170.0,EDV
2021-05-16,-0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,202.0,EDV
2021-05-18,0.19,,1,0.19,0.0,0,1,0,0,0,1,0,0,244.0,EDV
2021-05-25,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,158.0,EDV
2021-05-30,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,188.0,EDV
2021-06-05,0.0967,,1,0.0967,0.0,0,0,0,0,0,0,0,0,154.0,EDV
2021-06-09,0.6,,1,0.6,0.0,0,1,1,0,0,0,0,0,222.0,EDV
2021-06-13,-0.0264,0.1434,2,0.1014,0.0,0,0,0,0,0,0,0,0,162.5,EDV
2021-06-14,0.6667,,1,0.6667,0.0,0,0,0,0,0,0,0,0,169.0,EDV
2021-06-22,0.3182,,1,0.3182,0.0,0,0,0,0,0,0,0,0,213.0,EDV
2021-06-25,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,253.0,EDV
2021-06-29,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,151.0,EDV
2021-06-30,0.08,,1,0.08,0.0,0,0,0,0,1,0,0,0,255.0,EDV
2021-07-08,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,192.0,EDV
2021-07-19,-0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,225.0,EDV
2021-07-20,0.0625,0.0884,2,0.0625,0.0,0,0,0,0,0,0,0,0,179.0,EDV
2021-07-21,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,214.0,EDV
2021-07-22,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-23,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-26,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-27,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-28,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-29,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-07-30,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-08-02,0.3,0.4243,2,0.3,0.0,0,0,0,0,0,0,0,0,58.0,EDV
2021-08-03,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-08-04,0.3167,0.3014,3,0.3167,0.0,0,0,0,0,1,0,0,0,111.6667,EDV
2021-08-05,0.2321,,1,0.2321,0.0,0,0,0,0,0,0,0,0,185.0,EDV
2021-08-06,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
2021-08-09,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,72.0,EDV
