title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Inverse Ethereum Futures ETF Could Awaken Bearish Investors,"ProShares announced Thursday it will launch the ProShares Short Ether Strategy (SETH) for delivering the inverse of the daily performance of the Standard & Poor's CME Ether Futures Index, reported CoinGape.
If the index fell 1%, the ETF would want to return 1%. Targeting the bearish investors, the new product was tied to futures contracts on Ethereum, rather than the spot price for the token.
Industry titans BlackRock, DTCC, OCC, State Street, Société Générale, Hedera, Citi, BMO, Northern Trust, Citibank, Amazon, S&P Global, Google, Invesco and Moody’s will join Benzinga on Nov. 13 for Fintech Deal Day and Nov. 14 for Future of Digital Assets. Secure a spot here to join them.  
ProShares Short Ether Strategy would start trading on the New York Stock Exchange’s (NYSE) Arca.
ProShares CEO Michael Sapir noted in a statement that the new inverse Ethereum ETF was designed ""to address ...Full story available on Benzinga.com",2023-11-02 22:01:35+00:00,https://www.benzinga.com/markets/cryptocurrency/23/11/35578583/inverse-ethereum-futures-etf-could-awaken-bearish-investors,Benzinga,0.062237762237762236,0.2837412587412587,neutral,0.062237762237762236,False,False,True,False,True,False,True,False,0.0,992,"['BITO', 'EETH']",EETH,2023-11-02
Inside The New-Launched Inverse Ether ETF (SETH),ProShares recently launched a inverse futures-based ether ETF (SETH).,2023-11-10 15:00:00+00:00,https://www.zacks.com/stock/news/2182392/inside-the-new-launched-inverse-ether-etf-seth,Zacks Investment Research,0.0,0.25,neutral,0.0,False,False,False,False,True,False,False,False,0.0,119,"['BITI', 'BITO', 'BETE', 'BETH', 'EETH', 'SETH']",EETH,2023-11-10
Top & Flop ETF Areas of Wall Street's Best February in Decade,Wall Street surged to close out February with the S&P 500 and Nasdaq Composite notching their best February since 2015.,2024-03-04 13:00:00+00:00,https://www.zacks.com/stock/news/2235127/top-flop-etf-areas-of-wall-streets-best-february-in-decade,Zacks Investment Research,0.8333333333333334,0.3666666666666667,positive,0.8333333333333334,False,False,False,False,False,False,False,False,0.0,182,"['UUP', 'CNCR', 'BBC', 'SILJ', 'UNG', 'BDRY', 'CYA', 'CRPT', 'URNJ', 'EETH', 'WISE']",EETH,2024-03-04
Play These Currency ETFs Amid Rising Rate Cut Bets,"Driven by increased bets of interest rate cuts and a rising trend towards de-dollarization, the greenback is gradually losing its global dominance.",2024-03-06 04:23:00+00:00,https://www.zacks.com/stock/news/2236367/play-these-currency-etfs-amid-rising-rate-cut-bets,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,199,"['FXY', 'FXB', 'FXE', 'UDN', 'FXC', 'FXF', 'CEW', 'GBTC', 'BTF', 'BITC', 'EETH']",EETH,2024-03-06
Bitcoin Bulls Racing for $450K? Zooming in on Crypto ETFs,"Bitcoin surged above the $72,000 mark on Monday, driven by supply challenges, hopes of the Fed cutting interest rates in June and robust demand for the digital asset. Bitcoin continues its unprecedented surge, driven by record-breaking capital inflows into cryptocurrency products.",2024-03-12 16:28:00+00:00,https://www.zacks.com/stock/news/2239494/bitcoin-bulls-racing-for-450k-zooming-in-on-crypto-etfs,Zacks Investment Research,0.0,0.475,neutral,0.0,False,False,False,False,True,False,False,False,0.2,340,"['GBTC', 'BITO', 'IBIT', 'AETH', 'EETH', 'EFUT', 'FBTC', 'ARKB']",EETH,2024-03-12
"Cathie Wood Sees Value In Tesla Wreckage As Ark Buys $13M Worth Of EV Giant's Stock, Loads Up On Bitcoin And Ethereum ETFs","As Tesla, Inc. (NASDAQ:TSLA) fell for a fifth straight session on Thursday, breaching a significant psychological threshold, Cathie Wood‘s Ark Investment Management ramped up its acquisition of the stock, while also bolstering its holdings in crypto-related exchange-traded funds.
Doubling Down On Tesla: Across its ARK Innovation ETF (NYSE:ARKK), ARK Autonomous Technology & Robotics ETF (CBOE: ARKQ), and ARK Next Generation Internet ETF (NYSE:ARKW), Ark purchased 88,720 Tesla shares on Thursday, amounting to approximately $13.30 million based on Tesla’s closing price of $149.93.
Ark has been consistently accumulating Tesla shares for three consecutive sessions this week, accumulating a total of $26.89 million worth of shares.
This surge in buying activity comes amid Tesla facing downward pressure throughout the week, with analysts revising their estimates and price targets downward in anticipation of a disappointing earnings report next ...Full story available on Benzinga.com",2024-04-19 06:20:24+00:00,https://www.benzinga.com/markets/cryptocurrency/24/04/38329084/cathie-wood-sees-value-in-tesla-wreckage-as-ark-buys-13m-worth-of-ev-giants-stock-loads-up,Benzinga,0.07129629629629629,0.41759259259259257,neutral,0.07129629629629629,True,True,True,False,True,False,True,False,0.0,1113,"['COIN', 'TSLA', 'ARKQ', 'ARKW', 'ARKK', 'ARKF', 'HOOD', 'EETH', 'ARKZ', 'ARKB']",EETH,2024-04-19
"Cathie Wood's Ark Buys More Of Its In-House Spot Bitcoin ETF Ahead Of Halving, Pauses Tesla Buying","On Friday, Cathie Wood’s Ark Invest did a pair trade in cryptocurrency exchange-traded funds. The transaction is significant as it came ahead of the much-awaited Bitcoin (CRYPTO: BTC) halving, which has since taken place.
Crypto Transactions: Ark’s ARK Next Generation Internet ETF (NYSE:ARKW) bought 41,068 units of ProShares Ether Strategy ETF (NYSE:EETH) valued at $2.81 million. This was in addition to a purchase worth $2.9 million on Thursday. On the other hand, the fund sold 28,936 units of ProShares Bitcoin Strategy ETF (NYSE:BITO) valued at $813,102.
Ark beefed up its holdings of its in-house spot ...Full story available on Benzinga.com",2024-04-21 12:43:59+00:00,https://www.benzinga.com/markets/cryptocurrency/24/04/38348249/cathie-woods-ark-buys-more-of-its-in-house-spot-bitcoin-etf-ahead-of-halving-pauses-tesla-,Benzinga,0.2416666666666667,0.375,positive,0.2416666666666667,False,True,False,False,False,False,False,False,0.0,749,"['TSLA', 'ARKW', 'ARKK', 'BITO', 'EETH', 'ARKB']",EETH,2024-04-21
Crypto ETFs Buzz on Ether Approval Hopes,"With the increasing probability that the SEC might approve spot ETH ETFs, the crypto market has turned bullish. Look into Ether-heavy ETFs to capitalize on the positive stance of the SEC.",2024-05-22 18:09:00+00:00,https://www.zacks.com/stock/news/2277537/crypto-etfs-buzz-on-ether-approval-hopes,Zacks Investment Research,0.009090909090909085,0.5818181818181819,neutral,0.009090909090909085,False,False,True,False,False,False,False,False,0.0,229,"['AETH', 'EETH', 'EFUT']",EETH,2024-05-22
3 Top ETF Areas of Last Week,"U.S. stocks managed to reclaim ground by the end of a turbulent week, signaling a potential recovery.",2024-05-28 12:00:00+00:00,https://www.zacks.com/stock/news/2279836/3-top-etf-areas-of-last-week,Zacks Investment Research,0.16666666666666666,0.5222222222222223,positive,0.16666666666666666,False,False,False,False,False,False,False,False,0.0,131,"['TAN', 'HDRO', 'HYDR', 'AETH', 'EETH']",EETH,2024-05-28
Top ETF Areas of May,"Wall Street has experienced a robust upswing in May, driven by fresh expectations of Federal Reserve rate reductions at the initial phase of the month, strong corporate profits, and the artificial intelligence (AI) craze",2024-05-31 12:40:00+00:00,https://www.zacks.com/stock/news/2281912/top-etf-areas-of-may,Zacks Investment Research,0.20476190476190473,0.5190476190476191,positive,0.20476190476190473,True,False,False,False,False,False,False,False,0.0,242,"['SLV', 'SIVR', 'UNG', 'HDRO', 'HYDR', 'BOAT', 'AETH', 'EETH']",EETH,2024-05-31
