date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2022-04-21,0.2545,,1,0.2545,0.0,0,1,0,0,0,0,0,0,705.0,EE
2022-05-09,0.0289,,1,0.0289,0.0,0,1,1,0,0,0,0,0,4860.0,EE
2022-05-10,0.018,,1,0.018,0.0,0,0,0,0,0,0,0,0,307.0,EE
2022-06-08,-0.1208,,1,0.1208,0.0,0,0,1,0,0,0,0,0,330.0,EE
2022-08-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,116.0,EE
2022-09-11,-0.0429,,1,0.0429,0.0,0,1,0,0,0,0,0,0,179.0,EE
2022-09-12,0.349,,1,0.349,0.0,0,0,0,0,0,0,0,1,228.0,EE
2022-10-14,0.0508,,1,0.0508,0.0,0,1,0,0,0,0,0,0,142.0,EE
2022-10-24,0.0227,,1,0.0227,0.0,0,0,0,0,0,0,0,0,387.0,EE
2023-01-06,0.194,,1,0.194,0.0,0,1,1,0,0,0,0,0,696.0,EE
2023-02-23,0.1764,,1,0.1764,0.0,0,1,1,0,0,0,0,0,687.0,EE
2023-02-27,0.1702,0.0623,2,0.1702,0.0,2,0,0,0,1,0,0,0,241.5,EE
2023-03-14,-0.1125,,1,0.1125,0.0,1,0,0,0,0,0,0,0,237.0,EE
2023-03-28,0.1987,0.0785,2,0.1987,0.0,0,2,2,0,0,0,2,0,1416.0,EE
2023-04-10,0.0431,0.0758,2,0.0536,0.0,0,1,1,0,0,0,0,0,2607.5,EE
2023-04-11,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,378.0,EE
2023-04-20,0.1837,,1,0.1837,0.0,1,0,0,0,0,0,0,0,266.0,EE
2023-04-25,0.1638,,1,0.1638,0.0,1,0,0,0,0,0,0,0,256.0,EE
2023-05-15,0.1258,,1,0.1258,0.0,0,0,0,0,0,0,0,0,751.0,EE
2023-07-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,270.0,EE
2023-08-02,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,230.0,EE
2023-08-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,198.0,EE
2023-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,223.0,EE
2023-08-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,251.0,EE
2023-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,EE
2023-08-11,0.1439,,1,0.1439,0.0,0,0,0,0,0,0,0,0,696.0,EE
2023-10-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,236.0,EE
2023-11-01,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,274.0,EE
2023-11-16,0.0556,,1,0.0556,0.0,0,0,0,0,0,0,0,0,602.0,EE
2023-12-14,0.091,,1,0.091,0.0,0,0,0,0,0,0,0,0,570.0,EE
2024-01-19,-0.0195,,1,0.0195,0.0,0,0,0,0,0,0,0,0,1693.0,EE
2024-02-13,0.0433,,1,0.0433,0.0,0,0,0,0,0,0,0,0,1715.0,EE
2024-02-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,261.0,EE
2024-03-19,-0.0336,0.359,2,0.2539,0.0,2,1,0,0,0,0,0,0,298.0,EE
2024-03-27,0.1214,,1,0.1214,0.0,1,0,0,0,0,0,0,0,267.0,EE
2024-04-04,0.0975,,1,0.0975,0.0,1,0,0,0,0,0,0,0,386.0,EE
2024-05-01,0.0139,,1,0.0139,0.0,1,0,0,0,0,0,0,0,398.0,EE
2024-05-02,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,272.0,EE
2024-05-06,0.0,0.0,2,0.0,0.0,2,1,0,0,1,0,0,0,209.5,EE
2024-05-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,EE
2024-05-10,0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,221.0,EE
2024-05-15,0.3267,,1,0.3267,0.0,0,0,0,0,0,0,0,0,370.0,EE
2024-05-23,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,245.0,EE
