title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Insiders Buy More Than $15M Of 3 Stocks,"Although US stock futures traded higher this morning on Thursday, there were a few notable insider trades.
When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision.
Below is a look at a few recent notable insider purchases. For more, check out  Benzinga's insider transactions  platform.
Confluent 

The Trade:  Confluent, Inc.  (NASDAQ: CFLT) 10% owner Altimeter ...",2022-04-21 09:51:00+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/04/26731465/insiders-buy-more-than-15m-of-3-stocks,Benzinga,0.2545454545454545,0.4227272727272728,positive,0.2545454545454545,False,True,False,False,False,False,False,False,0.0,705,"['EE', 'CFLT', 'DUOL']",EE,2022-04-21
"Benzinga's Top Ratings Upgrades, Downgrades For May 9, 2022","Upgrades
For Axogen Inc (NASDAQ:AXGN), Canaccord Genuity upgraded the previous rating of Hold to Buy. Axogen earned $0.20 in the first quarter, compared to $0.08 in the year-ago quarter. The stock has a 52-week-high of $23.94 and a 52-week-low of $6.87. At the end of the last trading period, Axogen closed at $9.03.   
TD Securities upgraded the previous rating for Brookfield Renewable Partners LP (NYSE:BEP) from Hold to Buy. Brookfield Renewable earned $0.16 in the first quarter, compared to $0.24 in the year-ago quarter. The current stock performance of Brookfield Renewable shows a 52-week-high of $41.95 and a 52-week-low of $30.93. Moreover, at the end of the last trading period, the closing price was at $35.04.   
For Innovative Industrial Properties Inc (NYSE:IIPR), Craig-Hallum upgraded the previous rating of Hold to Buy. For the first quarter, Innovative Industrial had an EPS of $2.04, compared to year-ago quarter EPS of $1.47. The stock has a 52-week-high of $288.02 and a 52-week-low of $132.57. At the end of the last trading period, Innovative Industrial closed at $134.00.   
According to William Blair, the prior rating for Standex International Corp (NYSE:SXI) was changed from Market Perform to Outperform. Standex International earned $1.54 in the third quarter, compared to $1.19 in the year-ago quarter. At the moment, the stock has a 52-week-high of $121.44 and a 52-week-low of $86.30. Standex International closed at $95.15 at the end of the last trading period.   
According to Susquehanna, the prior rating for MaxLinear Inc (NASDAQ:MXL) was changed from Neutral to Positive. At the moment, the stock has a 52-week-high of $77.89 and a 52-week-low of $31.76. MaxLinear closed at $43.27 at the end of the last trading period.   
Truist Securities upgraded the previous rating for Playa Hotels & Resorts NV (NASDAQ:PLYA) from Hold to Buy. For the first quarter, Playa Hotels & Resorts had an EPS of $0.19, compared to year-ago quarter EPS of $0.31. The stock has a 52-week-high of $9.81 and a 52-week-low of $6.13. At the end of the last trading period, Playa Hotels & Resorts closed at $8.85.   
For Match Group Inc (NASDAQ:MTCH), Wells Fargo upgraded the previous rating of Equal-Weight to Overweight. Match Group earned $0.60 in the first quarter, compared to $0.57 in the year-ago quarter. The current stock performance of Match Group shows a 52-week-high of $182.00 and a 52-week-low of $69.28. Moreover, at the end of the last trading period, the closing price was at $74.07.   
According to Credit Suisse, the prior rating for DISH Network Corp (NASDAQ:DISH) was changed from Neutral to Outperform. DISH Network earned $0.68 in the first quarter, compared to $0.99 in the year-ago quarter. The stock has a 52-week-high of $47.05 and a 52-week-low of $21.77. At the end of the last trading period, DISH Network closed at $22.22.   
According to Cowen & Co., the prior rating for Cigna Corp (NYSE:CI) was changed from Market Perform to Outperform. In the first quarter, Cigna showed an EPS of $6.01, compared to $4.73 from the year-ago quarter. At the moment, the stock has a 52-week-high of $272.81 and a 52-week-low of $191.74. Cigna closed at $266.90 at the end of the last trading period.   
For Prestige Consumer Healthcare Inc (NYSE:PBH), Oppenheimer upgraded the previous rating of Perform to Outperform. In the fourth quarter, Prestige Consumer showed an EPS of $0.91, compared to $0.79 from the year-ago quarter. The stock has a 52-week-high of $63.83 and a 52-week-low of $44.37. At the end of the last trading period, Prestige Consumer closed at $54.88.   
New Street Research upgraded the previous rating for DLocal Ltd (NASDAQ:DLO) from Neutral to Buy. The stock has a 52-week-high of $73.43 and a 52-week-low of $19.69. At the end of the last trading period, DLocal closed at $20.00.   
For Progressive Corp (NYSE:PGR), Morgan Stanley upgraded the previous rating of Underweight to Equal-Weight. For the first quarter, Progressive had an EPS of $1.11, compared to year-ago quarter EPS of $1.73. The stock has a 52-week-high of $120.17 and a 52-week-low of $89.35. At the end of the last trading period, Progressive closed at $109.46.   
See all analyst ratings upgrades.
Downgrades
Keefe, Bruyette & Woods downgraded the previous rating for Black Knight Inc (NYSE:BKI) from Outperform to Market Perform. In the first quarter, Black Knight showed an EPS of $0.63, compared to $0.56 from the year-ago quarter. The current stock performance of Black Knight shows a 52-week-high of $84.27 and a 52-week-low of $52.00. Moreover, at the end of the last trading period, the closing price was at $70.91.   
For 180 Life Sciences Corp (NASDAQ:ATNF), Maxim Group downgraded the previous rating of Buy to Hold. At the ...Full story available on Benzinga.com",2022-05-09 14:07:54+00:00,https://www.benzinga.com/analyst-ratings/upgrades/22/05/27077020/benzingas-top-ratings-upgrades-downgrades-for-may-9-2022,Benzinga,0.028858901515151504,0.21770833333333328,neutral,0.028858901515151504,False,True,True,False,False,False,False,False,0.0,4860,"['MTCH', 'VTYX', 'DISH', 'LNTH', 'SFNC', 'BEP', 'BKI', 'IHRT', 'CI', 'NXRT', 'CRM', 'PLYA', 'DPZ', 'IIPR', 'EE', 'PFHD', 'NVS', 'PAGS', 'PBH', 'ARVN', 'PGR', 'SPCE', 'SXI', 'LU', 'TFX', 'AIRC', 'MXL', 'ATNF', 'BKU', 'APLD', 'DLO', 'AXGN', 'ONON']",EE,2022-05-09
"Jim Cramer Shares His Take On Silicon Motion Technology, New York Community Bancorp And More","On CNBC’s ""Mad Money Lightning Round,"" Jim Cramer said  New York Community Bancorp Inc’s (NYSE: NYCB) yield is too high. ""I’m going to pull in my horns on something like that … It gives me the willies.""
Cramer ...",2022-05-10 12:21:04+00:00,https://www.benzinga.com/trading-ideas/long-ideas/22/05/27100225/jim-cramer-gives-his-opinion-on-silicon-motion-technology-new-york-community-bancorp-and,Benzinga,0.01795454545454545,0.5581818181818182,neutral,0.01795454545454545,False,False,False,False,False,False,False,False,0.0,307,"['GLNG', 'SIMO', 'EE', 'SAN', 'NYCB', 'ETRN']",EE,2022-05-10
Investors hoping to pounce on summer IPOs may be out of luck. Here's why.,"The U.S. initial public offering market is staring down another slow week with just one small deal on tap, capping a period of little-to-zero activity as investors eye volatile secondary markets amid high inflation, supply-chain snags and a war in Europe.",2022-06-08 12:51:00+00:00,https://www.marketwatch.com/story/investors-hoping-to-pounce-on-summer-ipos-may-be-out-of-luck-heres-why-11654541858,MarketWatch,-0.12079365079365079,0.28507936507936504,negative,0.12079365079365079,False,False,True,False,False,False,False,False,0.0,330,"['SNOW', 'SE', 'CVNA', 'PFHC', 'EE', 'GS', 'C']",EE,2022-06-08
"Excelerate Energy, Inc. (EE) Q2 2022 Earnings Call Transcript","EE earnings call for the period ending June 30, 2022.",2022-08-11 21:00:16+00:00,https://www.fool.com/earnings/call-transcripts/2022/08/11/excelerate-energy-inc-ee-q2-2022-earnings-call-tra/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,116,['EE'],EE,2022-08-11
Should You Buy Liquefied Natural Gas Stocks Right Now?,Russia's cutting the gas supply to Europe isn't the only risk -- or massive opportunity -- tied to investing in LNG stocks.,2022-09-11 09:50:00+00:00,https://www.fool.com/investing/2022/09/11/should-you-buy-lng-stocks-right-now/,The Motley Fool,-0.04285714285714286,0.7671428571428571,neutral,0.04285714285714286,False,True,False,False,False,False,False,False,0.0,179,"['LNG', 'TTE', 'TELL', 'SHEL', 'EE']",EE,2022-09-11
"Arm Vs. Qualcomm In A Huge Lawsuit With Little Coverage, I Explain","I had no idea that ARM was suing Qualcomm over IP infringement. See why if QCOM is successful in the laptop CPU market, it could easily add $100B in market cap.",2022-09-12 07:15:57+00:00,https://seekingalpha.com/article/4540272-arm-vs-qualcomm-huge-lawsuit-little-coverage-i-explain,Seeking Alpha,0.34895833333333337,0.7958333333333333,positive,0.34895833333333337,False,False,False,False,False,False,False,True,0.0,228,"['AAPL', 'AMD', 'BLUE', 'CTRA', 'DOCU', 'DVN', 'EE', 'EQNR', 'EQT', 'INTC', 'NFE', 'NVGS', 'OVV', 'PGNY', 'PYPL', 'SGEN', 'SNOW', 'SRPT', 'VEEV', 'ZM', 'QCOM']",EE,2022-09-12
New Strong Buy Stocks for October 14th,"COUP, EE, CHS, HQI and IBA have been added to the Zacks Rank #1 (Strong Buy) List on October 14, 2022.",2022-10-14 11:10:00+00:00,https://www.zacks.com/commentary/1991334/new-strong-buy-stocks-for-october-14th,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,True,False,False,False,False,False,False,0.0,142,"['CHS', 'EE', 'COUP', 'IBA', 'HQI']",EE,2022-10-14
"'Right Now I Don't Want To Back Away From It,' Jim Cramer Says About This Stock Down Only 8% This Year","On CNBC’s ""Mad Money Lightning Round,"" Jim Cramer said he doesn’t want to back away from  Iron Mountain Incorporated  (NYSE: IRM) right now. ""We may have to do new work on Iron Mountain to see if it’s as safe as we think it is,"" he added.
Benzinga data finds that analysts have a ...",2022-10-24 11:58:46+00:00,https://www.benzinga.com/news/22/10/29372682/right-now-i-dont-want-to-back-away-from-it-jim-cramer-says-about-this-stock-down-only-8-this-year,Benzinga,0.022723665223665222,0.47148629148629145,neutral,0.022723665223665222,False,False,False,False,False,False,False,False,0.0,387,"['EE', 'IRM', 'JNJ', 'MCK', 'PG', 'WMT', 'PARA']",EE,2022-10-24
Top 5 Energy Stocks That May Surge,"The most oversold stocks in the energy sector presents an opportunity to buy into undervalued companies.
The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when prices go down. When compared to a stock's price action, it can give traders a better sense of how a stock may perform in the short term. An asset is typically considered oversold when the RSI is below 30.
Here’s the latest list of major oversold players in this sector, having an RSI near or below 30.
SM Energy Company  (NYSE: SM)

JP Morgan downgraded the stock from Overweight to Neutral and lowered its price target from $55 ...",2023-01-06 12:15:05+00:00,https://www.benzinga.com/trading-ideas/long-ideas/23/01/30308374/top-5-energy-stocks-that-may-surge,Benzinga,0.19402777777777777,0.4488888888888889,positive,0.19402777777777777,False,True,True,False,False,False,False,False,0.0,696,"['CRK', 'EE', 'SM', 'TPL', 'EVA']",EE,2023-01-06
