title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Boston Beer (SAM) Up on Q1 Earnings & Sales Beat, Upbeat View",Boston Beer (SAM) Q1 earnings gain from robust top-line performance on accelerated shipments and depletion growth as well as improved margins.,2021-04-23 12:55:00+00:00,http://www.zacks.com/stock/news/1441587/boston-beer-sam-up-on-q1-earnings-sales-beat-upbeat-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1441587,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,205,"['EL', 'SAFM', 'SAM', 'CCU']",EL,2021-04-23
Estee Lauder (EL) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Estee Lauder (EL) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-26 16:31:09+00:00,http://www.zacks.com/stock/news/1456900/estee-lauder-el-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1456900,Zacks Investment Research,0.03095238095238095,0.655952380952381,neutral,0.03095238095238095,True,False,False,False,True,False,False,False,0.0,261,['EL'],EL,2021-04-26
What's in Store for The Estee Lauder Companies (EL) Q3 Earnings,Strength in the Asia-Pacific region and solid online sales are likely to get reflected in The Estee Lauder Companies' (EL) third-quarter fiscal 2021 performance.,2021-04-28 14:14:00+00:00,http://www.zacks.com/stock/news/1467156/whats-in-store-for-the-estee-lauder-companies-el-q3-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1467156,Zacks Investment Research,0.0,0.55,neutral,0.0,True,False,False,False,False,False,False,False,0.0,226,"['EL', 'TSN', 'SYY', 'MED']",EL,2021-04-28
Why the Earnings Surprise Streak Could Continue for Estee Lauder (EL),Estee Lauder (EL) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,2021-04-28 16:10:11+00:00,http://www.zacks.com/stock/news/1467730/why-the-earnings-surprise-streak-could-continue-for-estee-lauder-el?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_7-1467730,Zacks Investment Research,0.21428571428571427,0.655952380952381,positive,0.21428571428571427,True,False,False,False,False,False,False,False,0.0,253,['EL'],EL,2021-04-28
Why Estee Lauder (EL) Might Surprise This Earnings Season,Estee Lauder (EL) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-04-30 12:52:00+00:00,http://www.zacks.com/stock/news/1478622/why-estee-lauder-el-might-surprise-this-earnings-season?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1478622,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,False,False,False,False,False,False,False,0.0,200,['EL'],EL,2021-04-30
Factors to Watch Ahead of Sysco's (SYY) Q3 Earnings Release,"Sysco's (SYY) third-quarter fiscal 2021 results are likely to reflect softness in International unit owing to pandemic-led lockdown in various regions. Also, product cost inflation is a concern.",2021-04-30 14:46:00+00:00,http://www.zacks.com/stock/news/1479068/factors-to-watch-ahead-of-syscos-syy-q3-earnings-release?cid=CS-ZC-FT-analyst_blog|earnings_preview-1479068,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,True,False,False,False,0.0,255,"['EL', 'TSN', 'SYY', 'MED']",EL,2021-04-30
"Earnings Scheduled For May 3, 2021","Companies Reporting Before The Bell
• Scienjoy Holding (NASDAQ:SJ) is estimated to report quarterly earnings at $0.58 per share on revenue of $540.11 million.
• DZS (NASDAQ:DZSI) is estimated to report quarterly loss at $0.22 per share on revenue of $71.90 million.
• Enel Americas (NYSE:ENIA) is projected to report quarterly earnings at $0.18 per share on revenue of $2.99 billion.
• loanDepot (NYSE:LDI) is likely to report quarterly earnings at $0.58 per share on revenue of $1.02 billion.
• ON Semiconductor (NASDAQ:ON) is expected to report quarterly earnings at $0.33 per share on revenue of $1.46 billion.
• Enterprise Prods Partners (NYSE:EPD) is likely to report quarterly earnings at $0.48 per share on revenue of $7.18 billion.
• Estee Lauder Cos (NYSE:EL) is projected to report quarterly earnings at $1.31 per share on revenue of $3.93 billion.
• CNA Financial (NYSE:CNA) is estimated to report quarterly earnings at $0.88 per share on revenue of $2.85 billion.
• Green Plains (NASDAQ:GPRE) is likely to report quarterly loss at $0.64 per share on revenue of $625.22 million.
• Bel Fuse (NASDAQ:BELFB) is expected to report quarterly earnings at $0.06 per share on revenue of $108.00 million.
• Ceragon Networks (NASDAQ:CRNT) is expected to report quarterly loss at $0.03 per share on revenue of $64.55 million.
• Bel Fuse (NASDAQ:BELFA) is likely to report quarterly earnings at $0.02 per share on revenue of $108.00 million.
• Akoustis Technologies (NASDAQ:AKTS) is estimated to report quarterly loss at $0.28 per share on revenue of $2.25 million.
• WEC Energy Gr (NYSE:WEC) is likely to report quarterly earnings at $1.47 per share on revenue of $2.31 billion.
• Itron (NASDAQ:ITRI) is expected to report quarterly earnings at $0.42 per share on revenue of $535.25 million.
• Karyopharm Therapeutics (NASDAQ:KPTI) is projected to report quarterly loss at $0.71 per share on revenue of $25.17 million.
• Alexander's (NYSE:ALX) is likely to report earnings for its first quarter.
• PetMed Express (NASDAQ:PETS) is expected to report quarterly earnings at $0.40 per share on revenue of $74.03 million.
• DSP Group (NASDAQ:DSPG) is likely to report quarterly earnings at $0.05 per share on revenue of $31.90 million.
• Green Plains Partners (NASDAQ:GPP) is likely to report quarterly earnings at $0.47 per share on revenue of $21.55 million.
• GlycoMimetics (NASDAQ:GLYC) is expected to report earnings for its first quarter.
• Enable Midstream Partners (NYSE:ENBL) is likely to report quarterly earnings at $0.17 per share on revenue of $764.21 million.
• Sterling Bancorp (NASDAQ:SBT) is likely to report quarterly earnings at $0.02 per share on revenue of $25.13 million.
• Loews (NYSE:L) is projected to report earnings for its first quarter.
 
Companies Reporting After The Bell
• Centerspace (NYSE:CSR) is projected to report quarterly loss at $0.38 per share on revenue of $46.03 million.
• Maxar Technologies (NYSE:MAXR) is estimated to report quarterly earnings at $1.06 per share on revenue of $560.30 million.
• Livent (NYSE:LTHM) is projected to report quarterly earnings at $0.01 per share on revenue of $82.13 million.
• Essential Props Realty (NYSE:EPRT) is estimated to report quarterly earnings at $0.10 per share on revenue of $46.49 million.
• CVR Partners (NYSE:UAN) is likely to report earnings for its first quarter.
• SeaSpine Holdings (NASDAQ:SPNE) is projected to report quarterly loss at $0.33 per share on revenue of $40.23 million.
• Ballard Power Systems (NASDAQ:BLDP) is estimated to report earnings for its first quarter.
• Suncor Energy (NYSE:SU) is estimated to report quarterly earnings at $0.35 per share on revenue of $8.51 billion.
• ZoomInfo Technologies (NASDAQ:ZI) is expected to report quarterly earnings at $0.10 per share on revenue of $145.50 million.
• TravelCenters Of America (NASDAQ:TA) is likely to report quarterly loss at $0.72 per share on revenue of $1.41 billion.
• trivago (NASDAQ:TRVG) is likely to report quarterly loss at $0.03 per ...Full story available on Benzinga.com",2021-05-03 08:13:04+00:00,https://www.benzinga.com/news/earnings/21/05/20909065/earnings-scheduled-for-may-3-2021,Benzinga,0.018333333333333337,0.6255555555555556,neutral,0.018333333333333337,True,False,False,False,False,False,False,False,0.0,4079,"['O', 'ELVT', 'JKHY', 'WWD', 'EPRT', 'CBT', 'GLYC', 'TA', 'OHI', 'CINR', 'KFRC', 'HNRG', 'LTHM', 'CNA', 'BRX', 'XPO', 'PKI', 'AGR', 'LGND', 'NSP', 'LTRN', 'CR', 'KPTI', 'ATCO', 'RBC', 'LDI', 'MYGN', 'REGI', 'CSR', 'OGS', 'BELFA', 'RIG', 'ENIA', 'NWPX', 'SHLS', 'CVI', 'VRNS', 'BELFB', 'SCI', 'TCMD', 'OTTR', 'SJ', 'EL', 'ENBL', 'BLDP', 'CRNT', 'SHO', 'DZSI', 'PETS', 'HBP', 'EPD', 'VNOM', 'DSPG', 'SU', 'TRVG', 'QGEN', 'BCEI', 'FLS', 'SOI', 'FRPT', 'VNO', 'ZI', 'RMBS', 'EVER', 'IAG', 'UE', 'FSTR', 'WEC', 'NCSM', 'SANM', 'ON', 'IPI', 'SEDG', 'BSM', 'GAIA', 'WMB', 'XELA', 'STRL', 'SIBN', 'ITUB', 'GPP', 'GPRE', 'CC', 'MAXR', 'ADC', 'MFIN', 'KMT', 'BWXT', 'HLIT', 'ADUS', 'SBT', 'ALX', 'FANG', 'L', 'RILY', 'IRBT', 'FN', 'CURO', 'AWK', 'EARN', 'LEG', 'SPNE', 'ITRI', 'PLOW', 'NTR', 'AWR', 'CPTA', 'MOS', 'AKTS', 'IVAC', 'UAN', 'ARGO', 'CAR', 'CHGG', 'MWA']",EL,2021-05-03
"5 Stocks To Watch For May 3, 2021","Some of the stocks that may grab investor focus today are:

Wall Street expects  Estee Lauder Companies Inc (NYSE: EL) to report quarterly earnings at $1.31 per share on revenue of $3.93 billion before the opening bell. Estee Lauder shares fell 0.8% to close at $313.80 on Friday.
Analysts are expecting  Williams Companies Inc (NYSE: WMB) to have earned $0.29 per share on revenue of $1.97 billion for the latest quarter. The company will ...Full story available on Benzinga.com",2021-05-03 09:08:57+00:00,https://www.benzinga.com/news/earnings/21/05/20909437/5-stocks-to-watch-for-may-3-2021,Benzinga,0.45,0.65,positive,0.45,True,False,False,False,False,False,False,False,0.0,514,"['EL', 'MOS', 'WMB', 'ON', 'DTEA']",EL,2021-05-03
A Peek Into The Markets: US Stock Futures Gain Ahead Of Manufacturing Data,"Pre-open movers
U.S. stock futures traded higher in early pre-market trade after the Dow Jones dipped 185 points in the previous session. However, Wall Street recorded gains for the month of April. Investors are awaiting earnings results from  Estee Lauder Companies Inc (NYSE: EL),  ON Semiconductor Corp (NASDAQ: ON),  Enterprise Products Partners L.P. (NYSE: EPD),  Williams Companies Inc (NYSE: WMB) and  Mosaic Co (NYSE: MOS).
The manufacturing PMI for April is scheduled for release at 9:45 a.m. ET, while the ISM manufacturing composite index and construction spending data will be released at 10:00 a.m. ET. Federal Reserve Bank of New York President John Williams is set to speak at 2:10 p.m. ET.
Futures for the Dow Jones Industrial Average climbed 184 points to 33,951.00 while the Standard & Poor’s 500 index futures gained 18.75 points at 4,193.25. Futures for the Nasdaq 100 index rose 25.75 points to 13,875.75.
The U.S. has the highest number of COVID-19 cases and deaths in the world, with total infections in the country exceeding 32,421,710 with around 577,040 deaths. India reported ...Full story available on Benzinga.com",2021-05-03 10:10:47+00:00,https://www.benzinga.com/news/earnings/21/05/20910053/a-peek-into-the-markets-us-stock-futures-gain-ahead-of-manufacturing-data,Benzinga,0.07696969696969697,0.45212121212121215,neutral,0.07696969696969697,True,False,False,False,True,False,False,False,0.0,1218,"['AJG', 'EL', 'EMN', 'EPD', 'MOS', 'WMB', 'ON', 'AMPH', 'DTEA']",EL,2021-05-03
Carter Worth And Mike Khouw's Estée Lauder Trade,"On CNBC's ""Options Action,"" Carter Worth and Mike Khouw spoke about Estée Lauder Companies (NYSE: EL).
Worth analyzed the stock from the technical standpoint and he said the stock is in an uptrend. He has also noticed it's just now breaking out above its relative tops that have been in effect for almost three years. Worth thinks the stock is ...Full story available on Benzinga.com",2021-05-03 11:13:37+00:00,https://www.benzinga.com/markets/options/21/05/20908103/carter-worth-and-mike-khouws-est-e-lauder-trade,Benzinga,0.1888888888888889,0.12222222222222223,positive,0.1888888888888889,False,False,False,False,False,False,False,False,0.2,433,['EL'],EL,2021-05-03
