date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-25,0.0536,,1,0.0536,0.0,0,1,1,0,0,0,0,0,203.0,ETR
2021-04-26,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,135.0,ETR
2021-04-27,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,219.0,ETR
2021-04-28,0.0,0.0,3,0.0,0.0,3,0,0,0,0,0,0,0,184.6667,ETR
2021-05-18,0.0373,,1,0.0373,0.0,1,0,0,0,0,0,0,0,679.0,ETR
2021-06-01,-0.1528,,1,0.1528,0.0,0,0,0,0,0,0,0,0,272.0,ETR
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,ETR
2021-06-16,0.1179,0.1447,2,0.1179,0.0,1,0,0,0,0,1,0,0,243.0,ETR
2021-06-18,0.3619,,1,0.3619,0.0,0,0,0,0,0,1,1,0,176.0,ETR
2021-06-29,0.1292,0.0412,2,0.1292,0.0,0,1,0,0,0,0,0,0,228.5,ETR
2021-07-01,-0.1875,,1,0.1875,0.0,0,0,0,0,0,0,0,0,209.0,ETR
2021-07-05,-0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,179.0,ETR
2021-07-06,0.2397,,1,0.2397,0.0,0,0,0,0,0,1,0,0,219.0,ETR
2021-07-09,-0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,251.0,ETR
2021-07-15,0.2167,,1,0.2167,0.0,1,0,0,0,0,1,0,0,219.0,ETR
2021-07-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,247.0,ETR
2021-07-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,230.0,ETR
2021-07-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,188.0,ETR
2021-07-28,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,239.0,ETR
2021-07-29,0.1333,,1,0.1333,0.0,1,0,0,0,0,0,0,0,228.0,ETR
2021-08-03,0.0945,,1,0.0945,0.0,1,0,1,0,0,0,1,0,229.0,ETR
2021-08-04,0.0,0.0,2,0.0,0.0,2,0,1,0,0,0,0,0,203.0,ETR
2021-08-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,114.0,ETR
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,232.0,ETR
2021-08-25,0.4952,,1,0.4952,0.0,0,0,0,0,0,0,0,0,248.0,ETR
