title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Are You Looking for a Top Momentum Pick? Why Extra Space Storage (EXR) is a Great Choice,Does Extra Space Storage (EXR) have what it takes to be a top stock pick for momentum investors? Let's find out.,2021-04-28 16:00:06+00:00,http://www.zacks.com/stock/news/1467734/are-you-looking-for-a-top-momentum-pick-why-extra-space-storage-exr-is-a-great-choice?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_10-1467734,Zacks Investment Research,0.36,0.39,positive,0.36,False,False,False,False,False,False,False,False,0.0,202,['EXR'],EXR,2021-04-28
Extra Space Storage (EXR) Beats Q1 FFO Estimates,"Extra Space Storage (EXR) delivered FFO and revenue surprises of 0.67% and -0.88%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-28 21:45:11+00:00,http://www.zacks.com/stock/news/1469458/extra-space-storage-exr-beats-q1-ffo-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1469458,Zacks Investment Research,0.0,0.10000000000000002,neutral,0.0,True,False,False,False,False,False,False,False,0.0,240,['EXR'],EXR,2021-04-28
"Extra Space Storage (EXR) Q1 FFO Tops Estimates, Revenues Miss",Robust average occupancy aids same-store net operating income growth for Extra Space Storage (EXR) in Q1.,2021-04-29 15:52:00+00:00,http://www.zacks.com/stock/news/1473972/extra-space-storage-exr-q1-ffo-tops-estimates-revenues-miss?cid=CS-ZC-FT-analyst_blog|earnings_article-1473972,Zacks Investment Research,-0.0375,0.15,neutral,0.0375,True,False,False,False,False,False,False,False,0.0,169,"['HIW', 'BXP', 'PSB', 'EXR']",EXR,2021-04-29
Extra Space Storage Inc (EXR) Q1 2021 Earnings Call Transcript,"EXR earnings call for the period ending March 31, 2021.",2021-04-29 20:01:13+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/29/extra-space-storage-inc-exr-q1-2021-earnings-call/?source=iedfolrf0000001,The Motley Fool,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,119,['EXR'],EXR,2021-04-29
Shortages Of Everything,Real estate equities were mixed amid the busiest week of earnings with 100 REITs reporting results. Seven REITs boosted their dividends this past week while earnings continue to impress.,2021-05-08 17:00:00+00:00,https://seekingalpha.com/article/4425948-shortages-of-everything?source=feed,Seeking Alpha,-0.016666666666666663,0.26666666666666666,neutral,0.016666666666666663,True,False,False,False,False,True,False,False,0.0,211,"['EQC', 'MNR', 'AMH', 'CPLG', 'APLE', 'PEB', 'HST', 'PK', 'REG', 'BRX', 'FRT', 'RPT', 'DHC', 'VTR', 'LXP', 'PLYM', 'TRNO', 'COLD', 'NNN', 'EPR', 'SRC', 'STOR', 'O', 'PEI', 'SKT', 'LSI', 'NSA', 'LAMR', 'OUT', 'SPG', 'MAC', 'NHI', 'GEO', 'BRG', 'APTS', 'AFCG', 'BRMK', 'CLNC', 'AJX', 'ABR', 'EARN', 'CIM', 'ACRE', 'ACR', 'TRTX', 'TWO', 'IVR', 'HASI', 'PFFR', 'RC', 'EQIX', 'EXR', 'ADC', 'PEAK']",EXR,2021-05-08
Here's Why You Should Hold on to Extra Space (EXR) Stock Now,"While Extra Space's (EXR) high brand value and robust presence in key cities serve as growth drivers, development boom and a likely rise in vacate volumes with the pandemic's abatement are concerns.",2021-05-21 12:28:00+00:00,http://www.zacks.com/stock/news/1583584/heres-why-you-should-hold-on-to-extra-space-exr-stock-now?cid=CS-ZC-FT-analyst_blog|zer_report_update-1583584,Zacks Investment Research,0.032,0.548,neutral,0.032,False,False,False,False,False,False,False,False,0.0,260,"['EXR', 'OUT', 'ILPT', 'BHR']",EXR,2021-05-21
Is it Wise to Hold On to Public Storage (PSA) Stock Now?,"Public Storage (PSA) is poised to gain from high brand value, strategic acquisitions and robust presence in key cities though a development boom in many markets is a concern.",2021-05-27 13:50:00+00:00,http://www.zacks.com/stock/news/1614187/is-it-wise-to-hold-on-to-public-storage-psa-stock-now?cid=CS-ZC-FT-analyst_blog|zer_report_update-1614187,Zacks Investment Research,0.22666666666666666,0.5122222222222222,positive,0.22666666666666666,False,True,False,False,False,False,False,False,0.0,232,"['LSI', 'PSA', 'EXR', 'CUBE']",EXR,2021-05-27
Why Is Extra Space Storage (EXR) Up 0.3% Since Last Earnings Report?,Extra Space Storage (EXR) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2021-05-28 15:31:57+00:00,http://www.zacks.com/stock/news/1619797/why-is-extra-space-storage-exr-up-03-since-last-earnings-report?cid=CS-ZC-FT-realtime_blog-1619797,Zacks Investment Research,0.0,0.06666666666666668,neutral,0.0,True,False,False,False,False,False,False,False,0.0,206,['EXR'],EXR,2021-05-28
Rents Are Surging Again,"Driven by an intensifying housing shortage as robust demand clashes with historically low supply, data this week showed that home values and rents are both rising at historic rates.",2021-05-29 18:00:00+00:00,https://seekingalpha.com/article/4432051-rents-are-surging-again?source=feed,Seeking Alpha,0.0,0.15,neutral,0.0,False,False,False,False,False,False,False,False,0.0,206,"['AAIC', 'AAT', 'ABR', 'ACC', 'ACR', 'ACRE', 'ADC', 'AFCG', 'AFIN', 'AFINO', 'AFINP', 'AGG', 'AGNC', 'AGNCM', 'AGNCN', 'AGNCO', 'AGNCP', 'AHH', 'AHT', 'AIC', 'AIRC', 'AIV', 'AIW', 'AJX', 'AJXA', 'AKR', 'ALEX', 'ALX', 'AMC', 'AMH', 'AMT', 'APLE', 'APTS', 'ARE', 'ARI', 'ARR', 'AVB', 'AWP', 'BDN', 'BFS', 'BHR', 'BLDG', 'BNL', 'BPYU', 'BPYUP', 'BRG', 'BRMK', 'BRT', 'BRX', 'BXMT', 'BXP', 'CCI', 'CDOR', 'CDR', 'CHCT', 'CHMI', 'CIM', 'CIO', 'CLDT', 'CLI', 'CLNC', 'CLNY', 'CLPR', 'CMCT', 'CMCTP', 'CMO', 'COLD', 'CONE', 'COR', 'CORR', 'CPLG', 'CPT', 'CSR', 'CTRE', 'CTT', 'CUBE', 'CUZ', 'CXP', 'CXW', 'CZR', 'DEA', 'DEI', 'DHC', 'DJP', 'DLR', 'DOC', 'DRE', 'DRH', 'DRW', 'DX', 'EARN', 'EFA', 'EFC', 'EGP', 'ELS', 'EPR', 'EPRT', 'EQC', 'EQIX', 'EQR', 'ESRT', 'ESS', 'EWRE', 'EXR', 'FCPT', 'FFR', 'FPI', 'FR', 'FREL', 'FRI', 'FRT', 'FSP', 'GEO', 'GLPI', 'GME', 'GMRE', 'GNL', 'GOOD', 'GOODM', 'GOODN', 'GPMT', 'GQRE', 'GTY', 'HASI', 'HAUZ', 'HD', 'HIW', 'HMG', 'HOMZ', 'HPP', 'HR', 'HST', 'HT', 'HTA', 'ICF', 'IFGL', 'IGR', 'IHT', 'IIPR', 'ILPT', 'INDS', 'INN', 'INVH', 'IRM', 'IRT', 'ITB', 'IVR', 'IYR', 'JBGS', 'JRS', 'KBWY', 'KIM', 'KRC', 'KREF', 'KRG', 'LADR', 'LAMR', 'LAND', 'LANDO', 'LFT', 'LOW', 'LSI', 'LTC', 'LXP', 'MAA', 'MAC', 'MDRR', 'MDY', 'MFA', 'MGM', 'MGP', 'MITT', 'MNR', 'MORT', 'MPW', 'NAIL', 'NETL', 'NHI', 'NLY', 'NNN', 'NREF', 'NRO', 'NRZ', 'NSA', 'NTST', 'NURE', 'NXRT', 'NYC', 'NYMT', 'NYMTM', 'NYMTN', 'NYMTO', 'NYMTP', 'O', 'OFC', 'OHI', 'OLP', 'OPI', 'OPINI', 'ORC', 'OUT', 'PCH', 'PDM', 'PEAK', 'PEB', 'PEI', 'PENN', 'PFFR', 'PGRE', 'PGZ', 'PINE', 'PK', 'PKB', 'PLD', 'PLYM', 'PMT', 'PPTY', 'PSA', 'PSB', 'PSR', 'PSTL', 'PW', 'QQQ', 'QTS', 'RC', 'RCA', 'RDFN', 'RDOG', 'REC', 'REET', 'REG', 'REIT', 'REM', 'REXR', 'REZ', 'RFI', 'RHP', 'RLJ', 'RNP', 'ROIC', 'ROOF', 'RPAI', 'RPT', 'RQI', 'RVI', 'RWO', 'RWR', 'RWT', 'RWX', 'RYN', 'SACC', 'SACH', 'SAFE', 'SBAC', 'SBRA', 'SCCB', 'SCCC', 'SCHH', 'SELF', 'SHO', 'SITC', 'SKT', 'SLG', 'SLY', 'SNR', 'SOHO', 'SOHOB', 'SOHON', 'SOHOO', 'SPG', 'SPGS', 'SPGS.U', 'SPY', 'SQFT', 'SRC', 'SRG', 'SRVR', 'STAG', 'STAR', 'STOR', 'STWD', 'SUI', 'SVC', 'TIP', 'TOL', 'TRMT', 'TRNO', 'TRTX', 'TWO', 'UBA', 'UBP', 'UDR', 'UE', 'UHT', 'UMH', 'UNIT', 'USRT', 'VER', 'VICI', 'VNO', 'VNQ', 'VNQI', 'VPN', 'VRAI', 'VTR', 'WELL', 'WHLR', 'WHLRD', 'WHLRP', 'WMC', 'WPC', 'WPG', 'WPS', 'WRE', 'WRI', 'WSR', 'WY', 'XHB', 'XHR', 'XLB', 'XLE', 'XLI', 'XLRE']",EXR,2021-05-29
"Benzinga's Top Ratings Upgrades, Downgrades For June 4, 2021","Upgrades

According to Argus Research, the prior rating for Diageo PLC (NYSE:DEO) was changed from Hold to Buy. The current stock performance of Diageo shows a 52-week-high of $195.03 and a 52-week-low of $127.12. Moreover, at the end of the last trading period, the closing price was at $192.88.
According to DA Davidson, the prior rating for FormFactor Inc (NASDAQ:FORM) was changed from Neutral to Buy. For the first quarter, FormFactor had an EPS of $0.38, compared to year-ago quarter EPS of $0.33. The stock has a 52-week-high of $52.39 and a 52-week-low of $22.37. At the end of the last trading period, FormFactor closed at $33.31.
According to Stephens & Co., the prior rating for Dick's Sporting Goods Inc (NYSE:DKS) was changed from Underweight to Equal-Weight. Dick's Sporting Goods earned $3.79 in the first quarter, compared to $1.21 in the year-ago quarter. At the moment, the stock has a 52-week-high of $101.30 and a 52-week-low of $34.66. Dick's Sporting Goods closed at $95.77 at the end of the last trading period.
Citigroup upgraded the previous rating for Mirati Therapeutics Inc (NASDAQ:MRTX) from Neutral to Buy. For the first quarter, Mirati Therapeutics had an EPS of $2.67, compared to year-ago quarter EPS of $2.02. The current stock performance of Mirati Therapeutics shows a 52-week-high of $249.42 and a 52-week-low of $91.90. Moreover, at the end of the last trading period, the closing price was at $154.86.
For Wells Fargo & Co (NYSE:WFC), B of A Securities upgraded the previous rating of Neutral to Buy. Wells Fargo earned $1.05 in the first quarter, compared to $0.80 in the year-ago quarter. The current stock performance of Wells Fargo shows a 52-week-high of $48.13 and a 52-week-low of $20.76. Moreover, at the end of the last trading period, the closing price was at $46.46.
According to Wells Fargo, the prior rating for Bank OZK (NASDAQ:OZK) was changed from Equal-Weight to Overweight. Bank OZK earned $1.11 in the first quarter, compared to $0.09 in the year-ago quarter. The stock has a 52-week-high of $45.83 and a 52-week-low of $20.10. At the end of the last trading period, Bank OZK closed at $42.95.
William Blair upgraded the previous rating for Inogen Inc (NASDAQ:INGN) from Market Perform to Outperform. Inogen earned $0.03 in the first quarter, compared to $0.07 in the year-ago quarter. The stock has a 52-week-high of $69.00 and a 52-week-low of $26.57. At the end of the last trading period, Inogen closed at $59.49.
For Penumbra Inc (NYSE:PEN), BTIG upgraded the previous rating of Neutral to Buy. In the first quarter, Penumbra showed an EPS of $0.27, compared to $0.00 from the year-ago quarter. At the moment, the stock has a 52-week-high of $314.22 and a 52-week-low of $163.48. Penumbra closed at $256.66 at the end of the last trading period.
Stifel upgraded the previous rating for Northrop Grumman Corp (NYSE:NOC) from Hold to Buy. In the first quarter, Northrop Grumman showed an EPS of $6.57, compared to $5.15 from the year-ago quarter. At the moment, the stock has a 52-week-high of $378.61 and a 52-week-low of $282.88. Northrop Grumman closed at $366.51 at the end of the last trading period.
UBS upgraded the previous rating for United States Steel Corp (NYSE:X) from Sell to Neutral. United States Steel earned $1.08 in the first quarter, compared to $0.73 in the year-ago quarter. The current stock performance of United States Steel shows a 52-week-high of $29.97 and a 52-week-low of $6.58. Moreover, at the end of the last trading period, the closing price was at $25.89.

See all analyst ratings upgrades.
 
Downgrades

According to Wolfe Research, the prior rating for ArcBest Corp (NASDAQ:ARCB) was changed from Outperform to Peer Perform. ArcBest earned $1.01 in the first quarter, compared ...Full story available on Benzinga.com",2021-06-04 14:03:01+00:00,https://www.benzinga.com/analyst-ratings/upgrades/21/06/21429698/benzingas-top-ratings-upgrades-downgrades-for-june-4-2021,Benzinga,0.041860465116279076,0.18837209302325578,neutral,0.041860465116279076,False,True,True,False,False,False,False,False,0.0,3876,"['ASB', 'WFC', 'QTRX', 'AVTR', 'X', 'OZK', 'FORM', 'CNST', 'TWST', 'ADS', 'BUR', 'CRNC', 'AVB', 'PFMT', 'TARA', 'DEO', 'CCCC', 'NMTR', 'DKS', 'MRTX', 'YMTX', 'ELS', 'INGN', 'EXR', 'ARCB', 'FRT', 'GO', 'KIM', 'TCON', 'NOC', 'CERC', 'PNR', 'SFT', 'REG', 'PEN', 'SPG', 'WKHS', 'SUI', 'WINT']",EXR,2021-06-04
