title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Jump Over 1% on Dow’s Third Day in the Green,Stocks Jump Over 1% on Dow’s Third Day in the Green,2020-04-27 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25141,Zacks Investment Research,-0.1,0.15,neutral,0.1,False,False,False,False,False,False,False,False,0.0,104,"['ATSG', 'HAIN', 'CURO', 'NTGR', 'GOOG', 'FB', 'MSFT', 'AMZN', 'AAPL', 'CAT', 'MMM', 'BA', 'CVX', 'XOM']",MMM,2020-04-27
Stocks Slide as Tech Stalls Again,Stocks Slide as Tech Stalls Again,2020-07-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26138,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,68,"['BGS', 'NTGR', 'TPB', 'CSPR', 'STKL', 'LVS', 'INCY', 'NEO', 'MIME', 'MPC', 'NVCR', 'MTCH', 'RUN', 'TJX', 'VFC', 'XYL', 'YNDX', 'GOOG', 'AMZN', 'AAPL', 'PFE', 'MMM', 'MCD', 'AMD']",MMM,2020-07-29
Market Drops Well Over 3% as Lockdown Fears Rise,Market Drops Well Over 3% as Lockdown Fears Rise,2020-10-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27135,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,98,"['HAIN', 'VIVO', 'CLAR', 'GLW', 'BBBY', 'UNP', 'INTC', 'BBY', 'HUBB', 'BC', 'WHR', 'MHK', 'MMM', 'ADP', 'AAPL', 'AMZN', 'FB', 'GOOG']",MMM,2020-10-29
Dow Sets New Record and Clears 30K for the First Time,Dow Sets New Record and Clears 30K for the First Time,2020-11-25 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27456,Zacks Investment Research,0.19318181818181818,0.3939393939393939,positive,0.19318181818181818,False,False,False,False,False,False,False,False,0.0,108,"['SNA', 'SSNC', 'VMC', 'LEN', 'QTNT', 'VBR', 'VHT', 'CCRN', 'SHOP', 'MHK', 'MMM', 'WHR', 'JBL', 'TPR', 'LH', 'BZH', 'OSTK', 'LEVI', 'ATHM', 'PRPL', 'GDS', 'AMRK', 'STNE', 'COP', 'ELAN', 'INCY', 'NUAN', 'ULTA', 'ACM', 'TCS', 'AZN', 'PFE', 'MRNA', 'FB', 'AAPL', 'NFLX', 'GOOG']",MMM,2020-11-25
NASDAQ Winning Streak Ends as Stocks Slip Slightly,NASDAQ Winning Streak Ends as Stocks Slip Slightly,2021-01-27 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28092,Zacks Investment Research,0.16666666666666669,0.4583333333333333,positive,0.16666666666666669,False,False,False,False,False,False,False,False,0.0,102,"['FNKO', 'VET', 'DNOW', 'HIMX', 'SAVA', 'ETSY', 'VCEL', 'KMT', 'OSTK', 'NTAP', 'NEO', 'VZ', 'IIPR', 'CRON', 'HEXO', 'MSFT', 'MMM', 'JNJ', 'GME', 'AAPL', 'FB', 'TSLA']",MMM,2021-01-27
These 3 Value Stocks Are Too Cheap to Pass Up,Lower prices have these stocks trading at attractive bargains right now.,2021-04-17 12:54:00+00:00,https://www.fool.com/investing/2021/04/17/these-3-value-stocks-are-too-cheap-to-pass-up/?source=iedfolrf0000001,The Motley Fool,0.49523809523809526,0.7452380952380953,positive,0.49523809523809526,False,False,False,False,False,False,False,False,0.0,119,"['MMM', 'BAM', 'CEQP', 'BEP', 'BEPC']",MMM,2021-04-17
3 Dividend Stocks That Should Pay You for the Rest of Your Life,Looking for a lifetime of income in retirement? Here are three dividend stocks to look at right now.,2021-04-22 13:54:00+00:00,https://www.fool.com/investing/2021/04/22/3-dividend-stocks-that-should-pay-you-for-the-rest/?source=iedfolrf0000001,The Motley Fool,0.2857142857142857,0.5357142857142857,positive,0.2857142857142857,False,False,False,False,False,True,False,False,0.0,165,"['MMM', 'SO', 'O']",MMM,2021-04-22
What's in the Offing for 3M (MMM) This Earnings Season?,"End-market challenges, high restructuring expenses and forex woes are likely to have affected 3M's (MMM) Q1 performance. Solid demand for respirators and acquired assets might have aided.",2021-04-23 11:20:00+00:00,http://www.zacks.com/stock/news/1441141/whats-in-the-offing-for-3m-mmm-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1441141,Zacks Investment Research,0.05333333333333334,0.5466666666666667,neutral,0.05333333333333334,True,True,False,False,False,False,False,False,0.0,244,"['DE', 'MMM', 'ITT', 'CFX']",MMM,2021-04-23
3M Earnings Preview: Here's What to Expect,Analyzing the investment case for 3M and why the upcoming results will be very closely followed.,2021-04-23 11:49:00+00:00,https://www.fool.com/investing/2021/04/23/3m-earnings-preview-heres-what-to-expect/?source=iedfolrf0000001,The Motley Fool,0.2,0.3,positive,0.2,True,False,False,False,False,False,False,False,0.0,140,"['MMM', 'ITW']",MMM,2021-04-23
One Last Hurrah? The Stocks To Buy Now,"Warning signals are flashing, suggesting it could be smart to fade the next move up. The strongest sectors currently include financials, REITs, and consumer goods.",2021-04-25 08:09:04+00:00,https://seekingalpha.com/article/4421093-one-last-hurrah-stocks-to-buy-now?source=feed,Seeking Alpha,0.05357142857142857,0.2773809523809524,neutral,0.05357142857142857,False,True,True,False,False,False,False,False,0.0,203,"['ABBV', 'ACHC', 'ADP', 'AEP', 'AFIN', 'AFINO', 'AFINP', 'AIZ', 'ALE', 'ALOT', 'ALRM', 'ASH', 'AVNT', 'BANR', 'BIP', 'BMY', 'BRO', 'BXS', 'CB', 'CLI', 'CMCSA', 'CMO', 'CMP', 'CNO', 'CNP', 'CODI', 'CPLG', 'CQP', 'CSL', 'CTVA', 'CVS', 'DBX', 'DKL', 'DTB', 'DTE', 'DTJ', 'DTP', 'DTW', 'ED', 'EFC', 'EFX', 'EMN', 'EPD', 'ESI', 'ETR', 'EVH', 'EVLO', 'EXPD', 'EXPO', 'FANG', 'FIS', 'FOXF', 'GLP', 'GPC', 'GPN', 'GRA', 'HAIN', 'HD', 'HOME', 'IART', 'ICHR', 'IPG', 'IT', 'JCOM', 'KBH', 'KO', 'LEG', 'LEVI', 'LLY', 'MAC', 'MEDP', 'MGP', 'MLM', 'MMM', 'MMP', 'MNST', 'NI', 'NLY', 'NOC', 'NWL', 'OIS', 'OPRX', 'OSIS', 'OTEX', 'OXY', 'PBFX', 'PFG', 'PFH', 'PFPT', 'PII', 'PPG', 'PRS', 'PRU', 'RPT', 'RRR', 'RSG', 'SHW', 'SLG', 'SRE', 'SREA', 'SSD', 'STAR', 'STZ', 'STZ.B', 'TSCO', 'WES', 'WTFC', 'WTFCM', 'WTFCP', 'WTRG', 'WWW', 'YUM']",MMM,2021-04-25
