title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Step Back Amid Weak Economic Data and Earnings Reports,Stocks Step Back Amid Weak Economic Data and Earnings Reports,2020-04-16 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25030,Zacks Investment Research,-0.05833333333333334,0.27499999999999997,neutral,0.05833333333333334,True,False,False,False,False,False,False,False,0.0,124,"['NTGR', 'MOS', 'BAC', 'C', 'GS', 'NFLX', 'AMZN']",MOS,2020-04-16
NASDAQ Adds Another 1% as Stocks Finish Positive Again,NASDAQ Adds Another 1% as Stocks Finish Positive Again,2020-05-06 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25247,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,False,False,False,False,False,False,False,False,0.0,110,"['TRST', 'CINF', 'VZ', 'MOS', 'ESPR', 'CODI', 'TWTR', 'TMUS', 'EXPE', 'ETSY', 'BMRN', 'HTHT', 'DRI', 'YNDX', 'RMBS', 'CTXS', 'SGMO', 'SMED', 'NFLX', 'GOOG', 'AAPL', 'MSFT', 'DIS']",MOS,2020-05-06
"NASDAQ Jumps 6.8% in May; Dow, S&P Each Climb Over 4%","NASDAQ Jumps 6.8% in May; Dow, S&P Each Climb Over 4%",2020-06-01 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25506,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,108,"['AINV', 'MOS', 'UPWK', 'RCL', 'TPC', 'GLD', 'CME']",MOS,2020-06-01
"S&P Crosses 3400, Continues Record Pace with NASDAQ","S&P Crosses 3400, Continues Record Pace with NASDAQ",2020-08-25 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26439,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,104,"['ITB', 'XHB', 'USMV', 'AMBA', 'PAR', 'LL', 'AN', 'CWH', 'BIG', 'BJ', 'MOS', 'CCL', 'FB', 'AAPL']",MOS,2020-08-25
NASDAQ Down Another 4% as Tech Selloff Continues,NASDAQ Down Another 4% as Tech Selloff Continues,2020-09-09 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26591,Zacks Investment Research,-0.15555555555555559,0.2888888888888889,negative,0.15555555555555559,False,False,False,False,False,False,False,False,0.0,98,"['ZBRA', 'LRCX', 'AAP', 'UCTT', 'RCL', 'DLTR', 'IRBT', 'UFPI', 'SCO', 'YNDX', 'MRVL', 'NFLX', 'VFC', 'NKE', 'BURL', 'HTHT', 'FIVE', 'LVS', 'ROST', 'HBI', 'MAXR', 'MOS', 'BIG', 'SPWH', 'ARTL', 'AAPL']",MOS,2020-09-09
Market Pulls Back from Highs to Catch its Breath,Market Pulls Back from Highs to Catch its Breath,2021-01-12 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27918,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,98,"['SLV', 'SUN', 'PNFP', 'MSM', 'CLF', 'FITB', 'GS', 'C', 'BLDR', 'ALLY', 'FNF', 'LPX', 'HUN', 'JBL', 'OLN', 'OMI', 'TGT', 'MOS', 'X', 'JPM', 'C', 'PNC', 'WFC']",MOS,2021-01-12
Stocks Back in the Green to Start February,Stocks Back in the Green to Start February,2021-02-02 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28158,Zacks Investment Research,-0.1,0.15,neutral,0.1,False,False,False,False,False,False,False,False,0.0,86,"['FPI', 'MOS', 'KL', 'VIVO', 'HZO', 'PII', 'CARG', 'THR', 'CDE', 'TGNA', 'NAVI', 'TPH', 'GPK', 'PHM', 'AA', 'HUN', 'OLN', 'OMC', 'TROX', 'X', 'GOOG', 'AMZN', 'ICLK', 'AMD', 'EXPI', 'GME', 'AMC', 'NFLX']",MOS,2021-02-02
Sherwin-Williams (SHW) to Post Q1 Earnings: What's in Store?,Sherwin-Williams' (SHW) first-quarter results are likely to reflect strong demand and cost-control initiatives.,2021-04-23 14:44:00+00:00,http://www.zacks.com/stock/news/1441806/sherwin-williams-shw-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1441806,Zacks Investment Research,0.21666666666666665,0.8666666666666667,positive,0.21666666666666665,True,False,False,False,False,False,False,False,0.0,173,"['SHW', 'CF', 'MOS', 'ASIX']",MOS,2021-04-23
U.S. Steel (X) to Post Q1 Earnings: What's in the Cards?,U.S. Steel's (X) Q1 results are likely to have benefited from strong demand across end markets and higher domestic steel prices.,2021-04-26 10:53:00+00:00,http://www.zacks.com/stock/news/1455503/us-steel-x-to-post-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455503,Zacks Investment Research,0.17083333333333334,0.5833333333333334,positive,0.17083333333333334,True,False,False,False,False,False,False,False,0.0,186,"['X', 'CF', 'MOS', 'ASIX']",MOS,2021-04-26
What's in the Offing for International Paper's (IP) Q1 Earnings?,"International Paper's (IP) Q1 results are likely to reflect elevated input costs, as well as higher maintenance outages across its segments.",2021-04-26 12:49:00+00:00,http://www.zacks.com/stock/news/1456063/whats-in-the-offing-for-international-papers-ip-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456063,Zacks Investment Research,0.0625,0.375,neutral,0.0625,True,False,False,False,False,False,False,False,0.0,206,"['WLK', 'IP', 'BG', 'MOS']",MOS,2021-04-26
