title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Down for Fifth Straight Day as Stocks Slump Over 1%,NASDAQ Down for Fifth Straight Day as Stocks Slump Over 1%,2020-10-20 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27030,Zacks Investment Research,0.022222222222222213,0.34444444444444444,neutral,0.022222222222222213,False,False,False,False,False,False,False,False,0.0,118,"['VC', 'LEA', 'CROX', 'ZEN', 'EGAN', 'GLW', 'WSO', 'USX', 'TACO', 'TUFN', 'MAXR', 'LEN', 'DHI', 'PHM', 'JBL', 'LKQ', 'TGT', 'AAPL', 'GOOG', 'AMZN', 'FB', 'NFLX', 'PG', 'TXN', 'LMT', 'SNAP']",PG,2020-10-20
Wall Street Breakfast: Up In Smoke,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-20 11:18:30+00:00,https://seekingalpha.com/article/4419960-wall-street-breakfast-up-in-smoke?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,173,"['TWTR', 'MO', 'PM', 'JNJ', 'LMT', 'PG', 'NFLX', 'KO', 'HOG', 'UAL', 'IBM', 'AAPL', 'GOOG', 'GOOGL', 'AMZN', 'AVAV', 'NVDA', 'FB', 'MCD', 'PYPL', 'XOM', 'TSLA', 'COIN']",PG,2021-04-20
Warren Buffett Owns These 5 Dividend Aristocrats. Should You?,"The stock market's dividend yield is at a 10-year low, but these five companies still yield over 2%.",2021-04-20 12:12:00+00:00,https://www.fool.com/investing/2021/04/20/warren-buffett-owns-these-5-dividend-aristocrats-s/?source=iedfolrf0000001,The Motley Fool,0.0,0.3,neutral,0.0,False,False,False,False,False,True,False,False,0.0,163,"['BRK.A', 'BRK.B', 'KO', 'JNJ', 'CVX', 'PG', 'ABBV']",PG,2021-04-20
These 3 Dividend ETFs Are a Retiree's Best Friend,Looking for a worry-free retirement? Consider these three funds.,2021-04-20 13:13:00+00:00,https://www.fool.com/investing/2021/04/20/these-3-dividend-etfs-are-a-retirees-best-friend/?source=iedfolrf0000001,The Motley Fool,1.0,0.3,positive,1.0,False,False,False,False,False,True,False,False,0.0,115,"['SDY', 'VYM', 'SCHD', 'T', 'JPM', 'XOM', 'TXN', 'JNJ', 'PG', 'HD', 'AMGN', 'PBCT']",PG,2021-04-20
Stocks Slip from Highs in Groggy Start to Week,Stocks Slip from Highs in Groggy Start to Week,2021-04-20 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29071,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,94,"['SNA', 'AYI', 'CBSH', 'JBL', 'XOM', 'VLO', 'UNFI', 'ANF', 'CNHI', 'MPC', 'TOL', 'JPM', 'GS', 'KO', 'IBM', 'NFLX', 'JNJ', 'PG', 'ABT']",PG,2021-04-20
Wall Street Breakfast: Coming Of Age?,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-21 11:21:26+00:00,https://seekingalpha.com/article/4420212-wall-street-breakfast-netflix?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['NFLX', 'AMZN', 'DIS', 'T', 'CMCSA', 'VIAC', 'CXW', 'GEO', 'SWBI', 'AXON', 'ABT', 'JNJ', 'LMT', 'PM', 'PG', 'KO', 'AAPL', 'MSFT', 'AAL', 'BA', 'GOOG', 'COIN']",PG,2021-04-21
Dow Back Below 34K as Stocks Slip for Second Day,Dow Back Below 34K as Stocks Slip for Second Day,2021-04-21 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29090,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,True,False,False,False,False,False,0.0,98,"['WWE', 'SQ', 'NVAX', 'HTHT', 'TWTR', 'TDC', 'FOUR', 'BMRN', 'NVCR', 'STNE', 'YNDX', 'NFLX', 'JNJ', 'PG']",PG,2021-04-21
Procter & Gamble Just Made a $19 Billion Promise,The consumer staples giant just increased its cash return plans.,2021-04-25 11:12:00+00:00,https://www.fool.com/investing/2021/04/25/procter-gamble-just-made-a-19-billion-promise/?source=iedfolrf0000001,The Motley Fool,0.0,1.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,114,['PG'],PG,2021-04-25
3 Surefire Stocks to Buy If the Market Crashes,Think safety first.,2021-04-26 10:00:00+00:00,https://www.fool.com/investing/2021/04/26/3-surefire-stocks-to-buy-if-the-market-crashes/?source=iedfolrf0000001,The Motley Fool,0.25,0.3333333333333333,positive,0.25,False,True,False,False,False,False,False,False,0.0,67,"['DIS', 'PG', 'TGT']",PG,2021-04-26
Prologis CEO Says Business Demand Is Strongest of His Career,The nation's largest logistics company is in the midst of a perfect environment as supply chains restock.,2021-04-26 16:12:00+00:00,https://www.fool.com/investing/2021/04/26/prologis-ceo-says-environment-strongest-in-his-car/?source=iedfolrf0000001,The Motley Fool,1.0,1.0,positive,1.0,False,False,False,False,False,False,True,False,0.0,167,"['PLD', 'AMZN', 'FDX', 'PG', 'HD']",PG,2021-04-26
