title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Wall Street Breakfast: Up In Smoke,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-20 11:18:30+00:00,https://seekingalpha.com/article/4419960-wall-street-breakfast-up-in-smoke?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,173,"['TWTR', 'MO', 'PM', 'JNJ', 'LMT', 'PG', 'NFLX', 'KO', 'HOG', 'UAL', 'IBM', 'AAPL', 'GOOG', 'GOOGL', 'AMZN', 'AVAV', 'NVDA', 'FB', 'MCD', 'PYPL', 'XOM', 'TSLA', 'COIN']",PM,2021-04-20
Wall Street Breakfast: Coming Of Age?,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-21 11:21:26+00:00,https://seekingalpha.com/article/4420212-wall-street-breakfast-netflix?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['NFLX', 'AMZN', 'DIS', 'T', 'CMCSA', 'VIAC', 'CXW', 'GEO', 'SWBI', 'AXON', 'ABT', 'JNJ', 'LMT', 'PM', 'PG', 'KO', 'AAPL', 'MSFT', 'AAL', 'BA', 'GOOG', 'COIN']",PM,2021-04-21
Altria: Investors Need To Take Regulation Plans Seriously,"I remain very long Altria, but always keep an eye on how the regulatory environment is developing and especially what plans the FDA has regarding reduced-risk products.",2021-04-24 05:45:00+00:00,https://seekingalpha.com/article/4421039-altria-investors-need-to-take-regulation-plans-seriously?source=feed,Seeking Alpha,-0.13277777777777777,0.7288888888888888,negative,0.13277777777777777,False,False,True,False,True,False,False,False,0.0,227,"['BUD', 'PM', 'MO']",PM,2021-04-24
This High-Yield Dividend Stock Might Be in Trouble,"Altria looks like an undervalued income stock, but it's a high-yield trap.",2021-04-24 12:40:00+00:00,https://www.fool.com/investing/2021/04/24/this-high-yield-dividend-stock-might-be-in-trouble/?source=iedfolrf0000001,The Motley Fool,-0.2,0.2,negative,0.2,False,False,False,False,False,True,False,False,0.0,126,"['MO', 'PM', 'BTI', 'CRON']",PM,2021-04-24
Biden Is Planning Tough New Cigarette Regulations -- Is Now the Time to Buy Tobacco Stocks?,Tobacco's potential could get lost in the fog of a stricter regulatory climate.,2021-04-25 10:02:00+00:00,https://www.fool.com/investing/2021/04/25/biden-is-planning-tough-new-cigarette-regulations/?source=iedfolrf0000001,The Motley Fool,-0.08417508417508418,0.7626262626262627,neutral,0.08417508417508418,False,True,True,False,False,False,False,False,0.0,172,"['MO', 'PM', 'BTI', 'CRON']",PM,2021-04-25
3 Reasons Growth Investors Will Love Philip Morris (PM),"Philip Morris (PM) is well positioned to outperform the market, as it exhibits above-average growth in financials.",2021-04-26 16:45:07+00:00,http://www.zacks.com/stock/news/1456892/3-reasons-growth-investors-will-love-philip-morris-pm?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_11_growth-1456892,Zacks Investment Research,0.5,0.6,positive,0.5,False,False,False,False,False,False,False,False,0.0,171,['PM'],PM,2021-04-26
How Has Philip Morris' Q1 Earnings Beat Impacted Staples ETFs?,Let's take a look at some staples ETFs with significant exposure to Philip Morris (PM) that can gain from its upbeat earnings.,2021-04-26 22:00:00+00:00,http://www.zacks.com/stock/news/1458089/how-has-philip-morris-q1-earnings-beat-impacted-staples-etfs?cid=CS-ZC-FT-etf_news_and_commentary-1458089,Zacks Investment Research,0.375,0.875,positive,0.375,True,False,False,False,False,False,False,False,0.0,190,"['PM', 'FSTA', 'VDC', 'IYK']",PM,2021-04-26
Earnings on Track to Reach a New Quarterly Record,Earnings on Track to Reach a New Quarterly Record,2021-04-27 19:02:00+00:00,http://www.zacks.com/research-daily/1462656/earnings-on-track-to-reach-a-new-quarterly-record?cid=CS-ZC-FT-research_daily-1462656,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,True,False,False,False,False,False,False,False,0.0,100,"['VZ', 'PM', 'PG', 'MS', 'HON', 'DE']",PM,2021-04-27
Philip Morris Could Be Your Ticket To A Rich Retirement,PM's 3% discount makes it a potentially reasonable buy for anyone comfortable with its risk profile. PM is the RRP/ESG king of its industry.,2021-04-28 04:16:37+00:00,https://seekingalpha.com/article/4421827-philip-morris-could-be-your-ticket-to-a-rich-retirement?source=feed,Seeking Alpha,0.325,0.7166666666666668,positive,0.325,False,True,False,False,False,False,False,False,0.0,197,['PM'],PM,2021-04-28
"The Zacks Analyst Blog Highlights: Procter & Gamble, Verizon, Morgan Stanley, Philip Morris International and Deere & Co","The Zacks Analyst Blog Highlights: Procter & Gamble, Verizon, Morgan Stanley, Philip Morris International and Deere & Co",2021-04-28 10:34:00+00:00,http://www.zacks.com/stock/news/1466142/the-zacks-analyst-blog-highlights-procter-gamble-verizon-morgan-stanley-philip-morris-international-and-deere-co?cid=CS-ZC-FT-press_releases-1466142,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,242,"['VZ', 'PM', 'DE', 'MS', 'PG']",PM,2021-04-28
Philip Morris Ponders Joining Booming Cannabis Space,"The Swiss-American multinational Philip Morris International Inc. (NYSE: PM), may join other cigarette producers that have already jumped into the cannabis industry.
What Happened
Marlboro is analyzing key components of the industry, such as the “toxicity of cannabis, efficacy and differences between pharmaceutical and consumer options,” reported Bloomberg News.
CEO Andre Calantzopoulos said the company is assessing the industry in detail because the market is still green and continues to face numerous regulation issues. 
“We are doing all this ...Full story available on Benzinga.com",2021-04-28 20:16:14+00:00,https://www.benzinga.com/markets/cannabis/21/04/20843534/philip-morris-ponders-joining-booming-cannabis-space,Benzinga,0.010714285714285716,0.4392857142857142,neutral,0.010714285714285716,False,False,True,False,False,False,True,False,0.0,644,"['BTI', 'MO', 'PM', 'OGI', 'CRON']",PM,2021-04-28
Altria: On Sale Again After Q1 With 7% Dividend Yield And 11x P/E,"Altria shares are trading at a 7% Dividend Yield and an 11x P/E, even with solid Q1 results. Here's why I'm bullish on MO.",2021-04-30 05:29:28+00:00,https://seekingalpha.com/article/4422755-altria-on-sale-after-q1-earnings-7-percent-dividend-yield-11x-pe?source=feed,Seeking Alpha,0.0,0.1,neutral,0.0,False,False,False,False,False,True,False,False,0.0,189,"['BTI', 'PM', 'MO']",PM,2021-04-30
