date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-27,0.34,,1,0.34,0.0,0,0,0,0,0,1,0,0,150.0,PPL
2021-04-29,-0.125,,1,0.125,0.0,0,0,0,0,0,1,0,0,147.0,PPL
2021-05-03,0.0889,,1,0.0889,0.0,1,0,0,0,0,0,0,0,165.0,PPL
2021-05-06,0.0056,0.0079,2,0.0056,0.0,2,1,0,0,0,0,1,1,8274.5,PPL
2021-05-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,99.0,PPL
2021-05-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,171.0,PPL
2021-05-29,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,189.0,PPL
2021-06-18,0.0321,,1,0.0321,0.0,0,1,1,0,0,0,0,0,5110.0,PPL
2021-06-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,53.0,PPL
2021-07-13,0.2562,,1,0.2562,0.0,0,0,0,0,0,0,0,0,164.0,PPL
2021-07-15,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,184.0,PPL
2021-07-28,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,163.0,PPL
2021-07-30,-0.1,,1,0.1,0.0,1,0,0,0,0,1,0,0,197.0,PPL
2021-08-02,0.4286,,1,0.4286,0.0,0,0,0,0,0,1,0,0,121.0,PPL
2021-08-04,0.1625,,1,0.1625,0.0,1,0,0,0,0,0,0,0,253.0,PPL
2021-08-05,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,143.0,PPL
2021-08-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,98.0,PPL
2021-08-23,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,212.0,PPL
2021-09-01,0.0448,,1,0.0448,0.0,1,0,0,0,1,0,0,0,1193.0,PPL
2021-09-05,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,225.0,PPL
2021-09-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,193.0,PPL
2021-09-26,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,226.0,PPL
2021-09-28,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,187.0,PPL
2021-10-26,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,164.0,PPL
2021-10-30,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,188.0,PPL
2021-11-02,0.0121,,1,0.0121,0.0,1,0,0,0,0,1,0,0,159.0,PPL
2021-11-03,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,164.0,PPL
2021-11-04,0.0,,1,0.0,0.0,1,1,0,0,0,0,0,0,216.0,PPL
2021-11-05,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,90.0,PPL
2021-11-12,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,224.0,PPL
2021-12-02,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,173.0,PPL
2021-12-03,0.0,,1,0.0,0.0,1,0,0,0,0,1,0,0,214.0,PPL
2021-12-05,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,251.0,PPL
2021-12-08,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,207.0,PPL
2021-12-09,0.1364,,1,0.1364,0.0,0,0,0,0,0,1,0,0,206.0,PPL
2021-12-17,0.1889,,1,0.1889,0.0,0,0,0,0,0,1,0,0,181.0,PPL
2021-12-24,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,159.0,PPL
2021-12-26,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,PPL
2021-12-27,0.3167,,1,0.3167,0.0,0,1,0,0,0,1,0,0,260.0,PPL
2021-12-28,0.0861,0.1491,3,0.0861,0.0,0,0,0,0,0,1,0,0,186.6667,PPL
2021-12-30,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,158.0,PPL
2022-01-03,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,154.0,PPL
2022-01-10,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,156.0,PPL
2022-01-11,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,173.0,PPL
2022-01-13,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,154.0,PPL
2022-01-19,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,155.0,PPL
2022-01-21,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,155.0,PPL
2022-01-27,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,157.0,PPL
2022-02-02,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,158.0,PPL
2022-02-05,0.45,,1,0.45,0.0,0,1,0,0,0,1,0,0,217.0,PPL
2022-02-08,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,154.0,PPL
2022-02-14,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,167.0,PPL
2022-02-15,0.3161,0.2702,2,0.3161,0.0,1,0,1,0,0,2,0,0,225.5,PPL
2022-02-18,-0.0081,0.0162,4,0.0081,0.0,4,0,0,0,1,0,0,0,521.25,PPL
2022-02-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,102.0,PPL
2022-02-22,0.0375,0.071,4,0.0375,0.0,0,0,0,0,0,1,0,0,349.0,PPL
2022-02-24,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,169.0,PPL
2022-02-25,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,569.0,PPL
2022-02-26,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,153.0,PPL
2022-03-02,-0.0503,0.0409,2,0.0503,0.0,0,1,1,0,0,1,0,0,2552.5,PPL
2022-03-04,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,231.0,PPL
2022-03-09,0.1855,0.2794,3,0.2084,0.0,0,2,2,0,0,0,0,0,2240.6667,PPL
2022-03-11,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,155.0,PPL
