date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-09-29,0.1121,,1,0.1121,0.0,0,0,0,0,0,0,0,0,98.0,SEE
2020-10-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,80.0,SEE
2020-10-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,SEE
2020-11-03,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,110.0,SEE
2021-04-24,0.3,,1,0.3,0.0,1,0,0,0,0,0,0,0,165.0,SEE
2021-04-25,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,SEE
2021-04-30,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,200.0,SEE
2021-05-04,0.0729,0.1088,5,0.0729,0.0,4,0,1,0,0,0,1,0,3380.2,SEE
2021-05-05,0.0969,0.073,4,0.0969,0.0,2,1,1,0,1,1,0,0,3274.25,SEE
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,SEE
2021-05-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,212.0,SEE
2021-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,74.0,SEE
2021-06-02,0.0984,,1,0.0984,0.0,0,0,0,0,0,0,1,0,9363.0,SEE
2021-06-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,188.0,SEE
2021-06-09,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,177.0,SEE
2021-06-14,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,245.0,SEE
2021-06-22,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,110.0,SEE
2021-06-23,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,206.0,SEE
2021-06-24,0.0682,,1,0.0682,0.0,0,0,0,0,1,0,0,0,177.0,SEE
2021-06-28,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,244.0,SEE
2021-06-29,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,237.0,SEE
2021-07-01,0.224,,1,0.224,0.0,0,0,0,0,0,0,0,0,210.0,SEE
2021-07-02,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,226.0,SEE
2021-07-07,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,130.0,SEE
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,232.0,SEE
2021-07-13,0.3422,,1,0.3422,0.0,0,0,0,0,0,0,0,0,148.0,SEE
2021-07-21,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,101.0,SEE
2021-07-27,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,259.0,SEE
2021-08-02,0.1404,0.155,2,0.1404,0.0,1,0,0,0,1,0,0,0,289.5,SEE
2021-08-03,0.0062,0.0125,4,0.0062,0.0,3,0,1,0,0,0,0,0,199.0,SEE
