date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-02-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,VLO
2021-03-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,122.0,VLO
2021-04-06,0.5682,,1,0.5682,0.0,0,0,0,0,0,0,0,0,114.0,VLO
2021-04-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,94.0,VLO
2021-04-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,109.0,VLO
2021-04-23,0.2896,,1,0.2896,0.0,0,0,0,0,0,0,0,0,174.0,VLO
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,276.0,VLO
2021-05-04,0.75,,1,0.75,0.0,0,0,0,0,0,1,0,0,235.0,VLO
2021-05-05,0.0236,,1,0.0236,0.2,1,0,0,0,0,0,0,0,248.0,VLO
2021-05-13,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,275.0,VLO
2021-05-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,236.0,VLO
2021-05-21,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,146.0,VLO
2021-05-28,0.075,0.0354,2,0.075,0.0,0,0,0,1,0,0,0,1,133.0,VLO
2021-06-04,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,183.0,VLO
2021-06-07,0.2832,0.0139,2,0.2832,0.0,0,0,0,0,0,2,0,0,91.0,VLO
2021-06-11,0.0267,,1,0.0267,0.0,0,0,0,0,0,0,0,0,185.0,VLO
2021-06-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,230.0,VLO
2021-06-16,0.2171,,1,0.2171,0.0,0,1,1,0,0,0,0,0,201.0,VLO
2021-06-23,-0.0047,,1,0.0047,0.0,0,0,0,0,0,0,0,0,696.0,VLO
2021-06-24,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,202.0,VLO
2021-06-25,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,185.0,VLO
2021-06-30,0.1486,,1,0.1486,0.0,0,1,0,0,0,0,0,0,264.0,VLO
2021-07-02,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,178.0,VLO
2021-07-08,0.275,0.3182,2,0.275,0.0,0,0,0,0,1,0,0,0,233.0,VLO
2021-07-10,0.19,,1,0.19,0.0,0,0,0,0,0,1,0,0,142.0,VLO
2021-07-22,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,265.0,VLO
2021-07-26,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,169.0,VLO
2021-07-29,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,210.0,VLO
2021-07-30,0.2375,0.3359,2,0.2375,0.0,1,0,0,0,0,1,0,0,153.5,VLO
2021-08-11,0.0254,0.0359,2,0.0254,0.0,0,0,0,0,0,0,0,0,231.5,VLO
2021-08-18,0.7833,,1,0.7833,0.0,0,1,0,0,0,1,0,0,252.0,VLO
2021-08-19,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,106.0,VLO
2021-08-25,0.3182,0.2571,2,0.3182,0.0,0,1,0,0,0,0,0,0,210.0,VLO
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,VLO
2021-09-04,0.0383,,1,0.0383,0.0,0,0,0,0,0,1,0,0,200.0,VLO
2021-09-07,0.1857,,1,0.1857,0.0,0,0,0,0,0,0,0,0,842.0,VLO
2021-09-08,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,157.0,VLO
2021-09-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,205.0,VLO
2021-09-10,0.0833,,1,0.0833,0.0,0,0,0,0,0,0,0,0,216.0,VLO
2021-09-11,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,159.0,VLO
2021-09-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,147.0,VLO
2021-09-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,210.0,VLO
2021-09-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,204.0,VLO
2021-09-18,0.1657,,1,0.1657,0.0,0,0,0,0,0,0,0,0,230.0,VLO
2021-09-23,-0.05,0.0707,2,0.05,0.0,1,0,0,0,0,0,0,0,231.0,VLO
2021-09-24,-0.0125,0.0177,2,0.0125,0.0,0,1,0,0,0,0,0,0,188.5,VLO
2021-09-25,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,253.0,VLO
2021-10-06,-0.125,,1,0.125,0.2,1,1,0,0,0,1,0,0,189.0,VLO
2021-10-07,0.6233,,1,0.6233,0.0,0,1,0,0,0,0,0,0,190.0,VLO
2021-10-12,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,220.0,VLO
2021-10-14,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,259.0,VLO
2021-10-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,177.0,VLO
2021-10-20,0.09,,1,0.09,0.0,0,0,0,0,0,1,0,0,223.0,VLO
2021-10-21,0.1667,0.2887,3,0.1667,0.0,2,0,0,0,0,0,0,0,153.6667,VLO
2021-10-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,75.0,VLO
2021-10-25,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,215.0,VLO
2021-10-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,98.0,VLO
2021-10-27,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,210.0,VLO
2021-10-29,-0.1185,,1,0.1185,0.0,0,0,0,0,0,0,0,0,177.0,VLO
2021-11-02,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,68.0,VLO
