title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
WEC Energy Group (WEC) Reports Next Week: Wall Street Expects Earnings Growth,WEC Energy (WEC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-26 16:31:14+00:00,http://www.zacks.com/stock/news/1456921/wec-energy-group-wec-reports-next-week-wall-street-expects-earnings-growth?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1456921,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,251,['WEC'],WEC,2021-04-26
"Earnings Scheduled For May 3, 2021","Companies Reporting Before The Bell
• Scienjoy Holding (NASDAQ:SJ) is estimated to report quarterly earnings at $0.58 per share on revenue of $540.11 million.
• DZS (NASDAQ:DZSI) is estimated to report quarterly loss at $0.22 per share on revenue of $71.90 million.
• Enel Americas (NYSE:ENIA) is projected to report quarterly earnings at $0.18 per share on revenue of $2.99 billion.
• loanDepot (NYSE:LDI) is likely to report quarterly earnings at $0.58 per share on revenue of $1.02 billion.
• ON Semiconductor (NASDAQ:ON) is expected to report quarterly earnings at $0.33 per share on revenue of $1.46 billion.
• Enterprise Prods Partners (NYSE:EPD) is likely to report quarterly earnings at $0.48 per share on revenue of $7.18 billion.
• Estee Lauder Cos (NYSE:EL) is projected to report quarterly earnings at $1.31 per share on revenue of $3.93 billion.
• CNA Financial (NYSE:CNA) is estimated to report quarterly earnings at $0.88 per share on revenue of $2.85 billion.
• Green Plains (NASDAQ:GPRE) is likely to report quarterly loss at $0.64 per share on revenue of $625.22 million.
• Bel Fuse (NASDAQ:BELFB) is expected to report quarterly earnings at $0.06 per share on revenue of $108.00 million.
• Ceragon Networks (NASDAQ:CRNT) is expected to report quarterly loss at $0.03 per share on revenue of $64.55 million.
• Bel Fuse (NASDAQ:BELFA) is likely to report quarterly earnings at $0.02 per share on revenue of $108.00 million.
• Akoustis Technologies (NASDAQ:AKTS) is estimated to report quarterly loss at $0.28 per share on revenue of $2.25 million.
• WEC Energy Gr (NYSE:WEC) is likely to report quarterly earnings at $1.47 per share on revenue of $2.31 billion.
• Itron (NASDAQ:ITRI) is expected to report quarterly earnings at $0.42 per share on revenue of $535.25 million.
• Karyopharm Therapeutics (NASDAQ:KPTI) is projected to report quarterly loss at $0.71 per share on revenue of $25.17 million.
• Alexander's (NYSE:ALX) is likely to report earnings for its first quarter.
• PetMed Express (NASDAQ:PETS) is expected to report quarterly earnings at $0.40 per share on revenue of $74.03 million.
• DSP Group (NASDAQ:DSPG) is likely to report quarterly earnings at $0.05 per share on revenue of $31.90 million.
• Green Plains Partners (NASDAQ:GPP) is likely to report quarterly earnings at $0.47 per share on revenue of $21.55 million.
• GlycoMimetics (NASDAQ:GLYC) is expected to report earnings for its first quarter.
• Enable Midstream Partners (NYSE:ENBL) is likely to report quarterly earnings at $0.17 per share on revenue of $764.21 million.
• Sterling Bancorp (NASDAQ:SBT) is likely to report quarterly earnings at $0.02 per share on revenue of $25.13 million.
• Loews (NYSE:L) is projected to report earnings for its first quarter.
 
Companies Reporting After The Bell
• Centerspace (NYSE:CSR) is projected to report quarterly loss at $0.38 per share on revenue of $46.03 million.
• Maxar Technologies (NYSE:MAXR) is estimated to report quarterly earnings at $1.06 per share on revenue of $560.30 million.
• Livent (NYSE:LTHM) is projected to report quarterly earnings at $0.01 per share on revenue of $82.13 million.
• Essential Props Realty (NYSE:EPRT) is estimated to report quarterly earnings at $0.10 per share on revenue of $46.49 million.
• CVR Partners (NYSE:UAN) is likely to report earnings for its first quarter.
• SeaSpine Holdings (NASDAQ:SPNE) is projected to report quarterly loss at $0.33 per share on revenue of $40.23 million.
• Ballard Power Systems (NASDAQ:BLDP) is estimated to report earnings for its first quarter.
• Suncor Energy (NYSE:SU) is estimated to report quarterly earnings at $0.35 per share on revenue of $8.51 billion.
• ZoomInfo Technologies (NASDAQ:ZI) is expected to report quarterly earnings at $0.10 per share on revenue of $145.50 million.
• TravelCenters Of America (NASDAQ:TA) is likely to report quarterly loss at $0.72 per share on revenue of $1.41 billion.
• trivago (NASDAQ:TRVG) is likely to report quarterly loss at $0.03 per ...Full story available on Benzinga.com",2021-05-03 08:13:04+00:00,https://www.benzinga.com/news/earnings/21/05/20909065/earnings-scheduled-for-may-3-2021,Benzinga,0.018333333333333337,0.6255555555555556,neutral,0.018333333333333337,True,False,False,False,False,False,False,False,0.0,4079,"['O', 'ELVT', 'JKHY', 'WWD', 'EPRT', 'CBT', 'GLYC', 'TA', 'OHI', 'CINR', 'KFRC', 'HNRG', 'LTHM', 'CNA', 'BRX', 'XPO', 'PKI', 'AGR', 'LGND', 'NSP', 'LTRN', 'CR', 'KPTI', 'ATCO', 'RBC', 'LDI', 'MYGN', 'REGI', 'CSR', 'OGS', 'BELFA', 'RIG', 'ENIA', 'NWPX', 'SHLS', 'CVI', 'VRNS', 'BELFB', 'SCI', 'TCMD', 'OTTR', 'SJ', 'EL', 'ENBL', 'BLDP', 'CRNT', 'SHO', 'DZSI', 'PETS', 'HBP', 'EPD', 'VNOM', 'DSPG', 'SU', 'TRVG', 'QGEN', 'BCEI', 'FLS', 'SOI', 'FRPT', 'VNO', 'ZI', 'RMBS', 'EVER', 'IAG', 'UE', 'FSTR', 'WEC', 'NCSM', 'SANM', 'ON', 'IPI', 'SEDG', 'BSM', 'GAIA', 'WMB', 'XELA', 'STRL', 'SIBN', 'ITUB', 'GPP', 'GPRE', 'CC', 'MAXR', 'ADC', 'MFIN', 'KMT', 'BWXT', 'HLIT', 'ADUS', 'SBT', 'ALX', 'FANG', 'L', 'RILY', 'IRBT', 'FN', 'CURO', 'AWK', 'EARN', 'LEG', 'SPNE', 'ITRI', 'PLOW', 'NTR', 'AWR', 'CPTA', 'MOS', 'AKTS', 'IVAC', 'UAN', 'ARGO', 'CAR', 'CHGG', 'MWA']",WEC,2021-05-03
WEC Energy Group (WEC) Tops Q1 Earnings and Revenue Estimates,"WEC Energy (WEC) delivered earnings and revenue surprises of 9.52% and 25.37%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-03 12:15:05+00:00,http://www.zacks.com/stock/news/1492999/wec-energy-group-wec-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1492999,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,249,['WEC'],WEC,2021-05-03
WEC Energy Group Inc (WEC) Q1 2021 Earnings Call Transcript,"WEC earnings call for the period ending March 31, 2021.",2021-05-03 23:01:01+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/03/wec-energy-group-inc-wec-q1-2021-earnings-call-tra/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,116,['WEC'],WEC,2021-05-03
"Company News for May 4, 2021","Companies In The News Are: EL, GTN, WEC, CNA.",2021-05-04 13:26:00+00:00,http://www.zacks.com/stock/news/1498728/company-news-for-may-4-2021?cid=CS-ZC-FT-corporate_summary-1498728,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,75,"['WEC', 'EL', 'CNA', 'GTN']",WEC,2021-05-04
"WEC Energy's (WEC) Q1 Earnings & Revenues Beat, Rise Y/Y","WEC Energy's (WEC) Q1 earnings impress investors with better-than-estimated results. Also, the quarter records higher customer volumes.",2021-05-04 17:53:00+00:00,http://www.zacks.com/stock/news/1500143/wec-energys-wec-q1-earnings-revenues-beat-rise-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1500143,Zacks Investment Research,0.25,0.5,positive,0.25,True,False,False,False,False,False,False,False,0.0,193,"['FE', 'AEP', 'WEC', 'NEE']",WEC,2021-05-04
"Exelon's (EXC) Q1 Earnings Miss Estimates, Revenues Beat","Exelon (EXC) incurs loss for the first quarter due to the adverse impact of extreme cold weather. However, it reiterates its guidance for 2021.",2021-05-05 13:35:00+00:00,http://www.zacks.com/stock/news/1504378/exelons-exc-q1-earnings-miss-estimates-revenues-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1504378,Zacks Investment Research,-0.15,0.6770833333333333,negative,0.15,True,False,False,False,False,False,False,False,0.0,201,"['SO', 'WEC', 'EXC', 'NEE']",WEC,2021-05-05
"Evergy (EVRG) Q1 Earnings Beat Estimates, Revenues Up Y/Y",Evergy's (EVRG) first-quarter earnings surpass estimates. The company targets to achieve net-zero emissions by 2045.,2021-05-06 13:38:00+00:00,http://www.zacks.com/stock/news/1509980/evergy-evrg-q1-earnings-beat-estimates-revenues-up-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1509980,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,175,"['SO', 'WEC', 'NEE', 'EVRG']",WEC,2021-05-06
"NRG Energy (NRG) Q1 Earnings Miss Estimates, Revenues Up Y/Y",NRG Energy's (NRG) first-quarter earnings miss estimates. Its operation are adversely impacted by Winter Storm Uri.,2021-05-06 14:24:00+00:00,http://www.zacks.com/stock/news/1510215/nrg-energy-nrg-q1-earnings-miss-estimates-revenues-up-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1510215,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,177,"['SO', 'WEC', 'NEE', 'NRG']",WEC,2021-05-06
"ALLETE's (ALE) Q1 Earnings Miss Estimates, Revenues Beat","ALLETE's (ALE) first-quarter earnings miss estimates. However, it registers strong electricity sales volume backed by Other Power supplies load.",2021-05-07 12:28:00+00:00,http://www.zacks.com/stock/news/1515359/alletes-ale-q1-earnings-miss-estimates-revenues-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1515359,Zacks Investment Research,0.15416666666666665,0.5541666666666667,positive,0.15416666666666665,True,False,False,False,False,False,False,False,0.0,202,"['SO', 'WEC', 'NEE', 'ALE']",WEC,2021-05-07
