title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Market Drops Well Over 3% as Lockdown Fears Rise,Market Drops Well Over 3% as Lockdown Fears Rise,2020-10-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27135,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,98,"['HAIN', 'VIVO', 'CLAR', 'GLW', 'BBBY', 'UNP', 'INTC', 'BBY', 'HUBB', 'BC', 'WHR', 'MHK', 'MMM', 'ADP', 'AAPL', 'AMZN', 'FB', 'GOOG']",ADP,2020-10-29
One Last Hurrah? The Stocks To Buy Now,"Warning signals are flashing, suggesting it could be smart to fade the next move up. The strongest sectors currently include financials, REITs, and consumer goods.",2021-04-25 08:09:04+00:00,https://seekingalpha.com/article/4421093-one-last-hurrah-stocks-to-buy-now?source=feed,Seeking Alpha,0.05357142857142857,0.2773809523809524,neutral,0.05357142857142857,False,True,True,False,False,False,False,False,0.0,203,"['ABBV', 'ACHC', 'ADP', 'AEP', 'AFIN', 'AFINO', 'AFINP', 'AIZ', 'ALE', 'ALOT', 'ALRM', 'ASH', 'AVNT', 'BANR', 'BIP', 'BMY', 'BRO', 'BXS', 'CB', 'CLI', 'CMCSA', 'CMO', 'CMP', 'CNO', 'CNP', 'CODI', 'CPLG', 'CQP', 'CSL', 'CTVA', 'CVS', 'DBX', 'DKL', 'DTB', 'DTE', 'DTJ', 'DTP', 'DTW', 'ED', 'EFC', 'EFX', 'EMN', 'EPD', 'ESI', 'ETR', 'EVH', 'EVLO', 'EXPD', 'EXPO', 'FANG', 'FIS', 'FOXF', 'GLP', 'GPC', 'GPN', 'GRA', 'HAIN', 'HD', 'HOME', 'IART', 'ICHR', 'IPG', 'IT', 'JCOM', 'KBH', 'KO', 'LEG', 'LEVI', 'LLY', 'MAC', 'MEDP', 'MGP', 'MLM', 'MMM', 'MMP', 'MNST', 'NI', 'NLY', 'NOC', 'NWL', 'OIS', 'OPRX', 'OSIS', 'OTEX', 'OXY', 'PBFX', 'PFG', 'PFH', 'PFPT', 'PII', 'PPG', 'PRS', 'PRU', 'RPT', 'RRR', 'RSG', 'SHW', 'SLG', 'SRE', 'SREA', 'SSD', 'STAR', 'STZ', 'STZ.B', 'TSCO', 'WES', 'WTFC', 'WTFCM', 'WTFCP', 'WTRG', 'WWW', 'YUM']",ADP,2021-04-25
What Awaits Automatic Data Processing (ADP) in Q3 Earnings?,Automatic Data Processing's (ADP) third-quarter fiscal 2021 earnings are likely to have declined year over year while revenues are expected to have improved.,2021-04-26 11:00:00+00:00,http://www.zacks.com/stock/news/1455527/what-awaits-automatic-data-processing-adp-in-q3-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455527,Zacks Investment Research,-0.05,0.7,neutral,0.05,True,False,False,False,False,False,False,False,0.0,218,"['CAR', 'FISV', 'ADP', 'BGSF']",ADP,2021-04-26
12 Information Technology Stocks Moving In Wednesday's Pre-Market Session,"Gainers

Boxlight (NASDAQ:BOXL) stock rose 11.47% to $2.72 during Wednesday's pre-market session. The company's market cap stands at $154.3 million.
Sphere 3D (NASDAQ:ANY) stock moved upwards by 10.18% to $2.38. The company's market cap stands at $28.0 million.
Genpact (NYSE:G) shares rose 9.37% to $49.25. The market value of their outstanding shares is at $9.2 billion.
Aurora Mobile (NASDAQ:JG) shares increased by 7.95% to $3.8. The market value of their outstanding shares is at $448.0 million.
Calix (NYSE:CALX) stock moved upwards ...Full story available on Benzinga.com",2021-04-28 12:20:39+00:00,https://www.benzinga.com/pre-market-outlook/21/04/20834523/12-information-technology-stocks-moving-in-wednesdays-pre-market-session,Benzinga,0.52,0.8099999999999999,positive,0.52,False,False,False,False,False,False,False,False,0.0,653,"['ADP', 'KOPN', 'AMD', 'G', 'TXN', 'CALX', 'SPCB', 'ANY', 'BOXL', 'JG', 'FSLY', 'MAXN']",ADP,2021-04-28
Automatic Data Processing (ADP) Q3 Earnings and Revenues Top Estimates,"ADP (ADP) delivered earnings and revenue surprises of 3.85% and 0.30%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-28 12:35:09+00:00,http://www.zacks.com/stock/news/1466670/automatic-data-processing-adp-q3-earnings-and-revenues-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1466670,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,250,['ADP'],ADP,2021-04-28
"Automatic Data Processing (ADP) Beats on Q3 Earnings, Ups View",Automatic Data Processing (ADP) third-quarter fiscal 2021 revenues improve on a year-over-year basis.,2021-04-28 15:00:00+00:00,http://www.zacks.com/stock/news/1467705/automatic-data-processing-adp-beats-on-q3-earnings-ups-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1467705,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,165,"['EFX', 'ADP', 'OMC', 'RHI']",ADP,2021-04-28
Automatic Data Processing Inc (ADP) Q3 2021 Earnings Call Transcript,"ADP earnings call for the period ending March 31, 2021.",2021-04-29 02:30:47+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/28/automatic-data-processing-inc-adp-q3-2021-earnings/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,125,['ADP'],ADP,2021-04-29
Automatic Data Processing's Debt Overview,"Shares of Automatic Data Processing (NASDAQ:ADP) moved higher by 10.42% in the past three months. Before we understand the importance of debt, let us look at how much debt Automatic Data Processing has.
Automatic Data Processing's Debt
Based on Automatic Data Processing's balance sheet as of February 1, 2021, long-term debt is at $1.99 billion and current debt is at $0.00, amounting to $1.99 billion in total debt. Adjusted for $1.60 billion in cash-equivalents, the company's net debt is at $391.90 million.
Let's define some of the terms we used in the paragraph above. Current debt is the portion of a company's debt which is due within 1 year, while long-term debt ...Full story available on Benzinga.com",2021-04-29 14:34:16+00:00,https://www.benzinga.com/news/21/04/20864768/automatic-data-processings-debt-overview,Benzinga,0.0475,0.3375,neutral,0.0475,False,False,False,False,False,True,False,False,0.0,754,['ADP'],ADP,2021-04-29
"Top Stock Reports for Apple, Alphabet & BlackRock","Top Stock Reports for Apple, Alphabet & BlackRock",2021-04-30 18:13:00+00:00,http://www.zacks.com/research-daily/1479804/top-stock-reports-for-apple-alphabet-blackrock?cid=CS-ZC-FT-research_daily-1479804,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,100,"['ZTS', 'GOOGL', 'F', 'BLK', 'ADP', 'AAPL']",ADP,2021-04-30
"The Zacks Analyst Blog Highlights: Apple, Google, BlackRock, Automatic Data Processing and Ford Motor","The Zacks Analyst Blog Highlights: Apple, Google, BlackRock, Automatic Data Processing and Ford Motor",2021-05-03 13:29:00+00:00,http://www.zacks.com/stock/news/1493354/the-zacks-analyst-blog-highlights-apple-google-blackrock-automatic-data-processing-and-ford-motor?cid=CS-ZC-FT-press_releases-1493354,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,204,"['F', 'AAPL', 'ADP', 'BLK', 'GOOGL']",ADP,2021-05-03
Markets Up to Start Another Busy Week,"With Q1 earnings season continuing to unfold favorably (for the most part), investors look to enjoy a healthy Q2, as well.",2021-05-03 14:31:00+00:00,http://www.zacks.com/stock/news/1493703/markets-up-to-start-another-busy-week?cid=CS-ZC-FT-ahead_of_wall_street-1493703,Zacks Investment Research,0.375,0.45,positive,0.375,True,False,False,False,False,False,False,False,0.0,161,"['ADP', 'PFE', 'EL', 'CVS', 'MRNA', 'GM', 'L', 'CNA', 'ETSY']",ADP,2021-05-03
Wall Street Gears for a Hectic Earnings Week,Wall Street Gears for a Hectic Earnings Week.,2021-05-03 15:28:00+00:00,http://www.zacks.com/stock/news/1493864/wall-street-gears-for-a-hectic-earnings-week?cid=CS-ZC-FT-economic_highlights-1493864,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,91,"['ADP', 'PFE', 'EL', 'CVS', 'MRNA', 'GM', 'L', 'CNA', 'ETSY']",ADP,2021-05-03
Europe Markets: European stocks climb in step with strong start to May for Wall Street,"London markets are closed for a holiday, but European stocks rose on Monday and the first day of a new month. U.S. stocks are also off to a strong May.",2021-05-03 16:34:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3E0A38286B6%7D&siteid=rss&rss=1,MarketWatch,0.21912878787878784,0.41306818181818183,positive,0.21912878787878784,False,False,False,False,False,False,False,False,0.0,239,"['DAX', 'COMP', 'ADP', 'ROG', 'NOVN', 'NVS']",ADP,2021-05-03
"Pfizer, UnderArmour Beat; Trade Deficit at All-Time Low","A sense of caution has begun to permeate the market off near-all-time highs in the indexes, and Pfizer looks to be a recipient of this today.",2021-05-04 14:29:00+00:00,http://www.zacks.com/stock/news/1499045/pfizer-underarmour-beat-trade-deficit-at-all-time-low?cid=CS-ZC-FT-ahead_of_wall_street-1499045,Zacks Investment Research,0.0,0.3,neutral,0.0,False,False,False,False,False,False,False,False,0.0,198,"['F', 'ADP', 'PFE', 'UAA', 'BNTX']",ADP,2021-05-04
Q1 Earnings Season Maintains its Momentum,Q1 Earnings Season Maintains its Momentum.,2021-05-04 15:26:00+00:00,http://www.zacks.com/stock/news/1499291/q1-earnings-season-maintains-its-momentum?cid=CS-ZC-FT-economic_highlights-1499291,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,85,"['F', 'ADP', 'PFE', 'UAA', 'BNTX']",ADP,2021-05-04
"PayPal, Apple And Nvidia Lead The Nasdaq Sharply Lower","U.S. indices and shares of several companies in the broader technology sector were trading lower Tuesday after U.S. Treasury Secretary Janet Yellen suggested rates may need to rise to prevent the economy from overheating.

The Invesco QQQ Trust Series 1 (NASDAQ: QQQ) closed sharply lower by 1.8% at $330.14.
The SPDR S&P 500 ETF Trust (NASDAQ: SPY) also closed lower by 0.62% at $415.62.
The SPDR Dow Jones Industrial Average ETF Trust (NASDAQ: DIA) managed to finish higher by 0.11% at $341.49.

Here are the day's winners and losers from the QQQ, according to data from Benzinga ...Full story available on Benzinga.com",2021-05-04 21:20:13+00:00,https://www.benzinga.com/news/21/05/20949606/paypal-apple-and-nvidia-lead-the-nasdaq-sharply-lower,Benzinga,-0.01666666666666667,0.35555555555555557,neutral,0.01666666666666667,False,False,True,False,False,False,False,False,0.0,677,"['DIA', 'SPY', 'AAPL', 'ADP', 'CHKP', 'NVDA', 'PAYX', 'GME', 'QQQ', 'PYPL', 'SNAP', 'PLTR']",ADP,2021-05-04
Private Payrolls in April Below Expectations,Private Payrolls in April Below Expectations.,2021-05-05 14:38:00+00:00,http://www.zacks.com/stock/news/1504637/private-payrolls-in-april-below-expectations?cid=CS-ZC-FT-economic_highlights-1504637,Zacks Investment Research,0.0,0.375,neutral,0.0,False,False,False,False,False,False,False,False,0.0,91,"['ADP', 'GM']",ADP,2021-05-05
"Jobless Claims Drop to 498K, Q1 Productivity +5.4%","After three weeks in the mid-to-high 500Ks, new jobless claims have dropped to a 4-handle.",2021-05-06 14:17:00+00:00,http://www.zacks.com/stock/news/1510130/jobless-claims-drop-to-498k-q1-productivity-%2B54?cid=CS-ZC-FT-ahead_of_wall_street-1510130,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,True,False,False,False,0.0,142,"['ADP', 'SPY', 'QQQ', 'DIA']",ADP,2021-05-06
Initial Jobless Claims Drop to Pandemic-Low,Initial Jobless Claims Drop to Pandemic-Low.,2021-05-06 15:15:00+00:00,http://www.zacks.com/stock/news/1510406/initial-jobless-claims-drop-to-pandemic-low?cid=CS-ZC-FT-economic_highlights-1510406,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,89,['ADP'],ADP,2021-05-06
5 Safe And Cheap Dividend Stocks To Invest In (May 2021),"This is part of a monthly series where we highlight five stocks of companies that are large cap, relatively safe, dividend-paying, and are offering large discounts to their historical norms.",2021-05-08 13:00:00+00:00,https://seekingalpha.com/article/4424915-5-safe-and-cheap-dividend-stocks-to-invest-in-may-2021?source=feed,Seeking Alpha,0.30476190476190473,0.4261904761904762,positive,0.30476190476190473,False,False,False,False,False,True,False,False,0.0,248,"['ADP', 'AEM', 'AFL', 'ATO', 'BBL', 'BHP', 'BK', 'BLK', 'C', 'CFG', 'CINF', 'CL', 'CLX', 'CME', 'CMI', 'CVX', 'ENB', 'EPD', 'GSK', 'IEP', 'INTC', 'IRM', 'JNJ', 'KL', 'LUMN', 'MMM', 'MMP', 'MO', 'MPLX', 'MRK', 'PG', 'QCOM', 'QSR', 'SAP', 'SCCO', 'SPY', 'STT', 'T', 'TSN', 'TXN', 'WPC', 'XOM']",ADP,2021-05-08
Another Look at Jobs Totals; Duke Energy Q1 Mixed,"While we certainly must acknowledge post-pandemic conditions have changed the labor force climate, we should also point out that the sky is not falling.",2021-05-10 14:22:00+00:00,http://www.zacks.com/stock/news/1530225/another-look-at-jobs-totals-duke-energy-q1-mixed?cid=CS-ZC-FT-ahead_of_wall_street-1530225,Zacks Investment Research,0.10714285714285714,0.4107142857142857,positive,0.10714285714285714,False,False,False,False,False,False,False,False,0.0,203,"['AEE', 'ADP', 'DUK']",ADP,2021-05-10
Looking Back at Jobs Data,Looking Back at Jobs Data,2021-05-10 14:49:00+00:00,http://www.zacks.com/stock/news/1530318/looking-back-at-jobs-data?cid=CS-ZC-FT-economic_highlights-1530318,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,52,"['AEE', 'ADP', 'DUK']",ADP,2021-05-10
"If You're Retired, Consider Buying These 3 Stocks",These three dividend stocks are industry leaders that retirees should consider adding to their investment portfolios.,2021-05-20 12:43:00+00:00,https://www.fool.com/investing/2021/05/20/if-youre-retired-consider-buying-these-3-stocks/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,True,False,False,False,True,False,False,0.0,168,"['PEP', 'SYY', 'ADP']",ADP,2021-05-20
