date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,186.0,AIG
2021-04-26,0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,0,209.0,AIG
2021-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,165.0,AIG
2021-04-29,0.0317,,1,0.0317,0.0,1,0,0,0,0,0,0,0,275.0,AIG
2021-04-30,0.0625,0.0884,2,0.0625,0.0,2,0,0,0,0,0,0,0,205.0,AIG
2021-05-04,0.075,0.2475,2,0.175,0.0,2,0,0,0,0,0,0,0,169.5,AIG
2021-05-05,0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,161.0,AIG
2021-05-06,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,272.0,AIG
2021-05-07,-0.0003,0.0496,3,0.0331,0.0,3,0,0,0,0,0,0,0,170.3333,AIG
2021-05-10,0.1889,0.0864,2,0.1889,0.0,0,1,0,0,0,0,1,0,13506.5,AIG
2021-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,290.0,AIG
2021-05-28,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,204.0,AIG
2021-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,220.0,AIG
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,AIG
2021-06-29,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,147.0,AIG
2021-07-06,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,225.0,AIG
2021-07-09,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,178.0,AIG
2021-07-14,0.1708,,1,0.1708,0.0,1,0,0,0,0,0,0,0,135.0,AIG
2021-07-15,0.1328,0.1657,2,0.1328,0.0,1,0,0,0,0,0,0,0,256.0,AIG
2021-07-19,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,291.0,AIG
2021-07-26,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,178.0,AIG
2021-07-27,0.0242,0.1756,2,0.1242,0.0,2,0,1,0,0,0,0,0,182.5,AIG
2021-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,143.0,AIG
2021-07-30,0.0167,0.2224,4,0.1667,0.0,3,0,1,0,0,0,0,0,189.25,AIG
2021-08-02,0.025,0.1061,2,0.075,0.0,2,1,0,0,0,0,0,0,170.5,AIG
2021-08-03,-0.0017,0.0613,2,0.0433,0.0,2,0,1,0,0,0,0,0,214.0,AIG
2021-08-04,0.0455,,1,0.0455,0.0,1,0,0,0,0,0,0,0,229.0,AIG
2021-08-05,-0.0523,0.0739,2,0.0523,0.0,1,0,0,0,0,0,0,0,247.0,AIG
2021-08-06,0.0871,,1,0.0871,0.0,1,0,1,0,0,0,0,0,247.0,AIG
2021-08-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,123.0,AIG
2021-08-09,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,66.0,AIG
2021-08-11,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,160.0,AIG
2021-08-12,0.4333,,1,0.4333,0.0,0,1,0,0,0,1,0,0,199.0,AIG
2021-08-13,0.0233,,1,0.0233,0.0,0,0,0,0,0,0,0,0,168.0,AIG
2021-08-16,0.1562,,1,0.1562,0.0,0,0,0,0,0,1,0,0,194.0,AIG
2021-08-17,0.4875,,1,0.4875,0.0,0,0,0,0,0,1,0,0,224.0,AIG
2021-08-18,0.3525,,1,0.3525,0.0,0,0,0,0,1,0,0,0,241.0,AIG
2021-08-19,0.355,,1,0.355,0.0,0,1,0,0,0,0,0,0,178.0,AIG
2021-08-20,0.2546,,1,0.2546,0.0,0,0,1,0,0,0,0,0,213.0,AIG
2021-08-24,0.1766,0.1388,4,0.1766,0.0,0,0,0,0,0,0,0,0,226.5,AIG
