date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-03-31,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,92.0,ATO
2020-04-21,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,92.0,ATO
2021-04-26,-0.055,,1,0.055,0.0,1,0,0,0,0,0,0,0,231.0,ATO
2021-04-28,0.0155,0.0219,2,0.0155,0.0,2,0,0,0,1,0,0,0,194.5,ATO
2021-04-30,-0.1545,,1,0.1545,0.0,1,0,1,0,0,0,0,0,219.0,ATO
2021-05-04,0.1873,,1,0.1873,0.0,1,0,0,0,0,0,0,0,213.0,ATO
2021-05-05,0.0151,0.0214,2,0.0151,0.0,2,0,1,0,1,0,0,0,6742.5,ATO
2021-05-06,0.2576,0.1714,2,0.2576,0.0,2,0,2,0,0,0,0,1,217.5,ATO
2021-05-07,0.0833,0.1443,3,0.0833,0.0,3,0,1,0,0,0,0,0,185.6667,ATO
2021-05-08,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,248.0,ATO
2021-05-10,0.1444,,1,0.1444,0.0,1,0,1,0,0,0,0,0,259.0,ATO
2021-05-18,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,204.0,ATO
2021-06-04,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,180.0,ATO
2021-06-05,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,249.0,ATO
2021-06-15,-0.0714,,1,0.0714,0.0,0,0,0,0,0,0,0,0,255.0,ATO
2021-07-09,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,241.0,ATO
2021-07-12,0.0682,,1,0.0682,0.0,0,0,1,0,0,0,0,0,131.0,ATO
2021-07-15,0.2167,,1,0.2167,0.0,1,0,0,0,0,1,0,0,219.0,ATO
2021-07-22,0.0241,0.1027,4,0.0741,0.05,0,0,1,2,1,0,0,0,612.75,ATO
2021-07-26,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,268.0,ATO
2021-07-27,0.1859,0.325,9,0.1859,0.0,0,5,1,0,1,0,0,0,303.4444,ATO
2021-07-28,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,237.0,ATO
2021-07-29,0.0318,0.0928,3,0.0591,0.0,1,0,0,0,0,0,1,0,200.0,ATO
2021-07-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,165.0,ATO
2021-08-02,-0.2312,,1,0.2312,0.0,1,0,1,0,0,0,0,0,251.0,ATO
2021-08-03,0.2227,0.2526,3,0.2227,0.0,1,0,1,0,0,0,0,0,412.0,ATO
2021-08-04,-0.0625,0.0884,2,0.0625,0.0,1,0,0,0,1,0,0,0,170.0,ATO
2021-08-05,0.1727,0.1608,3,0.1727,0.0,3,0,0,0,0,0,0,0,201.3333,ATO
2021-08-06,0.0667,0.1155,3,0.0667,0.0,3,0,1,0,0,0,0,0,185.3333,ATO
2021-08-09,0.1292,,1,0.1292,0.0,0,0,0,0,0,0,0,0,433.0,ATO
2021-08-15,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,ATO
2021-08-16,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,93.5,ATO
2021-08-17,0.1528,0.2161,2,0.1528,0.1,0,0,1,0,0,0,0,0,535.0,ATO
2021-08-18,0.2214,0.0101,2,0.2214,0.1,0,0,0,0,1,0,0,0,317.5,ATO
2021-08-19,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,220.0,ATO
2021-08-26,0.0469,0.0663,2,0.0469,0.1,0,0,1,1,1,0,0,0,583.0,ATO
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,ATO
2021-08-31,0.0028,0.0056,4,0.0028,0.0,0,0,0,0,1,0,0,0,123.5,ATO
2021-09-01,0.0383,0.0542,2,0.0383,0.0,0,2,2,0,1,0,0,0,730.5,ATO
2021-09-03,-0.0395,0.035,3,0.0395,0.0,1,2,0,0,0,0,0,0,285.6667,ATO
