date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-14,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,72.0,BAC
2020-04-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,116.0,BAC
2020-04-16,-0.0583,,1,0.0583,0.0,1,0,0,0,0,0,0,0,124.0,BAC
2020-04-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,BAC
2020-05-15,-0.0625,,1,0.0625,0.0,1,0,0,0,0,0,0,0,112.0,BAC
2020-05-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,BAC
2020-05-27,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,110.0,BAC
2020-06-26,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,92.0,BAC
2020-06-29,-0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,100.0,BAC
2020-07-15,0.4667,,1,0.4667,0.0,0,0,0,0,0,0,0,0,92.0,BAC
2020-07-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,BAC
2020-07-17,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,106.0,BAC
2020-10-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,BAC
2020-10-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,BAC
2020-10-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,92.0,BAC
2020-10-15,-0.3278,,1,0.3278,0.0,0,0,0,0,0,0,0,0,114.0,BAC
2020-10-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,BAC
2021-01-16,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,104.0,BAC
2021-01-20,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,102.0,BAC
2021-04-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,124.0,BAC
2021-04-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,106.0,BAC
2021-04-16,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,98.0,BAC
2021-04-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,114.0,BAC
2021-04-21,0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,134.0,BAC
2021-04-26,0.1406,,1,0.1406,0.0,1,0,0,0,0,0,0,0,182.0,BAC
2021-04-27,0.119,0.5032,3,0.3477,0.0,0,1,0,0,0,1,0,0,166.0,BAC
2021-04-28,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,160.0,BAC
2021-04-30,0.0083,0.0118,2,0.0083,0.0,0,0,0,0,0,0,0,0,139.0,BAC
2021-05-01,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,138.0,BAC
2021-05-02,0.2844,0.1477,2,0.2844,0.0,1,1,0,0,0,0,0,0,805.5,BAC
2021-05-03,0.1002,0.2098,3,0.1836,0.0,0,0,2,0,0,1,0,0,392.3333,BAC
2021-05-04,0.1713,0.1044,5,0.1713,0.0,1,1,0,1,0,0,0,0,1146.6,BAC
2021-05-05,0.1302,0.1201,4,0.1302,0.0,0,0,0,0,0,0,0,0,148.25,BAC
2021-05-06,0.75,,1,0.75,0.0,0,0,0,0,0,0,0,0,114.0,BAC
2021-05-07,-0.004,0.1021,6,0.0649,0.0,0,0,1,0,0,0,0,0,236.3333,BAC
2021-05-08,0.01,,1,0.01,0.0,0,0,0,0,0,0,0,0,145.0,BAC
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,BAC
2021-05-11,0.4375,0.0884,2,0.4375,0.0,0,0,0,0,0,0,0,0,168.5,BAC
2021-05-12,0.2687,0.0878,3,0.2687,0.0,1,1,0,0,0,0,0,0,172.0,BAC
2021-05-13,0.1993,0.0886,2,0.1993,0.0,0,1,0,0,0,0,0,0,177.5,BAC
2021-05-14,0.1667,,1,0.1667,0.0,0,0,1,0,0,0,0,0,308.0,BAC
2021-05-17,0.125,0.5303,2,0.375,0.1,0,1,0,0,0,0,0,0,180.5,BAC
2021-05-18,0.0826,0.2833,4,0.1674,0.0,0,0,1,0,0,0,0,0,219.25,BAC
2021-05-19,0.2496,0.2501,10,0.2496,0.0,1,1,0,0,0,0,0,0,171.2,BAC
2021-05-20,0.1635,0.1111,3,0.1635,0.0667,0,2,0,0,0,0,0,0,433.0,BAC
2021-05-21,0.2181,0.2227,5,0.2181,0.0,0,0,0,0,0,0,0,0,191.4,BAC
2021-05-22,-0.35,,1,0.35,0.0,0,0,1,0,0,0,0,0,134.0,BAC
2021-05-23,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,214.0,BAC
2021-05-24,0.525,,1,0.525,0.0,0,1,0,0,0,0,0,0,158.0,BAC
2021-05-25,0.0861,0.126,5,0.1211,0.0,0,1,0,0,1,0,2,0,1476.0,BAC
2021-05-26,0.2096,0.1615,6,0.2096,0.0,0,1,0,0,0,0,0,0,199.3333,BAC
2021-05-27,0.2074,0.2072,4,0.2074,0.0,1,1,0,0,1,0,1,0,188.25,BAC
2021-05-28,0.052,0.1821,4,0.1062,0.0,1,1,0,0,0,1,0,0,210.25,BAC
2021-05-29,0.2477,0.1643,3,0.2477,0.0,0,0,0,0,0,0,0,0,211.0,BAC
2021-06-01,0.1,0.1,3,0.1,0.0,0,0,1,0,0,0,0,1,216.0,BAC
2021-06-02,0.1228,0.0993,4,0.1332,0.0,0,0,0,0,0,0,0,0,216.25,BAC
2021-06-03,0.0523,0.1016,4,0.0836,0.0,1,1,0,0,0,0,0,0,979.0,BAC
