title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Are You Overlooking These Stocks of the Future?,The stocks of the future may also be good for your investment returns in the present.,2021-04-21 12:05:00+00:00,https://www.fool.com/investing/2021/04/21/are-you-overlooking-these-stocks-of-the-future/?source=iedfolrf0000001,The Motley Fool,0.175,0.21250000000000002,positive,0.175,False,False,False,False,False,False,False,False,0.0,134,"['ESGV', 'BLK', 'BAC', 'NVDA', 'BBY', 'WST', 'SPYX', 'ESGU']",BLK,2021-04-21
"Blackstone (BX) Stock Up 3.3% on Q1 Earnings Beat, AUM Up Y/Y",Blackstone (BX) records a rise in revenues along with higher asset balances in the first quarter of 2021.,2021-04-23 13:11:00+00:00,http://www.zacks.com/stock/news/1441657/blackstone-bx-stock-up-33-on-q1-earnings-beat-aum-up-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1441657,Zacks Investment Research,0.25,0.41666666666666663,positive,0.25,True,False,False,False,False,False,False,False,0.0,168,"['BX', 'BLK', 'IVZ', 'CNS']",BLK,2021-04-23
This is Why BlackRock (BLK) is a Great Dividend Stock,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does BlackRock (BLK) have what it takes? Let's find out.",2021-04-26 15:45:09+00:00,http://www.zacks.com/stock/news/1456637/this-is-why-blackrock-blk-is-a-great-dividend-stock?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_5-1456637,Zacks Investment Research,0.5958333333333333,0.6583333333333333,positive,0.5958333333333333,False,False,False,False,False,True,False,False,0.0,226,['BLK'],BLK,2021-04-26
"Invesco (IVZ) Beats Q1 Earnings Estimates, Hikes Dividend 10%","Higher revenues and impressive AUM balance support Invesco's (IVZ) Q1 earnings. Also, the company announces a 10% dividend hike.",2021-04-27 12:08:00+00:00,http://www.zacks.com/stock/news/1461405/invesco-ivz-beats-q1-earnings-estimates-hikes-dividend-10?cid=CS-ZC-FT-analyst_blog|earnings_article-1461405,Zacks Investment Research,0.625,0.75,positive,0.625,True,False,False,False,False,True,False,False,0.0,191,"['BX', 'BLK', 'IVZ', 'SEIC']",BLK,2021-04-27
"Ameriprise Financial (AMP) Q1 Earnings Beat, Revenues Rise Y/Y","Solid top-line growth and improvement in AUM & AUA aid Ameriprise Financial's (AMP) Q1 results significantly, while mounting expenses play spoilsport to some extent.",2021-04-27 12:25:00+00:00,http://www.zacks.com/stock/news/1461507/ameriprise-financial-amp-q1-earnings-beat-revenues-rise-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1461507,Zacks Investment Research,0.09375,0.24375,neutral,0.09375,True,False,False,False,False,False,False,False,0.0,229,"['BX', 'BLK', 'AMP', 'SEIC']",BLK,2021-04-27
UMB Financial (UMBF) Stock Rallies 1.8% on Q1 Earnings Beat,"Rise in revenues and higher loan and deposit balance aid UMB Financial's (UMBF) Q1 results, while rise in expenses and lower interest rate play spoilsports to some extent.",2021-04-28 15:02:00+00:00,http://www.zacks.com/stock/news/1467700/umb-financial-umbf-stock-rallies-18-on-q1-earnings-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1467700,Zacks Investment Research,0.08333333333333333,0.16666666666666666,neutral,0.08333333333333333,True,False,False,False,False,False,False,False,0.0,232,"['BX', 'BLK', 'UMBF', 'SEIC']",BLK,2021-04-28
"T. Rowe Price (TROW) Q1 Earnings Beat Estimates, AUM Grows","T. Rowe Price's (TROW) first-quarter 2021 results highlight revenue growth, rise in AUM, elevated expenses and overall net inflows.",2021-04-29 12:48:00+00:00,http://www.zacks.com/stock/news/1473041/t-rowe-price-trow-q1-earnings-beat-estimates-aum-grows?cid=CS-ZC-FT-analyst_blog|earnings_article-1473041,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,191,"['BLK', 'TROW', 'CNS', 'APAM']",BLK,2021-04-29
"Top Stock Reports for Apple, Alphabet & BlackRock","Top Stock Reports for Apple, Alphabet & BlackRock",2021-04-30 18:13:00+00:00,http://www.zacks.com/research-daily/1479804/top-stock-reports-for-apple-alphabet-blackrock?cid=CS-ZC-FT-research_daily-1479804,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,100,"['ZTS', 'GOOGL', 'F', 'BLK', 'ADP', 'AAPL']",BLK,2021-04-30
Is BlackRock the Dividend Stock for You?,This ETF leader just increased its dividend for the 12th straight year.,2021-05-02 13:39:00+00:00,https://www.fool.com/investing/2021/05/02/is-blackrock-the-dividend-stock-for-you/?source=iedfolrf0000001,The Motley Fool,0.2,0.4,positive,0.2,False,False,False,False,False,True,False,False,0.0,113,['BLK'],BLK,2021-05-02
"Affiliated Managers (AMG) Q1 Earnings Beat Estimates, AUM Up",Higher revenues and rise in AUM balance support Affiliated Managers' (AMG) Q1 earnings.,2021-05-03 12:11:00+00:00,http://www.zacks.com/stock/news/1493239/affiliated-managers-amg-q1-earnings-beat-estimates-aum-up?cid=CS-ZC-FT-analyst_blog|earnings_article-1493239,Zacks Investment Research,0.25,0.5,positive,0.25,True,False,False,False,False,False,False,False,0.0,149,"['BX', 'BLK', 'AMG', 'SEIC']",BLK,2021-05-03
