date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-27,0.1025,,1,0.1025,0.0,1,0,0,0,0,0,0,0,244.0,CHD
2021-04-29,0.1072,0.1288,3,0.1072,0.0,3,0,0,0,1,0,0,0,207.6667,CHD
2021-04-30,0.025,,1,0.025,0.0,0,0,0,0,0,1,0,0,706.0,CHD
2021-05-02,-0.3528,,1,0.3528,0.0,0,0,0,0,0,0,0,0,145.0,CHD
2021-06-15,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,243.0,CHD
2021-07-07,0.1978,,1,0.1978,0.0,0,0,0,0,0,0,0,0,239.0,CHD
2021-07-23,0.0726,,1,0.0726,0.0,1,0,0,0,0,0,0,0,258.0,CHD
2021-07-26,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,234.0,CHD
2021-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,CHD
2021-07-30,0.0771,0.109,2,0.0771,0.0,2,0,1,0,1,0,1,0,171.5,CHD
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,CHD
2021-08-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,302.0,CHD
2021-08-20,0.34,,1,0.34,0.0,0,1,0,0,0,0,0,0,189.0,CHD
2021-08-25,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,247.0,CHD
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,CHD
2021-09-29,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,182.0,CHD
2021-10-22,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,243.0,CHD
2021-10-24,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,CHD
2021-10-27,0.0,,1,0.0,0.0,1,1,0,0,1,0,0,0,208.0,CHD
2021-10-29,0.1667,0.1443,3,0.1667,0.0,3,0,0,0,1,0,0,0,190.0,CHD
2021-11-18,0.75,,1,0.75,0.0,0,1,0,0,0,0,0,0,207.0,CHD
2021-11-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,225.0,CHD
2021-11-30,-0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,229.0,CHD
2021-12-30,-0.05,,1,0.05,0.0,0,0,0,0,1,0,0,0,351.0,CHD
2022-01-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,242.0,CHD
2022-01-21,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,269.0,CHD
2022-01-26,0.5,,1,0.5,0.0,1,1,0,0,0,0,0,0,235.0,CHD
2022-01-28,0.2083,0.0589,2,0.2083,0.0,2,0,0,0,0,0,0,0,229.0,CHD
2022-01-29,0.1364,,1,0.1364,0.0,1,0,0,0,1,1,0,0,222.0,CHD
2022-01-30,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,251.0,CHD
2022-02-03,-0.025,,1,0.025,0.0,0,1,0,0,0,0,0,0,2499.0,CHD
2022-02-12,0.0356,,1,0.0356,0.0,0,0,0,0,0,0,0,0,1054.0,CHD
2022-02-17,0.625,0.1768,2,0.625,0.0,0,1,0,0,0,1,0,0,170.5,CHD
2022-03-02,0.056,0.1094,2,0.0774,0.0,0,1,1,0,1,0,0,0,2654.0,CHD
2022-03-09,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,251.0,CHD
2022-04-06,0.33,,1,0.33,0.0,0,1,0,0,1,0,0,0,259.0,CHD
2022-04-16,0.2,,1,0.2,0.0,0,0,1,0,0,1,0,0,224.0,CHD
2022-04-19,0.0397,0.1474,3,0.1267,0.0,3,0,0,0,0,0,0,0,250.0,CHD
2022-04-20,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,249.0,CHD
2022-04-21,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,247.0,CHD
2022-04-22,-0.0233,0.1084,2,0.0767,0.0,2,1,0,0,0,0,0,0,253.5,CHD
2022-04-25,0.0254,0.1288,4,0.0817,0.0,4,0,0,0,1,0,0,0,252.25,CHD
2022-04-26,0.0624,0.0882,2,0.0624,0.0,2,2,0,0,1,0,0,0,217.0,CHD
2022-04-27,0.0872,0.1225,3,0.0872,0.0,3,0,0,0,1,0,0,0,232.6667,CHD
2022-04-28,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,247.0,CHD
2022-04-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,230.0,CHD
2022-05-02,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,606.0,CHD
2022-05-19,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,130.0,CHD
2022-05-23,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,589.0,CHD
2022-05-28,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,113.0,CHD
2022-06-20,0.08,,1,0.08,0.0,0,0,0,0,1,0,0,0,230.0,CHD
2022-06-23,0.1571,,1,0.1571,0.0,1,0,0,0,0,0,0,0,252.0,CHD
2022-06-28,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,561.0,CHD
2022-07-06,0.35,,1,0.35,0.0,0,1,0,0,0,0,0,0,223.0,CHD
2022-07-07,0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,203.0,CHD
2022-07-21,0.006,,1,0.006,0.0,0,0,0,0,0,0,0,0,679.0,CHD
2022-07-22,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,272.0,CHD
2022-07-27,0.0952,0.1091,3,0.0952,0.0,3,1,1,0,0,0,0,0,232.0,CHD
2022-07-29,-0.0031,0.0044,2,0.0031,0.0,2,0,1,0,0,0,0,0,242.0,CHD
2022-08-02,0.2375,,1,0.2375,0.0,0,0,0,0,0,0,0,0,542.0,CHD
2022-08-06,0.35,,1,0.35,0.0,0,1,0,0,0,1,0,0,230.0,CHD
2022-08-21,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,121.0,CHD
2022-08-23,-0.2436,,1,0.2436,0.0,0,0,0,0,0,0,0,0,232.0,CHD
2022-08-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,234.0,CHD
2022-08-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,99.0,CHD
2022-08-31,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,92.0,CHD
2022-09-06,0.5,,1,0.5,0.0,0,0,1,0,0,0,0,0,207.0,CHD
2022-09-07,0.2487,0.2549,3,0.2487,0.0,0,2,0,0,1,1,0,0,339.3333,CHD
2022-09-08,-0.0006,,1,0.0006,0.0,0,1,1,0,0,0,0,0,4588.0,CHD
2022-09-10,0.1682,0.045,2,0.1682,0.0,0,0,0,0,0,0,0,0,129.5,CHD
2022-09-25,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,211.0,CHD
2022-10-03,0.2182,0.1936,4,0.2182,0.0,0,1,0,0,0,1,0,0,416.0,CHD
2022-10-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,250.0,CHD
2022-10-05,0.0221,0.0646,4,0.0372,0.0,0,1,1,0,1,0,0,0,826.5,CHD
2022-10-07,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,189.0,CHD
2022-10-17,-0.0025,,1,0.0025,0.0,0,1,1,0,0,0,0,0,5244.0,CHD
2022-10-24,0.16,,1,0.16,0.0,0,0,0,0,0,0,1,0,267.0,CHD
2022-10-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,58.0,CHD
2022-10-26,-0.0142,,1,0.0142,0.0,1,0,0,0,0,0,0,0,281.0,CHD
2022-10-28,0.0,0.0,2,0.0,0.0,2,0,0,0,1,0,0,0,250.0,CHD
2022-10-31,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,639.0,CHD
2022-11-07,0.0006,0.0318,2,0.0225,0.0,0,1,1,0,0,0,0,0,2974.0,CHD
2022-12-01,0.0,0.0,2,0.0,0.0,1,0,0,0,1,0,0,0,241.0,CHD
2022-12-06,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,697.0,CHD
2022-12-14,-0.2567,,1,0.2567,0.0,0,1,0,0,0,0,0,0,421.0,CHD
2022-12-15,0.1011,,1,0.1011,0.0,0,1,0,0,0,0,0,0,166.0,CHD
2023-01-04,0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,152.0,CHD
2023-01-05,0.3333,0.5774,3,0.3333,0.0,1,1,0,0,0,1,0,0,188.3333,CHD
2023-01-10,0.4333,,1,0.4333,0.0,0,0,1,0,0,0,0,0,197.0,CHD
