date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,222.0,CI
2021-04-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,35.0,CI
2021-04-30,0.054,0.0642,3,0.054,0.0,3,1,0,0,0,0,0,0,211.6667,CI
2021-05-01,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,185.0,CI
2021-05-02,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,CI
2021-05-03,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,169.0,CI
2021-05-05,0.3667,,1,0.3667,0.0,0,0,0,0,0,0,0,0,176.0,CI
2021-05-06,0.1345,0.1312,2,0.1345,0.0,2,0,0,0,0,0,0,0,166.5,CI
2021-05-07,0.1089,0.156,6,0.1089,0.0,6,0,0,0,1,0,0,0,895.8333,CI
2021-05-10,0.0639,0.0904,2,0.0639,0.0,0,1,0,0,0,0,1,0,13488.0,CI
2021-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,243.0,CI
2021-05-12,0.0091,,1,0.0091,0.0,0,0,0,0,0,0,0,0,183.0,CI
2021-05-13,0.2857,,1,0.2857,0.0,0,0,0,0,0,0,0,0,181.0,CI
2021-05-14,0.0125,0.0177,2,0.0125,0.0,1,0,0,0,0,0,0,0,427.0,CI
2021-05-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,126.0,CI
2021-05-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,170.0,CI
2021-05-19,-0.0083,0.0118,2,0.0083,0.0,0,0,1,0,0,0,0,0,231.5,CI
2021-05-20,0.3714,,1,0.3714,0.0,0,1,0,0,0,0,0,0,112.0,CI
2021-05-21,-0.25,,1,0.25,0.0,0,0,0,0,1,0,0,0,186.0,CI
2021-05-26,0.2219,0.1724,2,0.2219,0.0,0,0,0,0,0,0,0,0,211.0,CI
2021-05-27,0.1028,,1,0.1028,0.0,0,1,0,0,0,0,0,0,182.0,CI
2021-05-28,0.1773,0.0321,2,0.1773,0.0,0,0,0,1,1,0,0,0,213.0,CI
2021-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,220.0,CI
2021-06-05,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,249.0,CI
2021-06-07,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,194.0,CI
2021-06-10,0.1913,0.2062,2,0.1913,0.0,0,0,0,0,1,0,0,0,188.5,CI
2021-06-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,197.0,CI
2021-06-12,0.3929,,1,0.3929,0.0,0,0,1,0,0,0,0,0,157.0,CI
2021-06-16,0.2841,0.0482,2,0.2841,0.0,0,1,0,0,0,0,0,0,165.5,CI
2021-06-17,0.2893,0.0556,2,0.2893,0.0,0,0,0,0,0,0,0,0,182.0,CI
2021-06-19,0.2583,,1,0.2583,0.2,0,0,0,0,0,0,0,0,143.0,CI
2021-06-24,0.4333,,1,0.4333,0.0,0,0,0,0,1,0,0,0,230.0,CI
2021-06-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,253.0,CI
2021-06-28,-0.0278,0.0393,2,0.0278,0.0,0,0,0,0,0,0,0,0,351.0,CI
2021-07-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,173.0,CI
2021-07-09,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,309.0,CI
2021-07-14,0.0507,,1,0.0507,0.0,0,0,0,0,0,0,0,0,166.0,CI
