date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-07-28,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,98.0,CZR
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,211.0,CZR
2021-04-24,0.2889,,1,0.2889,0.0,0,0,0,0,0,0,0,0,194.0,CZR
2021-04-26,-0.1062,,1,0.1062,0.0,1,0,0,0,0,0,0,0,178.0,CZR
2021-04-27,0.2879,0.2999,2,0.2879,0.0,2,0,0,0,0,0,0,0,176.0,CZR
2021-04-29,-0.0521,0.0737,2,0.0521,0.0,2,0,0,0,0,0,1,0,214.5,CZR
2021-04-30,0.0341,0.0482,2,0.0341,0.0,2,0,0,0,0,0,0,0,209.0,CZR
2021-05-02,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,CZR
2021-05-03,0.1712,0.2965,3,0.1712,0.0,3,0,0,0,0,0,0,0,192.0,CZR
2021-05-04,0.0683,0.0633,3,0.0683,0.0,3,0,0,0,0,0,0,0,232.3333,CZR
2021-05-05,0.2181,0.1654,8,0.2181,0.0,4,2,1,0,1,0,0,2,675.625,CZR
2021-05-06,0.1129,0.1597,2,0.1129,0.0,2,1,1,0,0,0,0,1,1528.5,CZR
2021-05-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,107.0,CZR
2021-05-09,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,96.0,CZR
2021-05-10,0.1264,0.002,2,0.1264,0.0,1,1,0,0,0,0,1,1,13578.5,CZR
2021-05-18,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,149.0,CZR
2021-05-20,-0.0206,0.183,2,0.1294,0.0,0,0,0,0,0,0,0,0,130.5,CZR
2021-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,146.0,CZR
2021-05-25,0.1253,,1,0.1253,0.0,0,0,0,0,1,0,1,0,6282.0,CZR
2021-05-27,0.2933,0.0,2,0.2933,0.2,0,2,0,0,0,0,2,0,275.0,CZR
2021-05-29,0.225,0.2385,3,0.225,0.0,0,1,1,0,0,0,0,0,213.3333,CZR
2021-06-03,0.22,0.0283,2,0.22,0.0,0,1,0,0,0,0,0,0,150.0,CZR
2021-06-05,0.1417,,1,0.1417,0.0,0,0,1,0,0,0,0,0,211.0,CZR
2021-06-07,0.1131,0.0745,2,0.1131,0.0,0,1,0,0,0,1,0,0,851.0,CZR
2021-06-10,-0.0047,,1,0.0047,0.0,0,0,0,0,0,0,0,0,707.0,CZR
2021-06-12,0.0292,0.2062,2,0.1458,0.0,0,0,0,0,0,0,0,0,193.0,CZR
2021-06-16,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,307.0,CZR
2021-06-18,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,106.0,CZR
2021-06-19,-0.3556,0.9114,2,0.6444,0.0,0,0,1,0,1,0,0,0,436.5,CZR
2021-06-20,0.0786,,1,0.0786,0.0,0,0,0,0,0,0,0,0,165.0,CZR
2021-06-24,0.0146,0.0206,2,0.0146,0.0,0,0,0,0,0,0,0,0,162.0,CZR
2021-06-26,-0.1125,,1,0.1125,0.0,0,0,0,0,0,1,0,0,211.0,CZR
2021-06-28,0.0864,,1,0.0864,0.0,0,0,0,0,0,0,0,0,599.0,CZR
2021-07-02,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,138.0,CZR
2021-07-06,0.2076,,1,0.2076,0.0,0,0,0,0,1,0,0,0,814.0,CZR
2021-07-08,0.475,,1,0.475,0.0,0,1,0,0,0,0,0,0,165.0,CZR
2021-07-14,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,73.0,CZR
2021-07-16,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,149.0,CZR
2021-07-17,-0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,239.0,CZR
2021-07-19,-0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,358.0,CZR
2021-07-22,0.0,0.0,2,0.0,0.0,1,0,1,0,0,0,0,0,159.0,CZR
2021-07-23,0.0625,0.0884,2,0.0625,0.0,1,0,1,0,0,0,0,0,164.0,CZR
2021-07-26,0.0596,0.1007,3,0.0818,0.0,2,1,1,0,0,0,0,0,209.0,CZR
2021-07-27,0.1265,0.2074,4,0.1265,0.05,3,0,0,0,1,0,0,0,232.5,CZR
2021-07-28,0.2167,,1,0.2167,0.0,1,0,1,0,0,0,0,0,209.0,CZR
2021-07-29,-0.3889,,1,0.3889,0.0,1,0,0,0,0,0,0,0,215.0,CZR
2021-07-30,0.0417,0.1833,4,0.1083,0.0,4,0,4,0,0,0,0,0,209.5,CZR
2021-08-01,0.2292,0.0412,2,0.2292,0.0,1,0,0,0,0,0,0,0,162.5,CZR
2021-08-02,0.2294,0.1857,5,0.2294,0.0,5,0,3,0,1,0,0,0,220.8,CZR
2021-08-03,0.0729,0.1263,3,0.0729,0.0,1,0,1,0,0,0,0,0,401.3333,CZR
2021-08-04,0.1288,0.1252,3,0.1288,0.0,3,0,2,0,0,0,0,0,177.0,CZR
2021-08-06,0.06,,1,0.06,0.0,1,0,0,0,0,0,0,0,193.0,CZR
2021-08-09,0.1536,,1,0.1536,0.0,0,1,0,0,0,0,0,0,759.0,CZR
2021-08-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,214.0,CZR
2021-08-14,0.1615,,1,0.1615,0.0,0,0,0,0,0,0,0,0,1091.0,CZR
2021-08-16,0.1364,,1,0.1364,0.0,0,0,0,1,1,0,0,0,674.0,CZR
2021-08-21,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,150.0,CZR
2021-08-24,0.0743,0.1051,2,0.0743,0.0,0,0,0,1,1,1,0,1,616.5,CZR
2021-08-26,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,210.0,CZR
2021-08-27,0.0125,0.0177,2,0.0125,0.0,0,0,1,0,0,0,0,0,114.0,CZR
2021-08-30,0.0707,0.0683,3,0.0707,0.0667,1,1,1,0,2,0,0,0,1476.0,CZR
2021-09-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,65.0,CZR
2021-09-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,221.0,CZR
2021-09-03,0.6,0.1414,2,0.6,0.0,1,1,0,0,0,0,0,0,166.5,CZR
2021-09-05,0.1078,0.1304,2,0.1078,0.0,0,0,1,0,0,0,0,0,204.5,CZR
2021-09-07,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,1,224.0,CZR
2021-09-08,0.2421,0.2048,4,0.2421,0.05,1,3,1,3,0,0,0,0,506.75,CZR
2021-09-09,0.1148,0.1619,3,0.1148,0.0,0,0,0,1,0,0,0,0,230.6667,CZR
2021-09-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,173.0,CZR
2021-09-11,0.1255,,1,0.1255,0.0,0,0,0,0,0,0,0,0,1408.0,CZR
2021-09-12,0.3833,,1,0.3833,0.0,0,1,0,0,0,0,0,0,186.0,CZR
2021-09-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,161.0,CZR
2021-09-14,0.0847,0.0845,2,0.0847,0.0,0,1,1,0,0,0,1,1,714.0,CZR
2021-09-15,0.0478,0.1807,2,0.1278,0.0,1,1,2,0,0,0,0,0,558.5,CZR
2021-09-17,0.1,0.1414,2,0.1,0.0,0,0,0,0,0,0,0,0,142.0,CZR
2021-09-18,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,CZR
2021-09-20,-0.001,0.0014,2,0.001,0.0,1,1,1,0,1,1,0,0,1853.5,CZR
2021-09-21,0.0288,,1,0.0288,0.0,1,0,0,0,1,0,0,0,858.0,CZR
2021-09-22,0.1364,,1,0.1364,0.0,0,0,0,1,0,0,0,0,242.0,CZR
2021-09-23,0.1905,,1,0.1905,0.0,0,0,0,0,0,0,0,0,217.0,CZR
2021-09-25,0.3288,,1,0.3288,0.0,0,0,0,0,0,0,0,0,160.0,CZR
2021-09-29,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,212.0,CZR
2021-10-01,0.0624,0.0034,2,0.0624,0.0,0,1,1,0,0,0,0,0,840.5,CZR
2021-10-05,0.2333,,1,0.2333,0.0,1,1,0,0,0,0,0,0,207.0,CZR
2021-10-06,0.1102,,1,0.1102,0.0,1,0,1,0,1,0,0,0,2277.0,CZR
2021-10-07,0.2,,1,0.2,0.2,0,0,0,0,0,0,0,0,153.0,CZR
2021-10-08,0.5645,0.4744,2,0.5645,0.0,0,2,0,0,0,0,0,0,529.0,CZR
2021-10-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,196.0,CZR
2021-10-11,0.0819,0.1159,2,0.0819,0.0,0,0,0,0,1,0,0,0,486.0,CZR
2021-10-14,0.2278,,1,0.2278,0.0,1,0,0,0,0,0,0,0,252.0,CZR
2021-10-15,0.0191,0.027,2,0.0191,0.0,1,0,1,1,1,0,0,1,849.0,CZR
2021-10-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,CZR
2021-10-26,0.0705,0.0472,2,0.0705,0.0,1,2,0,0,0,0,0,0,681.5,CZR
2021-10-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,82.0,CZR
2021-10-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,173.0,CZR
2021-11-01,0.1624,0.132,2,0.1624,0.0,2,0,0,0,1,0,0,0,466.0,CZR
2021-11-02,0.1875,0.2652,2,0.1875,0.0,1,0,0,0,0,0,0,0,246.0,CZR
2021-11-03,0.2111,0.2365,3,0.2111,0.0,3,0,0,0,0,1,0,0,222.6667,CZR
2021-11-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,1,187.0,CZR
2021-11-06,0.2857,,1,0.2857,0.0,0,0,0,0,0,0,0,0,117.0,CZR
2021-11-08,0.1157,0.1737,4,0.1824,0.0,2,2,2,1,1,0,1,1,1186.0,CZR
2021-11-09,0.0214,0.1014,3,0.0695,0.0,0,0,0,1,0,0,0,0,398.6667,CZR
2021-11-10,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,122.0,CZR
2021-11-12,-0.1375,,1,0.1375,0.0,0,0,0,0,0,0,0,0,357.0,CZR
2021-11-13,0.45,,1,0.45,0.0,1,0,0,0,0,0,0,0,179.0,CZR
2021-11-15,0.4333,,1,0.4333,0.0,0,0,0,0,0,1,0,0,188.0,CZR
2021-11-17,0.1875,,1,0.1875,0.0,0,0,0,0,0,0,0,0,151.0,CZR
2021-11-19,-0.0363,0.0901,2,0.0637,0.0,1,0,1,0,0,0,0,0,1296.0,CZR
2021-11-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,175.0,CZR
2021-11-29,0.0943,0.0722,2,0.0943,0.0,1,1,1,0,0,0,0,0,924.5,CZR
2021-12-01,0.2258,0.1307,2,0.2258,0.0,1,1,0,0,1,0,0,0,365.0,CZR
2021-12-02,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,211.0,CZR
2021-12-03,-0.0534,0.3175,5,0.1866,0.0,1,2,2,0,0,0,1,0,996.8,CZR
2021-12-06,0.0275,0.032,4,0.0334,0.0,2,3,1,0,1,0,0,0,1410.25,CZR
2021-12-17,0.3208,,1,0.3208,0.0,0,0,0,0,0,0,0,0,654.0,CZR
2021-12-21,0.0089,,1,0.0089,0.0,1,0,0,0,0,0,0,0,761.0,CZR
2021-12-23,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,179.0,CZR
2021-12-24,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,185.0,CZR
2021-12-27,0.2063,0.0618,2,0.2063,0.0,1,0,1,0,1,0,0,1,811.5,CZR
2021-12-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,97.0,CZR
2022-01-03,0.0986,,1,0.0986,0.0,0,0,0,0,0,0,0,0,254.0,CZR
2022-01-04,-0.0083,,1,0.0083,0.0,1,0,0,0,0,0,0,0,847.0,CZR
2022-01-09,0.1818,,1,0.1818,0.0,0,0,0,0,0,0,0,0,161.0,CZR
2022-01-10,0.1283,0.1842,4,0.1885,0.0,2,0,1,0,2,0,1,1,927.0,CZR
2022-01-14,0.2,,1,0.2,0.0,0,0,0,1,0,0,0,0,243.0,CZR
2022-01-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,234.0,CZR
2022-01-21,-0.0738,,1,0.0738,0.0,1,0,0,0,1,0,0,0,707.0,CZR
