title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Winning Streak Reaches Six Days as Tech Keeps Rising,NASDAQ Winning Streak Reaches Six Days as Tech Keeps Rising,2020-05-12 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25318,Zacks Investment Research,0.5,0.75,positive,0.5,False,False,False,False,False,False,False,False,0.0,120,"['SPNS', 'WCLD', 'YUMC', 'GIS', 'DG', 'KMB', 'SJM', 'STNG', 'BERY', 'BGS', 'DVA', 'NOMD', 'SFM', 'TNK', 'AAPL', 'AMZN', 'NFLX', 'GOOG', 'MSFT']",DVA,2020-05-12
Dow Jumps Over 2% for Another Strong Start to the Week,Dow Jumps Over 2% for Another Strong Start to the Week,2020-05-27 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25457,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,False,False,False,False,0.0,110,"['RHP', 'APTV', 'INCY', 'TWTR', 'BERY', 'HUM', 'DVA', 'KR', 'TNK', 'UNFI', 'DG', 'W', 'VIRT', 'VST', 'ASC', 'MGIC', 'MAXR', 'ALT', 'C', 'WFC', 'BAC', 'JPM', 'CCL', 'UAL', 'AAL', 'DAL', 'GOOG', 'MRNA', 'NVAX', 'MRK', 'AAPL']",DVA,2020-05-27
Strong Start to the Week as Stocks Jump Over 1%,Strong Start to the Week as Stocks Jump Over 1%,2020-09-15 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26654,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,False,False,False,False,0.0,96,"['HL', 'MAXR', 'FUL', 'NVDA', 'BERY', 'OMI', 'SPWH', 'LL', 'VSTO', 'DVA', 'TPR', 'TGT', 'TPH', 'AAPL', 'ORCL', 'NVDA']",DVA,2020-09-15
Dow Plunges 500 Points as September Slump Enters New Week,Dow Plunges 500 Points as September Slump Enters New Week,2020-09-22 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26730,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,False,False,0.0,116,"['GOOGL', 'RCL', 'THO', 'UCTT', 'BIG', 'TPR', 'DVA', 'COST', 'FDX', 'WMT', 'AAPL', 'NFLX']",DVA,2020-09-22
DaVita (DVA) to Report Q1 Earnings: What's in the Offing?,Solid performance by net dialysis and the related lab patient service segment are likely to have aided DaVita's (DVA) top line in the first quarter.,2021-04-26 16:43:00+00:00,http://www.zacks.com/stock/news/1457151/davita-dva-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457151,Zacks Investment Research,0.125,0.3888888888888889,positive,0.125,True,False,False,False,False,False,False,False,0.0,207,"['SYK', 'DVA', 'ABC', 'ZBH']",DVA,2021-04-26
DaVita HealthCare (DVA) Surpasses Q1 Earnings Estimates,"DaVita HealthCare (DVA) delivered earnings and revenue surprises of 16.11% and -0.22%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-29 21:45:09+00:00,http://www.zacks.com/stock/news/1475290/davita-healthcare-dva-surpasses-q1-earnings-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1475290,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,251,['DVA'],DVA,2021-04-29
Davita Inc (DVA) Q1 2021 Earnings Call Transcript,"DVA earnings call for the period ending March 31, 2021.",2021-04-30 09:31:07+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/30/davita-inc-dva-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,106,['DVA'],DVA,2021-04-30
"DaVita (DVA) Q1 Earnings Beat Estimates, Revenues Miss Mark",DaVita's (DVA) net dialysis and related lab-patient service revenues rise in Q1.,2021-04-30 16:50:00+00:00,http://www.zacks.com/stock/news/1479870/davita-dva-q1-earnings-beat-estimates-revenues-miss-mark?cid=CS-ZC-FT-analyst_blog|earnings_article-1479870,Zacks Investment Research,0.0,0.2,neutral,0.0,True,False,False,False,False,False,False,False,0.0,141,"['XRAY', 'DVA', 'OMI', 'COO']",DVA,2021-04-30
5 of the Best Stocks to Buy Now for Striking Earnings Growth,"Herbalife (HLF), DaVita (DVA), Apple (AAPL), Century Communities (CCS) & Repligen (RGEN) are the top stocks that flaunt attractive earnings growth at present.",2021-05-07 12:58:00+00:00,http://www.zacks.com/stock/news/1515766/5-of-the-best-stocks-to-buy-now-for-striking-earnings-growth?cid=CS-ZC-FT-analyst_blog|rw-1515766,Zacks Investment Research,0.5599999999999999,0.5599999999999999,positive,0.5599999999999999,True,True,False,False,False,False,False,False,0.0,220,"['AAPL', 'DVA', 'RGEN', 'HLF', 'CCS']",DVA,2021-05-07
"Zacks.com featured highlights include: Herbalife, DaVita, Apple, Century Communities and Repligen Corp","Zacks.com featured highlights include: Herbalife, DaVita, Apple, Century Communities and Repligen Corp",2021-05-10 11:35:00+00:00,http://www.zacks.com/stock/news/1529406/zackscom-featured-highlights-include-herbalife-davita-apple-century-communities-and-repligen-corp?cid=CS-ZC-FT-press_releases-1529406,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,206,"['AAPL', 'DVA', 'RGEN', 'HLF', 'CCS']",DVA,2021-05-10
