date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,EW
2021-05-04,0.125,,1,0.125,0.0,1,0,0,0,1,0,0,0,225.0,EW
2021-05-07,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,108.0,EW
2021-05-20,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,217.0,EW
2021-05-26,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,128.0,EW
2021-06-09,-0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,302.0,EW
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,EW
2021-06-14,0.18,,1,0.18,0.0,0,0,0,0,0,0,0,0,200.0,EW
2021-06-15,0.0728,,1,0.0728,0.2,0,0,1,0,0,0,1,0,3228.0,EW
2021-06-16,0.0532,,1,0.0532,0.0,0,0,1,0,0,0,0,0,2758.0,EW
2021-06-18,-0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,254.0,EW
2021-06-22,0.2572,0.3433,2,0.2572,0.0,0,0,1,0,1,0,0,0,1293.5,EW
2021-06-23,0.0222,,1,0.0222,0.0,0,0,1,0,0,0,0,0,2092.0,EW
2021-06-24,0.1237,,1,0.1237,0.0,0,0,1,0,0,0,1,1,2906.0,EW
2021-06-25,0.0693,,1,0.0693,0.0,0,0,1,0,1,0,0,0,2774.0,EW
2021-07-08,0.0351,0.0497,2,0.0351,0.0,0,0,0,0,1,0,0,0,1441.0,EW
2021-07-09,0.1892,,1,0.1892,0.0,0,0,0,0,0,0,0,0,2746.0,EW
2021-07-15,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,268.0,EW
2021-07-22,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,105.0,EW
2021-07-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,254.0,EW
2021-07-25,0.1089,,1,0.1089,0.0,1,0,1,0,0,0,0,0,2891.0,EW
2021-07-28,0.1619,0.0924,2,0.1619,0.0,2,1,1,0,0,0,0,1,1715.0,EW
2021-07-29,0.0242,0.0342,2,0.0242,0.0,1,0,1,0,1,0,1,0,2046.0,EW
2021-07-30,0.1113,0.1214,5,0.1113,0.04,3,1,2,0,1,0,2,0,849.6,EW
2021-08-02,0.4778,,1,0.4778,0.0,1,0,0,0,0,0,0,0,198.0,EW
2021-08-04,0.0499,0.1766,2,0.1249,0.0,0,0,0,0,0,0,0,0,239.0,EW
2021-08-05,0.0741,,1,0.0741,0.0,0,1,1,0,1,0,1,0,4037.0,EW
2021-08-06,0.0201,,1,0.0201,0.0,0,1,1,0,0,1,1,0,3507.0,EW
2021-08-10,0.1577,,1,0.1577,0.0,1,1,1,0,1,0,0,0,3474.0,EW
2021-08-18,0.1206,,1,0.1206,0.0,0,0,1,0,1,0,0,0,3635.0,EW
2021-08-19,0.2326,0.0302,3,0.2326,0.0,0,0,1,0,1,0,0,0,134.6667,EW
2021-08-20,0.0574,,1,0.0574,0.0,0,0,0,0,0,0,1,0,3343.0,EW
2021-08-24,0.0574,,1,0.0574,0.0,1,0,1,0,0,0,0,0,2501.0,EW
2021-09-03,0.0662,,1,0.0662,0.0,0,1,0,0,0,0,0,1,1803.0,EW
2021-09-07,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,192.0,EW
2021-09-08,0.0498,,1,0.0498,0.0,0,1,1,0,0,0,0,0,2434.0,EW
2021-09-09,0.0372,,1,0.0372,0.0,0,1,1,1,1,0,0,0,3079.0,EW
2021-10-01,0.3111,,1,0.3111,0.0,1,0,0,0,0,0,0,0,196.0,EW
2021-10-12,0.09,,1,0.09,0.0,0,0,0,0,0,0,0,0,206.0,EW
2021-10-13,0.0371,,1,0.0371,0.0,1,0,0,0,1,0,0,0,268.0,EW
2021-10-14,-0.0205,0.0418,2,0.0295,0.1,1,1,0,0,1,0,0,0,205.5,EW
2021-10-15,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,232.0,EW
2021-10-16,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,174.0,EW
2021-10-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,214.0,EW
2021-10-19,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,EW
2021-10-24,0.1419,,1,0.1419,0.0,1,0,1,0,0,0,0,0,2034.0,EW
2021-10-26,0.3,,1,0.3,0.0,1,0,0,0,1,0,0,0,206.0,EW
2021-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,253.0,EW
2021-10-28,0.1083,0.1532,2,0.1083,0.0,2,0,0,0,1,0,0,0,177.5,EW
2021-11-12,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,177.0,EW
2021-12-09,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,152.0,EW
2021-12-13,0.2216,,1,0.2216,0.0,0,0,0,0,1,0,0,0,218.0,EW
2021-12-20,0.0312,0.0442,2,0.0312,0.0,0,0,0,0,0,0,0,0,223.5,EW
2021-12-21,0.05,0.0707,2,0.05,0.0,0,0,1,0,0,0,1,0,227.0,EW
2021-12-23,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,194.0,EW
2021-12-27,0.11,0.1556,2,0.11,0.1,0,0,0,0,0,0,0,0,193.5,EW
2021-12-29,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,207.0,EW
2021-12-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,133.0,EW
2022-01-07,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,200.0,EW
2022-01-10,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,257.0,EW
2022-01-14,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,193.0,EW
2022-01-19,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,260.0,EW
2022-01-20,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,190.0,EW
2022-01-23,0.0983,,1,0.0983,0.0,1,1,1,0,0,0,0,0,989.0,EW
2022-01-26,0.0598,0.072,3,0.0598,0.0,1,0,1,0,0,0,0,0,731.6667,EW
2022-01-27,-0.0111,0.0192,3,0.0111,0.0,2,0,0,0,1,0,0,0,179.0,EW
2022-01-31,0.0205,,1,0.0205,0.0,1,1,1,0,0,0,0,0,1130.0,EW
2022-02-02,-0.0194,,1,0.0194,0.0,0,1,1,0,0,0,0,0,4613.0,EW
2022-02-23,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,189.0,EW
2022-02-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,206.0,EW
2022-03-01,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,184.0,EW
2022-03-04,0.3444,,1,0.3444,0.0,0,0,0,0,0,0,0,0,218.0,EW
2022-03-14,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,200.0,EW
2022-03-16,0.0352,0.0313,3,0.0352,0.0,0,1,0,0,0,0,0,0,1426.6667,EW
2022-03-22,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,174.0,EW
2022-03-25,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,273.0,EW
2022-03-28,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,188.0,EW
2022-03-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,207.0,EW
2022-03-30,1.0,,1,1.0,0.0,1,0,0,0,1,0,0,0,169.0,EW
2022-04-01,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,198.0,EW
