title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Triton (TRTN) to Report Q1 Earnings: What's in the Offing?,"Improved trade volumes are likely to aid Triton's (TRTN) Q1 results, sequentially.",2021-04-23 15:44:00+00:00,http://www.zacks.com/stock/news/1442310/triton-trtn-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1442310,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,142,"['JBLU', 'UPS', 'EXPD', 'TRTN']",EXPD,2021-04-23
One Last Hurrah? The Stocks To Buy Now,"Warning signals are flashing, suggesting it could be smart to fade the next move up. The strongest sectors currently include financials, REITs, and consumer goods.",2021-04-25 08:09:04+00:00,https://seekingalpha.com/article/4421093-one-last-hurrah-stocks-to-buy-now?source=feed,Seeking Alpha,0.05357142857142857,0.2773809523809524,neutral,0.05357142857142857,False,True,True,False,False,False,False,False,0.0,203,"['ABBV', 'ACHC', 'ADP', 'AEP', 'AFIN', 'AFINO', 'AFINP', 'AIZ', 'ALE', 'ALOT', 'ALRM', 'ASH', 'AVNT', 'BANR', 'BIP', 'BMY', 'BRO', 'BXS', 'CB', 'CLI', 'CMCSA', 'CMO', 'CMP', 'CNO', 'CNP', 'CODI', 'CPLG', 'CQP', 'CSL', 'CTVA', 'CVS', 'DBX', 'DKL', 'DTB', 'DTE', 'DTJ', 'DTP', 'DTW', 'ED', 'EFC', 'EFX', 'EMN', 'EPD', 'ESI', 'ETR', 'EVH', 'EVLO', 'EXPD', 'EXPO', 'FANG', 'FIS', 'FOXF', 'GLP', 'GPC', 'GPN', 'GRA', 'HAIN', 'HD', 'HOME', 'IART', 'ICHR', 'IPG', 'IT', 'JCOM', 'KBH', 'KO', 'LEG', 'LEVI', 'LLY', 'MAC', 'MEDP', 'MGP', 'MLM', 'MMM', 'MMP', 'MNST', 'NI', 'NLY', 'NOC', 'NWL', 'OIS', 'OPRX', 'OSIS', 'OTEX', 'OXY', 'PBFX', 'PFG', 'PFH', 'PFPT', 'PII', 'PPG', 'PRS', 'PRU', 'RPT', 'RRR', 'RSG', 'SHW', 'SLG', 'SRE', 'SREA', 'SSD', 'STAR', 'STZ', 'STZ.B', 'TSCO', 'WES', 'WTFC', 'WTFCM', 'WTFCP', 'WTRG', 'WWW', 'YUM']",EXPD,2021-04-25
USA Truck (USAK) to Report Q1 Earnings: What's in Store?,Cost-control efforts are likely to have boosted USA Truck's (USAK) bottom-line performance in Q1.,2021-04-26 16:21:00+00:00,http://www.zacks.com/stock/news/1457109/usa-truck-usak-to-report-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457109,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,155,"['JBLU', 'UPS', 'EXPD', 'USAK']",EXPD,2021-04-26
Is a Beat in Store for Expeditors (EXPD) in Q1 Earnings?,Surge in airfreight services revenues is likely to get reflected in Expeditors' (EXPD) March-end financials.,2021-04-27 14:04:00+00:00,http://www.zacks.com/stock/news/1461694/is-a-beat-in-store-for-expeditors-expd-in-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1461694,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,166,"['EXPD', 'SKYW', 'WAB', 'WERN']",EXPD,2021-04-27
CAI International (CAI) to Post Q1 Earnings: What's in Store?,Cost-control efforts are likely to have boosted CAI International's (CAI) bottom-line performance in Q1.,2021-04-27 15:28:00+00:00,http://www.zacks.com/stock/news/1462367/cai-international-cai-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462367,Zacks Investment Research,0.0,0.3333333333333333,neutral,0.0,True,False,False,False,False,False,False,False,0.0,167,"['EXPD', 'SKYW', 'WERN', 'CAI']",EXPD,2021-04-27
Why the Earnings Surprise Streak Could Continue for Expeditors International (EXPD),Expeditors International (EXPD) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,2021-04-29 16:10:09+00:00,http://www.zacks.com/stock/news/1473765/why-the-earnings-surprise-streak-could-continue-for-expeditors-international-expd?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_7-1473765,Zacks Investment Research,0.1607142857142857,0.4919642857142857,positive,0.1607142857142857,True,False,False,False,False,False,False,False,0.0,281,['EXPD'],EXPD,2021-04-29
XPO Logistics (XPO) to Report Q1 Earnings: A Beat in Store?,XPO Logistics' (XPO) Q1 earnings performance is likely to have been bolstered by higher revenues from the transportation segment.,2021-04-29 17:02:00+00:00,http://www.zacks.com/stock/news/1474255/xpo-logistics-xpo-to-report-q1-earnings-a-beat-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1474255,Zacks Investment Research,0.125,0.75,positive,0.125,True,False,False,False,False,False,False,False,0.0,190,"['EXPD', 'SKYW', 'EGLE', 'XPO']",EXPD,2021-04-29
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-02 11:14:11+00:00,https://seekingalpha.com/article/4423506-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['SYY', 'CBT', 'MRK', 'DELL', 'KMX', 'UNP', 'DISH', 'XPO', 'CVS', 'PFE', 'DD', 'TMUS', 'CZR', 'ZG', 'UAA', 'ATVI', 'GM', 'MET', 'ZNGA', 'ALL', 'UBER', 'RKT', 'CAH', 'VIAC', 'MCK', 'SQ', 'CI', 'ENB', 'UTME', 'VECT', 'RPHM', 'GATO', 'VSH', 'RGR', 'CNO', 'MSA', 'CPK', 'HPE', 'EXPD', 'POOL', 'PEP', 'ORBC', 'MYGN', 'ARKX', 'VXRT', 'MRNA', 'NVAX', 'BNTX', 'CP', 'CNI', 'KSU', 'BYND', 'AIMC', 'PGR']",EXPD,2021-05-02
"Big Increases Expected In May From Northrop Grumman, PetMed Express","As expected, Apple came in with a nice dividend increase on the last day in April.",2021-05-03 04:03:42+00:00,https://seekingalpha.com/article/4423659-big-increases-expected-in-may-from-northrop-grumman-petmed-express?source=feed,Seeking Alpha,0.07999999999999999,0.3933333333333333,neutral,0.07999999999999999,False,False,False,False,False,True,False,False,0.0,151,"['AAPL', 'AMP', 'AWK', 'CAH', 'CNO', 'CPK', 'CVX', 'EXPD', 'FDS', 'FFIN', 'GWW', 'IBM', 'IHC', 'JNJ', 'LAZ', 'LBAI', 'LEG', 'MET', 'MSA', 'NHC', 'NOC', 'PBCT', 'PETS', 'POOL', 'POR', 'RLI', 'SO', 'SON', 'TRV', 'TTEK', 'UGI', 'WEYS', 'XOM']",EXPD,2021-05-03
Why Earnings Season Could Be Great for Expeditors International of Washington (EXPD),Expeditors International of Washington (EXPD) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-05-03 14:54:00+00:00,http://www.zacks.com/stock/news/1493994/why-earnings-season-could-be-great-for-expeditors-international-of-washington-expd?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1493994,Zacks Investment Research,0.25681818181818183,0.32386363636363635,positive,0.25681818181818183,True,False,False,False,False,False,False,False,0.0,255,['EXPD'],EXPD,2021-05-03
