title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Makes It Four Days of Gains as Stocks Resume Rally,NASDAQ Makes It Four Days of Gains as Stocks Resume Rally,2020-04-15 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25017,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,116,"['IRBT', 'LYV', 'WYNN', 'AEM', 'BFAM', 'BURL', 'EXPE', 'LVS', 'R', 'SKF', 'SQQQ', 'SDOW', 'SQ', 'SMED', 'AMZN', 'AAPL', 'MSFT', 'NFLX', 'JPM', 'WFC', 'GS', 'MS', 'BAC', 'C', 'JNJ']",EXPE,2020-04-15
NASDAQ Adds Another 1% as Stocks Finish Positive Again,NASDAQ Adds Another 1% as Stocks Finish Positive Again,2020-05-06 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25247,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,False,False,False,False,False,False,False,False,0.0,110,"['TRST', 'CINF', 'VZ', 'MOS', 'ESPR', 'CODI', 'TWTR', 'TMUS', 'EXPE', 'ETSY', 'BMRN', 'HTHT', 'DRI', 'YNDX', 'RMBS', 'CTXS', 'SGMO', 'SMED', 'NFLX', 'GOOG', 'AAPL', 'MSFT', 'DIS']",EXPE,2020-05-06
Earnings Preview: Expedia (EXPE) Q1 Earnings Expected to Decline,Expedia (EXPE) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-29 21:05:29+00:00,http://www.zacks.com/stock/news/1475117/earnings-preview-expedia-expe-q1-earnings-expected-to-decline?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1475117,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,False,False,False,False,False,False,False,0.0,236,['EXPE'],EXPE,2021-04-29
Miss the SPAC Boom? Buy Peter Thiel's on the Ground Floor,"Whether Bridgetown invests in Traveloka or not, this entry point looks like a gift.",2021-05-01 10:12:00+00:00,https://www.fool.com/investing/2021/05/01/miss-the-spac-boom-buy-peter-thiels-on-the-ground/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,142,"['BTWN', 'EXPE', 'JD']",EXPE,2021-05-01
1 Growth Stock to Own Forever,Airbnb has changed travel forever.,2021-05-03 15:00:00+00:00,https://www.fool.com/investing/2021/05/03/1-growth-stock-to-own-forever/?source=iedfolrf0000001,The Motley Fool,0.6,1.0,positive,0.6,False,False,False,False,False,False,False,False,0.0,65,"['ABNB', 'GOOGL', 'BKNG', 'EXPE']",EXPE,2021-05-03
Expedia (EXPE) to Report Q1 Earnings: What's in the Offing?,"Expedia's (EXPE) Q1 results are expected to reflect gains from improving travel trends. However, coronavirus-related woes are likely to have been headwinds.",2021-05-03 16:25:00+00:00,http://www.zacks.com/stock/news/1494438/expedia-expe-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1494438,Zacks Investment Research,-0.05,0.7,neutral,0.05,True,False,False,False,False,False,False,False,0.0,217,"['EXPE', 'SYNA', 'VSH', 'CDW']",EXPE,2021-05-03
ClearBridge Mid Cap Growth Strategy Portfolio Manager Commentary Q1 2021,ClearBridge is a leading global asset manager committed to active management.,2021-05-04 07:27:00+00:00,https://seekingalpha.com/article/4423932-clearbridge-mid-cap-growth-strategy-portfolio-manager-commentary-q1-2021?source=feed,Seeking Alpha,-0.044444444444444446,0.19999999999999998,neutral,0.044444444444444446,False,False,False,False,False,False,True,False,0.0,151,"['URI', 'FTNT', 'EXPE', 'PINS', 'BURL', 'SPLK', 'CPRT', 'DDOG', 'TEAM', 'CSGP', 'DASH', 'XM', 'CODI', 'FIVN', 'HUBS', 'TDOC', 'TFX', 'LYFT', 'WOOF', 'BMBL', 'BMRN', 'TBA']",EXPE,2021-05-04
Wall Street Breakfast: Vaccine Chatter,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-05-06 11:10:55+00:00,https://seekingalpha.com/article/4424906-wall-street-breakfast-vaccine-talk?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,177,"['TSLA', 'PTON', 'FB', 'TWTR', 'MRNA', 'SQ', 'GOLD', 'BKNG', 'EMR', 'ETSY', 'FSLY', 'GM', 'NRZ', 'PYPL', 'RKT', 'RUN', 'TWLO', 'UBER', 'ZNGA', 'REGN', 'K', 'VIAC', 'AMC', 'DBX', 'EXPE', 'ROKU', 'BYND', 'SHAK', 'ARKK', 'AAPL', 'KO', 'PG', 'KMB', 'GOOG', 'GOOGL', 'HD', 'SNAP', 'AMZN', 'FOXA', 'BNTX', 'CL', 'UL', 'PFE', 'JNJ', 'AZN']",EXPE,2021-05-06
"Earnings Roundup: Shopify, Alphabet, and Pinterest",Reviewing earnings reports of three superstar companies and why there's still growth ahead of them.,2021-05-06 17:04:40+00:00,https://www.fool.com/investing/2021/05/06/earnings-roundup-shopify-alphabet-and-pinterest/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,151,"['PINS', 'MSFT', 'GOOGL', 'NFLX', 'FB', 'SBUX', 'EXPE', 'TWTR', 'GOOG', 'SHOP']",EXPE,2021-05-06
"Expedia (EXPE) Reports Q1 Loss, Tops Revenue Estimates","Expedia (EXPE) delivered earnings and revenue surprises of 19.84% and 14.83%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 21:20:03+00:00,http://www.zacks.com/stock/news/1512009/expedia-expe-reports-q1-loss-tops-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1512009,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,241,['EXPE'],EXPE,2021-05-06
"Big Afternoon for Earnings: PTON, SHAK, EXPE and More","Earnings season continues at a rapid clip, with many more companies posting quarterly figures at the end of the regular trading session. Here are highlights of just a few.",2021-05-06 22:03:00+00:00,http://www.zacks.com/stock/news/1512197/big-afternoon-for-earnings-pton-shak-expe-and-more?cid=CS-ZC-FT-ahead_of_wall_street-1512197,Zacks Investment Research,0.21666666666666667,0.29615384615384616,positive,0.21666666666666667,True,False,False,False,False,False,False,False,0.0,226,"['EXPE', 'SHAK', 'SQ', 'DBX', 'PTON']",EXPE,2021-05-06
Expedia (EXPE) Q1 2021 Earnings Call Transcript,"EXPE earnings call for the period ending March 31, 2021.",2021-05-07 08:31:43+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/expedia-expe-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,105,['EXPE'],EXPE,2021-05-07
"5 Stocks To Watch For May 7, 2021","Some of the stocks that may grab investor focus today are:

Wall Street expects  Cigna Corp (NYSE: CI) to report quarterly earnings at $4.38 per share on revenue of $40.24 billion before the opening bell. Cigna shares rose 0.5% to $258.25 in after-hours trading.
Expedia Group Inc (NASDAQ: EXPE) reported stronger-than-expected results for its first quarter on Thursday. Expedia ...Full story available on Benzinga.com",2021-05-07 09:00:23+00:00,https://www.benzinga.com/news/earnings/21/05/21007919/5-stocks-to-watch-for-may-7-2021,Benzinga,0.4166666666666667,0.561111111111111,positive,0.4166666666666667,True,False,False,False,False,False,False,False,0.0,453,"['EXPE', 'CI', 'LEA', 'MCK', 'MNST']",EXPE,2021-05-07
