title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Enphase Energy (ENPH) to Post Q1 Earnings: What's in Store?,"Enphase Energy's (ENPH) production ramp is moving at a brisk pace as the company expects to have produced approximately 400,000 microinverters in India during the first quarter.",2021-04-23 13:07:00+00:00,http://www.zacks.com/stock/news/1441637/enphase-energy-enph-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1441637,Zacks Investment Research,-0.07500000000000001,0.4666666666666667,neutral,0.07500000000000001,True,False,False,False,True,False,False,False,0.0,238,"['FSLR', 'ENPH', 'SEDG', 'RUN']",FSLR,2021-04-23
First Solar (FSLR) to Report Q1 Earnings: What's in Store?,First Solar's (FSLR) Q1 results are expected to reflect solid shipment volumes for its Series 6 modules.,2021-04-28 16:17:00+00:00,http://www.zacks.com/stock/news/1468450/first-solar-fslr-to-report-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1468450,Zacks Investment Research,0.1,0.2916666666666667,neutral,0.1,True,False,False,False,False,False,False,False,0.0,164,"['FSLR', 'SPWR', 'SEDG', 'RUN']",FSLR,2021-04-28
3 Bargain Renewable Stocks You Can Buy Right Now,These stocks are cheap and could have a lot of growth on the horizon.,2021-04-29 21:15:00+00:00,https://www.fool.com/investing/2021/04/29/3-bargain-renewable-stocks-you-can-buy-right-now/?source=iedfolrf0000001,The Motley Fool,0.34285714285714286,0.6178571428571429,positive,0.34285714285714286,False,True,False,False,False,False,False,False,0.0,119,"['FSLR', 'CSIQ', 'BEP', 'AY', 'NEP']",FSLR,2021-04-29
First Solar (FSLR) Q1 2021 Earnings Call Transcript,"FSLR earnings call for the period ending March 31, 2021.",2021-04-30 07:31:40+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/30/first-solar-fslr-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.25,0.3333333333333333,positive,0.25,True,False,False,False,False,False,False,False,0.0,109,['FSLR'],FSLR,2021-04-30
38 Stocks Moving In Friday's Mid-Day Session,"Gainers

Image Sensing Systems, Inc. (NASDAQ: ISNS) rose 29.2% to $5.93 after the company announced it initiated a quarterly dividend of $0.12 per share, authorized a 220,000 share buyback and announced the implementation of a holding company reorganization.
Farmmi, Inc. (NASDAQ: FAMI) jumped 24.5% to $0.4456. Farmmi shares fell 55% on Thursday after the company priced its $42.0 million upsized underwritten public offering of ordinary shares..
Remark Holdings, Inc. (NASDAQ: MARK) shares jumped 20.7% to $2.4501.
Brooklyn ImmunoTherapeutics, Inc. (NYSE: BTX) gained 20% to $41.03 after dropping around 22% on Thursday. Brooklyn ImmunoTherapeutics acquired license for mRNA technology platform of Factor Bioscience Limited And Novellus Therapeutics Limited.
Mesoblast Limited (NASDAQ: MESO) gained 17.5% to $8.48 after the company announced 60-day results from the randomized controlled trial of remestemcel-L in COVID-19 patients with moderate/severe acute respiratory distress syndrome (ARDS), which had been halted after the third interim analysis, as previously announced.
Bel Fuse Inc. (NASDAQ: BELFB) surged 16.5% to $19.02.
CryoLife, Inc. (NYSE: CRY) gained 15% to $26.99 after the company reported better-than-expected Q1 results. Needham maintained Cryolife with a Buy and raised the price target from $33 to $38.
Naked Brand Group Limited (NASDAQ: NAKD) rose 14.6% to $0.7222. Naked Brand received NASDAQ notice of minimum bid price non-compliance.
Arcutis Biotherapeutics, Inc. (NASDAQ: ARQT) gained 12.6% to $34.40. Arcutis Biotherapeutics, last week, announced the presentation of new safety and efficacy data of roflumilast foam to treat scalp and body psoriasis.
Laureate Education, Inc. (NASDAQ: LAUR) ...Full story available on Benzinga.com",2021-04-30 16:11:34+00:00,https://www.benzinga.com/news/21/04/20892750/38-stocks-moving-in-fridays-mid-day-session,Benzinga,0.10212391774891774,0.36412337662337657,positive,0.10212391774891774,False,True,False,False,False,True,False,False,0.0,1806,"['PACB', 'FAMI', 'BELFB', 'BTX', 'BNTX', 'CRUS', 'NPTN', 'WKEY', 'CYCC', 'SLCA', 'ARQT', 'DXCM', 'MARK', 'ALXO', 'EHTH', 'XXII', 'PALI', 'FSLR', 'CPSH', 'ISNS', 'MARA', 'LLNW', 'TWTR', 'MVIS', 'FIVN', 'NATI', 'ARDX', 'SWKS', 'AP', 'NAKD', 'BCS', 'LAUR', 'CRY', 'MESO', 'JMP', 'AIRG', 'PBI', 'VXRT']",FSLR,2021-04-30
12 Information Technology Stocks Moving In Friday's Intraday Session,"Gainers

Bel Fuse (NASDAQ:BELFB) shares rose 30.95% to $21.39 during Friday's regular session. As of 12:31 EST, this security is trading at a volume of 430.0K shares, making up 717.41% of its average full-day volume over the last 100 days. The company's market cap stands at $264.0 million.
Image Sensing Systems (NASDAQ:ISNS) shares rose 22.85% to $5.66. The current volume of 39.2 million shares is 78777.49% of Image Sensing Systems's average full-day volume over the last 100 days (last updated at 12:31 EST). The company's market cap stands at $30.2 million.
Bel Fuse (NASDAQ:BELFA) shares rose 20.41% to $20.11. Trading volume for Bel Fuse's stock is 9.0K as of 12:31 EST. This is 356.55% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $248.3 million.
Marathon Digital Holdings (NASDAQ:MARA) stock moved upwards by 9.69% to $37.58. As of 12:31 EST, this security is trading at a volume of 15.8 million shares, making up 64.0% of its average full-day volume over the last 100 days. The market value of their ...Full story available on Benzinga.com",2021-04-30 16:41:26+00:00,https://www.benzinga.com/intraday-update/21/04/20893170/12-information-technology-stocks-moving-in-fridays-intraday-session,Benzinga,0.12352941176470589,0.3844268476621418,positive,0.12352941176470589,False,False,True,False,False,False,False,False,0.0,1181,"['BELFA', 'BELFB', 'CRUS', 'FSLR', 'ISNS', 'LLNW', 'OIIM', 'SCSC', 'NPTN', 'MARA', 'SPCB', 'FIVN']",FSLR,2021-04-30
"First Solar (FSLR) Q1 Earnings Beat Estimates, Sales Up Y/Y","First Solar (FSLR) earnings soar 130.6% year over year in the first quarter, primarily driven by stellar sales, coupled with solid manufacturing execution.",2021-04-30 17:17:00+00:00,http://www.zacks.com/stock/news/1479957/first-solar-fslr-q1-earnings-beat-estimates-sales-up-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1479957,Zacks Investment Research,0.2333333333333333,0.30833333333333335,positive,0.2333333333333333,True,False,False,False,False,False,False,False,0.0,216,"['FSLR', 'SPWR', 'ENPH', 'RUN']",FSLR,2021-04-30
Why First Solar Stock Plunged Today,"The quarterly results were good, but guidance left a lot to be desired.",2021-04-30 17:33:22+00:00,https://www.fool.com/investing/2021/04/30/why-first-solar-stock-plunged-today/?source=iedfolrf0000001,The Motley Fool,0.31666666666666665,0.3111111111111111,positive,0.31666666666666665,False,False,False,False,False,False,False,False,0.0,108,['FSLR'],FSLR,2021-04-30
55 Biggest Movers From Friday,"Gainers

Brooklyn ImmunoTherapeutics, Inc. (NYSE: BTX) jumped 45.5% to close at $49.80 on Friday after dropping around 22% on Thursday. Brooklyn ImmunoTherapeutics acquired license for mRNA technology platform of Factor Bioscience Limited And Novellus Therapeutics Limited.
Image Sensing Systems, Inc. (NASDAQ: ISNS) shares jumped 42.1% to close at $6.52 on Friday after the company announced it initiated a quarterly dividend of $0.12 per share, authorized a 220,000 share buyback and announced the implementation of a holding company reorganization.
Regional Health Properties, Inc. (NYSE: RHE) surged 38.1% to settle at $7.22. Regional Health Properties 8-K showed the company ‘confirms it is not aware of any undisclosed material change in the business, operations or affairs of the Company that would account for the recent increase in the share price and the trading volume of the Company.’
Farmmi, Inc. (NASDAQ: FAMI) gained 24.6% to settle at $0.4460. Farmmi shares fell 55% on Thursday after the company priced its $42.0 million upsized underwritten public offering of ordinary shares..
CryoLife, Inc. (NYSE: CRY) jumped 24.2% to close at $29.18 after the company reported better-than-expected Q1 results. Needham maintained Cryolife with a Buy and raised the price target from $33 to $38.
SunLink Health Systems, Inc. (NYSE: SSY) gained 23.2% to close at $2.76.
Bel Fuse Inc. (NASDAQ: BELFB) climbed 22.1% to settle at $19.93.
Gaucho Group Holdings, Inc. (NASDAQ: VINO) surged 18.9% to close at $4.34.
Sonnet BioTherapeutics Holdings, Inc. (NASDAQ: SONN) gained 17.9% to close at $2.37.
Vaxart, Inc. (NASDAQ: VXRT) climbed 17.1% to close at $10.78 after gaining over 9% on Thursday.
Shineco, Inc. (NASDAQ: TYHT) gained 16.5% to close at $11.14.
Laureate Education, Inc. (NASDAQ: LAUR) jumped 15.8% to close at $13.75 after the company announced it was notified the DOJ filed a Notice of Election to Decline Intervention with respect to a civil qui tam action filed by third-party relators against Walden University and the company.
MEDIROM Healthcare Technologies Inc. (NASDAQ: MRM) jumped 14.9% to close at $11.85. The company said it has acquired 100% ownership of SAWAN CO. LTD.
Remark Holdings, Inc. (NASDAQ: MARK) shares gained 14.8% to close at $2.33.
Insignia Systems, Inc. (NASDAQ: Full story available on Benzinga.com",2021-05-03 09:17:34+00:00,https://www.benzinga.com/news/21/05/20909490/55-biggest-movers-from-friday,Benzinga,0.03690476190476191,0.2669312169312169,neutral,0.03690476190476191,False,True,False,False,False,True,False,False,0.0,2367,"['MRM', 'ARQT', 'BCS', 'FIVN', 'SSY', 'SONN', 'CRY', 'ARDX', 'BELFB', 'KROS', 'CTS', 'CERC', 'CASA', 'ALXO', 'GHL', 'NAKD', 'CRUS', 'CYTH', 'JMP', 'LAUR', 'DMRC', 'VIRX', 'PBI', 'MESO', 'DXCM', 'VACC', 'SM', 'TKAT', 'FSLR', 'PACB', 'AIRG', 'VINO', 'ISIG', 'BTX', 'TYHT', 'ISNS', 'NPTN', 'RHE', 'LLNW', 'SLCA', 'DLPN', 'MVIS', 'MARK', 'VXRT', 'NATI', 'CMPI', 'FAMI', 'SWKS', 'CPSH', 'BNTX', 'AHT', 'MARA', 'WKEY', 'AP', 'TWTR']",FSLR,2021-05-03
The Anatomy Of My High-Growth Portfolio,I operate two main portfolios: my safe portfolio and my high growth portfolio. This article will dissect and focus on my high-growth holdings.,2021-05-03 11:32:39+00:00,https://seekingalpha.com/article/4423712-anatomy-of-high-growth-portfolio?source=feed,Seeking Alpha,0.27555555555555555,0.4577777777777777,positive,0.27555555555555555,False,False,True,False,False,False,False,False,0.0,183,"['ABCL', 'ADPT', 'AI', 'AMRC', 'AMZN', 'AONE', 'ARRY', 'ASTS', 'ASTSW', 'AYX', 'BABA', 'BEAM', 'BLI', 'CAPA', 'CAPAW', 'CHPT', 'CMII', 'CMIIU', 'CMIIW', 'COUP', 'CRSP', 'CRWD', 'CYBR', 'DDOG', 'DESP', 'DM', 'DT', 'EDIT', 'ENPH', 'ESTC', 'FB', 'FSLR', 'GNCA', 'GOOG', 'GOOGL', 'HASI', 'IIVI', 'IIVIP', 'KLR', 'LILA', 'LILAK', 'MELI', 'MP', 'MSFT', 'NFLX', 'NTLA', 'NVDA', 'OKTA', 'PACB', 'PATH', 'PLTR', 'PROF', 'QS', 'RLAY', 'ROCK', 'SAIL', 'SDGR', 'SEDG', 'SNOW', 'SPCE', 'SPFR', 'SPLK', 'SRAC', 'SRACU', 'TLS', 'TTD', 'TWST', 'U', 'Z', 'ZG', 'ZS']",FSLR,2021-05-03
