date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,114.0,HAL
2020-11-10,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,120.0,HAL
2020-12-24,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,86.0,HAL
2021-04-21,0.1188,0.1679,2,0.1188,0.0,2,0,0,0,0,0,0,0,315.5,HAL
2021-04-23,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,100.0,HAL
2021-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,276.0,HAL
2021-05-03,0.075,0.1061,2,0.075,0.0,0,0,0,0,0,0,0,0,197.0,HAL
2021-05-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,53.0,HAL
2021-05-12,0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,190.0,HAL
2021-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,234.0,HAL
2021-05-18,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,191.0,HAL
2021-05-20,-0.0732,0.0025,2,0.0732,0.0,0,0,0,1,0,0,0,0,251.0,HAL
2021-05-21,0.05,0.0707,2,0.05,0.0,1,0,0,0,0,0,0,0,214.5,HAL
2021-05-24,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,192.0,HAL
2021-05-27,0.05,0.0707,2,0.05,0.0,0,0,0,0,0,0,0,0,152.5,HAL
2021-05-28,0.1071,,1,0.1071,0.0,0,0,0,0,0,0,0,0,234.0,HAL
2021-05-31,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,190.0,HAL
2021-06-03,0.1792,0.2202,3,0.1792,0.0,0,1,0,0,0,0,0,0,1220.0,HAL
2021-06-06,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,34.0,HAL
2021-06-07,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,198.0,HAL
2021-06-14,-0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,189.0,HAL
2021-06-17,0.625,,1,0.625,0.0,0,0,0,0,0,0,0,0,118.0,HAL
2021-06-18,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,195.0,HAL
2021-06-22,-0.0125,0.3142,5,0.2125,0.0,1,1,0,0,0,0,0,0,178.4,HAL
2021-06-25,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,180.0,HAL
2021-06-28,-0.0162,,1,0.0162,0.0,0,0,0,0,0,0,0,0,199.0,HAL
2021-06-29,-0.0417,,1,0.0417,0.0,0,0,0,0,0,0,0,1,213.0,HAL
2021-07-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,192.0,HAL
2021-07-10,0.2121,,1,0.2121,0.0,0,0,0,0,0,0,0,0,227.0,HAL
2021-07-12,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,197.0,HAL
2021-07-13,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,229.0,HAL
2021-07-14,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,253.0,HAL
2021-07-15,0.0292,0.0412,2,0.0292,0.0,1,0,0,0,0,0,0,0,162.5,HAL
2021-07-16,0.0091,0.2138,3,0.1424,0.0,2,1,1,0,0,0,1,0,201.3333,HAL
2021-07-19,0.15,0.2121,2,0.15,0.0,0,0,0,0,1,0,0,0,210.0,HAL
2021-07-20,-0.0529,0.5001,6,0.2805,0.0333,5,0,2,0,1,0,0,0,216.5,HAL
2021-07-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,216.0,HAL
2021-07-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,159.0,HAL
2021-07-24,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,80.5,HAL
2021-07-25,0.0687,,1,0.0687,0.0,1,0,1,0,0,1,0,0,1395.0,HAL
2021-08-02,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,244.0,HAL
2021-08-03,0.175,,1,0.175,0.0,1,0,0,0,0,0,0,0,96.0,HAL
