title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Regions (RF) Q1 Earnings Beat Estimates on Solid Revenues,"Regions' (RF) Q1 performance reflects stellar revenues and credit provision, partly offset by rise in expenses.",2021-04-23 11:52:00+00:00,http://www.zacks.com/stock/news/1441274/regions-rf-q1-earnings-beat-estimates-on-solid-revenues?cid=CS-ZC-FT-analyst_blog|earnings_article-1441274,Zacks Investment Research,0.125,0.175,positive,0.125,True,False,False,False,False,False,False,False,0.0,170,"['RF', 'HBAN', 'BOKF', 'BXS']",HBAN,2021-04-23
Bank of Hawaii (BOH) Stock Down 1.2% Despite Q1 Earnings Beat,"Bank of Hawaii's (BOH) Q1 results reflect fall in provisions, lower revenues and rise in expenses.",2021-04-27 11:58:00+00:00,http://www.zacks.com/stock/news/1461351/bank-of-hawaii-boh-stock-down-12-despite-q1-earnings-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1461351,Zacks Investment Research,-0.15555555555555559,0.2888888888888889,negative,0.15555555555555559,True,False,False,False,False,False,False,False,0.0,161,"['RF', 'HBAN', 'TCBI', 'BOH']",HBAN,2021-04-27
Huntington (HBAN) & TCF Merger Deal Gets Regulatory Nod,"Huntington's (HBAN) merger deal with TCF Financial (TCF) gets necessary approvals and is expected to close on or around Jun 9, 2021.",2021-05-28 11:06:00+00:00,http://www.zacks.com/stock/news/1618753/huntington-hban-tcf-merger-deal-gets-regulatory-nod?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1618753,Zacks Investment Research,-0.03333333333333333,0.4666666666666666,neutral,0.03333333333333333,False,True,True,False,False,False,False,False,0.0,189,"['MTB', 'HBAN', 'HBNC', 'TCF']",HBAN,2021-05-28
"M&T Bank (MTB), People's United (PBCT) Get Shareholders' Nod","M&T Bank (MTB) and People's United (PBCT) receive shareholder nod for merger deal, reflecting the companies' confidence in the rationale and synergies of the merger.",2021-05-31 16:30:00+00:00,http://www.zacks.com/stock/news/1634740/mt-bank-mtb-peoples-united-pbct-get-shareholders-nod?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1634740,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,227,"['MTB', 'HBAN', 'PBCT', 'TCF']",HBAN,2021-05-31
United Community (UCBI) Inks Deal to Buy Aquesta Financial,"United Financial's (UCBI) will acquire Aquesta, which aligns with the company's plans to expand into attractive and fast-growing markets.",2021-06-01 12:16:00+00:00,http://www.zacks.com/stock/news/1638945/united-community-ucbi-inks-deal-to-buy-aquesta-financial?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1638945,Zacks Investment Research,0.26666666666666666,0.3333333333333333,positive,0.26666666666666666,False,True,False,False,False,False,False,False,0.0,197,"['HBAN', 'UCBI', 'TCF', 'TFC']",HBAN,2021-06-01
Why Huntington (HBAN) Stock Might be a Great Pick,"Huntington (HBAN) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",2021-06-02 12:48:00+00:00,http://www.zacks.com/stock/news/1643930/why-huntington-hban-stock-might-be-a-great-pick?cid=CS-ZC-FT-tale_of_the_tape|industry_rank_and_rising_estimates-1643930,Zacks Investment Research,0.24583333333333335,0.45833333333333337,positive,0.24583333333333335,True,False,False,False,False,False,False,False,0.0,182,['HBAN'],HBAN,2021-06-02
Ally Bank Eliminates Overdraft Fees: Will Other Banks Follow?,"Ally Financial (ALLY) removes overdraft fees. Will other banks like JPMorgan (JPM), Bank of America (BAC), Citigroup (C), Wells Fargo (WFC), Regions Financial (RF) & Huntington Bancshares (HBAN) follow suit?",2021-06-03 12:14:00+00:00,http://www.zacks.com/stock/news/1649250/ally-bank-eliminates-overdraft-fees-will-other-banks-follow?cid=CS-ZC-FT-analyst_blog|industry_focus-1649250,Zacks Investment Research,-0.0625,0.1875,neutral,0.0625,False,False,False,False,False,False,False,False,0.0,270,"['JPM', 'RF', 'HBAN', 'BAC', 'C', 'WFC', 'ALLY']",HBAN,2021-06-03
"PDC Energy, CommVault Systems, Ally Financial, Regions Financial and Huntington Bancshares highlighted as Zacks Bull and Bear of the Day","PDC Energy, CommVault Systems, Ally Financial, Regions Financial and Huntington Bancshares highlighted as Zacks Bull and Bear of the Day",2021-06-04 12:35:00+00:00,http://www.zacks.com/stock/news/1654364/pdc-energy-commvault-systems-ally-financial-regions-financial-and-huntington-bancshares-highlighted-as-zacks-bull-and-bear-of-the-day?cid=CS-ZC-FT-press_releases-1654364,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,274,"['RF', 'HBAN', 'PDCE', 'CVLT', 'ALLY']",HBAN,2021-06-04
First Foundation (FFWM) to Acquire TGR Financial for $295M,First Foundation's (FFWM) all-stock agreement to take over TGR Financial will likely help the company grow as well as boost its financials.,2021-06-04 17:41:00+00:00,https://www.zacks.com/stock/news/1656338/first-foundation-ffwm-to-acquire-tgr-financial-for-295m,Zacks Investment Research,0.1,0.3333333333333333,neutral,0.1,False,True,False,False,False,False,False,False,0.0,199,"['MTB', 'HBAN', 'PBCT', 'FFWM']",HBAN,2021-06-04
United Bankshares (UBSI) to Buy Community Bankers for $303.3M,"In order to enhance and expand its footprint in opportunistic markets, United Bankshares (UBSI) seals deal to acquire Community Bankers.",2021-06-04 17:42:00+00:00,https://www.zacks.com/stock/news/1656339/united-bankshares-ubsi-to-buy-community-bankers-for-3033m,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,199,"['HBAN', 'BAC', 'UBSI', 'TCF']",HBAN,2021-06-04
"HBT Financial (HBT) to Buy NXT Bancorporation, Expand in Iowa",HBT Financial's (HBT) definitive agreement to acquire NXT Bancorporation for $42.8 million will expand its market share and footprint in Iowa.,2021-06-08 12:54:00+00:00,https://www.zacks.com/stock/news/1674884/hbt-financial-hbt-to-buy-nxt-bancorporation-expand-in-iowa,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,205,"['MTB', 'HBAN', 'PBCT', 'HBT']",HBAN,2021-06-08
"Huntington (HBAN) Closes TCF Financial Merger, Expands Footprint","Huntington (HBAN) concludes a merger deal with TCF Financial, making it one of the top 25 U.S. bank holding companies. The move marks its entry in Minnesota and Colorado, and across new businesses.",2021-06-10 14:28:00+00:00,https://www.zacks.com/stock/news/1685756/huntington-hban-closes-tcf-financial-merger-expands-footprint,Zacks Investment Research,0.1590909090909091,0.23863636363636365,positive,0.1590909090909091,False,True,False,False,False,False,False,False,0.0,263,"['MTB', 'HBAN', 'PBCT', 'UBSI']",HBAN,2021-06-10
What's in the Cards for Bank Investors in FOMC Meeting?,"Banks including JPMorgan (JPM), BofA (BAC), Huntington (HBAN), BOK Financial (BOKF) and Zions (ZION) are expected to benefit from clues to the timeline for any policy changes by the Fed.",2021-06-16 12:18:00+00:00,https://www.zacks.com/stock/news/1716975/whats-in-the-cards-for-bank-investors-in-fomc-meeting,Zacks Investment Research,-0.05,0.2,neutral,0.05,False,False,False,False,False,False,False,False,0.0,243,"['BAC', 'JPM', 'HBAN', 'BOKF', 'ZION']",HBAN,2021-06-16
BlackRock (BLK) to Buy Baringa's Climate Modelling Technology,BlackRock's (BLK) latest deal to buy the Climate Change Scenario Model will help investors align their investment portfolios with global efforts for negating risks related to climate change.,2021-06-18 13:03:00+00:00,https://www.zacks.com/stock/news/1727556/blackrock-blk-to-buy-baringas-climate-modelling-technology,Zacks Investment Research,0.16666666666666666,0.43333333333333335,positive,0.16666666666666666,False,True,False,False,False,False,False,False,0.0,253,"['BLK', 'MTB', 'HBAN', 'PBCT']",HBAN,2021-06-18
