title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Stocks Slide About 2%, Ending NASDAQ's Six-Day Run","Stocks Slide About 2%, Ending NASDAQ's Six-Day Run",2020-05-13 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25326,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,102,"['HD', 'IIPR', 'PRPL', 'ATHM', 'RDUS', 'TSLA', 'YNDX', 'APTV', 'AMZN', 'NFLX', 'GOOG', 'MSFT', 'ASUR', 'CAMT', 'ALT']",HD,2020-05-13
"Stocks Bounce Back Again, but Not Enough to Save the Week","Stocks Bounce Back Again, but Not Enough to Save the Week",2020-05-18 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25373,Zacks Investment Research,0.0,0.25,neutral,0.0,False,False,False,False,False,False,False,False,0.0,116,"['VNET', 'BAH', 'CAE', 'ESPR', 'TDOC', 'DPZ', 'SPOT', 'HEXO', 'CGC', 'HD', 'WMT', 'LOW', 'TGT', 'BBY', 'SPTN', 'MRTN', 'DOMO']",HD,2020-05-18
"Dow, S&P Jump Over 3% on Encouraging Vaccine Data","Dow, S&P Jump Over 3% on Encouraging Vaccine Data",2020-05-19 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25390,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,"['CVX', 'COG', 'SIMO', 'GSKY', 'AINV', 'NVDA', 'SDOW', 'SPXS', 'NOMD', 'CNX', 'FLO', 'HUM', 'HEXO', 'CCL', 'UAL', 'DAL', 'LUV', 'C', 'WFC', 'BAC', 'JPM', 'MRNA', 'WMT', 'HD']",HD,2020-05-19
"Dow, S&P Drop Over 1%, but Keep Most of the Recent Rally","Dow, S&P Drop Over 1%, but Keep Most of the Recent Rally",2020-05-20 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25404,Zacks Investment Research,0.25,0.375,positive,0.25,False,False,False,False,False,False,False,False,0.0,114,"['LVS', 'RCL', 'DRI', 'GDS', 'CDAY', 'IAC', 'RHP', 'VFC', 'MRNA', 'WMT', 'HD', 'LOW', 'TGT', 'BBY']",HD,2020-05-20
Two Sharp Rallies in Three Days,Two Sharp Rallies in Three Days,2020-05-21 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25418,Zacks Investment Research,-0.125,0.75,negative,0.125,False,False,False,False,False,False,False,False,0.0,64,"['BJ', 'SPNS', 'CURO', 'FB', 'AMZN', 'TGT', 'LOW', 'HD', 'WMT', 'CUE', 'LZB', 'ALLT', 'MODN']",HD,2020-05-21
"NASDAQ Makes It Look Easy, Gains 1% to New Closing High","NASDAQ Makes It Look Easy, Gains 1% to New Closing High",2020-08-18 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26366,Zacks Investment Research,0.24323232323232322,0.6092929292929293,positive,0.24323232323232322,False,False,False,False,False,False,False,False,0.0,112,"['UPWK', 'CHWY', 'HEAR', 'RVLV', 'QDEL', 'UNG', 'LNG', 'WMB', 'WMT', 'HD', 'TGT', 'LOW', 'NVDA', 'BABA', 'NTRA']",HD,2020-08-18
S&P Finally Breaks Through and Sets a New Record,S&P Finally Breaks Through and Sets a New Record,2020-08-19 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26380,Zacks Investment Research,0.06818181818181818,0.7272727272727273,neutral,0.06818181818181818,False,False,False,False,False,False,False,False,0.0,98,"['ZIXI', 'ASUR', 'BJ', 'IPAR', 'STNE', 'TMUS', 'PVH', 'YNDX', 'PFGC', 'PDD', 'RUN', 'TTD', 'AMZN', 'GOOG', 'NFLX', 'TSLA', 'WMT', 'HD', 'LOW', 'TGT', 'NVDA']",HD,2020-08-19
Record-Setting Pace Cools Off after Fed Minutes,Record-Setting Pace Cools Off after Fed Minutes,2020-08-20 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26394,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,96,"['WMS', 'LOCO', 'CYBE', 'CRSP', 'NTRA', 'SSYS', 'EXPI', 'AAPL', 'TGT', 'WMT', 'HD', 'NVDA', 'LOW']",HD,2020-08-20
NASDAQ Ends Three-Week Skid Despite Rising Yields,NASDAQ Ends Three-Week Skid Despite Rising Yields,2021-03-13 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28666,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,"['HD', 'ASYS', 'STBA', 'PEZ', 'GLDM', 'LEN', 'CAMT', 'TAST', 'CAG', 'MYE', 'PRPL', 'MU', 'GDEN']",HD,2021-03-13
"S&P, Dow Close at New Highs After Impressive Jobs Report","S&P, Dow Close at New Highs After Impressive Jobs Report",2021-04-06 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28911,Zacks Investment Research,0.5681818181818181,0.7272727272727273,positive,0.5681818181818181,False,False,False,False,False,False,False,False,0.0,114,"['PRGS', 'CBSH', 'SAIC', 'SC', 'VLO', 'UNFI', 'HD', 'X', 'OMI', 'AMKR', 'GRPN', 'CVA', 'REZI', 'JEF', 'KBH', 'OLN', 'GOOG', 'FB', 'AAPL', 'AMZN', 'TSLA', 'MSFT']",HD,2021-04-06
These 3 Dividend ETFs Are a Retiree's Best Friend,Looking for a worry-free retirement? Consider these three funds.,2021-04-20 13:13:00+00:00,https://www.fool.com/investing/2021/04/20/these-3-dividend-etfs-are-a-retirees-best-friend/?source=iedfolrf0000001,The Motley Fool,1.0,0.3,positive,1.0,False,False,False,False,False,True,False,False,0.0,115,"['SDY', 'VYM', 'SCHD', 'T', 'JPM', 'XOM', 'TXN', 'JNJ', 'PG', 'HD', 'AMGN', 'PBCT']",HD,2021-04-20
