date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,244.0,HII
2021-04-29,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,278.0,HII
2021-05-03,0.0312,,1,0.0312,0.0,1,0,0,0,0,0,0,0,188.0,HII
2021-05-06,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,232.0,HII
2021-05-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,129.0,HII
2021-05-14,0.3419,0.2714,2,0.3419,0.0,0,0,0,0,0,1,0,0,215.0,HII
2021-05-25,0.2125,,1,0.2125,0.0,0,0,0,0,0,0,0,0,117.0,HII
2021-05-26,0.3869,,1,0.3869,0.0,1,0,0,0,0,0,0,0,241.0,HII
2021-05-28,0.25,,1,0.25,0.2,0,0,1,0,0,0,0,0,199.0,HII
2021-05-31,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,280.0,HII
2021-06-02,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,231.0,HII
2021-06-07,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,199.0,HII
2021-06-08,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,210.0,HII
2021-06-09,0.3167,0.2363,3,0.3167,0.0,0,0,0,0,0,0,0,0,159.6667,HII
2021-06-11,0.3139,,1,0.3139,0.0,0,0,0,0,0,0,0,0,203.0,HII
2021-06-14,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,231.0,HII
2021-06-16,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,246.0,HII
2021-06-20,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,172.0,HII
2021-06-21,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,105.0,HII
2021-06-23,-0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,142.0,HII
2021-06-26,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,128.0,HII
2021-07-05,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,280.0,HII
2021-07-07,0.0,,1,0.0,0.0,1,1,0,0,0,0,0,0,218.0,HII
2021-07-09,0.1091,0.1543,2,0.1091,0.0,0,0,0,0,0,0,1,0,192.0,HII
2021-07-23,0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,327.0,HII
2021-07-26,0.3333,,1,0.3333,0.0,0,0,1,0,0,0,0,0,375.0,HII
2021-07-27,0.0591,,1,0.0591,0.0,0,0,0,1,1,0,0,0,420.0,HII
2021-07-29,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,261.0,HII
2021-07-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,441.0,HII
2021-08-02,0.1167,0.3653,2,0.2583,0.0,0,1,0,0,1,0,1,0,526.0,HII
2021-08-03,0.2025,0.0035,2,0.2025,0.0,1,0,0,0,0,0,1,0,213.0,HII
2021-08-04,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,464.0,HII
2021-08-05,0.0792,0.1583,4,0.0792,0.0,4,0,2,0,0,0,0,1,223.25,HII
