date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-26,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,104.0,HON
2020-09-01,-0.2,,1,0.2,0.0,0,0,1,0,0,0,0,0,92.0,HON
2020-10-15,-0.3278,,1,0.3278,0.0,0,0,0,0,0,0,0,0,114.0,HON
2021-04-23,0.0861,0.1173,8,0.0892,0.0,7,1,1,0,0,0,0,0,260.625,HON
2021-04-24,0.0886,,1,0.0886,0.0,1,0,0,0,0,0,0,0,543.0,HON
2021-04-26,0.0133,0.0541,2,0.0383,0.0,0,0,0,0,0,1,0,0,463.0,HON
2021-04-27,0.0369,0.1406,2,0.0994,0.0,1,0,0,0,0,0,0,0,123.0,HON
2021-04-28,0.1867,,1,0.1867,0.0,0,0,0,0,0,0,0,0,220.0,HON
2021-05-01,0.1958,,1,0.1958,0.0,1,0,0,0,0,0,0,0,125.0,HON
2021-05-03,0.1071,,1,0.1071,0.0,0,0,0,0,0,0,0,0,293.0,HON
2021-05-06,0.3978,,1,0.3978,0.0,0,1,0,0,0,1,0,0,119.0,HON
2021-05-11,0.1833,,1,0.1833,0.0,0,0,0,0,0,1,0,0,216.0,HON
2021-05-12,0.1123,0.0533,2,0.1123,0.0,0,0,0,1,0,1,0,0,172.0,HON
2021-05-13,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,180.0,HON
2021-05-14,0.103,0.1456,2,0.103,0.0,1,1,1,0,0,1,0,0,1559.5,HON
2021-05-16,0.0,0.0,2,0.0,0.0,2,0,0,0,1,0,0,0,109.5,HON
2021-05-19,0.2321,,1,0.2321,0.0,0,0,0,0,0,0,0,0,244.0,HON
2021-05-25,0.1713,0.0405,2,0.1713,0.0,1,0,0,0,1,1,1,0,628.0,HON
2021-05-27,0.275,0.3182,2,0.275,0.0,0,1,0,0,1,0,0,0,177.5,HON
2021-05-28,0.137,0.1188,3,0.137,0.0,1,1,0,0,0,0,0,0,200.6667,HON
2021-05-29,0.2333,0.2517,3,0.2333,0.0,0,0,0,0,0,2,0,0,169.0,HON
2021-05-30,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,HON
2021-06-01,0.275,0.1061,2,0.275,0.0,0,1,1,0,0,1,0,0,180.5,HON
2021-06-03,0.2111,0.1257,2,0.2111,0.1,0,0,1,0,1,0,0,0,237.5,HON
2021-06-06,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,97.0,HON
2021-06-08,0.2667,,1,0.2667,0.0,0,1,0,0,0,0,0,0,128.0,HON
2021-06-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,223.0,HON
2021-06-11,0.1179,0.1162,2,0.1179,0.0,0,1,0,0,0,0,0,0,511.0,HON
2021-06-12,0.1159,0.0932,2,0.1159,0.0,0,0,0,0,0,0,1,0,243.0,HON
2021-06-15,0.1071,0.1515,2,0.1071,0.0,0,1,1,1,0,0,0,0,118.0,HON
2021-06-17,0.2722,0.3221,2,0.2722,0.0,0,1,0,0,0,1,0,0,173.0,HON
2021-06-21,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,130.0,HON
2021-06-22,0.4,,1,0.4,0.2,0,0,0,0,0,0,0,0,269.0,HON
2021-06-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,212.0,HON
2021-06-30,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,112.0,HON
2021-07-01,0.0655,,1,0.0655,0.0,0,0,0,0,1,0,0,0,177.0,HON
2021-07-04,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,182.0,HON
2021-07-06,-0.2,0.2828,2,0.2,0.0,0,0,0,0,0,0,0,0,169.5,HON
2021-07-12,0.0369,0.1101,3,0.0702,0.0,2,1,0,0,0,0,1,0,236.6667,HON
2021-07-16,0.2326,0.2436,3,0.2326,0.0,1,0,0,0,1,0,0,0,192.6667,HON
2021-07-18,-0.0525,0.0,2,0.0525,0.0,2,0,0,0,0,0,0,0,200.0,HON
2021-07-19,0.0,0.0,3,0.0,0.0,1,1,1,0,1,0,0,0,182.0,HON
2021-07-21,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,262.0,HON
2021-07-22,0.3934,0.3264,4,0.3934,0.0,3,0,1,0,1,0,0,0,948.25,HON
2021-07-23,0.1374,0.2184,11,0.1374,0.0,8,0,2,0,1,0,0,0,331.5455,HON
2021-07-25,0.0111,,1,0.0111,0.0,0,0,1,0,0,0,0,0,116.0,HON
2021-07-26,0.1778,,1,0.1778,0.0,0,1,0,0,0,0,0,0,231.0,HON
2021-07-29,0.0295,0.0548,2,0.0387,0.0,2,0,0,0,0,0,0,0,2000.0,HON
2021-07-30,0.2857,,1,0.2857,0.0,0,1,0,0,0,0,0,0,101.0,HON
2021-08-02,0.208,,1,0.208,0.0,0,1,0,0,0,0,0,0,209.0,HON
2021-08-05,0.25,,1,0.25,0.0,0,1,0,0,0,1,0,0,203.0,HON
2021-08-06,0.45,0.0866,3,0.45,0.0,1,0,0,0,0,0,0,0,101.0,HON
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,HON
2021-08-09,0.0336,0.0468,2,0.0336,0.1,1,0,1,0,0,0,0,0,1708.0,HON
2021-08-12,0.0375,,1,0.0375,0.0,1,0,0,0,0,0,0,0,588.0,HON
2021-08-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,221.0,HON
2021-08-16,0.1345,0.2518,3,0.1488,0.0,0,1,0,0,0,2,1,0,294.3333,HON
2021-08-17,0.2405,0.037,2,0.2405,0.0,0,0,1,0,0,0,0,0,194.5,HON
