title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Another Session of New Highs for the NASDAQ and S&P,Another Session of New Highs for the NASDAQ and S&P,2020-08-26 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26455,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,False,False,False,False,False,False,False,False,0.0,104,"['SGMO', 'LINC', 'SQQQ', 'LOGI', 'AAPL', 'UCO', 'JO', 'PDD', 'NFLX', 'YNDX', 'FB', 'AMZN', 'GOOG', 'CRM', 'AMGN', 'HON', 'XOM', 'PFE', 'RTX']",HON,2020-08-26
August Makes Five Consecutive Months of Green,August Makes Five Consecutive Months of Green,2020-09-01 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26512,Zacks Investment Research,-0.2,0.3,negative,0.2,False,False,True,False,False,False,False,False,0.0,92,"['ZEN', 'UNFI', 'AOSL', 'CMC', 'TPH', 'BIG', 'AMKR', 'DKS', 'HBI', 'LL', 'MAXR', 'EXPI', 'AMD', 'MRNA', 'ABT', 'AAPL', 'TSLA', 'CRM', 'AMGN', 'HON', 'XOM', 'PFE', 'RTX']",HON,2020-09-01
"Market Down Again as Pre-Election Deal Looks ""Difficult""","Market Down Again as Pre-Election Deal Looks ""Difficult""",2020-10-15 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26978,Zacks Investment Research,-0.3277777777777778,0.6444444444444445,negative,0.3277777777777778,False,False,False,False,False,False,False,False,0.0,114,"['ANDE', 'HRI', 'AAPL', 'AMZN', 'GS', 'BAC', 'WFC', 'MS', 'TSM', 'HON', 'ISRG', 'WBA']",HON,2020-10-15
Honeywell International Inc. (HON) Tops Q1 Earnings and Revenue Estimates,"Honeywell International Inc. (HON) delivered earnings and revenue surprises of 6.67% and 3.99%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-23 12:05:02+00:00,http://www.zacks.com/stock/news/1441066/honeywell-international-inc-hon-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1441066,Zacks Investment Research,0.0,0.03333333333333333,neutral,0.0,True,False,False,False,False,False,False,False,0.0,278,['HON'],HON,2021-04-23
Honeywell's (HON) Q1 Earnings & Revenues Surpass Estimates,Honeywell's (HON) first-quarter 2021 revenues remain relatively flat year over year on account of mixed performance across its segments.,2021-04-23 13:31:00+00:00,http://www.zacks.com/stock/news/1441747/honeywells-hon-q1-earnings-revenues-surpass-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1441747,Zacks Investment Research,-0.0125,0.1875,neutral,0.0125,True,False,False,False,False,False,False,False,0.0,196,"['ASTE', 'HON', 'AIT', 'DOV']",HON,2021-04-23
"Q1 Earnings Deluge Continues: AXP, HON, SLB, KMB & More",A new capital gains tax proposal is adding to market malaise as Q1 earnings reports continue to hurtle down the pike.,2021-04-23 14:29:00+00:00,http://www.zacks.com/stock/news/1441727/q1-earnings-deluge-continues-axp-hon-slb-kmb-more?cid=CS-ZC-FT-ahead_of_wall_street-1441727,Zacks Investment Research,0.16026936026936026,0.4144781144781145,positive,0.16026936026936026,True,False,False,False,False,False,False,False,0.0,174,"['KMB', 'SLB', 'HON', 'AXP', 'ALV', 'SPY']",HON,2021-04-23
Earnings Data Deluge,Earnings Data Deluge,2021-04-23 14:52:00+00:00,http://www.zacks.com/stock/news/1441832/earnings-data-deluge?cid=CS-ZC-FT-economic_highlights-1441832,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,42,"['KMB', 'SLB', 'HON', 'AXP', 'ALV']",HON,2021-04-23
Honeywell International Inc. (HON) is a Great Momentum Stock: Should You Buy?,Does Honeywell International Inc. (HON) have what it takes to be a top stock pick for momentum investors? Let's find out.,2021-04-23 16:00:05+00:00,http://www.zacks.com/stock/news/1442198/honeywell-international-inc-hon-is-a-great-momentum-stock-should-you-buy?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_10-1442198,Zacks Investment Research,0.325,0.3125,positive,0.325,False,True,False,False,False,False,False,False,0.0,200,['HON'],HON,2021-04-23
Honeywell International (HON) Q1 2021 Earnings Call Transcript,"HON earnings call for the period ending March 31, 2021.",2021-04-23 17:00:56+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/23/honeywell-international-hon-q1-2021-earnings-call/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,119,['HON'],HON,2021-04-23
Apple Leads The Market Rebound. Here's Why.,"U.S. indices were trading higher Friday, rebounding after dipping on Thursday amid capital gains tax hike concerns, and as investors await several notable earnings reports next week.

The SPDR Dow Jones Industrial Average ETF Trust (NASDAQ: DIA) finished higher by 0.68% at $340.30.
The Invesco QQQ Trust Series 1 (NASDAQ: QQQ) gained 1.26% at $339.42.
The SPDR S&P 500 ETF Trust (NASDAQ: SPY) closed higher by 1.08% at $416.74. 

Here are the day's winners and losers from the DIA, according to data from Benzinga Pro.
Strength was largely seen in tech and industrials: Apple Inc (NASDAQ: AAPL), ...Full story available on Benzinga.com",2021-04-23 20:34:00+00:00,https://www.benzinga.com/news/21/04/20775458/apple-leads-the-market-rebound-heres-why,Benzinga,0.12857142857142856,0.3207792207792208,positive,0.12857142857142856,True,False,False,False,False,False,False,False,0.0,681,"['DIA', 'SPY', 'AAPL', 'INTC', 'MSFT', 'NVDA', 'AMD', 'AMX', 'BA', 'HON', 'TSLA', 'QQQ']",HON,2021-04-23
Market Snapshot: U.S. stocks rebound to end week close to record on upbeat economic data and earnings,"U.S. stocks closed higher Friday, lifted by upbeat data on private-sector economic activity and another round of red-hot new home sales, after equities stumbled Thursday following reports President Joe Biden would propose a large increase in the capital-gains tax for the wealthiest Americans",2021-04-23 20:43:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3B55EC3A569%7D&siteid=rss&rss=1,MarketWatch,0.08758116883116883,0.29788961038961037,neutral,0.08758116883116883,True,False,True,False,False,False,False,False,0.0,395,"['COMP', 'INTC', 'SNAP', 'MAT', 'SAM', 'GPS', 'HON', 'SLB', 'AXP', 'KMB']",HON,2021-04-23
Honeywell reports better than expected profit and sales in fiscal Q1,"Honeywell International Inc. (NYSE: HON) published its earnings report for the fiscal first quarter on Friday that topped analysts’ estimates for profit and sales. The U.S. firm said sales from its aerospace business were lower than expected in Q1. Honeywell shares remained almost flat in after-hours trading on Friday. The NYSE-listed company is currently trading […]
The post Honeywell reports better than expected profit and sales in fiscal Q1 appeared first on Invezz.",2021-04-24 11:24:22+00:00,https://invezz.com/news/2021/04/24/honeywell-reports-better-than-expected-profit-and-sales-in-fiscal-q1/,Invezz,0.08863636363636364,0.34469696969696967,neutral,0.08863636363636364,True,False,False,False,False,False,False,False,0.0,543,['HON'],HON,2021-04-24
Burned by the Stock Market? Consider These 3 ETFs Instead,Forget trying to optimize your entry and exit prices -- think bigger by plugging into trends for the long haul.,2021-04-26 11:50:00+00:00,https://www.fool.com/investing/2021/04/26/burned-by-the-stock-market-consider-these-3-etfs/?source=iedfolrf0000001,The Motley Fool,-0.025,0.45,neutral,0.025,False,False,False,False,False,False,False,False,0.0,170,"['SPY', 'ICLN', 'XLI', 'GE', 'HON', 'SO', 'DUK']",HON,2021-04-26
A Look Into Honeywell International's Debt,"Over the past three months, shares of Honeywell International (NYSE:HON) rose by 11.20%. Before having a look at the importance of debt, let us look at how much debt Honeywell International has.
Honeywell International's Debt
Based on Honeywell International's financial statement as of April 23, 2021, long-term debt is at $16.12 billion and current debt is at $5.20 billion, amounting to $21.33 billion in total debt. Adjusted for $11.72 billion in cash-equivalents, the company's net debt is at $9.61 billion.
Let's define some of the terms we used in the paragraph above. Current debt is the portion of a company's debt which is due within 1 year, while long-term debt ...Full story available on Benzinga.com",2021-04-26 13:52:58+00:00,https://www.benzinga.com/news/21/04/20791793/a-look-into-honeywell-internationals-debt,Benzinga,0.051562500000000004,0.23906249999999998,neutral,0.051562500000000004,False,False,False,False,False,True,False,False,0.0,756,['HON'],HON,2021-04-26
Is Honeywell International (HON) Stock Outpacing Its Conglomerates Peers This Year?,Is  (HON) Outperforming Other Conglomerates Stocks This Year?,2021-04-27 15:30:11+00:00,http://www.zacks.com/stock/news/1462154/is-honeywell-international-hon-stock-outpacing-its-conglomerates-peers-this-year?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_1-1462154,Zacks Investment Research,-0.0625,0.1875,neutral,0.0625,False,False,False,False,False,False,False,False,0.0,146,['HON'],HON,2021-04-27
Earnings on Track to Reach a New Quarterly Record,Earnings on Track to Reach a New Quarterly Record,2021-04-27 19:02:00+00:00,http://www.zacks.com/research-daily/1462656/earnings-on-track-to-reach-a-new-quarterly-record?cid=CS-ZC-FT-research_daily-1462656,Zacks Investment Research,0.13636363636363635,0.45454545454545453,positive,0.13636363636363635,True,False,False,False,False,False,False,False,0.0,100,"['VZ', 'PM', 'PG', 'MS', 'HON', 'DE']",HON,2021-04-27
"Trading Near All-Time Highs, Honeywell Stock Is Starting to Fire on All Cylinders","The company's recovery isn't quite as quick as some would hope, but it's a question of when, not if, Honeywell will get back in top form.",2021-04-28 13:05:00+00:00,https://www.fool.com/investing/2021/04/28/trading-near-all-time-highs-honeywell-stock-is-sta/?source=iedfolrf0000001,The Motley Fool,0.18666666666666668,0.3,positive,0.18666666666666668,False,False,False,False,False,False,False,False,0.0,220,['HON'],HON,2021-04-28
Here's What GE's Latest Earnings Really Mean to Investors,A detailed look at the company's progress in its turnaround plans.,2021-05-01 11:19:00+00:00,https://www.fool.com/investing/2021/05/01/heres-what-ges-latest-earnings-really-mean-to-inve/?source=iedfolrf0000001,The Motley Fool,0.19583333333333333,0.7791666666666667,positive,0.19583333333333333,True,False,False,False,False,False,False,False,0.0,125,"['GE', 'HON']",HON,2021-05-01
": EPA rule will phase out HFC emissions from air conditioners, refrigerators",The Environmental Protection Agency is advancing rules to reduce the use of coolants from air conditioners and refrigerators that scientists link to global warming — and appliance manufacturers are largely on board.,2021-05-03 17:24:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3E1973A6D33%7D&siteid=rss&rss=1,MarketWatch,0.10714285714285714,0.21428571428571427,positive,0.10714285714285714,False,False,False,False,False,False,False,False,0.0,293,"['HON', 'JCI']",HON,2021-05-03
Is Now a Good Time to Buy Cyclical Stocks?,"Valuations are high, but some dividend stocks remain worthy long-term buys.",2021-05-06 14:27:00+00:00,https://www.fool.com/investing/2021/05/06/is-now-a-good-time-to-buy-cyclical-stocks/?source=iedfolrf0000001,The Motley Fool,0.3977777777777778,0.7133333333333334,positive,0.3977777777777778,False,True,False,False,False,True,False,False,0.0,119,"['CAT', 'WM', 'SHW', 'HON', 'UPS', 'WY', 'FDX', 'CE']",HON,2021-05-06
"Upcoming Ex-Dividend Dates: May 11-24, 2021",We provide a summary of upcoming ex-dividend dates in a quick reference table. The table includes relevant data and key statistics as well as the next payout and pay date.,2021-05-11 06:43:37+00:00,https://seekingalpha.com/article/4427208-upcoming-ex-dividend-dates-may-11-24-2021?source=feed,Seeking Alpha,0.18333333333333335,0.6,positive,0.18333333333333335,False,False,False,False,False,True,False,False,0.0,216,"['AMGN', 'EMR', 'HON', 'HSY', 'JNJ', 'LLY', 'MSFT', 'V']",HON,2021-05-11
"Dow Hits 35,000, Crushing the Nasdaq. What Does That Mean for Retirees?",Dividend and value stocks are leading the market to new heights.,2021-05-12 10:30:00+00:00,https://www.fool.com/investing/2021/05/12/dow-hits-35000-crushing-the-nasdaq-what-does-that/?source=iedfolrf0000001,The Motley Fool,0.07462121212121213,0.6806818181818182,neutral,0.07462121212121213,False,False,False,False,False,True,False,False,0.0,137,"['MSFT', 'AAPL', 'KO', 'CVX', 'CAT', 'JNJ', 'PG', 'CRM', 'HON']",HON,2021-05-12
General Electric (GE) Signs Offshore Wind Deal With Toshiba,General Electric's (GE) partnership deal with Toshiba will help it make its offshore wind technology more competitive in future auctions in Japan.,2021-05-12 14:08:00+00:00,http://www.zacks.com/stock/news/1540965/general-electric-ge-signs-offshore-wind-deal-with-toshiba?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1540965,Zacks Investment Research,0.15000000000000002,0.40625,positive,0.15000000000000002,False,False,False,True,False,False,False,False,0.0,207,"['HON', 'MMM', 'GE']",HON,2021-05-12
"Stock Market News for May 13, 2021",Benchmarks closed in the red on Wednesday after the Labor Department reported that inflation accelerated at the fastest pace since 2008 in April,2021-05-13 13:36:00+00:00,http://www.zacks.com/stock/news/1545802/stock-market-news-for-may-13-2021?cid=CS-ZC-FT-market_news-1545802,Zacks Investment Research,-0.05,0.05,neutral,0.05,False,False,False,False,False,False,False,False,0.0,180,"['MSFT', 'XOM', 'HD', 'AMZN', 'AAPL', 'CVX', 'HON', 'MRVL', 'AMAT', 'NFLX', 'OXY', 'TSLA', 'GOOGL']",HON,2021-05-13
"Disney Shares Fall On Subscription, Sales Misses But DoorDash Surges; Index Futures Up In Premarket","Your vocabulary word for the day is “boing.” Definition: The sound the stock market makes when it’s bouncing.
Early indications from the futures market this morning suggest stocks may end the week on a high note as investors continue to be in buy-the-dip mode. But there’s still a ways to go if the market hopes to erase the steep losses from earlier in the week.
This seems to be another page in the narrative we’ve been seeing for a while where investors are trying to figure out valuations based on two main fronts. The first is a continued tug of war between reopening stocks and those that could benefit if something happens to derail the domestic COVID-19 recovery. The second is whether a spike in inflation will be a long-term thing or just temporary (or “transitory” in Fed-speak).
Uncertainty about those issues seems to continue to inject some caution into the market. While risk assets like stocks and oil are higher and the Cboe Volatility Index (VIX) is falling, demand for relatively safe U.S. government debt is up. Though the 10-year Treasury yield flirted with 1.7% earlier this week on inflation news, this morning it finds itself below 1.65%. 
After a pretty volatile week it’s good to see today’s equity rally, especially given that Disney (NYSE: DIS), a Dow Jones Industrial Average ($DJI) component, is struggling this morning and retail sales came in lighter than expected. The retail sales report for April showed no movement when a Briefing.com consensus had expected a 1.8% rise.
DIS shares were down more than 4% after the entertainment giant missed revenue estimates and fell short of expectations for subscribers to its Disney+ streaming unit. Still, DIS crushed it when it comes to earnings, reporting 79 cents per share compared with analyst expectations of 27 cents. 
In a mirror image to DIS, DoorDash (NASDAQ: DASH) shares were up more than 7% after the food delivery company reported stronger-than-expected earnings and raised its gross order value forecast. Still, DASH reported a wider than expected loss per share.
While it remains to be seen how stocks will finish today, it’s good to see investors building on yesterday’s impressive broad-based rally ahead of a weekend, which most of us are probably quite ready for. 
Buying The Dip
Sometimes it can be helpful to ask “what if” questions. What if there hadn’t been good news on the vaccine front or encouraging data from the labor market on Thursday? Would investors still have been in the mood to buy this week’s significant dip?
While the main three U.S. indices might have still ended in the green given underlying strength in stocks, it could have been more of a lackluster day without news that the Centers for Disease Control and Prevention gave the greenlight for fully vaccinated people to resume activities without wearing a mask or physically distancing. 
That news provides another shot in the arm for ...Full story available on Benzinga.com",2021-05-14 14:11:02+00:00,https://www.benzinga.com/news/earnings/21/05/21127676/disney-shares-fall-on-subscription-sales-misses-but-doordash-surges-index-futures-up-in-premarket,Benzinga,0.2059104938271605,0.4624096119929454,positive,0.2059104938271605,True,True,True,False,False,True,False,False,0.0,3045,"['DE', 'DIS', 'F', 'HD', 'HON', 'HRL', 'KMB', 'KO', 'KSS', 'LOW', 'PG', 'TGT', 'TJX', 'TSN', 'WMT', 'DASH']",HON,2021-05-14
"Markets Follow Through after Thursday Rally, But Retail Sales Fall Short",,2021-05-14 15:30:00+00:00,https://www.investing.com/analysis/markets-follow-through-after-thursday-rally-but-retail-sales-fall-short-200580167,Investing.com,0.0,0.3,neutral,0.0,False,False,False,False,False,False,False,False,0.0,74,"['DIS', 'DASH', 'HD', 'LOW', 'WMT', 'TGT', 'TJX', 'KSS', 'HRL', 'DE', 'CME', 'KMB', 'KO', 'PG', 'TSN', 'F', 'HON']",HON,2021-05-14
Can Industrial ETFs Gain Despite Mixed Q1 Earnings?,Let's take a look at some big industrial earnings releases to see if these will impact ETFs exposed to the space.,2021-05-16 12:00:00+00:00,http://www.zacks.com/stock/news/1560148/can-industrial-etfs-gain-despite-mixed-q1-earnings?cid=CS-ZC-FT-etf_news_and_commentary-1560148,Zacks Investment Research,0.0,0.175,neutral,0.0,True,False,False,False,True,False,False,False,0.0,166,"['UNP', 'HON', 'MMM', 'GE', 'VIS', 'XLI', 'FIDU', 'IYJ']",HON,2021-05-16
