date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-10-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,HUBB
2021-04-26,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,260.0,HUBB
2021-04-27,0.0417,0.0722,3,0.0417,0.0,2,0,1,0,0,0,0,0,150.0,HUBB
2021-05-12,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,226.0,HUBB
2021-05-17,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,138.0,HUBB
2021-05-28,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,237.0,HUBB
2021-06-10,0.125,,1,0.125,0.0,0,0,1,0,0,0,0,0,112.0,HUBB
2021-06-14,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,233.0,HUBB
2021-06-30,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,233.0,HUBB
2021-07-16,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,226.0,HUBB
2021-07-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,241.0,HUBB
2021-07-21,0.1188,,1,0.1188,0.0,1,0,0,0,0,0,0,0,274.0,HUBB
2021-07-27,0.0,0.0,3,0.0,0.0,3,0,1,0,0,0,0,0,191.3333,HUBB
2021-08-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,HUBB
2021-09-02,0.2422,,1,0.2422,0.0,0,0,0,0,0,0,0,0,202.0,HUBB
2021-09-10,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,224.0,HUBB
2021-09-27,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,226.0,HUBB
2021-10-12,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,391.0,HUBB
2021-10-13,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,233.0,HUBB
2021-10-16,0.3929,,1,0.3929,0.0,0,1,0,0,0,0,0,0,149.0,HUBB
2021-10-19,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,HUBB
2021-10-22,-0.0545,,1,0.0545,0.0,0,0,0,0,0,1,1,0,453.0,HUBB
2021-10-24,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,190.0,HUBB
2021-10-26,-0.027,0.0467,3,0.027,0.0,2,0,0,0,0,1,0,0,314.6667,HUBB
2021-10-27,0.2367,,1,0.2367,0.0,0,0,0,0,0,0,0,0,117.0,HUBB
2021-11-15,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,308.0,HUBB
2021-11-21,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,HUBB
2021-12-21,0.125,,1,0.125,0.0,0,0,1,0,0,0,0,0,112.0,HUBB
2021-12-28,0.2367,,1,0.2367,0.0,0,0,0,0,0,0,0,0,117.0,HUBB
2022-01-20,0.0,0.0,2,0.0,0.0,1,0,0,0,2,0,0,0,365.0,HUBB
2022-01-27,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,235.0,HUBB
2022-01-28,-0.1,,1,0.1,0.0,0,0,0,0,0,1,1,0,339.0,HUBB
2022-02-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,437.0,HUBB
2022-02-03,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,181.5,HUBB
2022-02-25,0.35,,1,0.35,0.0,0,1,0,0,0,0,0,0,130.0,HUBB
2022-03-01,0.0208,,1,0.0208,0.0,0,0,0,0,0,0,0,0,707.0,HUBB
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,HUBB
2022-03-15,0.28,,1,0.28,0.0,0,0,1,0,0,0,0,0,321.0,HUBB
2022-03-29,0.0,,1,0.0,0.0,0,0,1,0,0,0,1,0,433.0,HUBB
2022-04-13,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,388.0,HUBB
2022-04-19,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,235.0,HUBB
2022-04-22,0.0636,0.2314,2,0.1636,0.0,1,0,0,0,0,1,1,0,264.0,HUBB
2022-04-26,0.1667,0.1443,3,0.1667,0.0,3,0,0,0,0,0,0,0,186.3333,HUBB
2022-04-28,0.0208,,1,0.0208,0.0,0,0,0,0,0,0,0,0,674.0,HUBB
2022-05-13,0.5958,,1,0.5958,0.0,0,0,0,0,0,1,0,0,225.0,HUBB
2022-05-17,0.1815,,1,0.1815,0.0,0,0,0,0,0,1,0,0,184.0,HUBB
2022-05-22,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,247.0,HUBB
2022-05-24,0.1875,,1,0.1875,0.0,1,0,0,0,0,0,0,0,261.0,HUBB
2022-05-30,0.4738,,1,0.4738,0.0,0,1,0,0,0,1,0,0,237.0,HUBB
2022-06-15,0.5208,,1,0.5208,0.0,0,0,0,0,0,1,0,0,233.0,HUBB
2022-06-21,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,272.0,HUBB
2022-07-01,0.5338,,1,0.5338,0.0,0,0,0,0,0,1,0,0,226.0,HUBB
2022-07-13,0.0,,1,0.0,0.0,0,0,1,0,1,0,0,0,387.0,HUBB
2022-07-18,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,137.0,HUBB
2022-07-21,-0.1,,1,0.1,0.0,0,0,0,0,0,1,1,0,341.0,HUBB
2022-07-26,0.0217,0.0435,4,0.0217,0.0,3,1,1,0,0,0,0,0,298.75,HUBB
2022-07-27,0.5333,,1,0.5333,0.0,0,1,0,0,0,0,0,0,872.0,HUBB
2022-07-29,-0.2875,,1,0.2875,0.0,1,1,0,0,0,0,0,0,208.0,HUBB
2022-08-01,-0.0125,,1,0.0125,0.0,0,0,1,0,1,0,0,0,188.0,HUBB
2022-08-05,0.0833,,1,0.0833,0.0,0,1,0,0,0,0,0,0,247.0,HUBB
2022-08-08,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,180.0,HUBB
2022-08-15,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,179.0,HUBB
2022-08-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,234.0,HUBB
2022-09-06,0.5278,,1,0.5278,0.0,0,0,0,0,0,1,0,0,221.0,HUBB
2022-09-07,0.1,,1,0.1,0.0,0,0,1,0,1,0,0,0,192.0,HUBB
2022-09-27,0.1162,,1,0.1162,0.0,0,0,0,0,0,0,0,0,508.0,HUBB
2022-10-12,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,391.0,HUBB
2022-10-13,-0.0125,,1,0.0125,0.0,0,0,1,0,1,0,0,0,178.0,HUBB
2022-10-18,0.0071,0.0337,2,0.0238,0.0,2,1,0,0,1,0,0,0,235.0,HUBB
2022-10-19,-0.0104,,1,0.0104,0.0,0,1,1,0,0,0,0,0,12877.0,HUBB
2022-10-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,199.0,HUBB
2022-10-21,-0.0068,,1,0.0068,0.0,0,0,0,0,0,1,1,0,486.0,HUBB
2022-10-23,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,232.0,HUBB
2022-10-24,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,181.0,HUBB
2022-10-25,-0.0229,0.0458,4,0.0229,0.0,1,0,0,0,0,0,0,0,204.25,HUBB
2022-10-26,0.2594,0.2276,6,0.2594,0.0,1,2,0,0,1,1,0,0,363.3333,HUBB
2022-10-27,0.25,0.3536,2,0.25,0.0,0,0,0,0,1,0,0,0,208.5,HUBB
2022-11-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,253.0,HUBB
2022-11-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,225.0,HUBB
2022-11-17,0.006,,1,0.006,0.0,0,0,0,0,0,0,0,0,655.0,HUBB
2022-11-18,-0.0125,,1,0.0125,0.0,0,0,1,0,1,0,0,0,186.0,HUBB
2022-11-22,0.1042,0.1473,2,0.1042,0.0,0,1,0,0,0,0,0,0,180.5,HUBB
2022-11-23,0.2333,,1,0.2333,0.0,1,0,0,0,0,0,0,0,271.0,HUBB
2022-11-24,0.0912,0.129,2,0.0912,0.0,1,1,0,0,0,0,0,0,254.5,HUBB
2022-11-28,0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,233.0,HUBB
2022-11-29,0.007,,1,0.007,0.0,0,0,0,0,1,0,0,0,252.0,HUBB
2022-11-30,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,171.0,HUBB
2022-12-01,-0.0208,,1,0.0208,0.0,0,1,1,0,0,0,0,0,7566.0,HUBB
2022-12-02,0.3,0.4243,2,0.3,0.0,0,1,0,0,0,0,0,0,197.5,HUBB
2022-12-06,-0.0417,0.0722,3,0.0417,0.0,0,2,0,0,2,0,0,0,175.0,HUBB
