title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Dow, S&P Jump Over 3% on Encouraging Vaccine Data","Dow, S&P Jump Over 3% on Encouraging Vaccine Data",2020-05-19 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25390,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,"['CVX', 'COG', 'SIMO', 'GSKY', 'AINV', 'NVDA', 'SDOW', 'SPXS', 'NOMD', 'CNX', 'FLO', 'HUM', 'HEXO', 'CCL', 'UAL', 'DAL', 'LUV', 'C', 'WFC', 'BAC', 'JPM', 'MRNA', 'WMT', 'HD']",HUM,2020-05-19
Dow Jumps Over 2% for Another Strong Start to the Week,Dow Jumps Over 2% for Another Strong Start to the Week,2020-05-27 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25457,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,False,False,False,False,0.0,110,"['RHP', 'APTV', 'INCY', 'TWTR', 'BERY', 'HUM', 'DVA', 'KR', 'TNK', 'UNFI', 'DG', 'W', 'VIRT', 'VST', 'ASC', 'MGIC', 'MAXR', 'ALT', 'C', 'WFC', 'BAC', 'JPM', 'CCL', 'UAL', 'AAL', 'DAL', 'GOOG', 'MRNA', 'NVAX', 'MRK', 'AAPL']",HUM,2020-05-27
"Stocks To Watch: Apple, Tesla And Microsoft Lead Huge Earnings Week",Welcome to Seeking Alpha's Stocks to Watch - a preview of key events scheduled for the next week,2021-04-24 13:34:19+00:00,https://seekingalpha.com/article/4421064-stocks-to-watch-apple-tesla-and-microsoft-lead-huge-earnings-week?source=feed,Seeking Alpha,0.30000000000000004,0.7,positive,0.30000000000000004,True,False,False,False,False,False,False,False,0.0,165,"['AAPL', 'ABBV', 'ACI', 'AMD', 'BA', 'BDSX', 'BP', 'CAG', 'CAT', 'CLGX', 'DKNG', 'EA', 'F', 'GD', 'GE', 'GIS', 'HPE', 'HUM', 'MRK', 'MRNA', 'MSFT', 'PEP', 'PFE', 'RBLX', 'ROOT', 'RPRX', 'SBUX', 'SEE', 'SJM', 'SONY', 'SQZ', 'SRE', 'TEAM', 'TSLA', 'TTI', 'ULCC', 'UPS', 'W', 'X', 'XOM']",HUM,2021-04-24
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-04-25 11:01:58+00:00,https://seekingalpha.com/article/4421118-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['TSLA', 'BA', 'AMD', 'ACI', 'NXPI', 'BP', 'UPS', 'GE', 'GOOG', 'SBUX', 'HUM', 'AAPL', 'F', 'QCOM', 'GD', 'CMCSA', 'MRK', 'CAT', 'NOC', 'AMZN', 'NIO', 'X', 'XOM', 'CVX', 'ABBV', 'MSFT', 'ROOT', 'MAX', 'GATO', 'BDSX', 'LESL', 'ALGM', 'LU', 'AVIR', 'SQZ', 'GLTO', 'ULCC', 'COUR', 'COMP', 'KARO', 'EM', 'MAS', 'JOE', 'TTI', 'AWK', 'FIX', 'AMP', 'IVZ', 'HPE', 'GOLD', 'EWBC', 'RPRX', 'SEE', 'AEP', 'SRE', 'PNM', 'AGR', 'CLGX', 'CTB', 'GT', 'FDS', 'IMAB', 'FB', 'TWTR', 'TEAM', 'W', 'PEP', 'DKNG', 'ATVI', 'EA', 'PLTK', 'NTES', 'RBLX', 'SONY', 'HSY', 'MDLZ', 'CAG', 'SJM', 'TWNK', 'KHC', 'GIS', 'K', 'CPB', 'PRGO', 'MRNA']",HUM,2021-04-25
Humana (HUM) to Report Q1 Earnings: What's in the Cards?,"Humana's (HUM) first-quarter results are likely to reflect better revenues and strong Medicaid and Medicare businesses, partly offset by Specialty business and high costs.",2021-04-26 17:13:00+00:00,http://www.zacks.com/stock/news/1457026/humana-hum-to-report-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457026,Zacks Investment Research,0.2733333333333333,0.6933333333333334,positive,0.2733333333333333,True,False,False,False,False,False,False,False,0.0,229,"['UNH', 'HUM', 'THC', 'ANTM']",HUM,2021-04-26
5 Spectacularly Perfect Earnings Charts,These 5 companies haven't missed on earnings in 5 years. Amazing.,2021-04-27 20:23:00+00:00,http://www.zacks.com/stock/news/1463255/5-spectacularly-perfect-earnings-charts?cid=CS-ZC-FT-video_blog-1463255,Zacks Investment Research,0.8,0.95,positive,0.8,True,False,False,False,False,False,False,False,0.0,106,"['CMCSA', 'HUM', 'V', 'HELE', 'SHOP']",HUM,2021-04-27
"Humana's (HUM) Q1 Earnings Surpass Estimates, Improve Y/Y",Humana's (HUM) Q1 earnings gain from better revenues and a solid contribution by its Retail segment.,2021-04-28 16:35:00+00:00,http://www.zacks.com/stock/news/1468529/humanas-hum-q1-earnings-surpass-estimates-improve-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1468529,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,159,"['UNH', 'HUM', 'THC', 'HCA']",HUM,2021-04-28
Humana Inc (HUM) Q1 2021 Earnings Call Transcript,"HUM earnings call for the period ending March 31, 2021.",2021-04-28 22:00:42+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/28/humana-inc-hum-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,106,['HUM'],HUM,2021-04-28
Community Health (CYH) Q1 Earnings & Revenues Top Estimates,"Community Health's (CYH) first-quarter results reflect decline in operating and interest expenses, partly offset by weaker admissions.",2021-04-29 14:19:00+00:00,http://www.zacks.com/stock/news/1473470/community-health-cyh-q1-earnings-revenues-top-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1473470,Zacks Investment Research,0.5,0.5,positive,0.5,True,False,False,False,False,False,False,False,0.0,195,"['UHS', 'HUM', 'CYH', 'HCA']",HUM,2021-04-29
"Cigna (CI) Q1 Earnings Beat Mark, Rise Y/Y on Revenue Gains","Cigna's (CI) Q1 results reflect higher pharmacy revenues, and fees and other income.",2021-05-07 15:43:00+00:00,http://www.zacks.com/stock/news/1516699/cigna-ci-q1-earnings-beat-mark-rise-y-y-on-revenue-gains?cid=CS-ZC-FT-analyst_blog|earnings_article-1516699,Zacks Investment Research,0.0625,0.4375,neutral,0.0625,True,False,False,False,False,False,False,False,0.0,145,"['UNH', 'HUM', 'CI', 'ANTM']",HUM,2021-05-07
