date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.1625,0.1237,2,0.1625,0.0,2,0,0,0,1,0,0,0,181.0,IVZ
2021-04-25,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,IVZ
2021-04-26,-0.1438,0.1326,2,0.1438,0.0,2,0,0,0,0,0,0,0,201.0,IVZ
2021-04-27,0.3125,0.4419,2,0.3125,0.0,2,0,0,0,0,1,0,0,213.5,IVZ
2021-04-28,0.1875,0.2652,2,0.1875,0.0,2,0,0,0,0,0,0,0,131.0,IVZ
2021-04-29,0.375,,1,0.375,0.0,1,0,0,0,0,0,1,0,185.0,IVZ
2021-04-30,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,181.0,IVZ
2021-05-07,0.3525,0.2086,2,0.3525,0.0,0,0,0,0,0,0,0,0,152.0,IVZ
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,IVZ
2021-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,126.0,IVZ
2021-05-12,0.0438,0.0515,4,0.0438,0.0,3,1,0,0,0,0,0,0,163.25,IVZ
2021-05-13,0.1,,1,0.1,0.0,0,0,0,0,1,0,0,0,181.0,IVZ
2021-05-14,0.0949,0.1108,3,0.0949,0.0,0,0,0,0,0,0,0,0,168.6667,IVZ
2021-05-18,0.0162,0.0818,2,0.0578,0.0,0,0,0,0,0,0,0,0,308.5,IVZ
2021-05-19,0.1917,0.2946,2,0.2083,0.0,1,0,0,0,1,0,0,0,386.0,IVZ
2021-05-20,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,311.0,IVZ
2021-05-24,0.25,0.3536,2,0.25,0.0,0,1,0,0,0,0,0,0,146.0,IVZ
2021-05-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,162.0,IVZ
2021-05-27,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,184.0,IVZ
2021-06-03,0.024,,1,0.024,0.0,0,0,0,0,0,0,0,0,246.0,IVZ
2021-06-07,0.65,,1,0.65,0.0,0,1,0,0,0,0,0,0,159.0,IVZ
2021-06-09,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,195.0,IVZ
2021-06-10,0.125,0.1768,2,0.125,0.0,1,0,0,0,0,0,0,0,173.5,IVZ
2021-06-11,0.0528,0.1024,3,0.0611,0.0,0,0,0,0,1,0,0,0,178.6667,IVZ
2021-06-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,133.0,IVZ
2021-06-14,0.175,,1,0.175,0.0,0,0,0,0,0,0,0,0,186.0,IVZ
2021-06-28,0.1467,,1,0.1467,0.0,0,1,0,0,0,0,0,0,247.0,IVZ
2021-07-01,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,108.0,IVZ
2021-07-06,0.3286,,1,0.3286,0.0,0,0,0,0,0,0,0,0,168.0,IVZ
2021-07-09,0.25,,1,0.25,0.0,1,1,0,0,0,0,0,0,154.0,IVZ
2021-07-14,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,152.0,IVZ
2021-07-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,239.0,IVZ
2021-07-22,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,148.0,IVZ
2021-07-23,0.125,,1,0.125,0.0,1,0,1,0,0,0,0,0,169.0,IVZ
2021-07-26,-0.0333,,1,0.0333,0.0,1,0,1,0,0,0,0,0,167.0,IVZ
2021-07-27,0.0833,0.1443,3,0.0833,0.0,3,0,0,0,0,0,0,0,165.0,IVZ
