date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-06-12,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,96.0,KMX
2020-06-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,106.0,KMX
2021-04-29,0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,0,213.0,KMX
2021-05-01,0.175,0.2475,2,0.175,0.0,1,0,0,0,0,0,0,0,176.0,KMX
2021-05-02,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,KMX
2021-05-03,0.1463,0.0141,2,0.1463,0.0,0,0,0,0,0,0,0,0,102.0,KMX
2021-05-14,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,78.0,KMX
2021-05-17,0.0733,0.1037,2,0.0733,0.0,1,0,0,0,0,0,0,0,169.5,KMX
2021-05-19,0.0875,,1,0.0875,0.0,0,0,0,0,0,0,0,0,654.0,KMX
2021-05-20,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,212.0,KMX
2021-05-24,-0.0227,0.2036,2,0.1439,0.0,2,0,0,0,0,0,0,0,193.0,KMX
2021-05-25,0.1444,0.1295,3,0.1444,0.0,1,1,0,0,0,0,0,0,164.0,KMX
2021-05-31,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,231.0,KMX
2021-06-01,0.025,0.0354,2,0.025,0.0,1,0,0,0,0,0,0,0,157.5,KMX
2021-06-02,1.0,,1,1.0,0.0,1,0,0,0,0,0,0,0,170.0,KMX
2021-06-07,0.2556,0.2514,2,0.2556,0.0,1,0,0,0,0,0,0,0,183.0,KMX
2021-06-13,0.3571,,1,0.3571,0.0,0,0,0,0,0,0,0,0,212.0,KMX
2021-06-14,0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,207.0,KMX
2021-06-15,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,184.0,KMX
2021-06-18,0.1155,0.1195,2,0.1155,0.0,1,0,0,0,1,0,0,0,180.5,KMX
2021-06-20,0.2518,0.0732,2,0.2518,0.0,0,0,0,0,0,0,0,0,197.0,KMX
2021-06-21,0.275,,1,0.275,0.0,0,0,0,0,0,0,0,0,247.0,KMX
2021-06-22,0.425,0.3889,2,0.425,0.0,2,0,0,0,0,0,0,0,185.5,KMX
2021-06-23,0.5136,,1,0.5136,0.0,1,0,0,0,0,0,0,0,189.0,KMX
2021-06-24,0.25,0.3536,2,0.25,0.0,1,0,0,0,0,0,0,0,149.5,KMX
2021-06-25,0.1111,0.095,4,0.1111,0.0,3,0,0,0,1,0,0,0,578.0,KMX
2021-06-26,0.41,,1,0.41,0.0,0,0,0,0,0,0,0,0,282.0,KMX
2021-06-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,KMX
2021-06-28,0.1025,0.131,3,0.1025,0.0,2,1,0,0,0,0,0,0,188.6667,KMX
2021-06-29,0.6667,,1,0.6667,0.0,1,0,0,0,0,0,0,0,87.0,KMX
2021-06-30,0.1926,0.2196,7,0.2345,0.0,1,5,0,0,0,0,0,0,173.5714,KMX
2021-07-01,0.1059,0.2007,3,0.1893,0.0,0,1,0,0,0,0,0,0,183.0,KMX
2021-07-02,0.2305,0.0236,3,0.2305,0.0,2,0,0,0,0,0,0,0,198.3333,KMX
2021-07-04,0.3036,,1,0.3036,0.0,0,0,0,0,0,0,0,0,215.0,KMX
2021-07-06,0.5,0.0,2,0.5,0.0,0,1,0,0,0,0,0,0,173.5,KMX
2021-07-07,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,560.0,KMX
2021-07-08,0.1464,,1,0.1464,0.0,0,0,0,0,0,0,0,0,274.0,KMX
2021-07-09,0.0333,0.4509,3,0.3,0.0,1,1,1,0,0,0,0,0,174.0,KMX
2021-07-11,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,111.0,KMX
2021-07-12,0.0444,,1,0.0444,0.0,0,1,0,0,0,0,0,0,149.0,KMX
2021-07-15,0.1778,0.1886,2,0.1778,0.0,0,1,0,0,0,0,0,0,167.0,KMX
2021-07-16,0.2787,0.2486,3,0.2787,0.0,1,0,0,0,0,0,0,0,210.3333,KMX
2021-07-19,0.0794,0.1123,2,0.0794,0.0,1,1,0,0,0,0,0,0,184.0,KMX
2021-07-21,-0.0225,0.145,2,0.1025,0.0,0,0,0,0,0,0,0,0,170.5,KMX
2021-07-22,-0.0519,,1,0.0519,0.0,0,0,0,0,0,0,0,0,234.0,KMX
2021-07-23,0.025,0.0354,2,0.025,0.0,0,0,0,0,0,0,0,0,142.0,KMX
2021-07-26,0.224,,1,0.224,0.0,0,0,0,0,0,0,0,0,230.0,KMX
2021-07-27,0.205,,1,0.205,0.0,0,0,0,0,0,0,0,0,202.0,KMX
2021-07-28,0.3333,,1,0.3333,0.0,0,1,0,0,0,0,1,0,134.0,KMX
2021-07-29,0.0222,0.0314,2,0.0222,0.0,1,1,0,0,0,0,0,0,172.0,KMX
2021-07-30,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,170.0,KMX
2021-08-05,0.3385,0.2701,3,0.3385,0.0,1,1,0,0,0,0,0,0,154.3333,KMX
2021-08-06,-0.0058,0.1685,2,0.1192,0.0,0,1,0,0,0,0,0,0,172.0,KMX
2021-08-08,0.3571,,1,0.3571,0.0,0,0,0,0,0,0,1,0,267.0,KMX
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,186.0,KMX
2021-08-12,0.075,,1,0.075,0.0,0,0,0,0,0,0,0,0,167.0,KMX
2021-08-17,0.0861,,1,0.0861,0.0,0,0,0,0,0,0,0,0,209.0,KMX
2021-08-18,0.0444,,1,0.0444,0.0,0,1,0,0,0,0,0,0,152.0,KMX
2021-08-19,0.0267,,1,0.0267,0.0,0,0,0,0,0,0,0,0,171.0,KMX
2021-08-20,0.17,0.2404,2,0.17,0.0,1,1,0,0,0,0,0,0,195.0,KMX
2021-08-23,0.1083,0.1532,2,0.1083,0.0,2,0,0,0,1,0,0,0,267.0,KMX
2021-08-24,-0.0131,0.1591,3,0.1258,0.0,2,0,0,0,0,0,0,0,218.6667,KMX
2021-08-25,0.2074,0.2539,3,0.2074,0.0,1,1,0,0,0,0,0,0,181.0,KMX
2021-08-26,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,1,0,209.0,KMX
2021-08-27,0.2917,,1,0.2917,0.2,0,0,0,0,0,0,0,0,93.0,KMX
2021-08-29,0.3571,,1,0.3571,0.0,0,0,0,0,0,0,1,0,277.0,KMX
