date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,-0.05,,1,0.05,0.0,1,1,0,0,0,0,1,0,216.0,LHX
2021-04-30,0.0034,0.0068,4,0.0034,0.0,4,0,0,0,0,0,0,0,716.25,LHX
2021-05-03,0.0825,,1,0.0825,0.0,0,0,0,0,0,1,0,0,715.0,LHX
2021-05-07,0.4,,1,0.4,0.0,0,0,1,0,0,0,0,0,200.0,LHX
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,LHX
2021-05-23,0.0667,,1,0.0667,0.0,0,0,0,0,1,0,0,0,185.0,LHX
2021-05-24,0.0182,,1,0.0182,0.0,0,0,0,0,0,0,0,0,130.0,LHX
2021-05-28,0.225,0.0354,2,0.225,0.0,0,0,0,0,0,0,0,0,149.5,LHX
2021-05-29,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,194.0,LHX
2021-06-28,0.6056,0.055,2,0.6056,0.0,0,1,0,0,0,1,0,0,237.5,LHX
2021-07-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,226.0,LHX
2021-07-06,0.36,,1,0.36,0.0,0,0,0,0,0,0,0,0,207.0,LHX
2021-07-08,0.2917,,1,0.2917,0.0,0,0,0,0,0,0,0,0,217.0,LHX
2021-07-09,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,132.0,LHX
2021-07-19,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,224.0,LHX
2021-07-23,0.3571,0.202,2,0.3571,0.0,2,0,0,0,0,0,0,0,221.5,LHX
2021-07-26,0.115,0.1626,2,0.115,0.0,2,0,0,0,0,0,0,0,184.5,LHX
2021-07-27,-0.0143,0.0619,3,0.0524,0.0,3,0,1,0,0,0,0,0,198.3333,LHX
2021-07-28,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,189.0,LHX
2021-07-30,0.1568,,1,0.1568,0.0,1,0,1,0,0,0,0,0,199.0,LHX
2021-08-02,0.0755,0.1281,5,0.0955,0.0,4,0,2,0,0,0,1,0,193.2,LHX
2021-08-03,0.1667,0.2887,3,0.1667,0.0,3,0,0,0,0,0,0,0,183.3333,LHX
2021-08-05,-0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,248.0,LHX
2021-08-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,238.0,LHX
2021-08-23,0.2167,,1,0.2167,0.0,0,1,0,0,0,0,0,0,188.0,LHX
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,LHX
2021-09-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,194.0,LHX
2021-09-04,-0.2917,,1,0.2917,0.0,0,0,0,0,1,0,0,0,122.0,LHX
2021-09-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,237.0,LHX
2021-09-16,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,219.0,LHX
2021-09-20,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,189.0,LHX
2021-09-21,0.15,,1,0.15,0.0,0,0,0,0,0,0,1,0,241.0,LHX
2021-09-22,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,195.0,LHX
2021-09-23,0.0531,,1,0.0531,0.0,0,1,0,0,0,0,0,0,860.0,LHX
2021-09-28,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,191.0,LHX
2021-09-30,0.21,,1,0.21,0.0,1,0,0,0,0,0,0,0,242.0,LHX
2021-10-03,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,123.0,LHX
2021-10-11,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,174.0,LHX
2021-10-15,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,230.0,LHX
2021-10-19,0.35,0.2121,2,0.35,0.0,1,0,0,0,0,0,0,0,159.0,LHX
2021-10-22,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,255.0,LHX
2021-10-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,211.0,LHX
2021-10-24,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,LHX
2021-10-25,-0.3458,,1,0.3458,0.0,0,0,0,0,0,1,0,0,221.0,LHX
2021-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,233.0,LHX
2021-10-29,0.1667,0.2887,3,0.1667,0.0,3,0,0,0,0,0,0,0,185.3333,LHX
2021-10-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,291.0,LHX
2021-11-02,0.0528,0.3891,3,0.2806,0.0,3,0,0,0,0,0,0,0,200.6667,LHX
2021-11-04,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,1,0,201.0,LHX
2021-11-07,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,191.0,LHX
2021-11-08,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,206.0,LHX
2021-11-09,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,220.0,LHX
2021-11-14,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,252.0,LHX
2021-11-21,0.1,,1,0.1,0.0,0,0,0,0,0,1,0,0,222.0,LHX
2021-11-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,53.0,LHX
2021-11-24,0.2167,,1,0.2167,0.0,0,1,0,0,0,1,0,0,213.0,LHX
2021-11-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,225.0,LHX
2021-12-03,0.3,,1,0.3,0.0,0,0,0,0,1,0,0,0,192.0,LHX
2021-12-08,0.0909,,1,0.0909,0.0,0,1,0,0,0,1,0,0,230.0,LHX
2021-12-20,0.3,,1,0.3,0.0,0,0,0,0,1,0,0,0,222.0,LHX
2021-12-23,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,100.0,LHX
2021-12-27,0.34,,1,0.34,0.0,0,0,0,0,0,0,0,0,224.0,LHX
2021-12-28,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,260.0,LHX
2021-12-29,0.33,0.0424,2,0.33,0.0,0,1,1,0,0,1,0,0,223.0,LHX
2022-01-04,0.2625,,1,0.2625,0.0,0,0,0,0,0,0,0,0,239.0,LHX
2022-01-05,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,236.0,LHX
2022-01-12,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,141.0,LHX
2022-01-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,189.0,LHX
2022-01-24,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,255.0,LHX
2022-01-26,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,237.5,LHX
2022-01-27,-0.0417,,1,0.0417,0.0,1,0,0,0,0,0,0,0,266.0,LHX
2022-01-29,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,220.0,LHX
2022-01-31,0.2917,0.3023,4,0.2917,0.0,4,0,0,0,1,0,0,0,531.25,LHX
2022-02-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,207.0,LHX
2022-02-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,229.0,LHX
2022-02-09,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,228.0,LHX
2022-02-14,0.0571,,1,0.0571,0.2,0,0,0,0,0,0,0,0,730.0,LHX
2022-02-16,-0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,144.0,LHX
2022-02-19,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,130.0,LHX
2022-02-24,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,224.0,LHX
2022-02-25,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,221.0,LHX
2022-03-01,0.0625,0.0884,2,0.0625,0.0,0,0,1,0,0,0,0,0,91.0,LHX
2022-03-02,-0.0244,0.0475,3,0.0284,0.0,1,0,0,0,0,1,0,0,358.3333,LHX
2022-03-03,0.0333,,1,0.0333,0.0,0,0,0,0,0,1,0,0,185.0,LHX
2022-03-06,-0.0349,,1,0.0349,0.0,1,0,0,0,0,0,0,0,214.0,LHX
2022-03-07,0.2035,0.1526,4,0.2035,0.0,0,2,2,0,0,0,0,0,547.5,LHX
2022-03-09,0.3444,,1,0.3444,0.0,0,0,0,0,0,0,0,0,209.0,LHX
2022-03-17,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,106.0,LHX
2022-03-20,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,LHX
2022-03-21,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,260.0,LHX
2022-03-26,0.2675,,1,0.2675,0.0,0,0,0,0,0,0,0,0,237.0,LHX
2022-03-31,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,214.0,LHX
2022-04-04,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,142.0,LHX
2022-04-19,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,238.0,LHX
2022-04-20,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,103.0,LHX
2022-04-22,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,258.0,LHX
2022-04-25,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,237.0,LHX
2022-04-26,-0.0778,,1,0.0778,0.0,1,0,0,0,0,0,0,0,262.0,LHX
2022-04-27,-0.0167,0.0236,2,0.0167,0.0,2,0,0,0,0,0,0,0,261.5,LHX
2022-04-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,226.0,LHX
2022-04-29,0.3058,0.2747,2,0.3058,0.0,1,0,0,0,0,0,0,0,435.5,LHX
2022-05-05,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,176.0,LHX
2022-05-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,253.0,LHX
2022-05-20,0.2714,,1,0.2714,0.0,0,0,0,0,0,0,0,0,252.0,LHX
2022-05-25,0.3,,1,0.3,0.0,0,0,0,0,1,0,0,0,175.0,LHX
2022-05-30,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,108.0,LHX
2022-06-13,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,221.0,LHX
2022-06-17,0.15,0.2121,2,0.15,0.0,0,0,0,0,1,0,0,0,213.5,LHX
2022-06-20,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,103.0,LHX
2022-07-10,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,219.0,LHX
2022-07-11,0.099,0.14,2,0.099,0.0,1,0,0,0,0,0,0,0,217.0,LHX
2022-07-13,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,181.0,LHX
2022-07-14,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,224.0,LHX
2022-07-18,-0.2667,,1,0.2667,0.0,1,0,0,0,0,0,0,0,169.0,LHX
2022-07-19,0.0289,,1,0.0289,0.0,1,0,0,0,0,0,0,0,200.0,LHX
2022-07-20,-0.05,,1,0.05,0.0,1,1,0,0,0,0,0,0,256.0,LHX
2022-07-21,0.0926,0.0804,3,0.0926,0.0,3,1,0,0,1,0,0,0,250.6667,LHX
2022-07-22,0.0403,0.0327,4,0.0403,0.0,4,0,0,0,0,0,0,0,231.5,LHX
2022-07-25,-0.0759,0.075,3,0.0759,0.0,2,0,1,0,0,0,0,0,201.6667,LHX
2022-07-26,-0.01,0.0141,2,0.01,0.0,2,0,1,0,0,0,0,0,231.5,LHX
