date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-11-25,0.1932,,1,0.1932,0.0,0,0,0,0,0,0,0,0,108.0,LH
2020-12-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,82.0,LH
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,250.0,LH
2021-04-28,0.5136,,1,0.5136,0.0,1,0,0,0,0,0,0,0,189.0,LH
2021-04-29,0.136,0.2076,3,0.136,0.0,3,0,0,0,1,0,0,0,3690.0,LH
2021-05-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,101.0,LH
2021-05-04,-0.4,,1,0.4,0.0,1,0,0,0,1,0,0,0,159.0,LH
2021-05-05,-0.1659,,1,0.1659,0.0,0,0,0,1,0,0,0,0,154.0,LH
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,LH
2021-05-12,0.0432,,1,0.0432,0.0,0,0,0,0,0,1,0,0,713.0,LH
2021-05-14,0.0206,0.018,3,0.0206,0.0,0,0,1,0,0,0,0,0,222.0,LH
2021-05-18,0.1317,0.0758,2,0.1317,0.0,0,1,0,0,0,0,0,0,915.5,LH
2021-05-20,0.1242,,1,0.1242,0.0,0,0,0,0,0,0,0,0,184.0,LH
2021-05-28,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,195.0,LH
2021-06-02,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,166.0,LH
2021-06-04,0.0152,0.075,2,0.053,0.0,0,0,0,0,0,0,0,0,140.5,LH
2021-06-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,253.0,LH
2021-06-09,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,241.0,LH
2021-06-13,-0.1929,,1,0.1929,0.0,1,0,0,0,0,0,0,0,207.0,LH
2021-06-15,0.0682,,1,0.0682,0.0,0,0,0,0,1,0,0,0,222.0,LH
2021-06-18,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,145.0,LH
2021-06-24,0.1636,,1,0.1636,0.0,0,0,0,0,0,0,0,0,220.0,LH
2021-06-28,0.1111,,1,0.1111,0.0,1,0,0,0,0,0,0,0,193.0,LH
2021-06-29,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,264.0,LH
2021-06-30,0.3667,0.1886,2,0.3667,0.0,1,1,0,0,0,0,0,0,208.5,LH
2021-07-02,0.09,0.0655,2,0.09,0.0,0,0,1,0,0,0,1,0,1095.5,LH
2021-07-05,0.1364,,1,0.1364,0.0,0,0,0,0,1,0,0,0,218.0,LH
2021-07-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,162.0,LH
2021-07-08,0.1471,0.1087,2,0.1471,0.0,0,0,0,0,1,0,0,0,1483.0,LH
2021-07-09,0.2433,0.1421,2,0.2433,0.0,0,0,0,0,1,0,0,0,127.0,LH
2021-07-12,-0.0417,0.2003,2,0.1417,0.0,0,0,0,0,0,0,0,0,191.0,LH
2021-07-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,161.0,LH
2021-07-14,0.3182,,1,0.3182,0.0,0,0,0,0,0,0,0,0,241.0,LH
2021-07-15,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,274.0,LH
2021-07-16,0.2709,0.2169,3,0.2709,0.0,2,1,0,0,0,0,0,0,216.0,LH
2021-07-19,-0.0417,0.5185,2,0.3667,0.0,2,0,1,0,0,0,0,0,194.0,LH
2021-07-20,0.0227,0.0321,2,0.0227,0.0,0,0,0,0,2,0,0,0,214.0,LH
2021-07-21,0.2283,0.07,2,0.2283,0.0,1,0,0,0,0,0,0,0,211.5,LH
2021-07-22,0.0496,0.0463,3,0.0496,0.0,3,1,1,0,1,0,0,0,215.6667,LH
2021-07-23,0.0682,0.0934,4,0.0682,0.0,4,0,1,0,0,0,0,0,224.75,LH
2021-07-26,0.0517,0.1351,3,0.085,0.0,1,1,1,0,1,0,0,0,170.0,LH
2021-07-27,0.1344,0.0928,2,0.1344,0.0,2,1,1,0,0,0,0,0,186.0,LH
2021-07-28,0.0167,0.052,3,0.0333,0.0,2,0,1,0,0,0,0,0,188.3333,LH
2021-07-29,-0.0233,0.0821,4,0.0475,0.0,3,0,2,0,1,0,1,0,1108.0,LH
2021-07-30,0.2071,0.2378,9,0.2417,0.0,9,0,8,0,3,0,0,0,191.7778,LH
2021-08-02,-0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,158.0,LH
2021-08-05,0.0741,,1,0.0741,0.0,0,1,1,0,1,0,1,0,4037.0,LH
2021-08-11,-0.32,,1,0.32,0.0,0,0,0,0,0,0,0,0,201.0,LH
