date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,116.0,LVS
2020-05-20,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,114.0,LVS
2020-06-10,0.0988,,1,0.0988,0.0,0,0,0,0,0,0,0,0,102.0,LVS
2020-07-08,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,76.0,LVS
2020-07-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,92.0,LVS
2020-07-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,68.0,LVS
2020-09-09,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,98.0,LVS
2020-09-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,LVS
2020-09-30,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,100.0,LVS
2020-11-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,LVS
2020-11-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,68.0,LVS
2020-12-16,0.3182,,1,0.3182,0.0,0,0,0,0,0,0,0,0,96.0,LVS
2020-12-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,82.0,LVS
2021-01-06,0.2386,,1,0.2386,0.0,0,0,0,0,0,0,0,0,62.0,LVS
2021-02-24,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,108.0,LVS
2021-03-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,52.0,LVS
2021-04-14,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,98.0,LVS
2021-04-26,-0.05,0.2121,2,0.15,0.0,0,0,0,0,0,0,0,0,134.5,LVS
2021-04-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,LVS
2021-04-29,0.0797,0.0496,2,0.0797,0.0,1,0,0,0,1,0,0,0,584.0,LVS
2021-04-30,0.24,,1,0.24,0.0,0,0,0,0,0,0,0,0,272.0,LVS
2021-05-03,0.0333,,1,0.0333,0.0,1,0,0,0,0,0,0,0,113.0,LVS
2021-05-07,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,151.0,LVS
2021-05-09,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,96.0,LVS
2021-05-10,0.0993,,1,0.0993,0.2,0,1,0,0,0,0,0,0,1011.0,LVS
2021-05-13,0.12,0.1697,2,0.12,0.0,0,1,0,0,0,0,0,0,215.5,LVS
2021-05-19,-0.0312,0.0442,2,0.0312,0.0,0,0,0,0,0,0,0,0,178.0,LVS
2021-05-21,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,207.0,LVS
2021-05-25,0.1464,,1,0.1464,0.0,0,0,0,0,0,0,0,0,311.0,LVS
2021-05-27,0.1139,0.1375,2,0.1139,0.1,0,0,0,0,0,1,0,0,174.0,LVS
2021-05-29,0.475,,1,0.475,0.0,0,1,0,0,0,0,0,0,168.0,LVS
2021-05-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,198.0,LVS
2021-06-01,-0.1556,,1,0.1556,0.0,1,0,0,0,0,0,0,0,162.0,LVS
2021-06-02,0.0333,0.0471,2,0.0333,0.0,1,0,0,0,0,0,0,0,114.0,LVS
2021-06-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,276.0,LVS
2021-06-09,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,70.0,LVS
2021-06-10,0.2273,,1,0.2273,0.0,0,0,0,0,0,0,0,0,220.0,LVS
2021-06-13,0.1616,,1,0.1616,0.0,0,0,0,0,0,0,0,0,1145.0,LVS
2021-06-23,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,84.0,LVS
2021-06-24,0.0146,0.0206,2,0.0146,0.0,0,0,0,0,0,0,0,0,162.0,LVS
2021-06-28,0.0864,,1,0.0864,0.0,0,0,0,0,0,0,0,0,599.0,LVS
2021-07-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,142.0,LVS
2021-07-05,0.4,,1,0.4,0.0,0,0,1,0,0,0,0,0,213.0,LVS
2021-07-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,LVS
2021-07-12,0.3203,0.1599,2,0.3203,0.0,1,1,0,0,0,0,0,0,692.5,LVS
2021-07-13,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,202.0,LVS
2021-07-15,-0.0367,,1,0.0367,0.0,0,1,0,0,0,0,0,0,909.0,LVS
2021-07-16,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,149.0,LVS
2021-07-17,-0.0723,0.1806,2,0.1277,0.0,2,0,1,0,1,0,0,0,824.5,LVS
2021-07-18,-0.0525,0.0,2,0.0525,0.0,2,0,0,0,0,0,0,0,200.0,LVS
2021-07-20,0.2273,,1,0.2273,0.0,1,1,0,0,0,0,0,0,202.0,LVS
2021-07-21,0.125,0.1768,2,0.125,0.0,1,0,0,0,0,0,0,0,190.5,LVS
2021-07-22,0.0366,0.0439,4,0.0366,0.0,4,0,3,0,0,0,0,0,396.75,LVS
2021-07-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,110.0,LVS
2021-07-29,-0.0125,,1,0.0125,0.0,1,0,0,0,0,1,0,0,225.0,LVS
2021-08-04,0.4667,,1,0.4667,0.0,0,1,0,0,0,0,0,0,177.0,LVS
2021-08-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,97.0,LVS
2021-08-20,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,210.0,LVS
2021-08-21,0.3089,0.2702,2,0.3089,0.0,0,1,0,0,0,0,0,0,139.0,LVS
2021-08-25,0.3,,1,0.3,0.0,0,0,1,0,0,0,0,0,153.0,LVS
2021-08-27,0.0125,0.0177,2,0.0125,0.0,0,0,1,0,0,0,0,0,114.0,LVS
2021-08-28,-0.1509,,1,0.1509,0.0,0,0,0,0,0,0,0,0,225.0,LVS
2021-09-09,-0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,207.0,LVS
2021-09-14,0.1819,0.1861,3,0.1819,0.0,0,0,1,0,0,0,1,0,341.3333,LVS
2021-09-15,-0.0855,0.2735,11,0.2071,0.0182,1,3,4,0,2,1,1,1,686.2727,LVS
2021-09-16,0.0382,0.0883,3,0.0799,0.0,0,0,1,0,0,0,0,0,595.6667,LVS
2021-09-17,0.0667,0.1155,3,0.0667,0.0,0,0,0,0,0,0,0,0,136.0,LVS
2021-09-18,0.2083,0.0118,2,0.2083,0.0,0,1,1,0,0,1,0,0,754.0,LVS
2021-09-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,189.0,LVS
2021-09-20,0.0409,0.0727,3,0.0423,0.0,1,1,1,0,1,1,1,0,1459.3333,LVS
2021-09-22,0.1364,,1,0.1364,0.0,0,0,1,0,0,0,0,0,127.0,LVS
2021-09-24,0.0652,,1,0.0652,0.0,0,1,1,0,0,0,0,0,1169.0,LVS
2021-09-28,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,212.0,LVS
2021-09-29,-0.1264,0.002,2,0.1264,0.0,0,0,0,0,0,0,0,0,143.0,LVS
2021-09-30,-0.0935,,1,0.0935,0.0,0,0,0,0,0,0,0,0,131.0,LVS
2021-10-04,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,218.0,LVS
2021-10-05,0.075,0.1061,2,0.075,0.0,0,1,0,0,0,0,0,0,142.5,LVS
2021-10-06,0.1201,0.1253,3,0.1201,0.0,1,1,1,0,1,0,0,0,849.0,LVS
2021-10-07,0.2,,1,0.2,0.2,0,0,0,0,0,0,0,0,153.0,LVS
2021-10-08,0.9,,1,0.9,0.0,0,1,0,0,0,0,0,0,135.0,LVS
2021-10-12,0.3067,,1,0.3067,0.0,1,0,0,0,0,0,0,0,289.0,LVS
2021-10-13,-0.0029,,1,0.0029,0.0,1,0,0,0,1,0,0,0,265.0,LVS
2021-10-15,0.0,,1,0.0,0.0,0,1,0,0,0,0,1,0,701.0,LVS
2021-10-16,0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,202.0,LVS
2021-10-17,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,LVS
2021-10-18,0.0444,0.2043,2,0.1444,0.0,2,0,0,0,0,0,0,0,218.5,LVS
2021-10-20,0.0287,0.0498,3,0.0287,0.0,2,0,1,0,0,0,0,0,906.0,LVS
2021-10-21,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,115.0,LVS
2021-10-26,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,172.0,LVS
2021-11-06,0.2857,,1,0.2857,0.0,0,0,0,0,0,0,0,0,117.0,LVS
2021-11-13,0.225,0.3182,2,0.225,0.0,1,0,0,0,0,0,0,0,191.5,LVS
2021-11-19,-0.0415,0.0643,3,0.0598,0.0,2,0,1,0,0,0,0,0,933.6667,LVS
2021-11-29,0.0433,,1,0.0433,0.0,0,0,0,0,0,0,0,0,916.0,LVS
2021-11-30,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,259.0,LVS
2021-12-03,0.225,,1,0.225,0.0,0,1,0,0,0,0,0,0,190.0,LVS
2021-12-06,0.0282,0.2289,4,0.1708,0.0,1,2,0,0,0,0,0,0,367.75,LVS
2021-12-07,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,181.0,LVS
2021-12-09,0.0466,0.0659,2,0.0466,0.0,1,1,1,0,0,1,0,0,1169.5,LVS
2021-12-13,0.1467,,1,0.1467,0.0,0,0,0,0,0,0,0,0,192.0,LVS
2021-12-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,57.0,LVS
2021-12-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,36.0,LVS
2021-12-19,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,67.0,LVS
2021-12-22,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,178.0,LVS
2021-12-23,0.3372,0.3245,2,0.3372,0.0,0,1,0,0,0,0,0,0,1441.5,LVS
2021-12-24,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,185.0,LVS
2021-12-28,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,191.0,LVS
