date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-05-03,0.0983,0.1846,4,0.0983,0.0,4,0,0,0,0,0,0,0,1108.25,L
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,L
2021-05-29,0.075,,1,0.075,0.0,1,0,0,0,0,0,0,0,198.0,L
2021-07-27,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,236.0,L
2021-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,101.0,L
2021-11-01,0.0771,0.109,2,0.0771,0.0,1,0,0,0,0,0,0,0,156.5,L
2022-02-04,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,210.0,L
2022-04-21,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,113.0,L
2022-05-06,0.0595,,1,0.0595,0.0,0,1,0,0,0,0,0,0,147.0,L
2022-05-23,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,97.0,L
2022-06-22,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,113.0,L
2022-07-25,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,97.0,L
2022-08-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,L
2022-08-05,0.18,,1,0.18,0.0,1,0,1,0,0,0,0,0,142.0,L
2022-08-22,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,113.0,L
2022-10-12,0.0477,,1,0.0477,0.0,0,1,1,0,0,0,0,0,1038.0,L
2022-10-24,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,113.0,L
2023-05-27,0.1333,0.0471,2,0.1333,0.0,0,0,0,0,0,0,0,0,146.0,L
2023-06-05,0.1833,,1,0.1833,0.0,0,1,0,0,0,0,0,0,773.0,L
2023-08-25,0.25,,1,0.25,0.0,0,0,1,0,0,0,0,0,207.0,L
2023-12-30,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,63.0,L
2024-01-06,0.395,,1,0.395,0.0,0,0,0,0,0,0,0,0,182.0,L
2024-01-18,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,116.0,L
2024-01-22,-0.0948,,1,0.0948,0.0,0,1,0,0,0,0,0,0,597.0,L
2024-03-19,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,116.0,L
2024-03-28,0.4375,,1,0.4375,0.0,0,0,0,0,0,0,0,0,193.0,L
2024-05-06,0.0982,,1,0.0982,0.0,1,0,1,0,1,0,0,0,1369.0,L
2024-05-30,0.2583,,1,0.2583,0.0,0,0,0,0,0,0,0,0,116.0,L
2024-09-09,0.225,,1,0.225,0.0,0,0,1,0,0,0,0,0,338.0,L
2024-11-12,-0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,230.0,L
